day_of_year,sst_mean,sst_std,n_years
1,8.0786,0.7073,24
2,8.0601,0.7020,24
3,8.0416,0.6968,24
4,8.0231,0.6916,24
5,8.0046,0.6864,24
6,7.9861,0.6811,24
7,7.9676,0.6759,24
8,7.9491,0.6707,24
9,7.9306,0.6654,24
10,7.9121,0.6602,24
11,7.8935,0.6550,24
12,7.8750,0.6497,24
13,7.8565,0.6445,24
14,7.8380,0.6393,24
15,7.8195,0.6340,24
16,7.8010,0.6288,24
17,7.7869,0.6281,24
18,7.7729,0.6274,24
19,7.7588,0.6267,24
20,7.7447,0.6260,24
21,7.7306,0.6253,24
22,7.7166,0.6246,24
23,7.7025,0.6239,24
24,7.6884,0.6232,24
25,7.6743,0.6225,24
26,7.6603,0.6218,24
27,7.6462,0.6211,24
28,7.6321,0.6204,24
29,7.6180,0.6197,24
30,7.6040,0.6190,24
31,7.5899,0.6183,24
32,7.5758,0.6176,24
33,7.5617,0.6169,24
34,7.5477,0.6161,24
35,7.5336,0.6154,24
36,7.5195,0.6147,24
37,7.5055,0.6140,24
38,7.4914,0.6133,24
39,7.4773,0.6126,24
40,7.4632,0.6119,24
41,7.4492,0.6112,24
42,7.4351,0.6105,24
43,7.4210,0.6098,24
44,7.4069,0.6091,24
45,7.3929,0.6084,24
46,7.3943,0.6109,24
47,7.3958,0.6133,24
48,7.3973,0.6158,24
49,7.3987,0.6182,24
50,7.4002,0.6207,24
51,7.4017,0.6231,24
52,7.4031,0.6256,24
53,7.4046,0.6280,24
54,7.4061,0.6305,24
55,7.4076,0.6330,24
56,7.4090,0.6354,24
57,7.4105,0.6379,24
58,7.4120,0.6403,24
59,7.4134,0.6428,24
60,7.4149,0.6452,24
61,7.4164,0.6477,24
62,7.4178,0.6501,24
63,7.4193,0.6526,24
64,7.4208,0.6550,24
65,7.4223,0.6575,24
66,7.4237,0.6600,24
67,7.4252,0.6624,24
68,7.4267,0.6649,24
69,7.4281,0.6673,24
70,7.4296,0.6698,24
71,7.4311,0.6722,24
72,7.4325,0.6747,24
73,7.4340,0.6771,24
74,7.4355,0.6796,24
75,7.4645,0.6850,24
76,7.4935,0.6904,24
77,7.5225,0.6957,24
78,7.5515,0.7011,24
79,7.5805,0.7065,24
80,7.6094,0.7119,24
81,7.6384,0.7173,24
82,7.6674,0.7227,24
83,7.6964,0.7280,24
84,7.7254,0.7334,24
85,7.7544,0.7388,24
