day_of_year,sst_mean,sst_std,n_years
1,10.9664,0.9939,24
2,10.9524,0.9879,24
3,10.9384,0.9819,24
4,10.9244,0.9759,24
5,10.9104,0.9699,24
6,10.8964,0.9639,24
7,10.8824,0.9579,24
8,10.8684,0.9519,24
9,10.8544,0.9458,24
10,10.8404,0.9398,24
11,10.8264,0.9338,24
12,10.8124,0.9278,24
13,10.7984,0.9218,24
14,10.7843,0.9158,24
15,10.7703,0.9098,24
16,10.7563,0.9038,24
17,10.7465,0.9033,24
18,10.7367,0.9027,24
19,10.7268,0.9022,24
20,10.7170,0.9016,24
21,10.7072,0.9011,24
22,10.6974,0.9005,24
23,10.6875,0.9000,24
24,10.6777,0.8994,24
25,10.6679,0.8989,24
26,10.6581,0.8983,24
27,10.6482,0.8978,24
28,10.6384,0.8972,24
29,10.6286,0.8967,24
30,10.6187,0.8961,24
31,10.6089,0.8956,24
32,10.5991,0.8951,24
33,10.5893,0.8945,24
34,10.5794,0.8940,24
35,10.5696,0.8934,24
36,10.5598,0.8929,24
37,10.5500,0.8923,24
38,10.5401,0.8918,24
39,10.5303,0.8912,24
40,10.5205,0.8907,24
41,10.5106,0.8901,24
42,10.5008,0.8896,24
43,10.4910,0.8890,24
44,10.4812,0.8885,24
45,10.4713,0.8879,24
46,10.4702,0.8896,24
47,10.4691,0.8914,24
48,10.4679,0.8931,24
49,10.4668,0.8948,24
50,10.4657,0.8965,24
51,10.4645,0.8982,24
52,10.4634,0.8999,24
53,10.4622,0.9016,24
54,10.4611,0.9033,24
55,10.4600,0.9050,24
56,10.4588,0.9067,24
57,10.4577,0.9085,24
58,10.4566,0.9102,24
59,10.4554,0.9119,24
60,10.4543,0.9136,24
61,10.4531,0.9153,24
62,10.4520,0.9170,24
63,10.4509,0.9187,24
64,10.4497,0.9204,24
65,10.4486,0.9221,24
66,10.4475,0.9238,24
67,10.4463,0.9256,24
68,10.4452,0.9273,24
69,10.4440,0.9290,24
70,10.4429,0.9307,24
71,10.4418,0.9324,24
72,10.4406,0.9341,24
73,10.4395,0.9358,24
74,10.4384,0.9375,24
75,10.4399,0.9362,24
76,10.4414,0.9349,24
77,10.4430,0.9335,24
78,10.4445,0.9322,24
79,10.4460,0.9308,24
80,10.4476,0.9295,24
81,10.4491,0.9282,24
82,10.4507,0.9268,24
83,10.4522,0.9255,24
84,10.4537,0.9242,24
85,10.4553,0.9228,24
86,10.4568,0.9215,24
87,10.4583,0.9202,24
88,10.4599,0.9188,24
89,10.4614,0.9175,24
