day_of_year,sst_mean,sst_std,n_years
1,11.8187,0.8920,24
2,11.8017,0.8877,24
3,11.7847,0.8833,24
4,11.7677,0.8790,24
5,11.7507,0.8746,24
6,11.7337,0.8703,24
7,11.7167,0.8659,24
8,11.6997,0.8616,24
9,11.6827,0.8573,24
10,11.6657,0.8529,24
11,11.6487,0.8486,24
12,11.6317,0.8442,24
13,11.6147,0.8399,24
14,11.5977,0.8355,24
15,11.5807,0.8312,24
16,11.5637,0.8269,24
17,11.5546,0.8304,24
18,11.5455,0.8339,24
19,11.5364,0.8373,24
20,11.5273,0.8408,24
21,11.5182,0.8443,24
22,11.5090,0.8478,24
23,11.4999,0.8513,24
24,11.4908,0.8548,24
25,11.4817,0.8583,24
26,11.4726,0.8618,24
27,11.4635,0.8653,24
28,11.4544,0.8688,24
29,11.4453,0.8723,24
30,11.4362,0.8758,24
31,11.4271,0.8793,24
32,11.4180,0.8828,24
33,11.4088,0.8862,24
34,11.3997,0.8897,24
35,11.3906,0.8932,24
36,11.3815,0.8967,24
37,11.3724,0.9002,24
38,11.3633,0.9037,24
39,11.3542,0.9072,24
40,11.3451,0.9107,24
41,11.3360,0.9142,24
42,11.3269,0.9177,24
43,11.3178,0.9212,24
44,11.3086,0.9247,24
45,11.2995,0.9282,24
46,11.2920,0.9294,24
47,11.2845,0.9306,24
48,11.2770,0.9319,24
49,11.2695,0.9331,24
50,11.2620,0.9344,24
51,11.2545,0.9356,24
52,11.2470,0.9368,24
53,11.2395,0.9381,24
54,11.2319,0.9393,24
55,11.2244,0.9406,24
56,11.2169,0.9418,24
57,11.2094,0.9430,24
58,11.2019,0.9443,24
59,11.1944,0.9455,24
60,11.1869,0.9468,24
61,11.1794,0.9480,24
62,11.1719,0.9493,24
63,11.1643,0.9505,24
64,11.1568,0.9517,24
65,11.1493,0.9530,24
66,11.1418,0.9542,24
67,11.1343,0.9555,24
68,11.1268,0.9567,24
69,11.1193,0.9579,24
70,11.1118,0.9592,24
71,11.1043,0.9604,24
72,11.0968,0.9617,24
73,11.0892,0.9629,24
74,11.0817,0.9641,24
75,11.0749,0.9594,24
76,11.0680,0.9547,24
77,11.0611,0.9500,24
78,11.0542,0.9453,24
79,11.0473,0.9406,24
80,11.0404,0.9359,24
81,11.0336,0.9311,24
82,11.0267,0.9264,24
83,11.0198,0.9217,24
84,11.0129,0.9170,24
85,11.0060,0.9123,24
86,10.9992,0.9076,24
87,10.9923,0.9029,24
88,10.9854,0.8982,24
89,10.9785,0.8934,24
90,10.9716,0.8887,24
91,10.9648,0.8840,24
92,10.9579,0.8793,24
93,10.9510,0.8746,24
94,10.9441,0.8699,24
95,10.9372,0.8652,24
96,10.9304,0.8604,24
97,10.9235,0.8557,24
98,10.9166,0.8510,24
99,10.9097,0.8463,24
100,10.9028,0.8416,24
101,10.8960,0.8369,24
102,10.8891,0.8322,24
103,10.8822,0.8275,24
104,10.8753,0.8227,24
105,10.8684,0.8180,24
106,10.8693,0.8184,24
107,10.8701,0.8187,24
108,10.8709,0.8190,24
109,10.8718,0.8194,24
110,10.8726,0.8197,24
111,10.8734,0.8200,24
112,10.8743,0.8204,24
113,10.8751,0.8207,24
114,10.8759,0.8210,24
115,10.8768,0.8214,24
116,10.8776,0.8217,24
117,10.8784,0.8220,24
118,10.8793,0.8224,24
119,10.8801,0.8227,24
120,10.8809,0.8230,24
121,10.8818,0.8234,24
122,10.8826,0.8237,24
123,10.8834,0.8241,24
124,10.8843,0.8244,24
125,10.8851,0.8247,24
126,10.8859,0.8251,24
127,10.8868,0.8254,24
128,10.8876,0.8257,24
129,10.8884,0.8261,24
130,10.8893,0.8264,24
131,10.8901,0.8267,24
132,10.8910,0.8271,24
133,10.8918,0.8274,24
134,10.8926,0.8277,24
135,10.8935,0.8281,24
136,10.9008,0.8230,24
137,10.9082,0.8179,24
138,10.9156,0.8128,24
139,10.9230,0.8078,24
140,10.9304,0.8027,24
141,10.9378,0.7976,24
142,10.9452,0.7925,24
143,10.9526,0.7875,24
144,10.9600,0.7824,24
145,10.9674,0.7773,24
146,10.9748,0.7722,24
147,10.9822,0.7671,24
148,10.9896,0.7621,24
149,10.9969,0.7570,24
150,11.0043,0.7519,24
151,11.0117,0.7468,24
152,11.0191,0.7418,24
153,11.0265,0.7367,24
154,11.0339,0.7316,24
155,11.0413,0.7265,24
156,11.0487,0.7215,24
157,11.0561,0.7164,24
158,11.0635,0.7113,24
159,11.0709,0.7062,24
160,11.0783,0.7012,24
161,11.0857,0.6961,24
162,11.0930,0.6910,24
163,11.1004,0.6859,24
164,11.1078,0.6808,24
165,11.1152,0.6758,24
166,11.1226,0.6707,24
167,11.1527,0.6782,24
168,11.1827,0.6857,24
169,11.2128,0.6932,24
170,11.2428,0.7007,24
171,11.2728,0.7082,24
172,11.3029,0.7157,24
173,11.3329,0.7232,24
174,11.3630,0.7306,24
175,11.3930,0.7381,24
176,11.4231,0.7456,24
177,11.4531,0.7531,24
178,11.4832,0.7606,24
179,11.5132,0.7681,24
180,11.5433,0.7756,24
181,11.5733,0.7831,24
182,11.6034,0.7906,24
183,11.6334,0.7981,24
184,11.6635,0.8056,24
185,11.6935,0.8131,24
186,11.7235,0.8206,24
187,11.7536,0.8281,24
188,11.7836,0.8356,24
189,11.8137,0.8431,24
190,11.8437,0.8506,24
191,11.8738,0.8580,24
192,11.9038,0.8655,24
193,11.9339,0.8730,24
194,11.9639,0.8805,24
195,11.9940,0.8880,24
196,12.0240,0.8955,24
197,12.0524,0.8997,24
198,12.0808,0.9038,24
199,12.1092,0.9079,24
200,12.1376,0.9121,24
201,12.1660,0.9162,24
202,12.1944,0.9204,24
203,12.2228,0.9245,24
204,12.2512,0.9287,24
205,12.2796,0.9328,24
