day_of_year,sst_mean,sst_std,n_years
1,8.1676,0.6994,24
2,8.1475,0.6987,24
3,8.1274,0.6979,24
4,8.1073,0.6971,24
5,8.0871,0.6964,24
6,8.0670,0.6956,24
7,8.0469,0.6948,24
8,8.0268,0.6941,24
9,8.0067,0.6933,24
10,7.9866,0.6926,24
11,7.9665,0.6918,24
12,7.9464,0.6910,24
13,7.9263,0.6903,24
14,7.9061,0.6895,24
15,7.8860,0.6887,24
16,7.8659,0.6880,24
17,7.8547,0.6894,24
18,7.8434,0.6909,24
19,7.8321,0.6923,24
20,7.8209,0.6938,24
21,7.8096,0.6952,24
22,7.7983,0.6967,24
23,7.7871,0.6982,24
24,7.7758,0.6996,24
25,7.7645,0.7011,24
26,7.7533,0.7025,24
27,7.7420,0.7040,24
28,7.7308,0.7054,24
29,7.7195,0.7069,24
30,7.7082,0.7083,24
31,7.6970,0.7098,24
32,7.6857,0.7112,24
33,7.6744,0.7127,24
34,7.6632,0.7141,24
35,7.6519,0.7156,24
36,7.6406,0.7171,24
37,7.6294,0.7185,24
38,7.6181,0.7200,24
39,7.6068,0.7214,24
40,7.5956,0.7229,24
41,7.5843,0.7243,24
42,7.5731,0.7258,24
43,7.5618,0.7272,24
44,7.5505,0.7287,24
45,7.5393,0.7301,24
46,7.5330,0.7317,24
47,7.5267,0.7334,24
48,7.5204,0.7350,24
49,7.5141,0.7366,24
50,7.5079,0.7382,24
51,7.5016,0.7398,24
52,7.4953,0.7414,24
53,7.4890,0.7430,24
54,7.4827,0.7446,24
55,7.4764,0.7462,24
56,7.4702,0.7478,24
57,7.4639,0.7494,24
58,7.4576,0.7510,24
59,7.4513,0.7526,24
60,7.4450,0.7543,24
61,7.4388,0.7559,24
62,7.4325,0.7575,24
63,7.4262,0.7591,24
64,7.4199,0.7607,24
65,7.4136,0.7623,24
66,7.4073,0.7639,24
67,7.4011,0.7655,24
68,7.3948,0.7671,24
69,7.3885,0.7687,24
70,7.3822,0.7703,24
71,7.3759,0.7719,24
72,7.3697,0.7735,24
73,7.3634,0.7752,24
74,7.3571,0.7768,24
75,7.3678,0.7787,24
76,7.3786,0.7807,24
77,7.3893,0.7826,24
78,7.4000,0.7846,24
79,7.4107,0.7865,24
80,7.4215,0.7885,24
81,7.4322,0.7904,24
82,7.4429,0.7924,24
83,7.4536,0.7943,24
84,7.4644,0.7963,24
85,7.4751,0.7982,24
86,7.4858,0.8002,24
87,7.4965,0.8021,24
88,7.5073,0.8041,24
89,7.5180,0.8060,24
90,7.5287,0.8080,24
91,7.5395,0.8099,24
92,7.5502,0.8118,24
93,7.5609,0.8138,24
94,7.5716,0.8157,24
95,7.5824,0.8177,24
96,7.5931,0.8196,24
97,7.6038,0.8216,24
98,7.6145,0.8235,24
99,7.6253,0.8255,24
100,7.6360,0.8274,24
101,7.6467,0.8294,24
102,7.6574,0.8313,24
103,7.6682,0.8333,24
104,7.6789,0.8352,24
105,7.6896,0.8372,24
106,7.7333,0.8366,24
107,7.7770,0.8361,24
108,7.8207,0.8355,24
109,7.8644,0.8349,24
110,7.9081,0.8344,24
111,7.9517,0.8338,24
112,7.9954,0.8332,24
