day_of_year,sst_mean,sst_std,n_years
1,7.2009,0.4674,24
2,7.1809,0.4659,24
3,7.1609,0.4644,24
4,7.1409,0.4629,24
5,7.1209,0.4614,24
6,7.1009,0.4599,24
7,7.0809,0.4584,24
8,7.0609,0.4569,24
9,7.0409,0.4554,24
10,7.0209,0.4538,24
11,7.0009,0.4523,24
12,6.9809,0.4508,24
13,6.9609,0.4493,24
14,6.9409,0.4478,24
15,6.9209,0.4463,24
16,6.9009,0.4448,24
17,6.9032,0.4468,24
18,6.9055,0.4487,24
19,6.9078,0.4507,24
20,6.9101,0.4526,24
21,6.9124,0.4546,24
22,6.9147,0.4565,24
23,6.9169,0.4584,24
24,6.9192,0.4604,24
25,6.9215,0.4623,24
26,6.9238,0.4643,24
27,6.9261,0.4662,24
28,6.9284,0.4682,24
29,6.9307,0.4701,24
30,6.9330,0.4721,24
31,6.9353,0.4740,24
32,6.9376,0.4760,24
33,6.9398,0.4779,24
34,6.9421,0.4799,24
35,6.9444,0.4818,24
36,6.9467,0.4837,24
37,6.9490,0.4857,24
38,6.9513,0.4876,24
39,6.9536,0.4896,24
40,6.9559,0.4915,24
41,6.9582,0.4935,24
42,6.9605,0.4954,24
43,6.9627,0.4974,24
44,6.9650,0.4993,24
45,6.9673,0.5013,24
46,6.9982,0.5039,24
47,7.0292,0.5065,24
48,7.0601,0.5091,24
49,7.0910,0.5117,24
50,7.1219,0.5143,24
51,7.1529,0.5169,24
52,7.1838,0.5195,24
53,7.2147,0.5222,24
54,7.2456,0.5248,24
55,7.2765,0.5274,24
56,7.3075,0.5300,24
57,7.3384,0.5326,24
58,7.3693,0.5352,24
59,7.4002,0.5378,24
60,7.4312,0.5404,24
61,7.4621,0.5430,24
62,7.4930,0.5457,24
63,7.5239,0.5483,24
64,7.5548,0.5509,24
65,7.5858,0.5535,24
66,7.6167,0.5561,24
67,7.6476,0.5587,24
68,7.6785,0.5613,24
69,7.7095,0.5639,24
70,7.7404,0.5666,24
71,7.7713,0.5692,24
72,7.8022,0.5718,24
73,7.8331,0.5744,24
74,7.8641,0.5770,24
75,7.9300,0.5834,24
76,7.9960,0.5899,24
77,8.0619,0.5963,24
78,8.1279,0.6028,24
79,8.1939,0.6092,24
80,8.2598,0.6156,24
81,8.3258,0.6221,24
82,8.3918,0.6285,24
83,8.4577,0.6350,24
84,8.5237,0.6414,24
85,8.5897,0.6478,24
86,8.6556,0.6543,24
87,8.7216,0.6607,24
88,8.7875,0.6672,24
89,8.8535,0.6736,24
90,8.9195,0.6801,24
91,8.9854,0.6865,24
92,9.0514,0.6929,24
93,9.1174,0.6994,24
94,9.1833,0.7058,24
95,9.2493,0.7123,24
96,9.3152,0.7187,24
97,9.3812,0.7251,24
98,9.4472,0.7316,24
99,9.5131,0.7380,24
100,9.5791,0.7445,24
101,9.6451,0.7509,24
102,9.7110,0.7573,24
103,9.7770,0.7638,24
104,9.8430,0.7702,24
105,9.9089,0.7767,24
106,10.0187,0.7836,24
107,10.1284,0.7906,24
108,10.2382,0.7976,24
109,10.3479,0.8045,24
110,10.4577,0.8115,24
111,10.5674,0.8185,24
112,10.6772,0.8254,24
113,10.7870,0.8324,24
114,10.8967,0.8394,24
115,11.0065,0.8463,24
116,11.1162,0.8533,24
117,11.2260,0.8602,24
118,11.3357,0.8672,24
119,11.4455,0.8742,24
120,11.5552,0.8811,24
121,11.6650,0.8881,24
