day_of_year,sst_mean,sst_std,n_years
1,6.6874,0.6813,24
2,6.6658,0.6875,24
3,6.6442,0.6937,24
4,6.6226,0.6998,24
5,6.6011,0.7060,24
6,6.5795,0.7122,24
7,6.5579,0.7183,24
8,6.5363,0.7245,24
9,6.5147,0.7307,24
10,6.4932,0.7368,24
11,6.4716,0.7430,24
12,6.4500,0.7492,24
13,6.4284,0.7553,24
14,6.4068,0.7615,24
15,6.3853,0.7676,24
16,6.3637,0.7738,24
17,6.3463,0.7681,24
18,6.3288,0.7624,24
19,6.3114,0.7567,24
20,6.2940,0.7510,24
21,6.2766,0.7453,24
22,6.2592,0.7396,24
23,6.2418,0.7339,24
24,6.2244,0.7282,24
25,6.2070,0.7225,24
26,6.1895,0.7168,24
27,6.1721,0.7111,24
28,6.1547,0.7054,24
29,6.1373,0.6997,24
30,6.1199,0.6940,24
31,6.1025,0.6883,24
32,6.0851,0.6826,24
33,6.0677,0.6768,24
34,6.0502,0.6711,24
35,6.0328,0.6654,24
36,6.0154,0.6597,24
37,5.9980,0.6540,24
38,5.9806,0.6483,24
39,5.9632,0.6426,24
40,5.9458,0.6369,24
41,5.9284,0.6312,24
42,5.9109,0.6255,24
43,5.8935,0.6198,24
44,5.8761,0.6141,24
45,5.8587,0.6084,24
46,5.8617,0.6103,24
47,5.8648,0.6122,24
48,5.8678,0.6141,24
49,5.8708,0.6160,24
50,5.8739,0.6179,24
51,5.8769,0.6198,24
52,5.8799,0.6217,24
53,5.8830,0.6236,24
54,5.8860,0.6255,24
55,5.8890,0.6274,24
56,5.8920,0.6293,24
57,5.8951,0.6312,24
58,5.8981,0.6331,24
59,5.9011,0.6350,24
60,5.9042,0.6369,24
61,5.9072,0.6388,24
62,5.9102,0.6407,24
63,5.9133,0.6426,24
64,5.9163,0.6445,24
65,5.9193,0.6464,24
66,5.9224,0.6482,24
67,5.9254,0.6501,24
68,5.9284,0.6520,24
69,5.9314,0.6539,24
70,5.9345,0.6558,24
71,5.9375,0.6577,24
72,5.9405,0.6596,24
73,5.9436,0.6615,24
74,5.9466,0.6634,24
75,5.9794,0.6688,24
76,6.0123,0.6741,24
77,6.0451,0.6794,24
78,6.0779,0.6847,24
79,6.1108,0.6901,24
80,6.1436,0.6954,24
81,6.1764,0.7007,24
82,6.2093,0.7061,24
83,6.2421,0.7114,24
84,6.2749,0.7167,24
85,6.3078,0.7220,24
86,6.3406,0.7274,24
87,6.3734,0.7327,24
88,6.4063,0.7380,24
89,6.4391,0.7434,24
90,6.4719,0.7487,24
91,6.5048,0.7540,24
92,6.5376,0.7593,24
93,6.5704,0.7647,24
94,6.6033,0.7700,24
95,6.6361,0.7753,24
96,6.6689,0.7806,24
97,6.7018,0.7860,24
98,6.7346,0.7913,24
99,6.7674,0.7966,24
100,6.8003,0.8020,24
101,6.8331,0.8073,24
102,6.8659,0.8126,24
103,6.8988,0.8179,24
104,6.9316,0.8233,24
105,6.9644,0.8286,24
106,7.0423,0.8387,24
107,7.1201,0.8488,24
108,7.1980,0.8589,24
109,7.2758,0.8690,24
110,7.3537,0.8790,24
111,7.4315,0.8891,24
112,7.5094,0.8992,24
113,7.5872,0.9093,24
114,7.6651,0.9194,24
115,7.7429,0.9295,24
116,7.8208,0.9396,24
117,7.8986,0.9497,24
118,7.9765,0.9597,24
119,8.0543,0.9698,24
120,8.1322,0.9799,24
121,8.2100,0.9900,24
122,8.2879,1.0001,24
123,8.3657,1.0102,24
124,8.4436,1.0203,24
125,8.5214,1.0304,24
126,8.5992,1.0404,24
127,8.6771,1.0505,24
128,8.7549,1.0606,24
129,8.8328,1.0707,24
130,8.9106,1.0808,24
131,8.9885,1.0909,24
132,9.0663,1.1010,24
133,9.1442,1.1111,24
134,9.2220,1.1211,24
135,9.2999,1.1312,24
136,9.3876,1.1243,24
137,9.4753,1.1174,24
138,9.5630,1.1104,24
139,9.6507,1.1035,24
140,9.7384,1.0965,24
141,9.8261,1.0896,24
142,9.9137,1.0827,24
143,10.0014,1.0757,24
144,10.0891,1.0688,24
145,10.1768,1.0619,24
146,10.2645,1.0549,24
147,10.3522,1.0480,24
148,10.4399,1.0410,24
149,10.5276,1.0341,24
150,10.6153,1.0272,24
151,10.7030,1.0202,24
152,10.7907,1.0133,24
153,10.8784,1.0064,24
154,10.9661,0.9994,24
155,11.0538,0.9925,24
156,11.1414,0.9856,24
157,11.2291,0.9786,24
158,11.3168,0.9717,24
159,11.4045,0.9647,24
160,11.4922,0.9578,24
161,11.5799,0.9509,24
162,11.6676,0.9439,24
163,11.7553,0.9370,24
164,11.8430,0.9301,24
165,11.9307,0.9231,24
166,12.0184,0.9162,24
167,12.0863,0.9195,24
168,12.1542,0.9229,24
169,12.2221,0.9263,24
170,12.2900,0.9296,24
171,12.3578,0.9330,24
172,12.4257,0.9363,24
173,12.4936,0.9397,24
174,12.5615,0.9431,24
175,12.6294,0.9464,24
176,12.6973,0.9498,24
177,12.7652,0.9531,24
178,12.8331,0.9565,24
179,12.9010,0.9599,24
180,12.9689,0.9632,24
181,13.0368,0.9666,24
182,13.1047,0.9699,24
183,13.1726,0.9733,24
184,13.2405,0.9766,24
185,13.3084,0.9800,24
186,13.3763,0.9834,24
187,13.4442,0.9867,24
188,13.5120,0.9901,24
189,13.5799,0.9934,24
190,13.6478,0.9968,24
191,13.7157,1.0002,24
192,13.7836,1.0035,24
193,13.8515,1.0069,24
194,13.9194,1.0102,24
195,13.9873,1.0136,24
196,14.0552,1.0169,24
197,14.0700,1.0128,24
198,14.0848,1.0087,24
199,14.0996,1.0046,24
200,14.1144,1.0005,24
201,14.1291,0.9964,24
202,14.1439,0.9923,24
203,14.1587,0.9882,24
204,14.1735,0.9840,24
205,14.1883,0.9799,24
206,14.2031,0.9758,24
207,14.2179,0.9717,24
208,14.2327,0.9676,24
209,14.2475,0.9635,24
210,14.2623,0.9594,24
211,14.2770,0.9553,24
212,14.2918,0.9511,24
213,14.3066,0.9470,24
214,14.3214,0.9429,24
215,14.3362,0.9388,24
216,14.3510,0.9347,24
217,14.3658,0.9306,24
218,14.3806,0.9265,24
219,14.3954,0.9224,24
220,14.4101,0.9182,24
221,14.4249,0.9141,24
222,14.4397,0.9100,24
223,14.4545,0.9059,24
224,14.4693,0.9018,24
225,14.4841,0.8977,24
226,14.4989,0.8936,24
227,14.5137,0.8894,24
228,14.4504,0.8893,24
229,14.3872,0.8891,24
230,14.3240,0.8890,24
231,14.2607,0.8888,24
232,14.1975,0.8887,24
233,14.1343,0.8885,24
234,14.0710,0.8884,24
235,14.0078,0.8882,24
236,13.9446,0.8881,24
237,13.8813,0.8879,24
238,13.8181,0.8878,24
239,13.7548,0.8876,24
240,13.6916,0.8875,24
241,13.6284,0.8873,24
242,13.5651,0.8871,24
243,13.5019,0.8870,24
244,13.4387,0.8868,24
245,13.3754,0.8867,24
246,13.3122,0.8865,24
247,13.2490,0.8864,24
248,13.1857,0.8862,24
249,13.1225,0.8861,24
250,13.0593,0.8859,24
251,12.9960,0.8858,24
252,12.9328,0.8856,24
253,12.8696,0.8855,24
254,12.8063,0.8853,24
255,12.7431,0.8852,24
256,12.6798,0.8850,24
257,12.6166,0.8848,24
258,12.5534,0.8847,24
259,12.4734,0.8740,24
260,12.3935,0.8633,24
261,12.3135,0.8526,24
262,12.2336,0.8419,24
263,12.1536,0.8312,24
264,12.0737,0.8206,24
265,11.9937,0.8099,24
266,11.9138,0.7992,24
267,11.8338,0.7885,24
268,11.7539,0.7778,24
269,11.6740,0.7671,24
270,11.5940,0.7564,24
271,11.5141,0.7457,24
272,11.4341,0.7350,24
273,11.3542,0.7243,24
274,11.2742,0.7136,24
275,11.1943,0.7030,24
276,11.1143,0.6923,24
277,11.0344,0.6816,24
278,10.9544,0.6709,24
279,10.8745,0.6602,24
280,10.7945,0.6495,24
281,10.7146,0.6388,24
282,10.6346,0.6281,24
283,10.5547,0.6174,24
284,10.4747,0.6067,24
285,10.3948,0.5961,24
286,10.3148,0.5854,24
287,10.2349,0.5747,24
288,10.1549,0.5640,24
289,10.0931,0.5639,24
290,10.0312,0.5638,24
291,9.9693,0.5636,24
292,9.9075,0.5635,24
293,9.8456,0.5634,24
294,9.7837,0.5633,24
295,9.7218,0.5632,24
296,9.6600,0.5631,24
297,9.5981,0.5630,24
298,9.5362,0.5629,24
299,9.4744,0.5628,24
300,9.4125,0.5626,24
301,9.3506,0.5625,24
302,9.2888,0.5624,24
303,9.2269,0.5623,24
304,9.1650,0.5622,24
305,9.1031,0.5621,24
306,9.0413,0.5620,24
307,8.9794,0.5619,24
308,8.9175,0.5617,24
309,8.8557,0.5616,24
310,8.7938,0.5615,24
311,8.7319,0.5614,24
312,8.6700,0.5613,24
313,8.6082,0.5612,24
314,8.5463,0.5611,24
315,8.4844,0.5610,24
316,8.4226,0.5609,24
317,8.3607,0.5607,24
318,8.2988,0.5606,24
319,8.2369,0.5605,24
320,8.1975,0.5611,24
321,8.1581,0.5616,24
322,8.1187,0.5621,24
323,8.0793,0.5627,24
324,8.0398,0.5632,24
325,8.0004,0.5637,24
326,7.9610,0.5643,24
327,7.9216,0.5648,24
328,7.8821,0.5653,24
329,7.8427,0.5658,24
330,7.8033,0.5664,24
331,7.7639,0.5669,24
332,7.7244,0.5674,24
333,7.6850,0.5680,24
334,7.6456,0.5685,24
335,7.6062,0.5690,24
336,7.5668,0.5696,24
337,7.5273,0.5701,24
338,7.4879,0.5706,24
339,7.4485,0.5712,24
340,7.4091,0.5717,24
