day_of_year,sst_mean,sst_std,n_years
1,12.8932,0.9114,24
2,12.8787,0.9048,24
3,12.8642,0.8982,24
4,12.8497,0.8917,24
5,12.8352,0.8851,24
6,12.8207,0.8785,24
7,12.8062,0.8719,24
8,12.7917,0.8654,24
9,12.7772,0.8588,24
10,12.7627,0.8522,24
11,12.7483,0.8457,24
12,12.7338,0.8391,24
13,12.7193,0.8325,24
14,12.7048,0.8260,24
15,12.6903,0.8194,24
16,12.6758,0.8128,24
17,12.6708,0.8146,24
18,12.6657,0.8165,24
19,12.6607,0.8183,24
20,12.6557,0.8201,24
21,12.6506,0.8219,24
22,12.6456,0.8238,24
23,12.6406,0.8256,24
24,12.6355,0.8274,24
25,12.6305,0.8292,24
26,12.6255,0.8310,24
27,12.6204,0.8329,24
28,12.6154,0.8347,24
29,12.6104,0.8365,24
30,12.6053,0.8383,24
31,12.6003,0.8402,24
32,12.5953,0.8420,24
33,12.5902,0.8438,24
34,12.5852,0.8456,24
35,12.5802,0.8475,24
36,12.5751,0.8493,24
37,12.5701,0.8511,24
38,12.5651,0.8529,24
39,12.5600,0.8547,24
40,12.5550,0.8566,24
41,12.5500,0.8584,24
42,12.5449,0.8602,24
43,12.5399,0.8620,24
44,12.5349,0.8639,24
45,12.5298,0.8657,24
46,12.5256,0.8695,24
47,12.5214,0.8732,24
48,12.5172,0.8770,24
49,12.5130,0.8808,24
50,12.5088,0.8846,24
51,12.5046,0.8884,24
52,12.5003,0.8921,24
53,12.4961,0.8959,24
54,12.4919,0.8997,24
55,12.4877,0.9035,24
56,12.4835,0.9073,24
57,12.4793,0.9111,24
58,12.4751,0.9148,24
59,12.4708,0.9186,24
60,12.4666,0.9224,24
61,12.4624,0.9262,24
62,12.4582,0.9300,24
63,12.4540,0.9337,24
64,12.4498,0.9375,24
65,12.4456,0.9413,24
66,12.4413,0.9451,24
67,12.4371,0.9489,24
68,12.4329,0.9526,24
69,12.4287,0.9564,24
70,12.4245,0.9602,24
71,12.4203,0.9640,24
72,12.4161,0.9678,24
73,12.4118,0.9715,24
74,12.4076,0.9753,24
75,12.3954,0.9711,24
76,12.3832,0.9670,24
77,12.3709,0.9628,24
78,12.3587,0.9586,24
79,12.3465,0.9544,24
80,12.3343,0.9503,24
81,12.3220,0.9461,24
82,12.3098,0.9419,24
83,12.2976,0.9377,24
84,12.2853,0.9335,24
85,12.2731,0.9294,24
