day_of_year,sst_mean,sst_std,n_years
1,10.5178,0.9408,24
2,10.4998,0.9389,24
3,10.4819,0.9370,24
4,10.4639,0.9351,24
5,10.4460,0.9332,24
6,10.4281,0.9312,24
7,10.4101,0.9293,24
8,10.3922,0.9274,24
9,10.3742,0.9255,24
10,10.3563,0.9236,24
11,10.3383,0.9217,24
12,10.3204,0.9197,24
13,10.3024,0.9178,24
14,10.2845,0.9159,24
15,10.2666,0.9140,24
16,10.2486,0.9121,24
17,10.2369,0.9118,24
18,10.2252,0.9115,24
19,10.2134,0.9112,24
20,10.2017,0.9109,24
21,10.1900,0.9107,24
22,10.1782,0.9104,24
23,10.1665,0.9101,24
24,10.1548,0.9098,24
25,10.1431,0.9095,24
26,10.1313,0.9093,24
27,10.1196,0.9090,24
28,10.1079,0.9087,24
29,10.0961,0.9084,24
30,10.0844,0.9082,24
31,10.0727,0.9079,24
32,10.0610,0.9076,24
33,10.0492,0.9073,24
34,10.0375,0.9070,24
35,10.0258,0.9068,24
36,10.0140,0.9065,24
37,10.0023,0.9062,24
38,9.9906,0.9059,24
39,9.9789,0.9056,24
40,9.9671,0.9054,24
41,9.9554,0.9051,24
42,9.9437,0.9048,24
43,9.9319,0.9045,24
44,9.9202,0.9043,24
45,9.9085,0.9040,24
46,9.9103,0.9052,24
47,9.9120,0.9064,24
48,9.9138,0.9076,24
49,9.9156,0.9088,24
50,9.9173,0.9100,24
51,9.9191,0.9112,24
52,9.9209,0.9124,24
53,9.9226,0.9136,24
54,9.9244,0.9148,24
55,9.9262,0.9160,24
56,9.9279,0.9172,24
57,9.9297,0.9184,24
58,9.9315,0.9196,24
59,9.9332,0.9208,24
60,9.9350,0.9220,24
61,9.9368,0.9232,24
62,9.9386,0.9244,24
63,9.9403,0.9257,24
64,9.9421,0.9269,24
65,9.9439,0.9281,24
66,9.9456,0.9293,24
67,9.9474,0.9305,24
68,9.9492,0.9317,24
69,9.9509,0.9329,24
70,9.9527,0.9341,24
71,9.9545,0.9353,24
72,9.9562,0.9365,24
73,9.9580,0.9377,24
74,9.9598,0.9389,24
75,9.9791,0.9334,24
76,9.9984,0.9279,24
77,10.0178,0.9224,24
78,10.0371,0.9169,24
79,10.0564,0.9114,24
80,10.0757,0.9059,24
81,10.0951,0.9003,24
82,10.1144,0.8948,24
83,10.1337,0.8893,24
84,10.1530,0.8838,24
85,10.1724,0.8783,24
86,10.1917,0.8728,24
87,10.2110,0.8673,24
88,10.2303,0.8618,24
89,10.2497,0.8563,24
90,10.2690,0.8508,24
91,10.2883,0.8453,24
92,10.3077,0.8398,24
93,10.3270,0.8343,24
94,10.3463,0.8287,24
95,10.3656,0.8232,24
96,10.3850,0.8177,24
97,10.4043,0.8122,24
98,10.4236,0.8067,24
99,10.4429,0.8012,24
100,10.4623,0.7957,24
101,10.4816,0.7902,24
102,10.5009,0.7847,24
103,10.5202,0.7792,24
104,10.5396,0.7737,24
105,10.5589,0.7682,24
106,10.6008,0.7714,24
107,10.6426,0.7746,24
108,10.6844,0.7779,24
109,10.7263,0.7811,24
110,10.7681,0.7844,24
111,10.8100,0.7876,24
112,10.8518,0.7909,24
113,10.8937,0.7941,24
114,10.9355,0.7973,24
115,10.9774,0.8006,24
116,11.0192,0.8038,24
117,11.0611,0.8071,24
118,11.1029,0.8103,24
119,11.1448,0.8136,24
120,11.1866,0.8168,24
121,11.2285,0.8200,24
122,11.2703,0.8233,24
123,11.3122,0.8265,24
124,11.3540,0.8298,24
125,11.3959,0.8330,24
126,11.4377,0.8363,24
127,11.4795,0.8395,24
128,11.5214,0.8427,24
129,11.5632,0.8460,24
130,11.6051,0.8492,24
131,11.6469,0.8525,24
132,11.6888,0.8557,24
133,11.7306,0.8590,24
134,11.7725,0.8622,24
135,11.8143,0.8654,24
136,11.8528,0.8753,24
137,11.8912,0.8851,24
138,11.9297,0.8949,24
139,11.9681,0.9047,24
140,12.0066,0.9145,24
141,12.0450,0.9243,24
142,12.0835,0.9341,24
143,12.1219,0.9439,24
144,12.1604,0.9537,24
145,12.1988,0.9635,24
146,12.2373,0.9733,24
147,12.2757,0.9831,24
148,12.3141,0.9929,24
149,12.3526,1.0027,24
150,12.3910,1.0125,24
151,12.4295,1.0223,24
152,12.4679,1.0322,24
153,12.5064,1.0420,24
154,12.5448,1.0518,24
155,12.5833,1.0616,24
156,12.6217,1.0714,24
157,12.6602,1.0812,24
158,12.6986,1.0910,24
159,12.7371,1.1008,24
160,12.7755,1.1106,24
161,12.8140,1.1204,24
162,12.8524,1.1302,24
163,12.8909,1.1400,24
164,12.9293,1.1498,24
165,12.9678,1.1596,24
166,13.0062,1.1694,24
167,13.0019,1.1824,24
168,12.9976,1.1954,24
169,12.9933,1.2085,24
170,12.9890,1.2215,24
171,12.9847,1.2345,24
172,12.9804,1.2475,24
173,12.9761,1.2605,24
174,12.9718,1.2735,24
175,12.9675,1.2865,24
176,12.9632,1.2995,24
177,12.9589,1.3125,24
178,12.9546,1.3255,24
179,12.9503,1.3385,24
180,12.9460,1.3515,24
181,12.9417,1.3645,24
182,12.9374,1.3776,24
183,12.9331,1.3906,24
184,12.9288,1.4036,24
185,12.9245,1.4166,24
186,12.9202,1.4296,24
187,12.9159,1.4426,24
188,12.9116,1.4556,24
189,12.9073,1.4686,24
190,12.9030,1.4816,24
191,12.8987,1.4946,24
192,12.8944,1.5076,24
193,12.8901,1.5206,24
194,12.8858,1.5336,24
195,12.8815,1.5467,24
196,12.8772,1.5597,24
197,12.8751,1.5373,24
198,12.8730,1.5149,24
199,12.8709,1.4925,24
200,12.8688,1.4701,24
201,12.8667,1.4477,24
202,12.8646,1.4253,24
203,12.8625,1.4029,24
204,12.8604,1.3805,24
205,12.8583,1.3581,24
206,12.8562,1.3357,24
207,12.8541,1.3133,24
208,12.8520,1.2909,24
209,12.8499,1.2685,24
210,12.8478,1.2461,24
211,12.8457,1.2237,24
212,12.8436,1.2013,24
213,12.8415,1.1789,24
214,12.8394,1.1565,24
215,12.8373,1.1341,24
216,12.8352,1.1117,24
217,12.8330,1.0893,24
218,12.8309,1.0669,24
219,12.8288,1.0445,24
220,12.8267,1.0221,24
221,12.8246,0.9997,24
222,12.8225,0.9773,24
223,12.8204,0.9549,24
224,12.8183,0.9325,24
225,12.8162,0.9101,24
226,12.8141,0.8877,24
227,12.8120,0.8653,24
228,12.8196,0.8790,24
229,12.8273,0.8927,24
230,12.8349,0.9063,24
231,12.8425,0.9200,24
232,12.8501,0.9337,24
233,12.8577,0.9474,24
234,12.8653,0.9611,24
235,12.8730,0.9748,24
236,12.8806,0.9884,24
237,12.8882,1.0021,24
238,12.8958,1.0158,24
239,12.9034,1.0295,24
240,12.9111,1.0432,24
241,12.9187,1.0569,24
242,12.9263,1.0705,24
243,12.9339,1.0842,24
244,12.9415,1.0979,24
245,12.9492,1.1116,24
246,12.9568,1.1253,24
247,12.9644,1.1390,24
248,12.9720,1.1526,24
249,12.9796,1.1663,24
250,12.9873,1.1800,24
251,12.9949,1.1937,24
252,13.0025,1.2074,24
253,13.0101,1.2211,24
254,13.0177,1.2347,24
255,13.0254,1.2484,24
256,13.0330,1.2621,24
257,13.0406,1.2758,24
258,13.0482,1.2895,24
259,13.0338,1.2841,24
260,13.0193,1.2787,24
261,13.0048,1.2732,24
262,12.9904,1.2678,24
263,12.9759,1.2624,24
264,12.9615,1.2570,24
265,12.9470,1.2516,24
266,12.9326,1.2462,24
267,12.9181,1.2408,24
268,12.9036,1.2353,24
269,12.8892,1.2299,24
270,12.8747,1.2245,24
271,12.8603,1.2191,24
272,12.8458,1.2137,24
273,12.8314,1.2083,24
274,12.8169,1.2029,24
275,12.8024,1.1974,24
276,12.7880,1.1920,24
277,12.7735,1.1866,24
278,12.7591,1.1812,24
279,12.7446,1.1758,24
280,12.7302,1.1704,24
281,12.7157,1.1650,24
282,12.7012,1.1595,24
283,12.6868,1.1541,24
284,12.6723,1.1487,24
285,12.6579,1.1433,24
286,12.6434,1.1379,24
287,12.6290,1.1325,24
288,12.6145,1.1271,24
289,12.5863,1.1186,24
290,12.5582,1.1101,24
291,12.5300,1.1016,24
292,12.5019,1.0931,24
293,12.4737,1.0846,24
294,12.4455,1.0762,24
295,12.4174,1.0677,24
296,12.3892,1.0592,24
297,12.3610,1.0507,24
298,12.3329,1.0422,24
299,12.3047,1.0337,24
300,12.2765,1.0252,24
301,12.2484,1.0168,24
302,12.2202,1.0083,24
303,12.1921,0.9998,24
304,12.1639,0.9913,24
305,12.1357,0.9828,24
306,12.1076,0.9743,24
307,12.0794,0.9659,24
308,12.0512,0.9574,24
309,12.0231,0.9489,24
310,11.9949,0.9404,24
311,11.9668,0.9319,24
312,11.9386,0.9234,24
313,11.9104,0.9149,24
314,11.8823,0.9065,24
315,11.8541,0.8980,24
316,11.8259,0.8895,24
317,11.7978,0.8810,24
318,11.7696,0.8725,24
319,11.7415,0.8640,24
320,11.7108,0.8677,24
321,11.6802,0.8713,24
322,11.6496,0.8750,24
323,11.6190,0.8786,24
324,11.5884,0.8823,24
325,11.5577,0.8859,24
326,11.5271,0.8896,24
327,11.4965,0.8932,24
328,11.4659,0.8969,24
329,11.4352,0.9005,24
330,11.4046,0.9042,24
331,11.3740,0.9078,24
332,11.3434,0.9115,24
333,11.3128,0.9151,24
334,11.2821,0.9188,24
335,11.2515,0.9224,24
336,11.2209,0.9260,24
337,11.1903,0.9297,24
338,11.1597,0.9333,24
339,11.1290,0.9370,24
340,11.0984,0.9406,24
341,11.0678,0.9443,24
342,11.0372,0.9479,24
343,11.0065,0.9516,24
344,10.9759,0.9552,24
345,10.9453,0.9589,24
346,10.9147,0.9625,24
347,10.8841,0.9662,24
348,10.8534,0.9698,24
349,10.8228,0.9735,24
350,10.8049,0.9715,24
351,10.7869,0.9696,24
352,10.7690,0.9677,24
353,10.7510,0.9658,24
354,10.7331,0.9639,24
355,10.7152,0.9620,24
356,10.6972,0.9600,24
357,10.6793,0.9581,24
358,10.6613,0.9562,24
359,10.6434,0.9543,24
360,10.6254,0.9524,24
361,10.6075,0.9504,24
362,10.5896,0.9485,24
363,10.5716,0.9466,24
364,10.5537,0.9447,24
365,10.5357,0.9428,24
