day_of_year,sst_mean,sst_std,n_years
1,8.0135,0.4584,24
2,7.9937,0.4599,24
3,7.9739,0.4615,24
4,7.9541,0.4630,24
5,7.9343,0.4645,24
6,7.9145,0.4661,24
7,7.8947,0.4676,24
8,7.8749,0.4691,24
9,7.8551,0.4707,24
10,7.8353,0.4722,24
11,7.8155,0.4737,24
12,7.7957,0.4752,24
13,7.7758,0.4768,24
14,7.7560,0.4783,24
15,7.7362,0.4798,24
16,7.7164,0.4814,24
17,7.7148,0.4821,24
18,7.7132,0.4829,24
19,7.7115,0.4837,24
20,7.7099,0.4844,24
21,7.7083,0.4852,24
22,7.7066,0.4859,24
23,7.7050,0.4867,24
24,7.7034,0.4875,24
25,7.7017,0.4882,24
26,7.7001,0.4890,24
27,7.6985,0.4898,24
28,7.6968,0.4905,24
29,7.6952,0.4913,24
30,7.6936,0.4921,24
31,7.6919,0.4928,24
32,7.6903,0.4936,24
33,7.6886,0.4944,24
34,7.6870,0.4951,24
35,7.6854,0.4959,24
36,7.6837,0.4967,24
37,7.6821,0.4974,24
38,7.6805,0.4982,24
39,7.6788,0.4989,24
40,7.6772,0.4997,24
41,7.6756,0.5005,24
42,7.6739,0.5012,24
43,7.6723,0.5020,24
44,7.6707,0.5028,24
45,7.6690,0.5035,24
46,7.6820,0.5041,24
47,7.6950,0.5046,24
48,7.7080,0.5051,24
49,7.7210,0.5057,24
50,7.7340,0.5062,24
51,7.7470,0.5067,24
52,7.7600,0.5073,24
53,7.7730,0.5078,24
54,7.7859,0.5084,24
55,7.7989,0.5089,24
56,7.8119,0.5094,24
57,7.8249,0.5100,24
58,7.8379,0.5105,24
59,7.8509,0.5110,24
60,7.8639,0.5116,24
61,7.8769,0.5121,24
62,7.8899,0.5126,24
63,7.9028,0.5132,24
64,7.9158,0.5137,24
65,7.9288,0.5143,24
66,7.9418,0.5148,24
67,7.9548,0.5153,24
68,7.9678,0.5159,24
69,7.9808,0.5164,24
70,7.9938,0.5169,24
71,8.0068,0.5175,24
72,8.0197,0.5180,24
73,8.0327,0.5185,24
74,8.0457,0.5191,24
75,8.0804,0.5213,24
76,8.1152,0.5236,24
77,8.1499,0.5258,24
78,8.1846,0.5281,24
79,8.2193,0.5303,24
80,8.2540,0.5326,24
81,8.2887,0.5348,24
82,8.3234,0.5371,24
83,8.3581,0.5393,24
84,8.3928,0.5416,24
85,8.4276,0.5438,24
86,8.4623,0.5461,24
87,8.4970,0.5483,24
88,8.5317,0.5506,24
89,8.5664,0.5528,24
90,8.6011,0.5550,24
91,8.6358,0.5573,24
92,8.6705,0.5595,24
93,8.7053,0.5618,24
94,8.7400,0.5640,24
95,8.7747,0.5663,24
96,8.8094,0.5685,24
97,8.8441,0.5708,24
98,8.8788,0.5730,24
99,8.9135,0.5753,24
100,8.9482,0.5775,24
101,8.9830,0.5798,24
102,9.0177,0.5820,24
103,9.0524,0.5843,24
104,9.0871,0.5865,24
105,9.1218,0.5888,24
106,9.1747,0.5891,24
107,9.2276,0.5895,24
108,9.2806,0.5899,24
109,9.3335,0.5903,24
110,9.3864,0.5907,24
111,9.4393,0.5911,24
112,9.4922,0.5915,24
113,9.5452,0.5919,24
114,9.5981,0.5922,24
115,9.6510,0.5926,24
116,9.7039,0.5930,24
117,9.7569,0.5934,24
118,9.8098,0.5938,24
119,9.8627,0.5942,24
120,9.9156,0.5946,24
121,9.9685,0.5950,24
122,10.0215,0.5953,24
123,10.0744,0.5957,24
124,10.1273,0.5961,24
125,10.1802,0.5965,24
126,10.2331,0.5969,24
127,10.2861,0.5973,24
128,10.3390,0.5977,24
129,10.3919,0.5980,24
130,10.4448,0.5984,24
131,10.4977,0.5988,24
132,10.5507,0.5992,24
133,10.6036,0.5996,24
134,10.6565,0.6000,24
135,10.7094,0.6004,24
136,10.7538,0.6017,24
137,10.7982,0.6030,24
