day_of_year,sst_mean,sst_std,n_years
1,6.7665,0.8365,24
2,6.7379,0.8362,24
3,6.7094,0.8360,24
4,6.6809,0.8357,24
5,6.6523,0.8354,24
6,6.6238,0.8352,24
7,6.5953,0.8349,24
8,6.5667,0.8346,24
9,6.5382,0.8343,24
10,6.5097,0.8341,24
11,6.4812,0.8338,24
12,6.4526,0.8335,24
13,6.4241,0.8332,24
14,6.3956,0.8330,24
15,6.3670,0.8327,24
16,6.3385,0.8324,24
17,6.3164,0.8305,24
18,6.2942,0.8286,24
19,6.2721,0.8267,24
20,6.2499,0.8247,24
21,6.2278,0.8228,24
22,6.2057,0.8209,24
23,6.1835,0.8190,24
24,6.1614,0.8171,24
25,6.1392,0.8151,24
26,6.1171,0.8132,24
27,6.0950,0.8113,24
28,6.0728,0.8094,24
29,6.0507,0.8075,24
30,6.0285,0.8055,24
31,6.0064,0.8036,24
32,5.9842,0.8017,24
33,5.9621,0.7998,24
34,5.9400,0.7979,24
35,5.9178,0.7959,24
36,5.8957,0.7940,24
37,5.8735,0.7921,24
38,5.8514,0.7902,24
39,5.8293,0.7883,24
40,5.8071,0.7863,24
41,5.7850,0.7844,24
42,5.7628,0.7825,24
43,5.7407,0.7806,24
44,5.7186,0.7787,24
45,5.6964,0.7767,24
46,5.6924,0.7843,24
47,5.6883,0.7919,24
48,5.6843,0.7995,24
49,5.6803,0.8071,24
50,5.6762,0.8147,24
51,5.6722,0.8223,24
52,5.6681,0.8299,24
53,5.6641,0.8375,24
54,5.6601,0.8450,24
55,5.6560,0.8526,24
56,5.6520,0.8602,24
57,5.6479,0.8678,24
58,5.6439,0.8754,24
59,5.6399,0.8830,24
60,5.6358,0.8906,24
61,5.6318,0.8982,24
62,5.6277,0.9058,24
63,5.6237,0.9133,24
64,5.6197,0.9209,24
65,5.6156,0.9285,24
66,5.6116,0.9361,24
67,5.6075,0.9437,24
68,5.6035,0.9513,24
69,5.5995,0.9589,24
70,5.5954,0.9665,24
71,5.5914,0.9741,24
72,5.5873,0.9816,24
73,5.5833,0.9892,24
74,5.5793,0.9968,24
75,5.6035,0.9913,24
76,5.6277,0.9859,24
77,5.6520,0.9804,24
78,5.6762,0.9749,24
79,5.7004,0.9694,24
80,5.7247,0.9640,24
81,5.7489,0.9585,24
82,5.7731,0.9530,24
83,5.7973,0.9475,24
84,5.8216,0.9421,24
85,5.8458,0.9366,24
86,5.8700,0.9311,24
87,5.8943,0.9256,24
88,5.9185,0.9202,24
89,5.9427,0.9147,24
90,5.9670,0.9092,24
91,5.9912,0.9037,24
92,6.0154,0.8983,24
93,6.0397,0.8928,24
94,6.0639,0.8873,24
95,6.0881,0.8818,24
96,6.1124,0.8763,24
97,6.1366,0.8709,24
98,6.1608,0.8654,24
99,6.1851,0.8599,24
100,6.2093,0.8544,24
101,6.2335,0.8490,24
102,6.2577,0.8435,24
103,6.2820,0.8380,24
104,6.3062,0.8325,24
105,6.3304,0.8271,24
106,6.3938,0.8284,24
107,6.4572,0.8298,24
108,6.5206,0.8312,24
109,6.5840,0.8326,24
110,6.6474,0.8340,24
111,6.7109,0.8354,24
112,6.7743,0.8368,24
113,6.8377,0.8381,24
114,6.9011,0.8395,24
115,6.9645,0.8409,24
116,7.0279,0.8423,24
117,7.0913,0.8437,24
118,7.1547,0.8451,24
119,7.2181,0.8465,24
120,7.2815,0.8478,24
121,7.3449,0.8492,24
122,7.4083,0.8506,24
123,7.4717,0.8520,24
124,7.5351,0.8534,24
125,7.5985,0.8548,24
126,7.6619,0.8562,24
127,7.7253,0.8575,24
128,7.7887,0.8589,24
129,7.8521,0.8603,24
130,7.9155,0.8617,24
131,7.9789,0.8631,24
132,8.0423,0.8645,24
133,8.1057,0.8659,24
134,8.1691,0.8672,24
135,8.2325,0.8686,24
136,8.3076,0.8650,24
137,8.3826,0.8613,24
138,8.4577,0.8577,24
139,8.5328,0.8541,24
140,8.6079,0.8504,24
141,8.6830,0.8468,24
142,8.7581,0.8432,24
143,8.8331,0.8395,24
144,8.9082,0.8359,24
145,8.9833,0.8322,24
146,9.0584,0.8286,24
147,9.1335,0.8250,24
148,9.2086,0.8213,24
149,9.2836,0.8177,24
150,9.3587,0.8141,24
151,9.4338,0.8104,24
152,9.5089,0.8068,24
153,9.5840,0.8031,24
154,9.6590,0.7995,24
155,9.7341,0.7959,24
156,9.8092,0.7922,24
157,9.8843,0.7886,24
158,9.9594,0.7849,24
159,10.0345,0.7813,24
160,10.1095,0.7777,24
161,10.1846,0.7740,24
162,10.2597,0.7704,24
163,10.3348,0.7668,24
164,10.4099,0.7631,24
165,10.4850,0.7595,24
166,10.5600,0.7558,24
167,10.6303,0.7580,24
168,10.7005,0.7601,24
169,10.7708,0.7622,24
170,10.8411,0.7643,24
171,10.9113,0.7665,24
172,10.9816,0.7686,24
173,11.0518,0.7707,24
174,11.1221,0.7729,24
175,11.1923,0.7750,24
176,11.2626,0.7771,24
177,11.3328,0.7792,24
178,11.4031,0.7814,24
179,11.4733,0.7835,24
180,11.5436,0.7856,24
181,11.6138,0.7877,24
182,11.6841,0.7899,24
183,11.7544,0.7920,24
184,11.8246,0.7941,24
185,11.8949,0.7962,24
186,11.9651,0.7984,24
187,12.0354,0.8005,24
188,12.1056,0.8026,24
189,12.1759,0.8047,24
190,12.2461,0.8069,24
191,12.3164,0.8090,24
192,12.3866,0.8111,24
193,12.4569,0.8132,24
194,12.5271,0.8154,24
195,12.5974,0.8175,24
196,12.6676,0.8196,24
197,12.6909,0.8216,24
198,12.7142,0.8236,24
199,12.7374,0.8256,24
200,12.7607,0.8276,24
201,12.7839,0.8295,24
202,12.8072,0.8315,24
203,12.8304,0.8335,24
204,12.8537,0.8355,24
205,12.8769,0.8375,24
206,12.9002,0.8394,24
207,12.9235,0.8414,24
208,12.9467,0.8434,24
209,12.9700,0.8454,24
210,12.9932,0.8474,24
211,13.0165,0.8494,24
212,13.0397,0.8513,24
213,13.0630,0.8533,24
214,13.0863,0.8553,24
215,13.1095,0.8573,24
216,13.1328,0.8593,24
217,13.1560,0.8613,24
218,13.1793,0.8632,24
219,13.2025,0.8652,24
220,13.2258,0.8672,24
221,13.2490,0.8692,24
222,13.2723,0.8712,24
223,13.2956,0.8731,24
224,13.3188,0.8751,24
225,13.3421,0.8771,24
226,13.3653,0.8791,24
227,13.3886,0.8811,24
228,13.3437,0.8755,24
229,13.2989,0.8700,24
230,13.2541,0.8645,24
231,13.2092,0.8589,24
232,13.1644,0.8534,24
233,13.1195,0.8478,24
234,13.0747,0.8423,24
235,13.0298,0.8367,24
236,12.9850,0.8312,24
237,12.9402,0.8257,24
238,12.8953,0.8201,24
239,12.8505,0.8146,24
240,12.8056,0.8090,24
241,12.7608,0.8035,24
242,12.7160,0.7980,24
243,12.6711,0.7924,24
244,12.6263,0.7869,24
245,12.5814,0.7813,24
246,12.5366,0.7758,24
247,12.4918,0.7702,24
248,12.4469,0.7647,24
249,12.4021,0.7592,24
250,12.3572,0.7536,24
251,12.3124,0.7481,24
252,12.2676,0.7425,24
253,12.2227,0.7370,24
254,12.1779,0.7315,24
255,12.1330,0.7259,24
256,12.0882,0.7204,24
257,12.0434,0.7148,24
258,11.9985,0.7093,24
259,11.9329,0.7074,24
260,11.8672,0.7055,24
261,11.8015,0.7036,24
262,11.7359,0.7018,24
263,11.6702,0.6999,24
264,11.6046,0.6980,24
265,11.5389,0.6961,24
266,11.4732,0.6942,24
267,11.4076,0.6924,24
268,11.3419,0.6905,24
269,11.2763,0.6886,24
270,11.2106,0.6867,24
271,11.1449,0.6848,24
272,11.0793,0.6829,24
273,11.0136,0.6811,24
274,10.9480,0.6792,24
275,10.8823,0.6773,24
276,10.8166,0.6754,24
277,10.7510,0.6735,24
278,10.6853,0.6716,24
279,10.6197,0.6698,24
280,10.5540,0.6679,24
281,10.4884,0.6660,24
282,10.4227,0.6641,24
283,10.3570,0.6622,24
284,10.2914,0.6603,24
285,10.2257,0.6585,24
286,10.1601,0.6566,24
287,10.0944,0.6547,24
288,10.0287,0.6528,24
289,9.9711,0.6567,24
290,9.9134,0.6607,24
291,9.8557,0.6646,24
292,9.7981,0.6685,24
293,9.7404,0.6724,24
294,9.6827,0.6763,24
295,9.6251,0.6803,24
296,9.5674,0.6842,24
297,9.5097,0.6881,24
298,9.4521,0.6920,24
299,9.3944,0.6960,24
300,9.3367,0.6999,24
301,9.2791,0.7038,24
302,9.2214,0.7077,24
303,9.1637,0.7116,24
304,9.1061,0.7156,24
305,9.0484,0.7195,24
306,8.9907,0.7234,24
307,8.9331,0.7273,24
308,8.8754,0.7313,24
309,8.8177,0.7352,24
310,8.7601,0.7391,24
311,8.7024,0.7430,24
312,8.6447,0.7469,24
313,8.5871,0.7509,24
314,8.5294,0.7548,24
315,8.4717,0.7587,24
316,8.4141,0.7626,24
317,8.3564,0.7666,24
318,8.2987,0.7705,24
319,8.2411,0.7744,24
320,8.2081,0.7766,24
321,8.1751,0.7789,24
322,8.1421,0.7811,24
323,8.1091,0.7833,24
324,8.0761,0.7855,24
325,8.0432,0.7878,24
326,8.0102,0.7900,24
327,7.9772,0.7922,24
328,7.9442,0.7944,24
329,7.9112,0.7967,24
330,7.8782,0.7989,24
331,7.8452,0.8011,24
332,7.8123,0.8033,24
333,7.7793,0.8056,24
334,7.7463,0.8078,24
335,7.7133,0.8100,24
336,7.6803,0.8122,24
337,7.6473,0.8145,24
338,7.6143,0.8167,24
339,7.5814,0.8189,24
340,7.5484,0.8211,24
341,7.5154,0.8234,24
342,7.4824,0.8256,24
343,7.4494,0.8278,24
344,7.4164,0.8300,24
345,7.3834,0.8323,24
346,7.3504,0.8345,24
347,7.3175,0.8367,24
348,7.2845,0.8389,24
349,7.2515,0.8412,24
350,7.2230,0.8409,24
351,7.1944,0.8406,24
352,7.1659,0.8403,24
353,7.1374,0.8401,24
354,7.1088,0.8398,24
355,7.0803,0.8395,24
356,7.0518,0.8393,24
357,7.0232,0.8390,24
358,6.9947,0.8387,24
