day_of_year,sst_mean,sst_std,n_years
1,9.3187,0.8794,24
2,9.2985,0.8799,24
3,9.2784,0.8805,24
4,9.2583,0.8811,24
5,9.2381,0.8816,24
6,9.2180,0.8822,24
7,9.1978,0.8828,24
8,9.1777,0.8833,24
9,9.1576,0.8839,24
10,9.1374,0.8845,24
11,9.1173,0.8850,24
12,9.0972,0.8856,24
13,9.0770,0.8861,24
14,9.0569,0.8867,24
15,9.0367,0.8873,24
16,9.0166,0.8878,24
17,9.0083,0.8888,24
18,9.0001,0.8897,24
19,8.9918,0.8906,24
20,8.9836,0.8915,24
21,8.9753,0.8924,24
22,8.9671,0.8933,24
23,8.9588,0.8942,24
24,8.9506,0.8952,24
25,8.9423,0.8961,24
26,8.9340,0.8970,24
27,8.9258,0.8979,24
28,8.9175,0.8988,24
29,8.9093,0.8997,24
30,8.9010,0.9007,24
31,8.8928,0.9016,24
32,8.8845,0.9025,24
33,8.8763,0.9034,24
34,8.8680,0.9043,24
35,8.8597,0.9052,24
36,8.8515,0.9061,24
37,8.8432,0.9071,24
38,8.8350,0.9080,24
39,8.8267,0.9089,24
40,8.8185,0.9098,24
41,8.8102,0.9107,24
42,8.8020,0.9116,24
43,8.7937,0.9126,24
44,8.7854,0.9135,24
45,8.7772,0.9144,24
46,8.7951,0.9157,24
47,8.8129,0.9169,24
48,8.8308,0.9182,24
49,8.8487,0.9195,24
50,8.8665,0.9208,24
51,8.8844,0.9220,24
52,8.9023,0.9233,24
53,8.9201,0.9246,24
54,8.9380,0.9259,24
55,8.9559,0.9272,24
56,8.9737,0.9284,24
57,8.9916,0.9297,24
58,9.0095,0.9310,24
59,9.0273,0.9323,24
60,9.0452,0.9335,24
61,9.0631,0.9348,24
62,9.0809,0.9361,24
63,9.0988,0.9374,24
64,9.1167,0.9386,24
65,9.1345,0.9399,24
66,9.1524,0.9412,24
67,9.1703,0.9425,24
68,9.1881,0.9438,24
69,9.2060,0.9450,24
70,9.2239,0.9463,24
71,9.2417,0.9476,24
72,9.2596,0.9489,24
73,9.2775,0.9501,24
74,9.2953,0.9514,24
75,9.3351,0.9469,24
76,9.3749,0.9423,24
77,9.4147,0.9378,24
78,9.4545,0.9332,24
79,9.4943,0.9287,24
80,9.5341,0.9241,24
81,9.5739,0.9196,24
82,9.6137,0.9150,24
83,9.6535,0.9105,24
84,9.6933,0.9059,24
85,9.7330,0.9013,24
86,9.7728,0.8968,24
87,9.8126,0.8922,24
88,9.8524,0.8877,24
89,9.8922,0.8831,24
90,9.9320,0.8786,24
