year,month,sst
2026,1,8.8632
2026,2,8.2635
2026,3,8.4576
2026,4,8.6927
2026,5,11.2861
2026,6,13.6465
2026,7,15.7669
2026,8,15.5516
2026,9,15.1275
2026,10,12.6889
2026,11,11.3157
2026,12,9.9370
2027,1,9.7678
2027,2,9.1055
2027,3,8.2907
2027,4,8.8928
2027,5,11.0709
2027,6,11.6804
2027,7,14.3320
2027,8,14.7867
2027,9,13.3465
2027,10,10.7139
2027,11,9.2339
2027,12,8.5299
2028,1,7.4456
2028,2,6.5397
2028,3,6.6885
2028,4,8.8241
2028,5,11.2422
2028,6,11.8335
2028,7,14.3896
2028,8,14.1738
2028,9,13.4188
2028,10,12.0084
2028,11,11.1272
2028,12,10.1221
2029,1,9.4893
2029,2,8.9436
2029,3,9.4164
2029,4,10.1363
2029,5,11.1785
2029,6,11.1909
2029,7,13.2914
2029,8,15.2208
2029,9,14.0279
2029,10,12.6390
2029,11,10.7127
2029,12,9.1654
2030,1,9.0789
2030,2,8.2660
2030,3,7.6749
2030,4,7.8842
2030,5,10.5831
2030,6,11.7801
2030,7,14.2150
2030,8,14.5018
2030,9,13.3939
2030,10,11.2270
2030,11,9.8665
2030,12,9.5341
2031,1,8.3692
2031,2,7.2369
2031,3,7.0599
2031,4,8.2866
2031,5,9.7649
2031,6,11.5416
2031,7,14.4503
2031,8,14.4087
2031,9,13.4734
2031,10,11.0449
2031,11,9.2599
2031,12,8.1831
2032,1,7.2119
2032,2,7.5424
2032,3,8.2914
2032,4,8.9902
2032,5,11.4846
2032,6,12.6765
2032,7,14.7757
2032,8,14.6039
2032,9,14.0282
2032,10,12.3091
2032,11,10.1216
2032,12,8.4297
2033,1,8.2154
2033,2,8.3490
2033,3,8.3850
2033,4,9.4802
2033,5,11.1570
2033,6,11.4139
2033,7,14.2330
2033,8,14.9634
2033,9,13.5848
2033,10,12.6311
2033,11,11.1312
2033,12,9.7019
2034,1,8.4879
2034,2,7.9696
2034,3,7.3949
2034,4,9.1494
2034,5,10.9246
2034,6,12.6075
2034,7,14.9794
2034,8,15.1537
2034,9,13.9184
2034,10,12.2664
2034,11,10.4425
2034,12,9.5781
2035,1,9.0096
2035,2,8.6314
2035,3,8.3249
2035,4,8.6428
2035,5,9.7046
2035,6,11.1103
2035,7,14.6308
2035,8,15.4306
2035,9,14.0534
2035,10,12.2818
2035,11,11.0220
2035,12,9.5108
2036,1,10.2237
2036,2,9.4585
2036,3,8.2111
2036,4,9.2963
2036,5,11.0202
2036,6,11.9755
2036,7,15.0682
2036,8,15.1393
2036,9,14.6433
2036,10,12.8724
2036,11,10.4033
2036,12,9.5229
2037,1,9.1515
2037,2,9.3791
2037,3,9.1833
2037,4,10.1935
2037,5,11.4983
2037,6,12.8278
2037,7,14.3532
2037,8,14.7140
2037,9,13.9126
2037,10,12.0823
2037,11,10.2553
2037,12,8.6444
2038,1,8.0471
2038,2,7.1698
2038,3,7.5077
2038,4,8.5903
2038,5,9.1853
2038,6,11.6157
2038,7,14.0902
2038,8,14.4437
2038,9,13.5463
2038,10,10.7917
2038,11,10.1574
2038,12,8.6214
2039,1,8.7048
2039,2,7.9196
2039,3,7.9190
2039,4,9.5669
2039,5,11.1926
2039,6,12.4766
2039,7,14.6203
2039,8,15.4858
2039,9,14.2998
2039,10,12.7476
2039,11,12.1353
2039,12,10.7024
2040,1,9.6642
2040,2,9.5329
2040,3,9.8688
2040,4,11.4074
2040,5,12.6842
2040,6,13.3692
2040,7,15.4889
2040,8,16.2164
2040,9,14.5030
2040,10,12.4168
2040,11,10.6150
2040,12,9.6313
2041,1,9.4430
2041,2,8.9760
2041,3,8.6011
2041,4,9.6395
2041,5,11.8612
2041,6,13.2749
2041,7,14.6912
2041,8,14.6018
2041,9,14.1221
2041,10,12.2870
2041,11,10.1261
2041,12,9.4337
2042,1,8.3942
2042,2,8.2126
2042,3,8.6366
2042,4,9.0596
2042,5,10.1376
2042,6,11.7433
2042,7,15.2083
2042,8,15.8979
2042,9,14.0672
2042,10,11.5226
2042,11,10.7424
2042,12,9.3122
2043,1,8.4265
2043,2,7.4555
2043,3,6.6378
2043,4,7.9831
2043,5,10.7439
2043,6,12.1870
2043,7,14.0794
2043,8,14.2540
2043,9,14.1158
2043,10,12.0623
2043,11,10.7371
2043,12,9.6126
2044,1,8.9587
2044,2,8.8127
2044,3,9.5881
2044,4,9.8744
2044,5,11.6505
2044,6,12.9817
2044,7,14.5349
2044,8,15.2825
2044,9,14.2532
2044,10,12.0976
2044,11,10.3807
2044,12,9.3910
2045,1,8.2539
2045,2,7.9334
2045,3,7.9683
2045,4,10.6012
2045,5,13.2298
2045,6,12.0184
2045,7,14.5848
2045,8,14.4632
2045,9,13.4208
2045,10,12.4194
2045,11,11.3232
2045,12,10.3673
2046,1,10.2761
2046,2,10.5249
2046,3,10.0670
2046,4,10.7030
2046,5,12.4932
2046,6,12.3097
2046,7,14.7898
2046,8,15.4904
2046,9,13.8057
2046,10,11.7778
2046,11,11.4790
2046,12,10.3897
2047,1,10.3963
2047,2,10.0564
2047,3,11.0218
2047,4,11.4227
2047,5,11.6501
2047,6,12.3890
2047,7,14.2960
2047,8,15.3324
2047,9,15.3197
2047,10,13.4718
2047,11,11.5449
2047,12,10.2108
2048,1,9.4222
2048,2,8.0077
2048,3,8.1942
2048,4,9.5073
2048,5,11.5760
2048,6,12.9001
2048,7,15.0246
2048,8,15.8541
2048,9,14.0830
2048,10,12.5374
2048,11,11.0305
2048,12,10.0179
2049,1,8.9655
2049,2,9.1059
2049,3,9.7859
2049,4,9.9734
2049,5,12.9826
2049,6,12.4087
2049,7,14.9995
2049,8,15.2070
2049,9,14.1723
2049,10,12.5571
2049,11,10.7774
2049,12,9.1207
2050,1,8.4351
2050,2,8.7437
2050,3,8.3673
2050,4,9.6838
2050,5,12.8816
2050,6,13.7713
2050,7,15.8120
2050,8,15.2407
2050,9,13.6803
2050,10,10.9344
2050,11,10.1078
2050,12,9.3585
2051,1,9.5275
2051,2,8.6195
2051,3,8.3120
2051,4,9.4194
2051,5,10.7627
2051,6,12.5575
2051,7,14.8674
2051,8,15.4901
2051,9,14.3277
2051,10,13.8926
2051,11,12.0338
2051,12,10.7022
2052,1,9.7095
2052,2,8.9391
2052,3,8.4016
2052,4,8.8591
2052,5,10.9603
2052,6,12.0802
2052,7,14.9509
2052,8,15.5122
2052,9,13.9117
2052,10,11.9160
2052,11,10.4400
2052,12,8.4040
2053,1,8.6644
2053,2,9.5051
2053,3,9.4619
2053,4,11.2897
2053,5,13.4890
2053,6,13.8439
2053,7,16.3381
2053,8,16.6282
2053,9,16.1374
2053,10,13.5996
2053,11,12.4928
2053,12,10.7977
2054,1,9.3826
2054,2,9.7668
2054,3,9.7504
2054,4,10.4940
2054,5,11.9931
2054,6,13.4720
2054,7,15.1130
2054,8,15.8074
2054,9,14.6692
2054,10,12.7441
2054,11,10.9062
2054,12,9.1767
2055,1,9.6983
2055,2,9.6984
2055,3,9.5509
2055,4,10.4336
2055,5,13.5904
2055,6,13.4492
2055,7,14.8859
2055,8,15.1990
2055,9,13.0060
2055,10,13.0528
2055,11,12.2261
2055,12,10.3968
2056,1,10.1485
2056,2,9.3139
2056,3,8.5711
2056,4,9.7781
2056,5,10.6545
2056,6,12.5043
2056,7,15.1176
2056,8,15.5445
2056,9,14.5395
2056,10,12.9491
2056,11,11.1585
2056,12,10.1358
2057,1,9.9640
2057,2,8.8732
2057,3,8.8868
2057,4,10.2943
2057,5,12.5540
2057,6,13.4703
2057,7,15.1475
2057,8,14.7507
2057,9,14.5200
2057,10,13.1805
2057,11,11.8602
2057,12,10.2886
2058,1,9.2926
2058,2,9.5744
2058,3,10.1517
2058,4,10.8560
2058,5,12.4160
2058,6,12.1889
2058,7,14.2956
2058,8,15.5495
2058,9,15.2395
2058,10,13.3856
2058,11,11.1662
2058,12,9.3169
2059,1,8.2068
2059,2,7.5903
2059,3,7.5430
2059,4,8.1172
2059,5,9.6420
2059,6,12.8108
2059,7,15.1395
2059,8,15.6689
2059,9,16.1765
2059,10,13.5671
2059,11,11.5447
2059,12,9.9030
2060,1,9.3141
2060,2,9.5120
2060,3,10.3349
2060,4,11.2700
2060,5,12.2685
2060,6,12.7512
2060,7,14.8778
2060,8,15.6467
2060,9,14.6118
2060,10,12.9950
2060,11,11.1546
2060,12,9.6898
2061,1,9.1890
2061,2,9.5860
2061,3,9.7897
2061,4,11.3145
2061,5,13.4213
2061,6,15.7444
2061,7,14.7332
2061,8,15.0583
2061,9,14.1879
2061,10,13.2077
2061,11,11.4262
2061,12,10.6337
2062,1,9.8670
2062,2,9.6110
2062,3,9.4656
2062,4,11.0606
2062,5,11.9587
2062,6,13.3436
2062,7,16.4058
2062,8,15.4540
2062,9,15.6053
2062,10,14.3823
2062,11,12.4890
2062,12,10.8855
2063,1,11.1903
2063,2,10.8146
2063,3,9.7354
2063,4,10.4704
2063,5,11.7706
2063,6,12.8631
2063,7,15.0441
2063,8,16.0144
2063,9,15.6608
2063,10,14.4981
2063,11,12.9022
2063,12,11.3268
2064,1,10.8984
2064,2,10.2887
2064,3,11.1737
2064,4,11.5756
2064,5,11.9862
2064,6,12.6803
2064,7,15.3083
2064,8,15.6068
2064,9,13.9707
2064,10,12.4799
2064,11,11.2720
2064,12,10.0233
2065,1,9.3493
2065,2,8.0175
2065,3,8.2212
2065,4,8.7902
2065,5,11.2785
2065,6,12.2189
2065,7,14.8918
2065,8,15.7097
2065,9,15.0061
2065,10,12.2931
2065,11,11.2147
2065,12,9.8354
2066,1,8.8067
2066,2,7.1412
2066,3,7.6280
2066,4,8.5930
2066,5,12.4019
2066,6,13.9164
2066,7,15.3213
2066,8,15.3777
2066,9,14.1098
2066,10,13.0072
2066,11,11.3342
2066,12,9.9548
2067,1,9.3803
2067,2,9.7647
2067,3,9.8036
2067,4,10.4639
2067,5,12.6515
2067,6,12.2977
2067,7,15.4930
2067,8,15.6716
2067,9,14.5645
2067,10,13.4981
2067,11,12.0749
2067,12,9.5212
2068,1,9.9914
2068,2,9.7812
2068,3,9.9762
2068,4,11.4628
2068,5,13.5147
2068,6,15.0072
2068,7,14.9598
2068,8,16.2582
2068,9,14.9466
2068,10,13.5949
2068,11,12.2227
2068,12,11.2763
2069,1,10.9526
2069,2,9.5495
2069,3,9.6180
2069,4,11.0259
2069,5,11.5286
2069,6,12.4305
2069,7,15.5618
2069,8,15.7417
2069,9,14.9732
2069,10,12.9002
2069,11,11.7078
2069,12,10.9396
2070,1,9.8509
2070,2,8.7214
2070,3,8.4275
2070,4,8.8896
2070,5,9.5057
2070,6,11.8237
2070,7,14.6852
2070,8,16.3557
2070,9,16.0063
2070,10,12.2812
2070,11,10.0722
2070,12,8.9258
2071,1,9.0102
2071,2,8.4196
2071,3,8.1646
2071,4,8.6228
2071,5,11.8591
2071,6,13.1272
2071,7,15.2026
2071,8,15.6913
2071,9,15.5954
2071,10,14.3776
2071,11,12.3768
2071,12,10.6586
2072,1,10.1821
2072,2,9.4907
2072,3,10.3052
2072,4,11.2382
2072,5,12.7037
2072,6,13.2786
2072,7,16.8305
2072,8,15.5083
2072,9,15.0367
2072,10,13.6912
2072,11,11.5785
2072,12,10.2679
2073,1,10.3247
2073,2,10.2120
2073,3,10.2706
2073,4,11.1374
2073,5,12.4424
2073,6,15.3561
2073,7,15.7195
2073,8,16.2059
2073,9,15.3846
2073,10,12.9450
2073,11,11.9082
2073,12,10.4694
2074,1,9.9754
2074,2,9.1323
2074,3,8.7140
2074,4,10.0063
2074,5,11.9081
2074,6,12.4402
2074,7,14.5385
2074,8,16.0553
2074,9,15.4634
2074,10,13.2591
2074,11,11.3522
2074,12,9.3497
2075,1,8.6877
2075,2,7.7996
2075,3,8.8515
2075,4,9.0746
2075,5,9.9388
2075,6,12.5164
2075,7,14.7472
2075,8,15.4673
2075,9,14.8323
2075,10,11.9971
2075,11,10.2729
2075,12,8.5009
2076,1,8.5754
2076,2,8.4139
2076,3,9.6271
2076,4,11.5798
2076,5,12.4658
2076,6,13.4253
2076,7,15.9170
2076,8,15.9499
2076,9,14.3269
2076,10,12.8094
2076,11,10.9652
2076,12,9.9242
2077,1,10.2257
2077,2,11.2269
2077,3,10.7868
2077,4,11.7043
2077,5,12.7624
2077,6,12.8456
2077,7,16.5386
2077,8,16.7441
2077,9,15.9151
2077,10,14.5716
2077,11,12.8419
2077,12,10.4415
2078,1,9.4397
2078,2,9.3659
2078,3,10.1774
2078,4,10.9531
2078,5,11.5364
2078,6,13.6001
2078,7,15.9054
2078,8,16.0672
2078,9,15.0203
2078,10,13.6412
2078,11,12.1448
2078,12,10.6348
2079,1,9.4861
2079,2,9.5844
2079,3,9.9764
2079,4,10.5921
2079,5,12.8552
2079,6,14.7745
2079,7,15.9257
2079,8,16.1915
2079,9,14.9741
2079,10,13.1815
2079,11,10.9669
2079,12,10.6112
2080,1,9.8728
2080,2,8.9665
2080,3,8.8999
2080,4,9.3464
2080,5,11.0746
2080,6,12.8971
2080,7,15.5256
2080,8,16.0868
2080,9,15.1770
2080,10,13.0860
2080,11,11.5960
2080,12,10.5722
2081,1,9.9498
2081,2,8.9140
2081,3,8.3290
2081,4,8.5801
2081,5,10.7316
2081,6,12.0666
2081,7,15.8896
2081,8,17.0886
2081,9,15.4957
2081,10,13.0102
2081,11,11.4772
2081,12,10.2322
2082,1,9.2151
2082,2,9.8009
2082,3,11.5398
2082,4,11.9403
2082,5,12.3055
2082,6,13.2547
2082,7,16.5477
2082,8,16.0880
2082,9,14.8792
2082,10,11.9910
2082,11,10.4563
2082,12,9.3988
2083,1,9.2728
2083,2,9.1975
2083,3,9.4636
2083,4,10.1498
2083,5,12.7143
2083,6,13.5926
2083,7,16.3734
2083,8,16.8739
2083,9,15.2767
2083,10,13.0932
2083,11,11.2218
2083,12,9.9566
2084,1,9.2109
2084,2,9.4892
2084,3,9.6498
2084,4,10.8700
2084,5,13.4880
2084,6,14.2180
2084,7,15.8110
2084,8,16.5427
2084,9,15.6410
2084,10,13.8121
2084,11,12.2742
2084,12,11.4453
2085,1,10.9783
2085,2,11.5783
2085,3,11.4101
2085,4,11.8270
2085,5,13.0452
2085,6,14.5385
2085,7,16.4585
2085,8,17.2359
2085,9,16.0704
2085,10,13.8516
2085,11,12.1101
2085,12,11.2403
2086,1,10.8328
2086,2,9.7914
2086,3,10.5706
2086,4,11.7246
2086,5,13.2413
2086,6,13.1625
2086,7,15.3598
2086,8,15.1942
2086,9,14.3581
2086,10,13.2063
2086,11,11.4759
2086,12,10.0485
2087,1,9.5468
2087,2,8.1249
2087,3,7.3596
2087,4,8.5411
2087,5,11.4984
2087,6,12.7521
2087,7,16.8369
2087,8,16.8805
2087,9,15.0459
2087,10,12.4745
2087,11,11.4067
2087,12,10.4100
2088,1,9.6804
2088,2,8.9282
2088,3,9.0337
2088,4,10.0610
2088,5,11.0305
2088,6,12.6458
2088,7,16.5107
2088,8,17.9595
2088,9,16.2210
2088,10,14.1801
