year,month,sst
2026,1,12.0942
2026,2,11.3945
2026,3,11.4082
2026,4,11.1248
2026,5,11.6562
2026,6,12.2027
2026,7,13.8460
2026,8,15.3655
2026,9,14.0120
2026,10,13.0392
2026,11,12.5918
2026,12,11.8690
2027,1,11.5182
2027,2,11.3867
2027,3,10.9968
2027,4,11.0296
2027,5,10.6493
2027,6,11.2391
2027,7,11.8211
2027,8,12.6967
2027,9,12.6304
2027,10,11.6528
2027,11,11.1758
2027,12,11.2956
2028,1,10.9398
2028,2,10.1354
2028,3,10.0436
2028,4,10.8597
2028,5,10.8351
2028,6,10.3100
2028,7,11.2704
2028,8,12.9438
2028,9,12.7136
2028,10,13.6897
2028,11,13.2952
2028,12,12.3953
2029,1,12.1243
2029,2,11.7295
2029,3,11.6563
2029,4,10.7595
2029,5,10.9824
2029,6,10.3896
2029,7,10.8892
2029,8,14.2387
2029,9,13.1057
2029,10,12.5803
2029,11,12.5446
2029,12,12.1754
2030,1,12.2605
2030,2,11.5208
2030,3,10.1312
2030,4,9.8731
2030,5,10.8377
2030,6,10.0951
2030,7,12.2148
2030,8,13.1499
2030,9,13.2269
2030,10,11.5833
2030,11,12.5809
2030,12,11.8571
2031,1,10.8561
2031,2,10.0299
2031,3,10.1706
2031,4,11.5746
2031,5,10.8575
2031,6,10.7014
2031,7,11.9194
2031,8,13.6843
2031,9,12.9594
2031,10,13.0393
2031,11,13.5639
2031,12,12.2614
2032,1,11.6249
2032,2,11.5350
2032,3,11.2424
2032,4,10.8222
2032,5,11.0514
2032,6,11.4270
2032,7,12.2657
2032,8,13.0976
2032,9,13.3636
2032,10,14.5245
2032,11,13.5543
2032,12,12.4590
2033,1,11.7038
2033,2,10.9049
2033,3,10.8142
2033,4,11.1942
2033,5,10.6011
2033,6,10.9050
2033,7,11.7505
2033,8,12.8401
2033,9,12.6431
2033,10,13.5960
2033,11,13.9915
2033,12,11.9289
2034,1,11.0957
2034,2,10.2869
2034,3,10.1717
2034,4,10.6182
2034,5,9.9466
2034,6,11.0126
2034,7,12.3843
2034,8,11.9383
2034,9,12.8856
2034,10,12.4966
2034,11,12.1639
2034,12,11.4984
2035,1,11.7035
2035,2,11.2558
2035,3,11.2747
2035,4,10.7770
2035,5,10.4992
2035,6,9.9328
2035,7,11.5515
2035,8,13.1867
2035,9,13.1295
2035,10,13.9650
2035,11,13.5340
2035,12,12.1970
2036,1,12.4164
2036,2,11.4885
2036,3,11.2356
2036,4,11.2212
2036,5,11.0954
2036,6,9.7303
2036,7,11.7718
2036,8,12.8894
2036,9,13.2640
2036,10,13.0249
2036,11,12.3526
2036,12,12.4955
2037,1,12.8661
2037,2,12.0726
2037,3,11.8849
2037,4,11.5153
2037,5,11.0555
2037,6,12.4191
2037,7,11.6536
2037,8,13.0466
2037,9,13.3895
2037,10,12.7461
2037,11,12.8650
2037,12,12.0220
2038,1,11.6942
2038,2,11.1443
2038,3,10.6394
2038,4,10.5818
2038,5,9.7191
2038,6,10.3024
2038,7,11.2157
2038,8,12.2352
2038,9,12.8699
2038,10,12.8469
2038,11,13.3611
2038,12,12.0755
2039,1,11.3378
2039,2,10.8151
2039,3,10.4876
2039,4,10.4986
2039,5,10.9458
2039,6,10.6563
2039,7,11.1783
2039,8,13.7187
2039,9,13.6729
2039,10,14.4616
2039,11,14.1549
2039,12,12.5055
2040,1,12.6037
2040,2,11.8881
2040,3,11.6226
2040,4,12.4130
2040,5,12.0609
2040,6,11.7656
2040,7,11.7824
2040,8,15.4988
2040,9,13.9474
2040,10,12.5868
2040,11,13.0990
2040,12,12.4079
2041,1,12.3581
2041,2,12.0217
2041,3,11.7740
2041,4,11.7408
2041,5,10.7328
2041,6,11.3490
2041,7,12.2222
2041,8,12.4193
2041,9,12.7967
2041,10,13.1276
2041,11,13.2454
2041,12,11.9392
2042,1,11.5994
2042,2,10.4298
2042,3,10.5061
2042,4,10.4424
2042,5,10.5962
2042,6,11.1827
2042,7,12.2052
2042,8,13.6645
2042,9,13.4341
2042,10,14.6665
2042,11,12.9571
2042,12,12.3980
2043,1,11.8469
2043,2,11.3633
2043,3,11.1780
2043,4,11.7759
2043,5,12.2189
2043,6,12.3250
2043,7,10.9372
2043,8,12.7320
2043,9,13.3209
2043,10,13.8466
2043,11,13.5220
2043,12,12.3667
2044,1,11.9046
2044,2,11.3866
2044,3,11.6920
2044,4,11.4288
2044,5,11.3089
2044,6,12.2292
2044,7,12.6179
2044,8,13.2387
2044,9,13.1857
2044,10,13.3230
2044,11,13.3295
2044,12,12.0158
2045,1,11.7065
2045,2,11.4104
2045,3,11.0360
2045,4,11.1550
2045,5,11.4477
2045,6,10.6352
2045,7,11.8350
2045,8,13.2302
2045,9,12.2384
2045,10,14.3321
2045,11,15.4328
2045,12,13.5926
2046,1,13.2438
2046,2,12.6586
2046,3,12.1896
