year,month,sst
2026,1,12.5778
2026,2,12.0122
2026,3,11.6785
2026,4,11.3740
2026,5,11.8130
2026,6,12.5139
2026,7,14.6562
2026,8,14.2352
2026,9,14.7113
2026,10,14.2369
2026,11,14.0352
2026,12,12.8902
2027,1,12.4246
2027,2,12.4969
2027,3,11.7876
2027,4,11.4226
2027,5,11.0070
2027,6,11.7887
2027,7,12.8770
2027,8,12.7482
2027,9,12.9642
2027,10,11.7665
2027,11,11.3059
2027,12,11.5399
2028,1,11.4850
2028,2,10.8796
2028,3,10.6869
2028,4,11.1252
2028,5,11.1859
2028,6,11.0917
2028,7,11.5557
2028,8,13.9849
2028,9,13.6732
2028,10,15.5581
2028,11,13.6389
2028,12,12.8770
2029,1,12.6418
2029,2,12.5043
2029,3,12.3408
2029,4,11.1302
2029,5,11.2542
2029,6,10.7773
2029,7,11.8778
2029,8,13.8451
2029,9,13.0120
2029,10,14.1412
2029,11,13.6591
2029,12,13.1016
2030,1,12.7818
2030,2,12.6086
2030,3,11.1748
2030,4,10.4677
2030,5,11.2602
2030,6,10.3459
2030,7,12.8976
2030,8,13.7585
2030,9,14.4537
2030,10,13.8694
2030,11,13.4647
2030,12,12.6190
2031,1,11.7078
2031,2,11.2697
2031,3,11.3778
2031,4,12.1592
2031,5,10.8971
2031,6,11.2008
2031,7,12.2724
2031,8,14.6506
2031,9,16.0393
2031,10,15.6206
2031,11,14.0107
2031,12,12.7467
2032,1,12.4631
2032,2,12.3550
2032,3,11.7689
2032,4,11.1299
2032,5,11.6110
2032,6,11.2754
2032,7,13.0541
2032,8,14.1343
2032,9,15.3448
2032,10,15.5320
2032,11,13.3870
2032,12,12.6707
2033,1,12.2308
2033,2,11.5587
2033,3,11.4492
2033,4,11.7353
2033,5,11.1171
2033,6,11.3705
2033,7,12.1698
2033,8,12.6969
2033,9,13.8441
2033,10,15.0628
2033,11,14.6592
2033,12,12.2450
2034,1,11.4358
2034,2,11.3910
2034,3,10.7867
2034,4,11.1540
2034,5,10.4114
2034,6,11.2984
2034,7,12.5964
2034,8,12.5970
2034,9,12.8476
2034,10,14.1948
2034,11,13.2128
2034,12,12.0003
2035,1,12.3191
2035,2,12.0892
2035,3,11.8458
2035,4,11.5638
2035,5,10.9236
2035,6,11.5677
2035,7,12.7338
2035,8,13.7180
2035,9,13.8869
2035,10,15.1110
2035,11,14.0795
2035,12,13.1387
2036,1,13.1640
2036,2,12.6043
2036,3,12.1149
2036,4,11.9353
2036,5,11.4445
2036,6,10.2077
2036,7,13.1843
2036,8,13.9965
2036,9,15.0210
2036,10,15.6505
2036,11,13.4076
2036,12,13.0839
2037,1,13.2623
2037,2,12.7664
2037,3,12.3994
2037,4,11.9473
2037,5,11.4450
2037,6,12.4657
2037,7,12.4288
2037,8,13.0645
2037,9,13.8100
2037,10,15.3224
2037,11,13.7399
2037,12,12.3908
2038,1,12.4171
2038,2,12.1304
2038,3,11.3810
2038,4,10.9029
2038,5,10.3582
2038,6,11.0467
2038,7,12.4747
2038,8,13.0730
2038,9,13.8198
2038,10,13.4145
2038,11,13.8648
2038,12,12.5268
2039,1,11.9763
2039,2,11.3147
2039,3,10.9872
2039,4,10.9660
2039,5,11.4642
2039,6,10.6583
2039,7,11.4558
2039,8,14.1216
2039,9,15.6790
2039,10,16.6271
2039,11,14.3973
2039,12,12.7860
2040,1,12.5454
2040,2,12.6388
2040,3,12.0939
2040,4,12.5888
2040,5,12.1971
2040,6,12.0158
2040,7,13.1133
2040,8,15.5903
2040,9,14.3354
2040,10,13.4262
2040,11,13.8626
2040,12,13.2103
2041,1,12.8091
2041,2,12.7399
2041,3,12.0935
2041,4,11.8689
2041,5,11.0373
2041,6,11.9639
2041,7,13.2320
2041,8,13.6810
2041,9,13.6690
2041,10,14.4810
2041,11,13.9263
2041,12,12.5580
2042,1,12.3743
2042,2,11.6060
2042,3,11.3645
2042,4,11.0181
2042,5,11.1525
2042,6,11.7383
2042,7,12.7077
2042,8,13.5916
2042,9,15.0782
2042,10,15.8645
2042,11,13.7263
2042,12,12.9158
2043,1,12.4764
2043,2,11.9730
2043,3,11.6394
2043,4,11.9817
2043,5,12.4665
2043,6,12.2049
2043,7,11.6965
2043,8,13.9647
2043,9,14.5706
2043,10,14.9975
2043,11,14.2590
2043,12,12.5775
2044,1,12.1854
2044,2,11.9733
2044,3,12.1469
2044,4,11.6319
2044,5,11.1931
2044,6,12.6868
2044,7,13.7718
2044,8,14.0860
2044,9,14.5112
2044,10,14.4035
2044,11,13.7733
2044,12,12.5719
2045,1,12.1265
2045,2,12.1278
2045,3,11.7773
2045,4,11.4040
2045,5,11.2880
2045,6,11.3499
2045,7,13.1398
2045,8,14.6286
2045,9,15.0874
2045,10,15.9858
2045,11,15.0994
2045,12,13.0350
2046,1,13.0472
2046,2,13.3210
2046,3,12.8503
2046,4,12.9853
2046,5,11.7064
2046,6,11.5263
2046,7,13.3738
2046,8,14.8978
2046,9,14.5883
2046,10,14.6172
2046,11,14.9922
2046,12,13.9289
2047,1,13.6974
2047,2,13.1910
2047,3,12.9813
2047,4,12.2970
2047,5,12.3150
2047,6,12.2382
2047,7,13.7717
2047,8,14.2390
2047,9,14.2230
2047,10,13.9010
2047,11,13.6454
2047,12,13.3110
2048,1,12.6912
2048,2,12.2857
2048,3,11.9020
2048,4,11.7811
2048,5,11.2333
2048,6,11.6319
2048,7,12.3987
2048,8,14.8560
2048,9,14.9685
2048,10,14.7550
2048,11,13.2929
2048,12,12.7945
2049,1,12.6445
2049,2,12.1967
2049,3,12.2457
2049,4,11.9670
2049,5,12.3728
2049,6,11.5687
2049,7,12.9252
2049,8,14.8416
2049,9,14.1493
2049,10,14.2844
2049,11,13.7514
2049,12,12.5072
2050,1,12.5337
2050,2,12.1190
2050,3,11.6710
2050,4,11.5674
2050,5,11.5575
2050,6,12.1257
2050,7,13.7681
2050,8,14.1907
2050,9,13.6317
2050,10,14.4065
2050,11,14.2552
2050,12,12.7089
2051,1,12.6877
2051,2,12.4920
2051,3,12.2144
2051,4,11.3289
2051,5,11.3499
2051,6,12.2568
2051,7,12.8842
2051,8,15.1601
2051,9,13.3882
2051,10,14.9869
2051,11,14.0882
2051,12,13.5214
2052,1,13.0904
2052,2,12.2554
2052,3,11.6008
2052,4,10.8049
2052,5,10.8968
2052,6,11.8092
2052,7,13.6775
2052,8,13.7260
2052,9,15.1975
2052,10,15.9594
2052,11,13.5748
2052,12,12.8099
2053,1,13.0441
2053,2,13.0582
2053,3,12.8729
2053,4,13.3371
2053,5,12.5511
2053,6,13.8637
2053,7,15.1841
2053,8,14.6956
2053,9,16.4211
2053,10,17.1749
2053,11,15.2803
2053,12,13.8910
2054,1,13.4831
2054,2,13.6469
2054,3,12.9093
2054,4,12.2753
2054,5,12.1473
2054,6,12.3484
2054,7,13.3925
2054,8,16.0401
2054,9,16.5943
2054,10,15.0695
2054,11,13.5146
2054,12,13.0124
2055,1,13.3545
2055,2,13.3632
2055,3,12.9405
2055,4,12.2286
2055,5,12.5170
2055,6,12.7859
2055,7,13.8950
2055,8,14.5389
2055,9,13.7801
2055,10,14.1710
2055,11,14.5303
2055,12,13.2135
2056,1,12.3443
2056,2,11.7327
2056,3,11.9509
2056,4,11.1711
2056,5,11.5441
2056,6,12.1532
2056,7,12.6909
2056,8,13.9258
2056,9,14.7149
2056,10,15.5149
2056,11,13.8607
2056,12,12.9555
2057,1,13.0110
2057,2,12.7340
2057,3,12.3302
2057,4,12.0706
2057,5,11.4113
2057,6,13.0486
2057,7,13.1662
2057,8,14.0597
2057,9,14.4969
2057,10,15.3298
2057,11,15.0357
2057,12,14.1850
2058,1,13.9097
2058,2,13.8233
2058,3,12.9973
2058,4,11.9806
2058,5,11.9301
2058,6,11.8813
2058,7,12.7707
2058,8,13.4431
2058,9,14.7017
2058,10,14.9746
2058,11,13.3102
2058,12,13.2135
2059,1,12.5792
2059,2,12.2170
2059,3,11.6214
2059,4,10.5744
