year,month,sst
2026,1,9.5513
2026,2,8.7519
2026,3,7.9938
2026,4,8.1216
2026,5,10.3459
2026,6,12.4031
2026,7,14.9049
2026,8,15.0139
2026,9,15.0167
2026,10,12.9736
2026,11,11.4071
2026,12,9.7309
2027,1,9.7801
2027,2,9.3834
2027,3,8.1593
2027,4,8.5094
2027,5,10.5027
2027,6,11.0373
2027,7,13.2955
2027,8,14.7799
2027,9,14.0629
2027,10,11.4624
2027,11,9.4518
2027,12,8.6507
2028,1,7.5511
2028,2,6.6044
2028,3,6.9262
2028,4,8.0045
2028,5,9.5490
2028,6,11.0126
2028,7,13.4079
2028,8,14.0819
2028,9,14.9839
2028,10,13.5712
2028,11,11.9494
2028,12,10.3136
2029,1,9.7055
2029,2,9.3816
2029,3,9.2679
2029,4,8.7955
2029,5,10.1649
2029,6,10.1164
2029,7,12.2485
2029,8,14.9088
2029,9,14.6628
2029,10,12.7284
2029,11,10.7433
2029,12,9.0297
2030,1,8.5443
2030,2,7.5639
2030,3,7.3019
2030,4,7.8938
2030,5,9.3837
2030,6,10.6759
2030,7,13.0126
2030,8,14.1714
2030,9,15.0031
2030,10,12.4637
2030,11,10.4939
2030,12,9.2396
2031,1,8.1363
2031,2,8.2992
2031,3,7.2962
2031,4,7.8554
2031,5,8.9193
2031,6,10.5550
2031,7,13.4420
2031,8,13.9446
2031,9,14.5437
2031,10,12.5471
2031,11,9.7385
2031,12,7.5603
2032,1,6.8125
2032,2,6.6841
2032,3,7.4740
2032,4,8.2379
2032,5,10.3448
2032,6,11.9380
2032,7,13.8695
2032,8,14.5437
2032,9,15.1733
2032,10,13.3335
2032,11,10.5677
2032,12,8.7361
2033,1,8.2868
2033,2,8.3605
2033,3,8.2368
2033,4,8.8097
2033,5,10.2303
2033,6,10.9465
2033,7,12.9506
2033,8,14.6443
2033,9,13.9411
2033,10,12.9079
2033,11,11.4164
2033,12,9.4034
2034,1,8.2668
2034,2,8.0244
2034,3,7.9517
2034,4,8.2300
2034,5,9.7852
2034,6,11.1940
2034,7,14.4016
2034,8,15.5575
2034,9,14.8512
2034,10,12.6277
2034,11,10.5256
2034,12,9.6464
2035,1,9.6428
2035,2,8.7891
2035,3,7.8954
2035,4,7.6994
2035,5,9.1389
2035,6,10.5704
2035,7,13.6180
2035,8,15.0677
2035,9,14.9979
2035,10,13.2292
2035,11,11.1798
2035,12,9.4436
2036,1,10.0325
2036,2,9.1168
2036,3,8.8742
2036,4,8.8807
2036,5,10.2789
2036,6,10.8837
2036,7,14.6204
2036,8,15.4508
2036,9,15.2210
2036,10,13.4599
2036,11,10.4850
2036,12,9.5936
2037,1,8.7168
2037,2,9.3358
2037,3,8.7285
2037,4,9.3679
2037,5,10.2063
2037,6,11.5087
2037,7,13.7841
2037,8,14.6155
2037,9,14.7916
2037,10,13.2537
2037,11,11.1502
2037,12,8.9236
2038,1,8.0429
2038,2,7.4536
2038,3,7.2023
2038,4,8.1239
2038,5,9.0294
2038,6,10.7706
2038,7,13.5102
2038,8,14.2548
2038,9,14.4582
2038,10,11.7232
2038,11,10.3176
2038,12,8.8437
2039,1,8.5289
2039,2,7.8110
2039,3,7.4808
2039,4,8.8485
2039,5,10.0947
2039,6,11.3001
2039,7,14.2188
2039,8,15.3629
2039,9,14.8152
2039,10,13.4219
2039,11,12.1461
2039,12,10.0845
2040,1,9.2486
2040,2,9.5672
2040,3,9.2741
2040,4,10.2152
2040,5,11.7223
2040,6,12.1737
2040,7,15.1487
2040,8,16.2901
2040,9,15.5105
2040,10,13.2663
2040,11,11.4076
2040,12,10.0952
2041,1,9.9068
2041,2,9.2733
2041,3,8.5904
2041,4,9.3995
2041,5,10.8734
2041,6,12.0952
2041,7,13.8730
2041,8,14.5773
2041,9,15.2549
2041,10,13.6380
2041,11,10.7729
2041,12,9.2631
2042,1,8.6583
2042,2,8.0047
2042,3,7.7413
2042,4,8.3375
2042,5,9.7135
2042,6,10.8512
2042,7,13.7836
2042,8,16.1843
2042,9,14.9581
2042,10,12.1183
2042,11,10.5224
2042,12,8.8006
2043,1,8.4955
2043,2,7.6820
2043,3,7.2968
2043,4,7.8983
2043,5,9.6525
2043,6,11.9021
2043,7,13.7014
2043,8,14.4469
2043,9,15.4216
2043,10,13.0754
2043,11,11.1098
2043,12,10.0588
2044,1,9.8980
2044,2,9.3842
2044,3,9.3929
2044,4,9.3121
2044,5,10.1595
2044,6,11.2139
2044,7,13.2014
2044,8,14.3949
2044,9,14.6235
2044,10,12.5113
2044,11,10.0372
2044,12,9.0342
2045,1,7.5385
2045,2,7.5783
2045,3,7.6065
2045,4,8.9455
2045,5,11.1740
2045,6,11.5832
2045,7,14.3233
2045,8,14.4763
2045,9,14.4366
2045,10,13.5215
2045,11,11.5584
2045,12,9.4247
2046,1,9.6345
2046,2,10.1940
2046,3,9.9913
2046,4,9.9814
2046,5,11.7063
2046,6,11.9631
2046,7,13.6334
2046,8,15.1291
2046,9,14.5324
2046,10,12.7616
2046,11,11.5736
2046,12,10.2240
2047,1,10.7504
2047,2,10.5069
2047,3,10.8620
2047,4,11.0191
2047,5,11.1771
2047,6,11.4973
2047,7,13.7228
2047,8,15.4861
