year,month,sst
2026,1,7.3956
2026,2,7.5881
2026,3,8.4508
2026,4,10.4303
2026,5,14.3794
2026,6,17.2232
2026,7,20.5943
2026,8,19.9069
2026,9,17.1250
2026,10,13.1547
2026,11,10.2520
2026,12,8.6739
2027,1,8.0432
2027,2,7.9331
2027,3,8.6819
2027,4,11.1109
2027,5,14.3041
2027,6,16.0378
2027,7,18.5475
2027,8,18.2613
2027,9,15.6247
2027,10,12.0001
2027,11,9.2031
2027,12,7.6949
2028,1,6.8797
2028,2,6.8565
2028,3,7.6891
2028,4,10.9968
2028,5,14.2196
2028,6,15.8002
2028,7,19.2166
2028,8,18.5275
2028,9,15.9117
2028,10,12.7514
2028,11,10.2855
2028,12,8.6206
2029,1,7.3450
2029,2,7.6652
2029,3,8.9087
2029,4,10.9885
2029,5,14.4061
2029,6,15.6473
2029,7,17.7994
2029,8,18.9099
2029,9,16.2573
2029,10,12.8449
2029,11,9.7766
2029,12,8.4257
2030,1,7.8858
2030,2,7.6152
2030,3,8.0454
2030,4,9.7735
2030,5,13.7518
2030,6,14.9087
2030,7,18.1907
2030,8,18.4184
2030,9,17.0881
2030,10,12.1095
2030,11,9.4238
2030,12,8.5884
2031,1,7.0678
2031,2,6.3530
2031,3,7.4060
2031,4,9.8703
2031,5,14.0244
2031,6,15.6118
2031,7,18.5547
2031,8,19.6484
2031,9,15.9972
2031,10,12.2518
2031,11,9.5533
2031,12,8.1532
2032,1,7.1380
2032,2,7.4574
2032,3,8.5523
2032,4,10.1830
2032,5,13.9877
2032,6,16.0695
2032,7,17.3166
2032,8,17.9990
2032,9,15.8896
2032,10,13.0177
2032,11,9.8241
2032,12,7.9048
2033,1,6.9955
2033,2,7.4955
2033,3,8.5182
2033,4,10.7799
2033,5,14.0073
2033,6,16.6286
2033,7,18.7996
2033,8,18.3752
2033,9,16.5281
2033,10,12.7493
2033,11,10.1597
2033,12,8.4346
2034,1,7.4469
2034,2,7.6503
2034,3,8.3848
2034,4,10.7547
2034,5,13.9646
2034,6,15.6835
2034,7,19.4005
2034,8,19.3834
2034,9,16.6311
2034,10,12.7163
2034,11,9.3658
2034,12,8.1262
2035,1,7.6274
2035,2,7.8518
2035,3,8.5070
2035,4,10.3670
2035,5,13.6853
2035,6,15.7149
2035,7,18.8671
2035,8,19.8922
2035,9,16.9097
2035,10,13.1840
2035,11,10.6442
2035,12,8.4618
2036,1,8.0070
2036,2,7.8870
2036,3,8.4195
2036,4,10.7531
2036,5,14.2724
2036,6,15.6863
2036,7,19.2878
2036,8,19.2130
2036,9,17.5037
2036,10,12.9013
2036,11,9.3505
2036,12,8.6782
2037,1,7.9726
2037,2,8.2144
2037,3,9.1754
2037,4,11.8392
2037,5,14.6810
2037,6,16.9569
2037,7,19.6283
2037,8,18.8842
2037,9,16.7951
2037,10,12.4815
2037,11,10.0431
2037,12,8.3043
2038,1,7.6191
2038,2,7.3782
2038,3,8.2424
2038,4,10.2612
2038,5,13.1510
2038,6,16.5641
2038,7,18.6068
2038,8,18.3551
2038,9,16.2788
2038,10,12.2782
2038,11,9.9271
2038,12,8.6385
2039,1,7.6149
2039,2,6.7932
2039,3,7.6017
2039,4,10.7503
2039,5,14.7053
2039,6,15.8379
2039,7,18.1121
2039,8,18.9842
2039,9,16.7529
2039,10,13.8526
2039,11,11.0467
2039,12,8.2802
2040,1,7.5011
2040,2,8.1309
2040,3,9.6891
2040,4,12.4347
2040,5,16.2323
2040,6,17.8090
2040,7,19.4668
2040,8,20.3220
2040,9,17.1693
2040,10,12.1806
2040,11,9.9908
2040,12,8.3688
2041,1,7.5224
2041,2,7.6671
2041,3,8.5779
2041,4,11.1179
2041,5,14.7756
2041,6,16.2785
2041,7,18.6711
2041,8,18.6510
2041,9,16.6028
2041,10,12.9199
2041,11,10.1747
2041,12,8.2245
2042,1,7.5633
2042,2,7.0068
2042,3,8.2253
2042,4,10.9472
2042,5,13.8305
2042,6,16.4707
2042,7,19.9661
2042,8,19.9466
2042,9,18.0248
2042,10,13.5664
2042,11,10.3317
2042,12,8.7052
2043,1,8.2124
2043,2,7.6698
2043,3,8.1356
2043,4,10.5384
2043,5,14.9789
2043,6,16.9732
2043,7,18.7321
2043,8,18.8340
2043,9,16.7984
2043,10,12.9187
2043,11,9.5633
2043,12,8.1002
2044,1,7.4004
2044,2,7.1926
2044,3,8.7619
2044,4,10.4814
2044,5,14.4015
2044,6,17.2139
2044,7,19.8441
2044,8,19.8400
2044,9,17.2043
2044,10,13.6084
2044,11,10.2566
2044,12,8.5207
2045,1,7.5213
2045,2,7.4861
2045,3,8.5817
2045,4,11.5378
2045,5,15.8685
2045,6,16.2175
2045,7,19.5839
2045,8,19.6596
2045,9,17.2065
2045,10,13.7374
2045,11,11.1236
2045,12,9.8328
2046,1,9.2171
2046,2,9.6161
2046,3,10.5493
2046,4,12.1637
2046,5,15.1930
2046,6,16.8012
2046,7,19.3483
2046,8,19.8956
