year,month,sst
2026,1,8.3426
2026,2,7.5385
2026,3,7.3043
2026,4,7.4915
2026,5,10.5190
2026,6,13.7745
2026,7,15.8949
2026,8,16.2864
2026,9,14.6562
2026,10,11.4064
2026,11,10.3054
2026,12,8.5188
2027,1,8.8880
2027,2,7.6487
2027,3,6.8011
2027,4,8.0828
2027,5,11.3603
2027,6,12.4131
2027,7,13.8533
2027,8,14.8731
2027,9,13.0091
2027,10,9.7700
2027,11,8.2662
2027,12,7.3608
2028,1,5.9212
2028,2,4.5588
2028,3,5.1665
2028,4,6.5659
2028,5,9.6291
2028,6,12.5400
2028,7,14.8153
2028,8,14.9108
2028,9,14.2778
2028,10,11.7726
2028,11,10.3143
2028,12,8.7955
2029,1,7.5983
2029,2,7.8031
2029,3,8.3923
2029,4,8.6768
2029,5,11.0072
2029,6,12.5020
2029,7,14.2549
2029,8,15.7185
2029,9,14.1384
2029,10,11.3497
2029,11,9.5243
2029,12,7.7159
2030,1,7.4295
2030,2,6.1575
2030,3,5.9678
2030,4,7.1055
2030,5,10.4119
2030,6,12.3597
2030,7,14.3768
2030,8,14.4941
2030,9,13.2774
2030,10,9.9916
2030,11,8.3901
2030,12,7.8178
2031,1,7.0538
2031,2,6.5341
2031,3,5.9649
2031,4,6.5996
2031,5,9.3034
2031,6,11.7608
2031,7,14.2096
2031,8,14.2205
2031,9,12.6513
2031,10,9.9328
2031,11,7.8406
2031,12,5.7766
2032,1,5.3056
2032,2,4.9944
2032,3,6.2423
2032,4,7.6376
2032,5,10.5916
2032,6,12.7589
2032,7,13.8214
2032,8,14.7121
2032,9,13.9118
2032,10,11.3765
2032,11,8.7242
2032,12,6.9578
2033,1,6.3885
2033,2,6.4042
2033,3,6.9562
2033,4,7.9125
2033,5,10.4887
2033,6,12.3414
2033,7,14.9218
2033,8,15.5875
2033,9,13.7847
2033,10,11.6585
2033,11,9.7577
2033,12,8.2481
2034,1,7.3379
2034,2,6.2534
2034,3,6.8497
2034,4,7.9612
2034,5,10.8914
2034,6,12.8508
2034,7,15.9786
2034,8,16.3721
2034,9,14.4220
2034,10,11.5686
2034,11,9.4429
2034,12,8.6082
2035,1,8.1524
2035,2,7.3947
2035,3,6.6649
2035,4,6.9947
2035,5,9.7463
2035,6,12.5932
2035,7,15.3714
2035,8,15.4659
2035,9,14.2036
2035,10,11.7226
2035,11,10.1427
2035,12,7.5999
2036,1,8.5344
2036,2,7.9471
2036,3,7.1461
2036,4,8.5404
2036,5,11.0098
2036,6,13.1956
2036,7,16.0080
2036,8,16.1564
2036,9,14.8582
2036,10,11.6456
2036,11,9.3413
2036,12,8.6442
2037,1,8.2246
2037,2,8.0044
2037,3,7.8612
2037,4,9.1617
2037,5,11.6557
2037,6,13.4799
2037,7,14.9015
2037,8,15.8113
2037,9,13.8837
2037,10,11.4496
2037,11,9.5945
2037,12,7.3876
2038,1,6.9703
2038,2,5.9181
2038,3,5.9703
2038,4,6.8626
2038,5,9.8135
2038,6,12.7364
2038,7,15.2131
2038,8,15.2004
2038,9,13.7460
2038,10,10.3797
2038,11,8.5479
2038,12,6.8753
2039,1,6.8972
2039,2,6.1643
2039,3,6.1214
2039,4,7.9613
2039,5,11.4247
2039,6,12.9540
2039,7,15.6264
2039,8,15.9978
2039,9,13.6757
2039,10,11.4947
2039,11,10.7332
2039,12,8.8720
2040,1,8.1614
2040,2,7.6834
2040,3,8.1587
2040,4,9.8855
2040,5,12.7724
2040,6,13.9161
2040,7,16.6622
2040,8,16.6723
2040,9,14.3813
2040,10,11.0402
2040,11,8.8594
2040,12,8.3841
2041,1,8.6293
2041,2,7.2505
2041,3,6.8971
2041,4,7.8943
2041,5,10.8199
2041,6,13.1761
2041,7,15.2423
2041,8,15.5040
2041,9,14.0522
2041,10,10.9975
2041,11,8.8364
2041,12,7.5287
2042,1,6.8085
2042,2,5.8364
2042,3,6.0947
2042,4,7.3860
2042,5,10.0680
2042,6,12.4496
2042,7,15.4756
2042,8,16.4424
2042,9,13.7423
2042,10,10.5597
2042,11,9.1430
2042,12,7.3608
2043,1,6.7331
2043,2,5.8852
2043,3,5.2422
2043,4,6.6288
2043,5,10.0144
2043,6,13.6374
2043,7,14.7311
2043,8,15.1183
2043,9,14.4564
2043,10,11.6934
2043,11,9.6044
2043,12,8.4757
2044,1,8.2088
2044,2,6.9805
2044,3,7.9744
2044,4,8.9364
2044,5,10.7274
2044,6,13.2219
2044,7,14.8351
2044,8,15.7130
2044,9,14.0581
2044,10,10.8001
2044,11,8.7705
2044,12,7.9498
2045,1,6.1698
2045,2,5.6536
2045,3,5.8994
2045,4,8.3427
2045,5,12.3408
2045,6,13.2972
2045,7,15.7880
2045,8,15.5611
2045,9,13.6034
2045,10,11.8506
2045,11,10.6713
2045,12,8.7762
2046,1,8.4182
2046,2,9.0411
