year,month,sst
2026,1,13.7045
2026,2,13.2440
2026,3,12.8532
2026,4,12.9409
2026,5,13.2332
2026,6,13.6467
2026,7,14.1827
2026,8,15.3384
2026,9,15.9010
2026,10,15.6203
2026,11,15.6001
2026,12,14.1633
2027,1,13.4505
2027,2,13.7356
2027,3,13.3178
2027,4,13.2097
2027,5,13.0021
2027,6,14.3872
2027,7,14.7257
2027,8,14.6310
2027,9,14.1838
2027,10,12.9025
2027,11,12.6059
2027,12,13.0160
2028,1,13.1492
2028,2,12.8145
2028,3,12.6694
2028,4,13.1458
2028,5,13.2953
2028,6,13.6520
2028,7,13.9590
2028,8,15.2162
2028,9,15.0458
2028,10,15.8833
2028,11,14.3749
2028,12,13.7607
2029,1,13.5726
2029,2,13.4344
2029,3,13.7386
2029,4,12.1727
2029,5,12.5675
2029,6,12.4141
2029,7,14.3983
2029,8,15.2485
2029,9,14.6269
2029,10,15.3499
2029,11,14.3677
2029,12,13.9336
2030,1,14.0168
2030,2,13.8651
2030,3,12.8062
2030,4,12.1621
2030,5,13.0265
2030,6,12.4914
2030,7,14.9620
2030,8,15.2843
2030,9,16.0089
2030,10,15.0946
2030,11,14.4745
2030,12,13.5346
2031,1,12.6354
2031,2,12.5239
2031,3,12.6664
2031,4,13.4668
2031,5,12.1653
2031,6,12.2809
2031,7,14.1419
2031,8,15.9799
2031,9,17.1629
2031,10,16.7109
2031,11,14.4740
2031,12,13.3282
2032,1,13.4255
2032,2,13.5156
2032,3,13.1000
2032,4,12.5097
2032,5,13.4769
2032,6,13.7160
2032,7,14.7143
2032,8,15.6877
2032,9,16.1408
2032,10,15.3234
2032,11,13.0107
2032,12,13.1267
2033,1,13.0550
2033,2,12.6657
2033,3,12.8611
2033,4,13.4308
2033,5,12.8579
2033,6,13.2746
2033,7,13.8863
2033,8,14.7142
2033,9,16.0539
2033,10,15.5182
2033,11,15.3219
2033,12,13.1106
2034,1,12.5485
2034,2,12.6880
2034,3,12.3932
2034,4,12.3902
2034,5,12.1610
2034,6,12.6651
2034,7,13.0734
2034,8,15.1309
2034,9,15.5977
2034,10,14.6086
2034,11,13.8482
2034,12,12.8032
2035,1,13.2857
2035,2,13.0235
2035,3,12.9391
2035,4,12.7748
2035,5,12.1738
2035,6,13.2478
2035,7,15.1947
2035,8,15.5621
2035,9,15.7948
2035,10,16.0169
2035,11,14.9254
2035,12,14.4106
2036,1,14.3478
2036,2,13.6877
2036,3,13.5104
2036,4,13.2651
2036,5,12.9506
2036,6,12.4456
2036,7,14.5290
2036,8,16.2095
2036,9,17.2298
2036,10,16.7398
2036,11,14.4277
2036,12,14.2364
2037,1,14.1775
2037,2,14.0174
2037,3,13.9806
2037,4,13.3530
2037,5,12.9526
2037,6,13.4837
2037,7,14.0972
2037,8,15.5620
2037,9,15.8060
2037,10,15.9419
2037,11,14.2132
2037,12,13.2373
2038,1,13.2883
2038,2,13.1749
2038,3,12.5491
2038,4,12.1386
2038,5,12.0474
2038,6,12.7355
2038,7,14.7999
2038,8,15.7392
2038,9,15.5763
2038,10,14.5539
2038,11,14.5671
