year,month,sst
2026,1,11.7478
2026,2,11.0859
2026,3,10.6387
2026,4,11.1127
2026,5,12.6371
2026,6,13.8451
2026,7,14.7534
2026,8,15.2448
2026,9,13.9577
2026,10,13.5684
2026,11,12.4829
2026,12,11.3998
2027,1,11.1263
2027,2,10.9675
2027,3,10.6930
2027,4,11.1630
2027,5,12.3246
2027,6,12.6920
2027,7,12.6619
2027,8,13.0666
2027,9,13.3544
2027,10,13.2448
2027,11,11.6802
2027,12,10.9828
2028,1,11.0825
2028,2,10.0863
2028,3,9.7148
2028,4,10.9897
2028,5,12.4002
2028,6,12.0060
2028,7,12.6085
2028,8,12.7592
2028,9,13.6757
2028,10,13.6040
2028,11,12.5822
2028,12,11.5334
2029,1,11.1767
2029,2,10.8925
2029,3,10.9617
2029,4,10.9032
2029,5,12.1897
2029,6,12.0938
2029,7,11.6603
2029,8,14.1834
2029,9,13.9190
2029,10,13.3647
2029,11,11.7060
2029,12,11.3000
2030,1,11.1955
2030,2,10.7978
2030,3,9.6852
2030,4,9.8926
2030,5,11.8262
2030,6,11.2035
2030,7,12.6140
2030,8,12.7329
2030,9,13.3355
2030,10,11.7286
2030,11,11.9156
2030,12,11.4277
2031,1,10.1804
2031,2,9.1109
2031,3,9.1520
2031,4,10.8553
2031,5,11.3791
2031,6,11.9071
2031,7,12.1568
2031,8,12.6178
2031,9,12.4214
2031,10,12.6810
2031,11,11.9465
2031,12,11.4562
2032,1,11.2306
2032,2,11.3166
2032,3,11.0090
2032,4,11.1708
2032,5,12.0854
2032,6,12.6465
2032,7,12.1471
2032,8,12.3412
2032,9,13.3326
2032,10,14.4291
2032,11,12.6243
2032,12,11.4036
2033,1,10.9023
2033,2,10.5501
2033,3,10.5387
2033,4,11.2564
2033,5,11.8026
2033,6,12.2995
2033,7,12.6942
2033,8,13.1128
2033,9,12.8042
2033,10,12.7580
2033,11,12.9510
2033,12,11.4258
2034,1,10.4672
2034,2,10.1754
2034,3,9.7882
2034,4,10.9517
2034,5,11.4778
2034,6,12.6131
2034,7,13.5660
2034,8,12.7972
2034,9,13.7077
2034,10,13.0192
2034,11,11.7333
2034,12,11.1195
2035,1,10.9116
2035,2,10.3630
2035,3,10.1053
2035,4,10.6825
2035,5,11.0793
2035,6,12.0665
2035,7,12.1453
2035,8,13.5708
2035,9,14.1805
2035,10,14.3988
2035,11,13.1365
2035,12,11.5341
2036,1,11.8850
2036,2,11.0867
2036,3,10.7669
2036,4,11.4016
2036,5,12.4682
2036,6,11.6526
2036,7,12.5102
2036,8,13.0808
2036,9,13.8316
2036,10,12.4885
2036,11,11.4493
2036,12,11.6395
2037,1,11.7922
2037,2,11.6734
2037,3,11.3478
2037,4,12.2128
2037,5,12.6492
2037,6,13.7187
2037,7,13.0987
2037,8,12.9581
2037,9,13.4423
2037,10,12.4747
2037,11,11.7185
2037,12,11.0594
2038,1,10.8812
2038,2,10.3630
2038,3,10.2052
2038,4,10.7082
2038,5,11.0434
2038,6,12.5043
2038,7,12.0446
2038,8,11.9520
2038,9,13.1189
2038,10,13.5182
2038,11,12.7202
2038,12,11.6727
2039,1,10.9992
2039,2,9.6605
2039,3,9.6726
2039,4,10.3650
2039,5,12.2862
2039,6,12.6938
2039,7,12.4178
2039,8,13.5488
2039,9,13.3373
2039,10,14.0209
2039,11,13.5410
2039,12,11.4943
2040,1,11.3093
2040,2,11.5730
2040,3,11.5057
2040,4,12.7669
2040,5,13.5764
2040,6,13.7034
2040,7,12.9695
2040,8,14.7615
2040,9,14.5289
2040,10,12.9372
2040,11,12.0005
2040,12,11.4780
2041,1,11.4258
2041,2,11.3895
2041,3,11.1667
2041,4,11.8634
2041,5,12.3628
2041,6,13.0083
2041,7,12.5357
2041,8,12.6300
2041,9,13.3701
2041,10,13.8361
2041,11,13.0419
2041,12,11.8564
2042,1,11.3297
2042,2,10.2743
2042,3,10.2261
2042,4,10.7441
2042,5,11.5558
2042,6,12.5681
2042,7,13.1473
2042,8,14.1611
2042,9,14.1240
2042,10,14.4215
2042,11,12.7591
2042,12,11.5197
2043,1,10.9543
2043,2,10.2957
2043,3,10.1917
2043,4,10.9318
2043,5,12.7761
2043,6,13.7930
2043,7,12.3375
2043,8,12.2105
2043,9,13.3312
2043,10,13.8649
2043,11,12.2107
2043,12,11.0461
2044,1,11.0915
2044,2,10.6874
2044,3,11.0301
2044,4,11.4177
2044,5,12.3176
2044,6,13.3289
2044,7,13.7812
2044,8,13.6496
2044,9,13.3835
2044,10,13.2907
2044,11,12.4796
2044,12,11.6500
2045,1,11.0592
2045,2,10.8503
2045,3,10.7706
2045,4,11.5481
2045,5,12.9719
2045,6,11.7721
2045,7,12.9301
2045,8,12.5417
2045,9,12.1275
2045,10,13.0579
2045,11,13.6989
2045,12,12.8450
2046,1,12.8582
2046,2,12.4732
2046,3,12.0149
2046,4,12.9128
2046,5,13.2683
2046,6,13.7961
2046,7,13.3682
2046,8,13.3998
2046,9,13.3341
2046,10,13.7796
2046,11,13.6489
2046,12,12.5295
2047,1,12.8733
2047,2,12.3743
2047,3,12.6510
2047,4,12.7109
2047,5,13.3365
2047,6,13.5857
2047,7,13.0121
2047,8,14.8283
2047,9,14.9667
2047,10,13.3592
2047,11,12.4921
2047,12,11.8605
2048,1,11.0453
2048,2,10.4250
2048,3,10.4621
2048,4,11.1695
2048,5,11.7784
2048,6,12.2348
2048,7,12.4637
2048,8,14.2137
2048,9,13.3584
2048,10,14.4388
2048,11,13.0059
2048,12,12.0330
2049,1,11.7701
2049,2,11.2062
2049,3,11.5406
2049,4,11.6270
2049,5,13.1611
2049,6,13.5063
2049,7,12.5350
2049,8,13.7480
2049,9,15.3439
2049,10,14.6410
