year,month,sst
2026,1,8.1964
2026,2,8.3322
2026,3,8.6274
2026,4,9.5840
2026,5,11.6181
2026,6,13.4956
2026,7,15.5006
2026,8,15.3071
2026,9,14.0726
2026,10,11.8436
2026,11,10.3698
2026,12,9.2925
2027,1,8.8593
2027,2,8.6328
2027,3,8.7989
2027,4,10.1363
2027,5,11.3529
2027,6,12.1222
2027,7,13.5680
2027,8,13.7463
2027,9,12.5862
2027,10,10.7383
2027,11,9.2843
2027,12,8.5120
2028,1,7.8795
2028,2,7.6111
2028,3,7.8391
2028,4,10.0705
2028,5,11.4932
2028,6,12.0405
2028,7,14.1650
2028,8,13.8490
2028,9,12.7295
2028,10,11.4956
2028,11,10.5508
2028,12,9.4754
2029,1,8.2350
2029,2,8.4353
2029,3,8.9883
2029,4,9.9621
2029,5,11.4520
2029,6,11.7055
2029,7,12.6282
2029,8,14.2446
2029,9,13.1941
2029,10,11.5302
2029,11,9.8150
2029,12,9.1385
2030,1,8.6044
2030,2,8.3206
2030,3,8.0491
2030,4,8.6999
2030,5,10.8892
2030,6,11.0385
2030,7,13.1013
2030,8,13.7606
2030,9,13.9012
2030,10,10.6997
2030,11,9.6520
2030,12,9.3420
2031,1,7.8289
2031,2,7.0348
2031,3,7.4331
2031,4,8.8842
2031,5,11.1126
2031,6,11.7824
2031,7,13.7226
2031,8,15.1670
2031,9,12.8822
2031,10,10.9563
2031,11,9.6149
2031,12,8.8801
2032,1,7.8684
2032,2,8.2396
2032,3,8.7684
2032,4,9.3471
2032,5,11.3673
2032,6,12.4550
2032,7,12.5637
2032,8,13.6041
2032,9,12.9134
2032,10,11.8764
2032,11,10.0380
2032,12,8.7872
2033,1,8.0568
2033,2,8.2233
2033,3,8.6039
2033,4,9.8135
2033,5,11.1818
2033,6,12.8818
2033,7,13.8390
2033,8,13.8328
2033,9,13.4453
2033,10,11.4459
2033,11,10.4148
2033,12,9.1656
2034,1,8.3346
2034,2,8.5093
2034,3,8.4450
2034,4,9.7138
2034,5,11.1889
2034,6,11.8500
2034,7,14.3143
2034,8,14.7445
2034,9,13.4774
2034,10,11.4131
2034,11,9.4634
2034,12,8.8906
2035,1,8.4437
2035,2,8.5950
2035,3,8.5958
2035,4,9.4450
2035,5,10.8075
2035,6,11.8839
2035,7,13.7312
2035,8,15.1346
2035,9,13.6835
2035,10,11.7708
2035,11,10.6856
2035,12,9.2542
2036,1,8.8238
2036,2,8.6092
2036,3,8.4891
2036,4,9.8374
2036,5,11.4419
2036,6,11.8446
2036,7,14.4186
2036,8,14.6303
