year,month,sst
2026,1,7.9945
2026,2,7.7153
2026,3,8.1571
2026,4,9.3299
2026,5,10.9194
2026,6,11.8044
2026,7,13.3318
2026,8,13.9043
2026,9,12.9169
2026,10,10.8215
2026,11,9.5239
2026,12,8.6779
2027,1,8.0442
2027,2,7.7235
2027,3,8.1770
2027,4,9.3671
2027,5,10.9569
2027,6,11.7542
2027,7,13.3259
2027,8,13.9396
2027,9,12.9889
2027,10,10.8497
2027,11,9.5673
2027,12,8.7364
2028,1,8.0939
2028,2,7.7318
2028,3,8.1969
2028,4,9.4042
2028,5,10.9944
2028,6,11.7041
2028,7,13.3199
2028,8,13.9749
2028,9,13.0608
2028,10,10.8779
2028,11,9.6107
2028,12,8.7949
2029,1,8.1435
2029,2,7.7400
2029,3,8.2168
2029,4,9.4414
2029,5,11.0319
2029,6,11.6539
2029,7,13.3140
2029,8,14.0102
2029,9,13.1328
2029,10,10.9061
2029,11,9.6541
2029,12,8.8534
2030,1,8.1932
2030,2,7.7483
2030,3,8.2367
2030,4,9.4785
2030,5,11.0694
2030,6,11.6038
2030,7,13.3081
2030,8,14.0455
2030,9,13.2048
2030,10,10.9343
2030,11,9.6974
2030,12,8.9119
2031,1,8.2428
2031,2,7.7565
2031,3,8.2566
2031,4,9.5157
2031,5,11.1069
2031,6,11.5536
2031,7,13.3021
2031,8,14.0808
2031,9,13.2768
2031,10,10.9625
2031,11,9.7408
2031,12,8.9705
2032,1,8.2925
2032,2,7.7648
2032,3,8.2765
2032,4,9.5529
2032,5,11.1444
2032,6,11.5034
2032,7,13.2962
2032,8,14.1161
2032,9,13.3487
2032,10,10.9907
2032,11,9.7842
2032,12,9.0290
2033,1,8.3422
2033,2,7.7730
2033,3,8.2963
2033,4,9.5900
2033,5,11.1819
2033,6,11.4533
2033,7,13.2902
2033,8,14.1514
2033,9,13.4207
2033,10,11.0189
2033,11,9.8275
2033,12,9.0875
2034,1,8.3918
2034,2,7.7813
2034,3,8.3162
2034,4,9.6272
2034,5,11.2194
2034,6,11.4031
2034,7,13.2843
2034,8,14.1868
2034,9,13.4927
2034,10,11.0471
2034,11,9.8709
2034,12,9.1460
2035,1,8.4415
2035,2,7.7895
2035,3,8.3361
2035,4,9.6643
2035,5,11.2569
2035,6,11.3530
2035,7,13.2783
2035,8,14.2221
2035,9,13.5647
2035,10,11.0753
2035,11,9.9143
2035,12,9.2045
2036,1,8.4911
2036,2,7.7978
2036,3,8.3560
2036,4,9.7015
2036,5,11.2944
2036,6,11.3028
2036,7,13.2724
