year,month,sst
2026,1,8.2172
2026,2,7.1497
2026,3,6.3647
2026,4,7.0671
2026,5,9.3251
2026,6,11.5018
2026,7,14.4900
2026,8,14.1704
2026,9,12.7460
2026,10,10.8167
2026,11,9.7628
2026,12,8.5645
2027,1,8.9098
2027,2,7.8255
2027,3,6.7352
2027,4,7.4751
2027,5,9.8860
2027,6,10.4188
2027,7,13.2155
2027,8,14.2182
2027,9,12.2294
2027,10,9.1970
2027,11,7.7920
2027,12,7.8130
2028,1,6.4218
2028,2,4.8504
2028,3,5.2666
2028,4,6.7543
2028,5,8.6333
2028,6,10.5976
2028,7,13.5823
2028,8,13.2454
2028,9,12.7370
2028,10,10.7599
2028,11,9.7404
2028,12,8.9695
2029,1,8.0635
2029,2,7.7382
2029,3,7.8909
2029,4,8.1477
2029,5,9.9249
2029,6,10.4799
2029,7,12.5315
2029,8,14.9331
2029,9,13.0899
2029,10,10.6726
2029,11,9.1116
2029,12,7.5715
2030,1,7.0195
2030,2,5.2119
2030,3,4.9908
2030,4,6.4800
2030,5,8.7352
2030,6,10.1030
2030,7,12.4902
2030,8,13.1053
2030,9,12.4149
2030,10,9.4842
2030,11,7.9219
2030,12,8.1671
2031,1,7.5106
2031,2,7.0959
2031,3,5.5035
2031,4,7.0192
2031,5,8.2033
2031,6,9.9206
2031,7,12.6731
2031,8,13.2498
2031,9,12.4336
2031,10,10.6372
2031,11,8.2133
2031,12,6.0101
2032,1,4.8643
2032,2,4.7555
2032,3,5.4504
2032,4,6.4902
2032,5,9.0889
2032,6,11.1800
2032,7,12.1344
2032,8,13.4104
2032,9,13.0799
2032,10,11.2060
2032,11,8.5709
2032,12,7.7803
2033,1,7.0168
2033,2,7.2885
2033,3,6.9625
2033,4,7.4660
2033,5,9.5844
2033,6,11.1591
2033,7,12.8393
2033,8,13.7833
2033,9,12.3737
2033,10,11.0495
2033,11,9.7857
2033,12,7.9744
2034,1,7.0764
2034,2,6.2991
2034,3,5.9618
2034,4,7.1374
2034,5,9.1670
2034,6,10.9918
2034,7,14.2170
2034,8,15.2969
2034,9,12.8697
2034,10,10.5420
2034,11,9.3858
2034,12,8.6799
2035,1,8.3772
2035,2,6.9632
2035,3,6.2629
2035,4,6.3372
2035,5,8.4720
2035,6,10.5982
2035,7,13.5973
2035,8,14.5871
2035,9,12.9309
2035,10,11.2880
2035,11,10.0265
2035,12,8.2511
2036,1,8.5111
2036,2,7.2561
2036,3,6.9191
2036,4,7.8133
2036,5,9.8018
2036,6,10.7032
2036,7,14.4135
2036,8,14.7087
2036,9,13.2203
2036,10,11.2987
2036,11,9.4731
2036,12,9.0474
2037,1,7.9375
2037,2,7.8277
2037,3,7.1595
2037,4,8.0394
2037,5,9.7982
2037,6,11.0890
2037,7,13.3861
2037,8,13.6483
2037,9,12.5831
2037,10,11.2826
2037,11,9.8912
2037,12,7.8546
2038,1,6.8121
2038,2,5.8598
2038,3,5.9622
2038,4,6.9710
2038,5,8.7371
2038,6,10.6141
2038,7,13.1364
2038,8,13.6019
2038,9,12.6101
2038,10,10.5383
2038,11,9.3414
2038,12,8.0328
2039,1,7.2732
2039,2,5.8637
2039,3,5.4732
2039,4,7.5074
2039,5,9.5828
2039,6,11.4981
2039,7,13.8833
2039,8,14.5580
2039,9,12.4850
2039,10,10.9856
2039,11,10.6793
2039,12,9.5874
2040,1,8.5379
2040,2,7.6353
2040,3,7.5195
2040,4,8.5828
2040,5,11.3403
2040,6,12.2091
2040,7,15.4338
2040,8,15.4934
2040,9,13.7578
2040,10,11.1643
2040,11,9.2421
2040,12,8.8698
2041,1,8.4414
2041,2,7.1768
2041,3,6.7355
2041,4,7.9564
2041,5,10.0457
2041,6,11.5683
2041,7,14.2551
2041,8,14.6656
2041,9,13.2864
2041,10,11.2550
2041,11,9.1611
2041,12,7.6662
2042,1,6.8835
2042,2,5.5403
2042,3,5.9980
2042,4,6.8949
2042,5,8.8092
2042,6,10.7636
2042,7,13.8177
2042,8,15.5525
2042,9,13.3467
2042,10,10.7775
2042,11,8.9778
2042,12,7.6673
2043,1,7.1540
2043,2,5.8397
2043,3,4.7411
2043,4,6.4213
2043,5,8.8961
2043,6,11.2670
2043,7,12.9360
2043,8,13.8029
2043,9,13.2947
2043,10,10.6825
2043,11,9.1894
2043,12,8.9558
2044,1,8.6770
2044,2,7.6471
2044,3,8.0012
2044,4,8.3698
2044,5,9.1967
2044,6,10.5452
2044,7,12.7746
2044,8,14.6250
2044,9,13.3642
2044,10,11.2454
2044,11,8.6729
2044,12,8.1806
2045,1,6.2119
2045,2,5.4454
2045,3,5.2035
2045,4,7.1505
2045,5,10.2645
2045,6,10.2257
2045,7,14.1382
2045,8,14.5121
2045,9,12.8992
2045,10,11.7076
2045,11,10.4669
2045,12,8.8486
2046,1,8.2538
2046,2,8.6024
2046,3,7.9873
2046,4,8.5132
2046,5,11.2550
2046,6,11.8608
2046,7,13.2639
2046,8,14.8461
2046,9,13.3231
2046,10,11.6932
2046,11,10.2884
2046,12,9.4552
2047,1,9.0408
2047,2,8.4393
2047,3,9.1866
2047,4,9.8593
2047,5,11.1069
2047,6,11.1044
2047,7,13.7497
2047,8,15.7396
2047,9,14.1117
2047,10,12.0155
2047,11,10.2714
2047,12,9.6276
2048,1,7.7359
2048,2,6.2277
2048,3,6.2465
2048,4,6.9963
2048,5,9.2791
2048,6,10.9240
2048,7,13.3377
2048,8,14.8864
2048,9,13.0877
2048,10,11.9535
2048,11,10.0379
2048,12,8.8266
2049,1,7.5105
2049,2,7.6851
2049,3,7.5518
2049,4,8.1845
2049,5,10.9940
2049,6,12.0800
2049,7,14.0874
2049,8,14.5809
2049,9,14.2533
2049,10,12.1137
2049,11,9.5660
2049,12,8.9930
2050,1,8.3198
2050,2,6.9010
2050,3,6.7904
2050,4,7.7251
2050,5,10.2119
2050,6,12.9383
2050,7,14.9003
2050,8,14.9904
2050,9,12.9047
2050,10,9.4130
2050,11,8.4967
2050,12,8.6631
2051,1,8.8159
2051,2,7.2106
2051,3,7.1097
2051,4,7.4321
2051,5,9.3038
2051,6,12.2920
2051,7,14.0993
2051,8,14.4891
2051,9,13.4723
2051,10,11.9068
2051,11,9.6239
2051,12,8.0940
2052,1,7.9638
2052,2,6.8222
2052,3,6.4231
2052,4,7.1652
2052,5,9.5785
2052,6,11.9629
2052,7,14.0913
2052,8,15.1258
2052,9,12.6645
2052,10,10.0368
2052,11,8.4672
2052,12,6.6771
2053,1,7.4429
2053,2,7.4934
2053,3,7.3372
2053,4,8.2276
2053,5,11.3460
2053,6,12.9778
2053,7,15.4047
2053,8,15.7010
2053,9,15.2308
2053,10,12.7434
2053,11,11.6762
2053,12,9.5508
2054,1,7.6893
2054,2,7.7964
2054,3,7.0149
2054,4,8.1968
2054,5,10.1421
2054,6,11.4420
2054,7,14.0114
2054,8,14.9267
2054,9,13.8355
2054,10,12.1186
2054,11,9.6524
2054,12,8.7042
2055,1,8.3747
2055,2,8.3368
2055,3,7.6260
2055,4,7.8354
2055,5,10.6914
2055,6,12.0316
2055,7,14.1960
2055,8,14.3638
2055,9,12.4780
2055,10,11.9881
2055,11,10.7731
2055,12,8.9894
2056,1,8.4839
2056,2,6.6022
2056,3,5.9625
2056,4,6.7861
2056,5,9.1684
2056,6,11.6021
2056,7,14.2341
2056,8,14.8786
2056,9,13.4404
2056,10,11.1008
2056,11,9.8557
2056,12,9.2346
2057,1,8.4750
2057,2,7.0846
2057,3,7.4395
2057,4,8.1131
2057,5,10.4400
2057,6,12.3446
2057,7,14.7121
2057,8,14.1215
2057,9,13.3919
2057,10,11.6870
2057,11,10.4256
2057,12,8.8386
2058,1,8.3989
2058,2,8.0551
2058,3,7.9756
2058,4,8.5323
2058,5,11.0961
2058,6,11.7340
2058,7,14.6692
2058,8,15.6274
2058,9,14.2791
2058,10,12.1181
2058,11,9.9160
2058,12,8.6535
2059,1,6.4914
2059,2,4.8969
2059,3,5.2314
2059,4,6.5129
2059,5,8.1813
2059,6,10.9460
2059,7,13.5257
2059,8,15.0233
2059,9,14.1013
2059,10,11.4238
2059,11,9.7324
2059,12,8.0548
2060,1,6.5939
2060,2,5.5500
2060,3,6.8164
2060,4,8.2090
2060,5,10.0916
2060,6,12.0967
2060,7,14.6450
2060,8,15.2081
2060,9,13.0920
2060,10,11.6951
2060,11,10.0423
2060,12,9.0660
2061,1,8.7877
2061,2,8.4623
2061,3,7.7036
2061,4,9.1572
2061,5,11.2743
2061,6,13.9892
2061,7,14.3841
2061,8,15.5680
2061,9,14.3117
2061,10,12.0054
2061,11,10.2232
2061,12,9.9442
2062,1,9.4048
2062,2,8.4175
2062,3,7.7075
2062,4,8.6913
2062,5,10.1953
2062,6,12.3189
2062,7,15.2567
2062,8,15.8016
2062,9,14.6160
2062,10,13.4139
2062,11,11.0657
2062,12,10.2269
2063,1,10.0848
2063,2,8.7105
2063,3,7.6698
2063,4,8.7796
2063,5,9.9687
2063,6,11.9972
2063,7,14.3909
2063,8,14.8443
2063,9,13.8818
2063,10,12.5096
2063,11,11.2150
2063,12,9.4063
2064,1,9.1539
2064,2,7.7955
2064,3,8.2180
2064,4,9.0488
2064,5,10.4712
2064,6,12.1215
2064,7,14.2559
2064,8,15.1774
2064,9,14.0531
2064,10,11.9305
2064,11,9.7886
2064,12,8.0599
2065,1,7.3982
2065,2,6.5398
2065,3,6.3948
2065,4,7.0111
2065,5,9.4236
2065,6,12.0607
2065,7,14.1796
2065,8,15.4810
2065,9,13.8580
2065,10,10.8847
2065,11,9.5604
2065,12,8.8452
2066,1,7.9305
2066,2,6.7854
2066,3,6.3517
2066,4,7.1262
2066,5,9.7843
2066,6,11.9649
2066,7,12.7589
2066,8,14.0053
2066,9,12.5816
2066,10,11.1305
2066,11,9.8323
2066,12,9.1819
2067,1,8.8312
2067,2,7.9276
2067,3,7.3989
2067,4,8.2276
2067,5,10.9867
2067,6,11.3116
2067,7,14.0399
2067,8,14.9398
2067,9,13.1251
2067,10,11.1519
2067,11,10.0447
2067,12,8.5267
2068,1,8.6965
2068,2,7.7118
2068,3,8.2925
2068,4,8.9590
2068,5,11.4901
2068,6,12.4916
2068,7,14.5695
2068,8,15.6386
2068,9,13.6146
2068,10,11.6706
2068,11,10.5394
2068,12,10.2793
2069,1,10.0092
2069,2,8.8022
2069,3,7.7298
2069,4,9.0650
2069,5,10.4784
2069,6,11.5724
2069,7,14.3852
2069,8,14.9685
2069,9,13.6363
2069,10,11.4961
2069,11,10.1051
2069,12,9.0888
2070,1,8.1341
2070,2,6.9750
2070,3,7.1649
2070,4,7.8179
2070,5,8.9797
2070,6,10.7380
2070,7,13.4370
2070,8,14.8863
2070,9,14.1765
2070,10,11.2671
2070,11,9.9612
2070,12,10.0856
2071,1,8.9455
