year,month,sst
2026,1,9.8262
2026,2,9.8577
2026,3,10.1719
2026,4,11.3600
2026,5,13.5745
2026,6,14.9419
2026,7,15.8308
2026,8,16.6267
2026,9,15.9237
2026,10,14.1451
2026,11,12.1387
2026,12,9.8570
2027,1,9.8810
2027,2,9.5393
2027,3,10.0415
2027,4,11.4257
2027,5,12.5497
2027,6,13.4155
2027,7,13.6401
2027,8,14.2229
2027,9,14.3830
2027,10,13.0840
2027,11,10.8722
2027,12,9.5219
2028,1,9.5415
2028,2,8.8704
2028,3,9.0790
2028,4,11.4981
2028,5,12.9243
2028,6,12.7858
2028,7,14.0037
2028,8,14.2910
2028,9,14.8783
2028,10,14.1818
2028,11,12.3542
2028,12,10.4441
2029,1,9.5085
2029,2,9.4206
2029,3,10.2657
2029,4,10.9135
2029,5,12.8830
2029,6,12.6587
2029,7,13.0053
2029,8,15.3695
2029,9,14.9696
2029,10,13.7428
2029,11,11.1925
2029,12,9.8606
2030,1,9.5809
2030,2,9.3132
2030,3,9.1009
2030,4,9.7605
2030,5,12.3588
2030,6,11.8536
2030,7,13.7914
2030,8,13.9230
2030,9,14.7072
2030,10,12.1357
2030,11,11.3520
2030,12,10.2172
2031,1,8.9558
2031,2,7.9847
2031,3,8.4147
2031,4,10.5786
2031,5,12.4247
2031,6,12.5693
2031,7,13.7970
2031,8,14.6484
2031,9,13.8799
2031,10,12.4979
2031,11,11.2344
2031,12,9.8335
2032,1,9.0384
2032,2,9.6130
2032,3,10.1350
2032,4,10.9194
2032,5,12.6637
2032,6,13.3796
2032,7,13.6325
2032,8,13.9886
2032,9,14.9797
2032,10,14.6365
2032,11,12.4695
2032,12,10.3583
2033,1,9.6597
2033,2,9.2233
2033,3,9.6083
2033,4,11.2397
2033,5,12.3236
2033,6,13.6888
2033,7,14.4537
2033,8,14.5352
2033,9,15.0349
2033,10,13.3572
2033,11,12.3215
2033,12,10.2905
2034,1,9.5017
2034,2,9.1434
2034,3,9.1733
2034,4,11.1613
2034,5,12.3602
2034,6,13.1459
2034,7,14.4236
2034,8,14.7410
2034,9,15.4095
2034,10,13.5602
2034,11,11.0684
2034,12,9.9088
2035,1,9.3541
2035,2,9.3803
2035,3,9.6959
2035,4,10.7088
2035,5,11.8168
2035,6,12.4645
2035,7,13.6484
2035,8,14.8772
2035,9,15.3296
2035,10,14.3434
2035,11,12.8304
