year,month,sst
2012,1,6.365
2012,2,5.93
2012,3,5.543
2012,4,6.776
2012,5,7.037
2012,6,9.05
2012,7,11.367
2012,8,12.787
2012,9,11.415
2012,10,9.427
2012,11,8.105
2012,12,6.797
2013,1,6.5
2013,2,6.102
2013,3,5.668
2013,4,6.582
2013,5,7.554
2013,6,10.835
2013,7,13.313
2013,8,13.006
2013,9,13.162
2013,10,11.331
2013,11,9.005
2013,12,6.898
2014,1,7.136
2014,2,5.98
2014,3,5.907
2014,4,5.606
2014,5,8.176
2014,6,10.626
2014,7,12.914
2014,8,14.629
2014,9,13.765
2014,10,11.573
2014,11,9.82
2014,12,8.751
2015,1,8.062
2015,2,7.429
2015,3,7.521
2015,4,8.158
2015,5,9.579
2015,6,11.421
2015,7,13.759
2015,8,14.046
2015,9,12.52
2015,10,11.113
2015,11,9.539
2015,12,8.429
2016,1,7.771
2016,2,7.451
2016,3,7.404
2016,4,8.075
2016,5,10.086
2016,6,11.794
2016,7,13.923
2016,8,14.0
2016,9,13.334
2016,10,10.334
2016,11,10.258
2016,12,8.969
2017,1,7.34
2017,2,6.813
2017,3,5.867
2017,4,6.653
2017,5,8.344
2017,6,10.388
2017,7,12.795
2017,8,14.519
2017,9,12.705
2017,10,10.194
2017,11,7.832
2017,12,8.146
2018,1,6.918
2018,2,6.452
2018,3,6.194
2018,4,6.498
2018,5,8.719
2018,6,10.905
2018,7,12.754
2018,8,13.594
2018,9,12.381
2018,10,11.635
2018,11,10.154
2018,12,9.09
2019,1,7.446
2019,2,6.89
2019,3,6.674
2019,4,7.436
2019,5,9.135
2019,6,11.956
2019,7,13.977
2019,8,13.145
2019,9,12.208
2019,10,10.585
2019,11,9.11
2019,12,7.604
2020,1,6.495
2020,2,6.272
2020,3,5.917
2020,4,6.424
2020,5,8.356
2020,6,10.649
2020,7,12.737
2020,8,13.618
2020,9,12.909
2020,10,10.785
2020,11,8.768
2020,12,7.846
2021,1,7.375
2021,2,5.858
2021,3,5.917
2021,4,6.319
2021,5,7.876
2021,6,10.118
2021,7,12.953
2021,8,14.056
2021,9,12.226
2021,10,10.169
2021,11,8.687
2021,12,7.058
2022,1,5.868
2022,2,5.831
2022,3,5.863
2022,4,6.521
2022,5,8.384
2022,6,10.681
2022,7,12.199
2022,8,14.032
2022,9,13.331
2022,10,11.885
2022,11,8.777
2022,12,6.716
2023,1,6.541
2023,2,6.108
2023,3,5.431
2023,4,6.128
2023,5,8.491
2023,6,10.53
2023,7,12.865
2023,8,14.01
2023,9,12.536
2023,10,11.184
2023,11,9.137
2023,12,8.523
2024,1,7.411
2024,2,6.732
2024,3,6.628
2024,4,7.446
2024,5,8.728
2024,6,10.246
2024,7,12.752
2024,8,13.406
2024,9,12.521
2024,10,10.595
2024,11,8.925
2024,12,7.72
2025,1,7.417
2025,2,6.862
2025,3,6.656
2025,4,7.187
2025,5,8.674
2025,6,11.059
2025,7,13.212
2025,8,14.127
2025,9,12.787
2025,10,10.97
2025,11,9.394
2025,12,8.354
2026,1,7.417
2026,2,6.862
2026,3,6.656
2026,4,7.187
2026,5,8.674
2026,6,11.059
2026,7,13.212
2026,8,14.127
2026,9,12.787
2026,10,10.97
2026,11,9.394
2026,12,8.354
2027,1,7.417
2027,2,6.862
2027,3,6.656
2027,4,7.187
2027,5,8.674
2027,6,11.059
2027,7,13.212
2027,8,14.127
2027,9,12.787
2027,10,10.97
2027,11,9.394
2027,12,8.354
2028,1,7.417
2028,2,6.862
2028,3,6.656
2028,4,7.187
2028,5,8.674
2028,6,11.059
2028,7,13.212
2028,8,14.127
2028,9,12.787
2028,10,10.97
2028,11,9.394
2028,12,8.354
2029,1,7.417
2029,2,6.862
2029,3,6.656
2029,4,7.187
2029,5,8.674
2029,6,11.059
2029,7,13.212
2029,8,14.127
2029,9,12.787
2029,10,10.97
2029,11,9.394
2029,12,8.354
2030,1,7.417
2030,2,6.862
2030,3,6.656
2030,4,7.187
2030,5,8.674
2030,6,11.059
2030,7,13.212
2030,8,14.127
2030,9,12.787
2030,10,10.97
2030,11,9.394
2030,12,8.354
2031,1,7.417
2031,2,6.862
2031,3,6.656
2031,4,7.187
2031,5,8.674
2031,6,11.059
2031,7,13.212
2031,8,14.127
2031,9,12.787
2031,10,10.97
2031,11,9.394
2031,12,8.354
2032,1,7.417
2032,2,6.862
2032,3,6.656
2032,4,7.187
2032,5,8.674
2032,6,11.059
2032,7,13.212
2032,8,14.127
2032,9,12.787
2032,10,10.97
2032,11,9.394
2032,12,8.354
2033,1,7.417
2033,2,6.862
2033,3,6.656
2033,4,7.187
2033,5,8.674
2033,6,11.059
2033,7,13.212
2033,8,14.127
2033,9,12.787
2033,10,10.97
2033,11,9.394
2033,12,8.354
2034,1,7.417
2034,2,6.862
2034,3,6.656
2034,4,7.187
2034,5,8.674
2034,6,11.059
2034,7,13.212
2034,8,14.127
2034,9,12.787
2034,10,10.97
2034,11,9.394
2034,12,8.354
2035,1,7.417
2035,2,6.862
2035,3,6.656
2035,4,7.187
2035,5,8.674
2035,6,11.059
2035,7,13.212
2035,8,14.127
2035,9,12.787
2035,10,10.97
2035,11,9.394
2035,12,8.354
2036,1,7.417
2036,2,6.862
2036,3,6.656
2036,4,7.187
2036,5,8.674
2036,6,11.059
2036,7,13.212
2036,8,14.127
2036,9,12.787
2036,10,10.97
2036,11,9.394
2036,12,8.354
2037,1,7.417
2037,2,6.862
2037,3,6.656
2037,4,7.187
2037,5,8.674
2037,6,11.059
2037,7,13.212
2037,8,14.127
2037,9,12.787
2037,10,10.97
2037,11,9.394
2037,12,8.354
2038,1,7.417
2038,2,6.862
2038,3,6.656
2038,4,7.187
2038,5,8.674
2038,6,11.059
2038,7,13.212
2038,8,14.127
2038,9,12.787
2038,10,10.97
2038,11,9.394
2038,12,8.354
2039,1,7.417
2039,2,6.862
2039,3,6.656
2039,4,7.187
2039,5,8.674
2039,6,11.059
2039,7,13.212
2039,8,14.127
2039,9,12.787
2039,10,10.97
2039,11,9.394
2039,12,8.354
2040,1,7.417
2040,2,6.862
2040,3,6.656
2040,4,7.187
2040,5,8.674
2040,6,11.059
2040,7,13.212
2040,8,14.127
2040,9,12.787
2040,10,10.97
2040,11,9.394
2040,12,8.354
2041,1,7.417
2041,2,6.862
2041,3,6.656
2041,4,7.187
2041,5,8.674
2041,6,11.059
2041,7,13.212
2041,8,14.127
2041,9,12.787
2041,10,10.97
2041,11,9.394
2041,12,8.354
2042,1,7.417
2042,2,6.862
2042,3,6.656
2042,4,7.187
2042,5,8.674
2042,6,11.059
2042,7,13.212
2042,8,14.127
2042,9,12.787
2042,10,10.97
2042,11,9.394
2042,12,8.354
2043,1,7.417
2043,2,6.862
2043,3,6.656
2043,4,7.187
2043,5,8.674
2043,6,11.059
2043,7,13.212
