year,month,sst
2012,1,7.866
2012,2,7.092
2012,3,7.46
2012,4,8.4
2012,5,8.996
2012,6,10.79
2012,7,12.375
2012,8,12.934
2012,9,10.736
2012,10,9.851
2012,11,9.68
2012,12,9.032
2013,1,7.954
2013,2,8.374
2013,3,7.757
2013,4,8.805
2013,5,10.463
2013,6,11.475
2013,7,12.102
2013,8,12.158
2013,9,12.833
2013,10,11.295
2013,11,9.096
2013,12,7.797
2014,1,7.406
2014,2,6.892
2014,3,7.624
2014,4,9.151
2014,5,11.563
2014,6,11.389
2014,7,13.331
2014,8,12.623
2014,9,11.292
2014,10,12.517
2014,11,10.792
2014,12,10.002
2015,1,9.105
2015,2,9.227
2015,3,9.4
2015,4,9.845
2015,5,10.607
2015,6,11.368
2015,7,12.334
2015,8,13.001
2015,9,11.832
2015,10,11.176
2015,11,10.506
2015,12,9.657
2016,1,8.546
2016,2,9.246
2016,3,9.081
2016,4,10.27
2016,5,11.072
2016,6,12.66
2016,7,13.381
2016,8,11.944
2016,9,11.727
2016,10,10.414
2016,11,11.469
2016,12,9.404
2017,1,8.112
2017,2,7.956
2017,3,8.09
2017,4,8.848
2017,5,10.395
2017,6,11.263
2017,7,12.369
2017,8,13.185
2017,9,11.935
2017,10,9.586
2017,11,9.079
2017,12,8.717
2018,1,8.157
2018,2,8.021
2018,3,8.264
2018,4,9.063
2018,5,11.183
2018,6,12.179
2018,7,12.605
2018,8,12.726
2018,9,11.025
2018,10,9.724
2018,11,9.063
2018,12,8.454
2019,1,8.135
2019,2,7.886
2019,3,8.495
2019,4,9.587
2019,5,10.827
2019,6,12.041
2019,7,13.413
2019,8,12.848
2019,9,12.207
2019,10,10.243
2019,11,9.653
2019,12,8.553
2020,1,7.602
2020,2,7.727
2020,3,7.873
2020,4,8.814
2020,5,10.917
2020,6,11.621
2020,7,13.01
2020,8,13.816
2020,9,13.434
2020,10,11.547
2020,11,9.351
2020,12,8.508
2021,1,8.238
2021,2,7.435
2021,3,7.937
2021,4,8.553
2021,5,9.981
2021,6,11.841
2021,7,13.617
2021,8,13.745
2021,9,11.525
2021,10,10.818
2021,11,8.984
2021,12,8.112
2022,1,7.396
2022,2,7.229
2022,3,7.711
2022,4,7.887
2022,5,9.048
2022,6,10.623
2022,7,11.821
2022,8,12.479
2022,9,11.073
2022,10,9.866
2022,11,8.054
2022,12,7.355
2023,1,7.442
2023,2,7.551
2023,3,7.227
2023,4,7.796
2023,5,9.97
2023,6,10.242
2023,7,11.418
2023,8,12.349
2023,9,10.404
2023,10,10.27
2023,11,9.59
2023,12,8.986
2024,1,8.545
2024,2,8.488
2024,3,8.478
2024,4,8.939
2024,5,9.84
2024,6,10.304
2024,7,11.294
2024,8,11.617
2024,9,10.514
2024,10,9.741
2024,11,8.827
2024,12,8.469
2025,1,8.677
2025,2,8.712
2025,3,8.685
2025,4,9.346
2025,5,10.499
2025,6,12.13
2025,7,13.285
2025,8,13.335
2025,9,12.032
2025,10,10.683
2025,11,10.021
2025,12,9.239
2026,1,8.677
2026,2,8.712
2026,3,8.685
2026,4,9.346
2026,5,10.499
2026,6,12.13
2026,7,13.285
2026,8,13.335
2026,9,12.032
2026,10,10.683
2026,11,10.021
2026,12,9.239
2027,1,8.677
2027,2,8.712
2027,3,8.685
2027,4,9.346
2027,5,10.499
2027,6,12.13
2027,7,13.285
2027,8,13.335
2027,9,12.032
2027,10,10.683
2027,11,10.021
2027,12,9.239
2028,1,8.677
2028,2,8.712
2028,3,8.685
2028,4,9.346
2028,5,10.499
2028,6,12.13
2028,7,13.285
2028,8,13.335
2028,9,12.032
2028,10,10.683
2028,11,10.021
2028,12,9.239
2029,1,8.677
2029,2,8.712
2029,3,8.685
2029,4,9.346
2029,5,10.499
2029,6,12.13
2029,7,13.285
2029,8,13.335
2029,9,12.032
2029,10,10.683
2029,11,10.021
2029,12,9.239
2030,1,8.677
2030,2,8.712
2030,3,8.685
2030,4,9.346
2030,5,10.499
2030,6,12.13
2030,7,13.285
2030,8,13.335
2030,9,12.032
2030,10,10.683
2030,11,10.021
2030,12,9.239
2031,1,8.677
2031,2,8.712
2031,3,8.685
2031,4,9.346
2031,5,10.499
2031,6,12.13
2031,7,13.285
2031,8,13.335
2031,9,12.032
2031,10,10.683
2031,11,10.021
2031,12,9.239
2032,1,8.677
2032,2,8.712
2032,3,8.685
2032,4,9.346
2032,5,10.499
2032,6,12.13
2032,7,13.285
2032,8,13.335
2032,9,12.032
2032,10,10.683
2032,11,10.021
2032,12,9.239
2033,1,8.677
2033,2,8.712
2033,3,8.685
2033,4,9.346
2033,5,10.499
2033,6,12.13
2033,7,13.285
2033,8,13.335
2033,9,12.032
2033,10,10.683
2033,11,10.021
2033,12,9.239
2034,1,8.677
2034,2,8.712
2034,3,8.685
2034,4,9.346
2034,5,10.499
2034,6,12.13
2034,7,13.285
2034,8,13.335
2034,9,12.032
2034,10,10.683
2034,11,10.021
2034,12,9.239
2035,1,8.677
2035,2,8.712
2035,3,8.685
2035,4,9.346
2035,5,10.499
2035,6,12.13
2035,7,13.285
2035,8,13.335
2035,9,12.032
2035,10,10.683
2035,11,10.021
2035,12,9.239
2036,1,8.677
2036,2,8.712
2036,3,8.685
2036,4,9.346
2036,5,10.499
2036,6,12.13
2036,7,13.285
2036,8,13.335
2036,9,12.032
2036,10,10.683
2036,11,10.021
2036,12,9.239
2037,1,8.677
2037,2,8.712
2037,3,8.685
2037,4,9.346
2037,5,10.499
2037,6,12.13
2037,7,13.285
2037,8,13.335
2037,9,12.032
2037,10,10.683
2037,11,10.021
2037,12,9.239
2038,1,8.677
2038,2,8.712
2038,3,8.685
2038,4,9.346
2038,5,10.499
2038,6,12.13
2038,7,13.285
2038,8,13.335
2038,9,12.032
2038,10,10.683
2038,11,10.021
2038,12,9.239
2039,1,8.677
2039,2,8.712
2039,3,8.685
2039,4,9.346
2039,5,10.499
2039,6,12.13
2039,7,13.285
2039,8,13.335
2039,9,12.032
2039,10,10.683
2039,11,10.021
2039,12,9.239
2040,1,8.677
2040,2,8.712
2040,3,8.685
2040,4,9.346
2040,5,10.499
2040,6,12.13
2040,7,13.285
2040,8,13.335
2040,9,12.032
2040,10,10.683
2040,11,10.021
2040,12,9.239
2041,1,8.677
2041,2,8.712
2041,3,8.685
2041,4,9.346
2041,5,10.499
2041,6,12.13
2041,7,13.285
2041,8,13.335
2041,9,12.032
2041,10,10.683
2041,11,10.021
2041,12,9.239
2042,1,8.677
2042,2,8.712
2042,3,8.685
2042,4,9.346
2042,5,10.499
2042,6,12.13
2042,7,13.285
2042,8,13.335
2042,9,12.032
2042,10,10.683
2042,11,10.021
2042,12,9.239
2043,1,8.677
2043,2,8.712
2043,3,8.685
2043,4,9.346
2043,5,10.499
2043,6,12.13
2043,7,13.285
2043,8,13.335
2043,9,12.032
2043,10,10.683
2043,11,10.021
2043,12,9.239
2044,1,8.677
2044,2,8.712
2044,3,8.685
2044,4,9.346
2044,5,10.499
2044,6,12.13
2044,7,13.285
2044,8,13.335
2044,9,12.032
2044,10,10.683
2044,11,10.021
2044,12,9.239
2045,1,8.677
2045,2,8.712
2045,3,8.685
2045,4,9.346
2045,5,10.499
2045,6,12.13
2045,7,13.285
2045,8,13.335
2045,9,12.032
2045,10,10.683
2045,11,10.021
2045,12,9.239
2046,1,8.677
2046,2,8.712
2046,3,8.685
2046,4,9.346
2046,5,10.499
2046,6,12.13
2046,7,13.285
2046,8,13.335
2046,9,12.032
2046,10,10.683
2046,11,10.021
2046,12,9.239
2047,1,8.677
2047,2,8.712
2047,3,8.685
2047,4,9.346
2047,5,10.499
2047,6,12.13
2047,7,13.285
2047,8,13.335
2047,9,12.032
2047,10,10.683
2047,11,10.021
2047,12,9.239
2048,1,8.677
2048,2,8.712
2048,3,8.685
2048,4,9.346
2048,5,10.499
2048,6,12.13
2048,7,13.285
2048,8,13.335
2048,9,12.032
2048,10,10.683
2048,11,10.021
2048,12,9.239
2049,1,8.677
2049,2,8.712
2049,3,8.685
2049,4,9.346
2049,5,10.499
2049,6,12.13
2049,7,13.285
2049,8,13.335
2049,9,12.032
2049,10,10.683
2049,11,10.021
2049,12,9.239
2050,1,8.677
2050,2,8.712
2050,3,8.685
2050,4,9.346
2050,5,10.499
2050,6,12.13
2050,7,13.285
2050,8,13.335
2050,9,12.032
2050,10,10.683
2050,11,10.021
2050,12,9.239
