year,month,sst
2012,1,6.32
2012,2,5.801
2012,3,5.651
2012,4,7.011
2012,5,7.76
2012,6,9.763
2012,7,11.615
2012,8,12.824
2012,9,11.857
2012,10,9.965
2012,11,8.095
2012,12,7.083
2013,1,6.877
2013,2,6.797
2013,3,6.423
2013,4,7.276
2013,5,8.668
2013,6,11.248
2013,7,13.088
2013,8,12.657
2013,9,13.506
2013,10,11.535
2013,11,9.196
2013,12,7.334
2014,1,7.065
2014,2,5.799
2014,3,5.651
2014,4,6.271
2014,5,8.393
2014,6,10.773
2014,7,12.254
2014,8,14.174
2014,9,13.309
2014,10,11.834
2014,11,9.616
2014,12,8.815
2015,1,8.286
2015,2,8.126
2015,3,8.181
2015,4,8.652
2015,5,10.326
2015,6,11.772
2015,7,13.791
2015,8,13.695
2015,9,12.313
2015,10,11.275
2015,11,9.596
2015,12,8.427
2016,1,7.55
2016,2,7.768
2016,3,7.749
2016,4,8.919
2016,5,10.575
2016,6,12.136
2016,7,13.67
2016,8,13.773
2016,9,11.802
2016,10,10.855
2016,11,9.962
2016,12,8.395
2017,1,7.203
2017,2,6.545
2017,3,5.979
2017,4,7.13
2017,5,8.842
2017,6,10.482
2017,7,12.489
2017,8,13.133
2017,9,12.857
2017,10,11.029
2017,11,8.178
2017,12,7.566
2018,1,6.835
2018,2,6.414
2018,3,6.208
2018,4,6.941
2018,5,9.188
2018,6,11.215
2018,7,13.127
2018,8,13.282
2018,9,11.642
2018,10,10.505
2018,11,9.928
2018,12,8.496
2019,1,7.78
2019,2,6.798
2019,3,6.668
2019,4,7.635
2019,5,9.275
2019,6,11.367
2019,7,14.017
2019,8,13.933
2019,9,12.624
2019,10,10.845
2019,11,9.718
2019,12,8.069
2020,1,6.834
2020,2,6.218
2020,3,6.247
2020,4,6.902
2020,5,9.056
2020,6,10.971
2020,7,12.856
2020,8,13.257
2020,9,13.536
2020,10,11.012
2020,11,8.867
2020,12,7.485
2021,1,7.321
2021,2,5.844
2021,3,5.947
2021,4,6.495
2021,5,8.426
2021,6,10.711
2021,7,13.303
2021,8,13.424
2021,9,11.739
2021,10,10.133
2021,11,8.696
2021,12,7.048
2022,1,5.891
2022,2,6.171
2022,3,6.419
2022,4,7.018
2022,5,8.635
2022,6,11.095
2022,7,12.723
2022,8,14.128
2022,9,13.294
2022,10,12.094
2022,11,8.664
2022,12,6.531
2023,1,6.369
2023,2,6.372
2023,3,5.57
2023,4,6.376
2023,5,9.222
2023,6,11.063
2023,7,12.949
2023,8,13.721
2023,9,12.843
2023,10,11.439
2023,11,9.268
2023,12,8.568
2024,1,7.648
2024,2,7.266
2024,3,6.961
2024,4,7.887
