year,month,sst
2012,1,10.462
2012,2,10.275
2012,3,9.409
2012,4,10.796
2012,5,10.109
2012,6,10.787
2012,7,12.701
2012,8,11.095
2012,9,11.782
2012,10,12.186
2012,11,13.295
2012,12,12.255
2013,1,10.32
2013,2,9.237
2013,3,9.486
2013,4,9.671
2013,5,10.549
2013,6,11.567
2013,7,11.073
2013,8,12.816
2013,9,14.998
2013,10,11.095
2013,11,11.038
2013,12,10.14
2014,1,10.543
2014,2,10.792
2014,3,11.145
2014,4,11.066
2014,5,12.293
2014,6,11.107
2014,7,12.257
2014,8,12.738
2014,9,14.365
2014,10,14.669
2014,11,14.531
2014,12,14.776
2015,1,13.001
2015,2,12.632
2015,3,11.946
2015,4,10.741
2015,5,10.437
2015,6,11.978
2015,7,14.459
2015,8,15.266
2015,9,13.329
2015,10,13.682
2015,11,12.859
2015,12,12.407
2016,1,12.124
2016,2,11.967
2016,3,12.4
2016,4,12.591
2016,5,11.635
2016,6,11.927
2016,7,11.3
2016,8,11.652
2016,9,12.07
2016,10,12.999
2016,11,14.308
2016,12,11.963
2017,1,10.881
2017,2,11.518
2017,3,11.444
2017,4,11.313
2017,5,10.971
2017,6,12.513
2017,7,12.034
2017,8,12.766
2017,9,13.525
2017,10,11.055
2017,11,12.487
2017,12,12.081
2018,1,11.735
2018,2,10.357
2018,3,10.405
2018,4,11.216
2018,5,11.308
2018,6,11.682
2018,7,11.652
2018,8,12.596
2018,9,12.498
2018,10,12.355
2018,11,11.812
2018,12,12.547
2019,1,11.842
2019,2,11.503
2019,3,11.178
2019,4,11.673
2019,5,11.113
2019,6,10.957
2019,7,12.521
2019,8,14.199
2019,9,15.585
2019,10,11.543
2019,11,11.636
2019,12,12.074
2020,1,11.362
2020,2,9.983
2020,3,10.111
2020,4,11.425
2020,5,12.813
2020,6,12.036
2020,7,11.533
2020,8,12.181
2020,9,14.214
2020,10,12.822
2020,11,11.363
2020,12,10.863
2021,1,11.029
2021,2,10.337
2021,3,9.864
2021,4,9.934
2021,5,10.025
2021,6,12.424
2021,7,11.333
2021,8,11.73
2021,9,11.747
2021,10,12.185
2021,11,13.144
2021,12,11.3
2022,1,10.869
2022,2,10.165
2022,3,9.783
2022,4,9.592
2022,5,10.401
2022,6,11.784
2022,7,12.22
2022,8,13.878
2022,9,13.601
2022,10,11.959
2022,11,11.037
2022,12,10.8
2023,1,11.339
2023,2,9.704
2023,3,9.487
2023,4,10.216
2023,5,10.808
2023,6,10.898
2023,7,11.517
2023,8,12.734
2023,9,12.563
2023,10,12.512
2023,11,13.275
2023,12,12.895
2024,1,12.604
2024,2,12.473
2024,3,11.939
2024,4,10.848
2024,5,10.05
2024,6,10.467
2024,7,12.348
2024,8,12.289
2024,9,12.329
2024,10,11.405
2024,11,12.099
2024,12,11.947
2025,1,12.001
2025,2,11.745
2025,3,11.625
2025,4,11.584
2025,5,11.792
2025,6,12.396
2025,7,13.121
2025,8,13.29
2025,9,13.014
2025,10,12.921
2025,11,12.85
2025,12,12.259
2026,1,12.001
2026,2,11.745
2026,3,11.625
2026,4,11.584
2026,5,11.792
2026,6,12.396
2026,7,13.121
2026,8,13.29
2026,9,13.014
2026,10,12.921
2026,11,12.85
2026,12,12.259
2027,1,12.001
2027,2,11.745
2027,3,11.625
2027,4,11.584
2027,5,11.792
2027,6,12.396
2027,7,13.121
2027,8,13.29
2027,9,13.014
2027,10,12.921
2027,11,12.85
2027,12,12.259
2028,1,12.001
2028,2,11.745
2028,3,11.625
2028,4,11.584
2028,5,11.792
2028,6,12.396
2028,7,13.121
2028,8,13.29
2028,9,13.014
2028,10,12.921
2028,11,12.85
2028,12,12.259
2029,1,12.001
2029,2,11.745
2029,3,11.625
2029,4,11.584
2029,5,11.792
2029,6,12.396
2029,7,13.121
2029,8,13.29
2029,9,13.014
2029,10,12.921
2029,11,12.85
2029,12,12.259
2030,1,12.001
2030,2,11.745
2030,3,11.625
2030,4,11.584
2030,5,11.792
2030,6,12.396
2030,7,13.121
2030,8,13.29
2030,9,13.014
2030,10,12.921
2030,11,12.85
2030,12,12.259
2031,1,12.001
2031,2,11.745
2031,3,11.625
2031,4,11.584
2031,5,11.792
2031,6,12.396
2031,7,13.121
2031,8,13.29
2031,9,13.014
2031,10,12.921
2031,11,12.85
2031,12,12.259
2032,1,12.001
2032,2,11.745
2032,3,11.625
2032,4,11.584
2032,5,11.792
2032,6,12.396
2032,7,13.121
2032,8,13.29
2032,9,13.014
2032,10,12.921
2032,11,12.85
2032,12,12.259
2033,1,12.001
2033,2,11.745
2033,3,11.625
2033,4,11.584
2033,5,11.792
2033,6,12.396
2033,7,13.121
2033,8,13.29
2033,9,13.014
2033,10,12.921
2033,11,12.85
2033,12,12.259
2034,1,12.001
2034,2,11.745
2034,3,11.625
2034,4,11.584
2034,5,11.792
2034,6,12.396
2034,7,13.121
2034,8,13.29
2034,9,13.014
2034,10,12.921
2034,11,12.85
2034,12,12.259
2035,1,12.001
2035,2,11.745
2035,3,11.625
2035,4,11.584
2035,5,11.792
2035,6,12.396
2035,7,13.121
2035,8,13.29
2035,9,13.014
