year,month,sst
2012,1,13.985
2012,2,13.169
2012,3,12.081
2012,4,12.548
2012,5,13.245
2012,6,14.978
2012,7,15.294
2012,8,17.172
2012,9,17.638
2012,10,18.289
2012,11,15.948
2012,12,14.597
2013,1,12.745
2013,2,12.744
2013,3,12.881
2013,4,12.904
2013,5,14.115
2013,6,15.411
2013,7,16.52
2013,8,15.982
2013,9,16.596
2013,10,16.82
2013,11,16.163
2013,12,14.543
2014,1,14.935
2014,2,13.901
2014,3,14.431
2014,4,13.375
2014,5,14.108
2014,6,16.217
2014,7,18.876
2014,8,18.131
2014,9,18.937
2014,10,19.618
2014,11,18.086
2014,12,17.133
2015,1,15.902
2015,2,16.0
2015,3,15.557
2015,4,13.917
2015,5,14.163
2015,6,15.439
2015,7,18.115
2015,8,19.073
2015,9,21.293
2015,10,20.732
2015,11,17.529
2015,12,16.506
2016,1,14.635
2016,2,14.962
2016,3,14.739
2016,4,13.991
2016,5,14.34
2016,6,14.883
2016,7,17.506
2016,8,17.829
2016,9,17.904
2016,10,16.963
2016,11,16.605
2016,12,14.135
2017,1,13.805
2017,2,13.861
2017,3,13.793
2017,4,12.817
2017,5,13.593
2017,6,15.023
2017,7,17.169
2017,8,17.669
2017,9,18.395
2017,10,17.529
2017,11,16.384
2017,12,15.014
2018,1,14.883
2018,2,14.173
2018,3,13.289
2018,4,12.529
2018,5,13.151
2018,6,15.069
2018,7,18.037
2018,8,19.502
2018,9,18.043
2018,10,18.543
2018,11,17.903
2018,12,15.566
2019,1,14.718
2019,2,14.095
2019,3,13.549
2019,4,13.558
2019,5,14.055
2019,6,15.548
2019,7,15.957
2019,8,16.521
2019,9,18.601
2019,10,16.995
2019,11,16.719
2019,12,14.81
2020,1,14.413
2020,2,14.711
2020,3,14.589
2020,4,13.915
2020,5,13.883
2020,6,15.481
2020,7,16.488
2020,8,17.53
2020,9,18.669
2020,10,18.657
2020,11,15.341
2020,12,14.403
2021,1,13.868
2021,2,12.941
2021,3,12.286
2021,4,12.636
2021,5,14.0
2021,6,15.791
2021,7,17.367
2021,8,17.119
2021,9,16.622
2021,10,16.364
2021,11,15.77
2021,12,14.349
2022,1,13.809
2022,2,14.083
2022,3,13.111
2022,4,12.848
2022,5,12.856
2022,6,15.805
2022,7,16.85
2022,8,17.205
2022,9,19.038
2022,10,17.718
2022,11,14.813
2022,12,14.797
2023,1,13.905
2023,2,12.993
2023,3,12.621
2023,4,12.029
2023,5,14.119
2023,6,15.931
2023,7,16.21
2023,8,18.354
2023,9,18.257
