year,month,sst
2012,1,7.469
2012,2,7.222
2012,3,7.351
2012,4,8.851
2012,5,9.457
2012,6,9.609
2012,7,10.331
2012,8,10.951
2012,9,10.797
2012,10,9.622
2012,11,9.506
2012,12,8.807
2013,1,7.903
2013,2,7.562
2013,3,7.634
2013,4,8.294
2013,5,9.446
2013,6,10.326
2013,7,11.153
2013,8,10.438
2013,9,10.067
2013,10,10.234
2013,11,8.616
2013,12,7.574
2014,1,7.466
2014,2,7.038
2014,3,8.054
2014,4,9.25
2014,5,10.772
2014,6,10.51
2014,7,10.579
2014,8,11.589
2014,9,11.138
2014,10,11.335
2014,11,10.573
2014,12,9.477
2015,1,8.799
2015,2,9.204
2015,3,9.167
2015,4,9.533
2015,5,10.009
2015,6,10.684
2015,7,11.466
2015,8,11.695
2015,9,11.534
2015,10,10.362
2015,11,10.02
2015,12,9.111
2016,1,8.661
2016,2,9.117
2016,3,9.329
2016,4,10.108
2016,5,10.674
2016,6,10.539
2016,7,11.346
2016,8,12.17
2016,9,11.16
2016,10,10.601
2016,11,10.905
2016,12,8.859
2017,1,7.621
2017,2,7.6
2017,3,8.097
2017,4,9.385
2017,5,9.885
2017,6,10.62
2017,7,10.984
2017,8,11.534
2017,9,11.371
2017,10,10.116
2017,11,9.438
2017,12,8.492
2018,1,8.392
2018,2,7.992
2018,3,8.171
2018,4,9.141
2018,5,10.064
2018,6,10.607
2018,7,11.621
2018,8,11.936
2018,9,10.768
2018,10,9.804
2018,11,9.302
2018,12,8.796
2019,1,8.415
2019,2,7.792
2019,3,8.275
2019,4,9.458
2019,5,10.234
2019,6,10.468
2019,7,11.199
2019,8,11.735
2019,9,11.196
2019,10,9.719
2019,11,8.832
2019,12,8.417
2020,1,8.32
2020,2,8.082
2020,3,7.901
2020,4,8.691
2020,5,10.376
2020,6,10.282
2020,7,11.045
2020,8,11.464
2020,9,10.939
2020,10,9.913
2020,11,9.371
2020,12,9.013
2021,1,8.793
2021,2,8.12
2021,3,8.121
2021,4,8.602
2021,5,9.305
2021,6,10.845
2021,7,11.008
2021,8,11.744
2021,9,11.354
2021,10,10.537
2021,11,9.551
2021,12,8.533
2022,1,7.65
2022,2,7.697
2022,3,8.111
2022,4,8.18
2022,5,9.251
2022,6,9.761
2022,7,10.133
2022,8,10.869
2022,9,10.671
2022,10,9.778
2022,11,8.551
2022,12,8.066
2023,1,8.091
2023,2,7.98
2023,3,7.591
2023,4,8.463
2023,5,9.564
2023,6,9.643
2023,7,9.951
2023,8,11.021
2023,9,10.186
2023,10,10.261
2023,11,9.992
2023,12,9.323
2024,1,8.936
2024,2,8.863
2024,3,8.825
2024,4,9.225
2024,5,9.312
2024,6,9.352
2024,7,10.15
2024,8,10.353
2024,9,10.163
2024,10,9.169
2024,11,9.317
2024,12,8.977
2025,1,8.843
2025,2,8.877
2025,3,9.007
2025,4,9.832
2025,5,10.663
2025,6,11.613
2025,7,12.235
2025,8,12.258
2025,9,11.568
2025,10,10.831
2025,11,10.1
2025,12,9.382
2026,1,8.843
2026,2,8.877
2026,3,9.007
2026,4,9.832
2026,5,10.663
2026,6,11.613
2026,7,12.235
2026,8,12.258
2026,9,11.568
2026,10,10.831
2026,11,10.1
2026,12,9.382
2027,1,8.843
2027,2,8.877
2027,3,9.007
2027,4,9.832
2027,5,10.663
2027,6,11.613
2027,7,12.235
2027,8,12.258
2027,9,11.568
2027,10,10.831
2027,11,10.1
2027,12,9.382
2028,1,8.843
2028,2,8.877
2028,3,9.007
2028,4,9.832
2028,5,10.663
2028,6,11.613
2028,7,12.235
2028,8,12.258
2028,9,11.568
2028,10,10.831
2028,11,10.1
2028,12,9.382
2029,1,8.843
2029,2,8.877
2029,3,9.007
2029,4,9.832
2029,5,10.663
2029,6,11.613
2029,7,12.235
2029,8,12.258
2029,9,11.568
2029,10,10.831
2029,11,10.1
2029,12,9.382
2030,1,8.843
2030,2,8.877
2030,3,9.007
2030,4,9.832
2030,5,10.663
2030,6,11.613
2030,7,12.235
2030,8,12.258
2030,9,11.568
2030,10,10.831
2030,11,10.1
2030,12,9.382
2031,1,8.843
2031,2,8.877
2031,3,9.007
2031,4,9.832
2031,5,10.663
2031,6,11.613
2031,7,12.235
2031,8,12.258
2031,9,11.568
2031,10,10.831
2031,11,10.1
2031,12,9.382
2032,1,8.843
2032,2,8.877
2032,3,9.007
2032,4,9.832
2032,5,10.663
2032,6,11.613
2032,7,12.235
2032,8,12.258
2032,9,11.568
2032,10,10.831
2032,11,10.1
2032,12,9.382
2033,1,8.843
2033,2,8.877
2033,3,9.007
2033,4,9.832
2033,5,10.663
2033,6,11.613
2033,7,12.235
2033,8,12.258
2033,9,11.568
2033,10,10.831
2033,11,10.1
2033,12,9.382
2034,1,8.843
2034,2,8.877
2034,3,9.007
2034,4,9.832
2034,5,10.663
2034,6,11.613
2034,7,12.235
2034,8,12.258
2034,9,11.568
2034,10,10.831
2034,11,10.1
2034,12,9.382
2035,1,8.843
2035,2,8.877
2035,3,9.007
2035,4,9.832
2035,5,10.663
2035,6,11.613
2035,7,12.235
2035,8,12.258
2035,9,11.568
2035,10,10.831
2035,11,10.1
2035,12,9.382
2036,1,8.843
2036,2,8.877
2036,3,9.007
2036,4,9.832
2036,5,10.663
2036,6,11.613
2036,7,12.235
2036,8,12.258
2036,9,11.568
2036,10,10.831
2036,11,10.1
2036,12,9.382
2037,1,8.843
2037,2,8.877
2037,3,9.007
2037,4,9.832
2037,5,10.663
2037,6,11.613
2037,7,12.235
2037,8,12.258
2037,9,11.568
2037,10,10.831
2037,11,10.1
2037,12,9.382
2038,1,8.843
2038,2,8.877
2038,3,9.007
2038,4,9.832
2038,5,10.663
2038,6,11.613
2038,7,12.235
2038,8,12.258
2038,9,11.568
2038,10,10.831
2038,11,10.1
2038,12,9.382
2039,1,8.843
2039,2,8.877
2039,3,9.007
2039,4,9.832
2039,5,10.663
2039,6,11.613
2039,7,12.235
2039,8,12.258
2039,9,11.568
2039,10,10.831
2039,11,10.1
2039,12,9.382
2040,1,8.843
2040,2,8.877
2040,3,9.007
2040,4,9.832
2040,5,10.663
2040,6,11.613
2040,7,12.235
2040,8,12.258
2040,9,11.568
2040,10,10.831
2040,11,10.1
2040,12,9.382
2041,1,8.843
2041,2,8.877
2041,3,9.007
2041,4,9.832
2041,5,10.663
2041,6,11.613
2041,7,12.235
2041,8,12.258
2041,9,11.568
2041,10,10.831
2041,11,10.1
2041,12,9.382
2042,1,8.843
2042,2,8.877
2042,3,9.007
2042,4,9.832
2042,5,10.663
2042,6,11.613
2042,7,12.235
2042,8,12.258
2042,9,11.568
2042,10,10.831
2042,11,10.1
2042,12,9.382
2043,1,8.843
2043,2,8.877
2043,3,9.007
2043,4,9.832
2043,5,10.663
2043,6,11.613
2043,7,12.235
2043,8,12.258
2043,9,11.568
2043,10,10.831
2043,11,10.1
2043,12,9.382
2044,1,8.843
2044,2,8.877
2044,3,9.007
2044,4,9.832
2044,5,10.663
2044,6,11.613
2044,7,12.235
2044,8,12.258
2044,9,11.568
2044,10,10.831
2044,11,10.1
2044,12,9.382
2045,1,8.843
2045,2,8.877
2045,3,9.007
2045,4,9.832
2045,5,10.663
2045,6,11.613
2045,7,12.235
2045,8,12.258
2045,9,11.568
2045,10,10.831
2045,11,10.1
2045,12,9.382
2046,1,8.843
2046,2,8.877
2046,3,9.007
2046,4,9.832
2046,5,10.663
2046,6,11.613
2046,7,12.235
2046,8,12.258
2046,9,11.568
2046,10,10.831
2046,11,10.1
2046,12,9.382
2047,1,8.843
2047,2,8.877
2047,3,9.007
2047,4,9.832
2047,5,10.663
2047,6,11.613
2047,7,12.235
2047,8,12.258
2047,9,11.568
2047,10,10.831
2047,11,10.1
2047,12,9.382
2048,1,8.843
2048,2,8.877
2048,3,9.007
2048,4,9.832
2048,5,10.663
2048,6,11.613
2048,7,12.235
2048,8,12.258
2048,9,11.568
2048,10,10.831
2048,11,10.1
2048,12,9.382
2049,1,8.843
2049,2,8.877
2049,3,9.007
2049,4,9.832
