year,month,sst
2012,1,6.504
2012,2,6.723
2012,3,7.156
2012,4,9.599
2012,5,12.275
2012,6,14.61
2012,7,17.977
2012,8,17.895
2012,9,14.713
2012,10,11.233
2012,11,8.849
2012,12,7.401
2013,1,6.178
2013,2,7.065
2013,3,8.014
2013,4,10.193
2013,5,13.189
2013,6,16.225
2013,7,18.563
2013,8,18.455
2013,9,16.304
2013,10,11.445
2013,11,9.316
2013,12,7.415
2014,1,6.999
2014,2,6.564
2014,3,7.572
2014,4,9.727
2014,5,14.149
2014,6,16.388
2014,7,18.259
2014,8,19.021
2014,9,16.334
2014,10,12.912
2014,11,9.25
2014,12,7.808
2015,1,7.142
2015,2,8.322
2015,3,9.146
2015,4,10.866
2015,5,15.362
2015,6,16.973
2015,7,17.595
2015,8,17.139
2015,9,14.596
2015,10,12.859
2015,11,9.788
2015,12,8.409
2016,1,7.021
2016,2,7.931
2016,3,8.845
2016,4,11.884
2016,5,14.485
2016,6,17.144
2016,7,18.435
2016,8,16.971
2016,9,15.245
2016,10,11.869
2016,11,10.141
2016,12,7.168
2017,1,6.659
2017,2,6.388
2017,3,7.57
2017,4,9.691
2017,5,13.158
2017,6,15.809
2017,7,18.402
2017,8,18.238
2017,9,16.513
2017,10,11.926
2017,11,9.168
2017,12,6.87
2018,1,7.067
2018,2,6.813
2018,3,7.994
2018,4,9.983
2018,5,14.996
2018,6,16.294
2018,7,18.002
2018,8,18.906
2018,9,14.893
2018,10,11.967
2018,11,9.647
2018,12,8.056
2019,1,7.281
2019,2,6.31
2019,3,7.985
2019,4,10.199
2019,5,13.686
2019,6,16.973
2019,7,18.98
2019,8,18.853
2019,9,16.13
2019,10,11.488
2019,11,9.646
2019,12,8.125
2020,1,7.397
2020,2,6.848
2020,3,7.771
2020,4,10.325
2020,5,14.266
2020,6,15.966
2020,7,18.195
2020,8,18.548
2020,9,16.861
2020,10,13.366
2020,11,9.556
2020,12,8.316
2021,1,7.623
2021,2,6.705
2021,3,7.845
2021,4,10.245
2021,5,13.875
2021,6,18.0
2021,7,20.385
2021,8,19.351
2021,9,15.513
2021,10,11.773
2021,11,8.712
2021,12,7.193
2022,1,6.341
2022,2,6.903
2022,3,8.1
2022,4,9.166
2022,5,11.735
2022,6,14.83
2022,7,18.243
2022,8,19.528
2022,9,16.237
2022,10,13.049
2022,11,8.608
2022,12,7.518
2023,1,7.004
2023,2,7.061
2023,3,7.483
2023,4,8.988
2023,5,14.928
2023,6,15.893
2023,7,17.854
2023,8,17.388
2023,9,14.932
2023,10,11.547
2023,11,9.282
2023,12,8.367
2024,1,7.482
2024,2,7.363
2024,3,8.39
2024,4,9.979
2024,5,12.599
2024,6,15.035
2024,7,18.002
2024,8,18.64
2024,9,15.603
2024,10,11.468
2024,11,9.243
2024,12,8.024
2025,1,7.829
2025,2,7.928
2025,3,8.68
2025,4,10.529
2025,5,13.73
2025,6,16.519
2025,7,18.651
2025,8,18.631
2025,9,15.858
2025,10,12.474
2025,11,9.965
2025,12,8.285
2026,1,7.829
2026,2,7.928
2026,3,8.68
2026,4,10.529
2026,5,13.73
2026,6,16.519
2026,7,18.651
2026,8,18.631
2026,9,15.858
2026,10,12.474
2026,11,9.965
2026,12,8.285
2027,1,7.829
2027,2,7.928
2027,3,8.68
2027,4,10.529
2027,5,13.73
2027,6,16.519
2027,7,18.651
2027,8,18.631
2027,9,15.858
2027,10,12.474
2027,11,9.965
2027,12,8.285
2028,1,7.829
2028,2,7.928
2028,3,8.68
2028,4,10.529
2028,5,13.73
2028,6,16.519
2028,7,18.651
2028,8,18.631
2028,9,15.858
2028,10,12.474
2028,11,9.965
2028,12,8.285
2029,1,7.829
2029,2,7.928
2029,3,8.68
2029,4,10.529
2029,5,13.73
2029,6,16.519
2029,7,18.651
2029,8,18.631
2029,9,15.858
2029,10,12.474
2029,11,9.965
2029,12,8.285
2030,1,7.829
2030,2,7.928
2030,3,8.68
2030,4,10.529
2030,5,13.73
2030,6,16.519
2030,7,18.651
2030,8,18.631
2030,9,15.858
2030,10,12.474
2030,11,9.965
2030,12,8.285
2031,1,7.829
2031,2,7.928
2031,3,8.68
2031,4,10.529
2031,5,13.73
2031,6,16.519
2031,7,18.651
2031,8,18.631
2031,9,15.858
2031,10,12.474
2031,11,9.965
2031,12,8.285
2032,1,7.829
2032,2,7.928
2032,3,8.68
2032,4,10.529
2032,5,13.73
2032,6,16.519
2032,7,18.651
2032,8,18.631
2032,9,15.858
2032,10,12.474
2032,11,9.965
2032,12,8.285
2033,1,7.829
2033,2,7.928
2033,3,8.68
2033,4,10.529
2033,5,13.73
2033,6,16.519
2033,7,18.651
2033,8,18.631
2033,9,15.858
2033,10,12.474
2033,11,9.965
2033,12,8.285
2034,1,7.829
2034,2,7.928
2034,3,8.68
2034,4,10.529
2034,5,13.73
2034,6,16.519
2034,7,18.651
2034,8,18.631
2034,9,15.858
2034,10,12.474
2034,11,9.965
2034,12,8.285
2035,1,7.829
2035,2,7.928
2035,3,8.68
2035,4,10.529
2035,5,13.73
2035,6,16.519
2035,7,18.651
2035,8,18.631
2035,9,15.858
2035,10,12.474
2035,11,9.965
2035,12,8.285
2036,1,7.829
2036,2,7.928
2036,3,8.68
2036,4,10.529
2036,5,13.73
2036,6,16.519
2036,7,18.651
2036,8,18.631
2036,9,15.858
2036,10,12.474
2036,11,9.965
2036,12,8.285
2037,1,7.829
2037,2,7.928
2037,3,8.68
2037,4,10.529
2037,5,13.73
2037,6,16.519
2037,7,18.651
2037,8,18.631
2037,9,15.858
2037,10,12.474
2037,11,9.965
2037,12,8.285
2038,1,7.829
2038,2,7.928
2038,3,8.68
2038,4,10.529
2038,5,13.73
2038,6,16.519
2038,7,18.651
2038,8,18.631
2038,9,15.858
2038,10,12.474
2038,11,9.965
2038,12,8.285
2039,1,7.829
2039,2,7.928
2039,3,8.68
2039,4,10.529
2039,5,13.73
2039,6,16.519
2039,7,18.651
2039,8,18.631
2039,9,15.858
2039,10,12.474
