year,month,sst
2012,1,7.555
2012,2,7.334
2012,3,7.516
2012,4,9.608
2012,5,9.724
2012,6,10.062
2012,7,10.704
2012,8,11.515
2012,9,10.93
2012,10,9.911
2012,11,10.536
2012,12,9.38
2013,1,7.611
2013,2,7.657
2013,3,7.831
2013,4,8.578
2013,5,9.89
2013,6,11.297
2013,7,11.709
2013,8,10.923
2013,9,11.81
2013,10,10.852
2013,11,8.722
2013,12,7.473
2014,1,7.463
2014,2,7.172
2014,3,8.531
2014,4,9.768
2014,5,11.994
2014,6,10.885
2014,7,11.124
2014,8,11.51
2014,9,11.661
2014,10,12.844
2014,11,11.491
2014,12,10.468
2015,1,9.268
2015,2,9.723
2015,3,9.79
2015,4,9.872
2015,5,10.105
2015,6,11.069
2015,7,12.184
2015,8,12.171
2015,9,12.29
2015,10,11.521
2015,11,11.239
2015,12,9.645
2016,1,8.96
2016,2,9.693
2016,3,9.805
2016,4,10.778
2016,5,10.925
2016,6,11.257
2016,7,12.029
2016,8,12.325
2016,9,11.654
2016,10,11.782
2016,11,12.244
2016,12,9.392
2017,1,7.778
2017,2,7.971
2017,3,8.671
2017,4,10.104
2017,5,10.617
2017,6,11.581
2017,7,11.43
2017,8,11.871
2017,9,11.622
2017,10,10.536
2017,11,10.207
2017,12,8.997
2018,1,8.969
2018,2,8.142
2018,3,8.528
2018,4,9.711
2018,5,10.441
2018,6,11.209
2018,7,11.849
2018,8,12.147
2018,9,11.445
2018,10,10.666
2018,11,10.149
2018,12,9.34
2019,1,8.915
2019,2,8.035
2019,3,8.565
2019,4,10.211
2019,5,10.812
2019,6,10.787
2019,7,12.306
2019,8,12.236
2019,9,12.849
2019,10,10.305
2019,11,9.08
2019,12,8.648
2020,1,8.794
2020,2,8.244
2020,3,8.08
2020,4,9.119
2020,5,11.847
2020,6,10.94
2020,7,11.48
2020,8,12.222
2020,9,11.543
2020,10,10.713
2020,11,9.876
2020,12,9.334
2021,1,9.185
2021,2,8.54
2021,3,8.414
2021,4,8.219
2021,5,9.318
2021,6,11.728
2021,7,11.577
2021,8,11.979
2021,9,11.015
2021,10,11.062
2021,11,10.25
2021,12,8.894
2022,1,7.677
2022,2,7.73
2022,3,8.368
2022,4,8.596
2022,5,10.209
2022,6,10.542
2022,7,10.512
2022,8,11.038
2022,9,10.578
2022,10,9.839
2022,11,8.936
2022,12,8.248
2023,1,8.485
2023,2,8.057
2023,3,7.571
2023,4,8.948
2023,5,10.052
2023,6,9.459
2023,7,9.896
2023,8,10.964
2023,9,10.431
2023,10,11.443
2023,11,10.729
2023,12,9.574
2024,1,9.154
2024,2,9.347
2024,3,9.276
2024,4,9.626
2024,5,9.449
2024,6,9.579
2024,7,10.026
2024,8,10.864
2024,9,10.239
2024,10,9.357
2024,11,10.078
2024,12,9.265
2025,1,9.148
2025,2,9.1
2025,3,9.272
2025,4,10.179
2025,5,11.058
2025,6,12.024
2025,7,12.48
2025,8,12.472
2025,9,11.974
2025,10,11.475
2025,11,10.861
2025,12,9.769
2026,1,9.148
2026,2,9.1
2026,3,9.272
2026,4,10.179
2026,5,11.058
2026,6,12.024
2026,7,12.48
2026,8,12.472
2026,9,11.974
2026,10,11.475
2026,11,10.861
2026,12,9.769
2027,1,9.148
2027,2,9.1
2027,3,9.272
2027,4,10.179
2027,5,11.058
2027,6,12.024
2027,7,12.48
2027,8,12.472
2027,9,11.974
2027,10,11.475
2027,11,10.861
2027,12,9.769
2028,1,9.148
2028,2,9.1
2028,3,9.272
2028,4,10.179
2028,5,11.058
2028,6,12.024
2028,7,12.48
2028,8,12.472
2028,9,11.974
2028,10,11.475
2028,11,10.861
2028,12,9.769
2029,1,9.148
2029,2,9.1
2029,3,9.272
2029,4,10.179
2029,5,11.058
2029,6,12.024
2029,7,12.48
2029,8,12.472
2029,9,11.974
2029,10,11.475
2029,11,10.861
2029,12,9.769
2030,1,9.148
2030,2,9.1
2030,3,9.272
2030,4,10.179
2030,5,11.058
2030,6,12.024
2030,7,12.48
2030,8,12.472
2030,9,11.974
2030,10,11.475
2030,11,10.861
2030,12,9.769
2031,1,9.148
2031,2,9.1
2031,3,9.272
2031,4,10.179
2031,5,11.058
2031,6,12.024
2031,7,12.48
2031,8,12.472
2031,9,11.974
2031,10,11.475
2031,11,10.861
2031,12,9.769
2032,1,9.148
2032,2,9.1
2032,3,9.272
2032,4,10.179
2032,5,11.058
2032,6,12.024
2032,7,12.48
2032,8,12.472
2032,9,11.974
2032,10,11.475
2032,11,10.861
2032,12,9.769
2033,1,9.148
2033,2,9.1
2033,3,9.272
2033,4,10.179
2033,5,11.058
2033,6,12.024
2033,7,12.48
2033,8,12.472
2033,9,11.974
2033,10,11.475
2033,11,10.861
2033,12,9.769
2034,1,9.148
2034,2,9.1
2034,3,9.272
2034,4,10.179
2034,5,11.058
2034,6,12.024
2034,7,12.48
2034,8,12.472
2034,9,11.974
2034,10,11.475
2034,11,10.861
2034,12,9.769
2035,1,9.148
2035,2,9.1
2035,3,9.272
2035,4,10.179
2035,5,11.058
2035,6,12.024
2035,7,12.48
2035,8,12.472
2035,9,11.974
2035,10,11.475
2035,11,10.861
2035,12,9.769
2036,1,9.148
2036,2,9.1
2036,3,9.272
2036,4,10.179
2036,5,11.058
2036,6,12.024
