year,month,sst
2012,1,4.975
2012,2,4.552
2012,3,3.972
2012,4,5.919
2012,5,6.582
2012,6,8.483
2012,7,10.249
2012,8,11.912
2012,9,11.296
2012,10,8.879
2012,11,7.813
2012,12,6.212
2013,1,5.634
2013,2,5.755
2013,3,4.869
2013,4,5.019
2013,5,6.232
2013,6,10.534
2013,7,14.019
2013,8,14.33
2013,9,12.685
2013,10,9.715
2013,11,7.882
2013,12,6.005
2014,1,5.777
2014,2,5.115
2014,3,5.373
2014,4,5.632
2014,5,8.436
2014,6,10.187
2014,7,13.159
2014,8,14.107
2014,9,13.182
2014,10,10.267
2014,11,9.241
2014,12,8.103
2015,1,7.067
2015,2,6.622
2015,3,6.32
2015,4,6.674
2015,5,8.39
2015,6,11.623
2015,7,13.911
2015,8,14.848
2015,9,12.5
2015,10,10.014
2015,11,8.422
2015,12,7.385
2016,1,6.862
2016,2,6.536
2016,3,6.73
2016,4,7.285
2016,5,9.068
2016,6,12.098
2016,7,14.817
2016,8,14.732
2016,9,13.78
2016,10,10.943
2016,11,9.403
2016,12,7.728
2017,1,6.516
2017,2,5.835
2017,3,5.137
2017,4,6.009
2017,5,7.405
2017,6,10.291
2017,7,13.233
2017,8,14.174
2017,9,11.962
2017,10,9.683
2017,11,7.448
2017,12,6.18
2018,1,6.145
2018,2,5.791
2018,3,5.418
2018,4,5.785
2018,5,7.099
2018,6,10.196
2018,7,12.474
2018,8,13.131
2018,9,13.499
2018,10,10.928
2018,11,8.773
2018,12,7.853
2019,1,7.075
2019,2,6.542
2019,3,6.027
2019,4,6.417
2019,5,7.89
2019,6,10.774
2019,7,14.992
2019,8,15.284
2019,9,14.048
2019,10,10.267
2019,11,8.274
2019,12,7.41
2020,1,6.175
2020,2,5.84
2020,3,4.989
2020,4,6.057
2020,5,7.701
2020,6,10.73
2020,7,13.625
2020,8,13.926
2020,9,12.969
2020,10,10.409
2020,11,8.203
2020,12,6.826
2021,1,6.6
2021,2,6.08
2021,3,5.458
2021,4,5.54
2021,5,7.254
2021,6,9.458
2021,7,11.885
2021,8,13.999
2021,9,12.194
2021,10,9.539
2021,11,7.118
2021,12,6.158
2022,1,5.449
2022,2,4.853
2022,3,5.022
2022,4,5.929
2022,5,7.505
2022,6,11.668
2022,7,13.331
2022,8,13.825
2022,9,12.839
2022,10,10.084
2022,11,7.392
2022,12,6.453
2023,1,5.927
2023,2,5.321
2023,3,4.955
2023,4,5.639
2023,5,6.761
2023,6,9.509
2023,7,12.818
2023,8,14.446
2023,9,12.808
2023,10,10.174
2023,11,8.394
2023,12,7.438
2024,1,6.479
2024,2,5.971
2024,3,5.372
2024,4,6.361
2024,5,7.636
2024,6,9.487
2024,7,12.512
2024,8,14.069
2024,9,12.493
2024,10,9.787
2024,11,7.844
2024,12,6.855
2025,1,5.778
2025,2,5.186
2025,3,4.952
2025,4,5.509
2025,5,7.321
2025,6,9.737
2025,7,12.343
2025,8,13.198
2025,9,11.924
2025,10,9.537
2025,11,7.6
2025,12,6.514
2026,1,5.778
2026,2,5.186
2026,3,4.952
2026,4,5.509
2026,5,7.321
2026,6,9.737
2026,7,12.343
2026,8,13.198
2026,9,11.924
2026,10,9.537
2026,11,7.6
2026,12,6.514
2027,1,5.778
2027,2,5.186
2027,3,4.952
2027,4,5.509
2027,5,7.321
2027,6,9.737
2027,7,12.343
2027,8,13.198
2027,9,11.924
2027,10,9.537
2027,11,7.6
2027,12,6.514
2028,1,5.778
2028,2,5.186
2028,3,4.952
2028,4,5.509
2028,5,7.321
2028,6,9.737
2028,7,12.343
2028,8,13.198
2028,9,11.924
2028,10,9.537
2028,11,7.6
2028,12,6.514
2029,1,5.778
2029,2,5.186
2029,3,4.952
2029,4,5.509
2029,5,7.321
2029,6,9.737
2029,7,12.343
2029,8,13.198
2029,9,11.924
2029,10,9.537
2029,11,7.6
2029,12,6.514
2030,1,5.777
2030,2,5.151
2030,3,5.162
2030,4,5.57
2030,5,7.879
2030,6,9.962
2030,7,13.911
2030,8,14.848
2030,9,12.5
2030,10,10.014
2030,11,8.422
