year,month,sst
2012,1,2.995
2012,2,1.24
2012,3,0.991
2012,4,1.83
2012,5,4.306
2012,6,7.996
2012,7,10.162
2012,8,10.524
2012,9,9.754
2012,10,8.444
2012,11,6.027
2012,12,3.885
2013,1,3.828
2013,2,3.412
2013,3,2.821
2013,4,3.293
2013,5,4.62
2013,6,7.639
2013,7,10.293
2013,8,11.544
2013,9,10.848
2013,10,8.793
2013,11,6.964
2013,12,5.281
2014,1,4.246
2014,2,3.694
2014,3,3.399
2014,4,4.116
2014,5,7.623
2014,6,9.377
2014,7,12.79
2014,8,14.309
2014,9,13.054
2014,10,10.233
2014,11,7.901
2014,12,6.958
2015,1,6.218
2015,2,5.662
2015,3,5.181
2015,4,5.052
2015,5,6.909
2015,6,10.262
2015,7,11.61
2015,8,13.085
2015,9,11.348
2015,10,9.089
2015,11,7.978
2015,12,6.38
2016,1,5.056
2016,2,5.091
2016,3,5.11
2016,4,5.844
2016,5,7.31
2016,6,10.401
2016,7,12.98
2016,8,13.793
2016,9,13.094
2016,10,10.535
2016,11,8.279
2016,12,6.675
2017,1,5.596
2017,2,3.988
2017,3,3.269
2017,4,3.905
2017,5,6.103
2017,6,9.102
2017,7,12.018
2017,8,12.383
2017,9,10.957
2017,10,9.481
2017,11,7.652
2017,12,5.691
2018,1,4.902
2018,2,3.964
2018,3,4.02
2018,4,4.181
2018,5,5.699
2018,6,8.348
2018,7,10.606
2018,8,11.555
2018,9,11.572
2018,10,10.164
2018,11,7.993
2018,12,5.856
2019,1,5.023
2019,2,4.84
2019,3,4.855
2019,4,5.193
2019,5,6.733
2019,6,10.455
2019,7,13.061
2019,8,14.074
2019,9,12.344
2019,10,10.214
2019,11,8.272
2019,12,6.366
2020,1,4.651
2020,2,3.356
2020,3,3.06
2020,4,3.822
2020,5,6.601
2020,6,8.96
2020,7,12.446
2020,8,13.104
2020,9,11.371
2020,10,9.95
2020,11,7.939
2020,12,6.266
2021,1,5.159
2021,2,5.277
2021,3,4.602
2021,4,4.537
2021,5,6.118
2021,6,8.256
2021,7,11.32
2021,8,12.489
2021,9,11.081
2021,10,8.676
2021,11,6.377
2021,12,4.12
2022,1,3.043
2022,2,2.88
2022,3,3.215
2022,4,3.505
2022,5,5.672
2022,6,9.747
2022,7,11.405
2022,8,12.208
2022,9,11.249
2022,10,9.587
2022,11,7.081
2022,12,5.55
2023,1,4.703
2023,2,4.426
2023,3,3.716
2023,4,3.822
2023,5,5.047
2023,6,7.56
2023,7,10.051
2023,8,12.183
2023,9,10.834
2023,10,9.035
2023,11,7.558
2023,12,5.831
2024,1,4.613
2024,2,3.902
2024,3,3.372
2024,4,3.521
2024,5,5.106
2024,6,8.334
2024,7,11.24
2024,8,10.969
2024,9,10.576
2024,10,9.346
2024,11,7.424
2024,12,5.756
2025,1,3.912
2025,2,3.259
2025,3,2.943
2025,4,3.072
2025,5,5.123
2025,6,8.084
2025,7,10.939
2025,8,11.918
2025,9,10.921
2025,10,9.14
2025,11,6.878
2025,12,5.105
2026,1,3.912
2026,2,3.259
2026,3,2.943
2026,4,3.072
2026,5,5.123
2026,6,8.084
2026,7,10.939
2026,8,11.918
2026,9,10.921
2026,10,9.14
2026,11,6.878
2026,12,5.105
2027,1,3.912
2027,2,3.259
2027,3,2.943
2027,4,3.072
2027,5,5.123
2027,6,8.084
2027,7,10.939
2027,8,11.918
2027,9,10.921
2027,10,9.14
2027,11,6.878
2027,12,5.105
2028,1,3.912
2028,2,3.259
2028,3,2.943
2028,4,3.072
2028,5,5.123
2028,6,8.084
2028,7,10.939
2028,8,11.918
2028,9,10.921
2028,10,9.14
2028,11,6.878
2028,12,5.105
2029,1,3.912
2029,2,3.259
2029,3,2.943
2029,4,3.072
2029,5,5.123
2029,6,8.084
2029,7,10.939
2029,8,11.918
2029,9,10.921
2029,10,9.14
2029,11,6.878
2029,12,5.105
2030,1,4.079
2030,2,3.477
2030,3,3.171
2030,4,3.594
2030,5,6.373
2030,6,8.731
2030,7,11.61
2030,8,13.085
2030,9,11.348
2030,10,9.089
2030,11,7.978
2030,12,6.38
2031,1,6.218
2031,2,5.662
2031,3,5.181
2031,4,5.052
2031,5,6.909
2031,6,10.262
2031,7,11.61
2031,8,13.085
2031,9,11.348
2031,10,9.089
2031,11,7.978
2031,12,6.38
2032,1,6.218
2032,2,5.662
2032,3,5.181
2032,4,5.052
2032,5,6.909
2032,6,10.262
2032,7,11.96
2032,8,12.855
2032,9,12.008
2032,10,9.837
2032,11,7.578
2032,12,5.89
2033,1,4.079
2033,2,3.477
2033,3,3.171
2033,4,3.594
2033,5,6.373
2033,6,8.731
2033,7,11.61
2033,8,13.085
2033,9,11.348
2033,10,9.089
2033,11,7.978
2033,12,6.38
2034,1,6.218
2034,2,5.662
2034,3,5.181
2034,4,5.052
2034,5,6.909
2034,6,10.262
2034,7,11.96
2034,8,12.855
2034,9,12.008
2034,10,9.837
2034,11,7.578
2034,12,5.89
2035,1,3.912
2035,2,3.259
2035,3,2.943
2035,4,3.072
2035,5,5.123
2035,6,8.084
2035,7,10.939
2035,8,11.918
2035,9,10.921
2035,10,9.14
2035,11,6.878
2035,12,5.105
2036,1,3.912
2036,2,3.259
2036,3,2.943
2036,4,3.072
2036,5,5.123
2036,6,8.084
2036,7,10.939
2036,8,11.918
2036,9,10.921
2036,10,9.14
2036,11,6.878
2036,12,5.105
2037,1,3.912
2037,2,3.259
2037,3,2.943
2037,4,3.072
2037,5,5.123
2037,6,8.084
2037,7,10.939
2037,8,11.918
2037,9,10.921
2037,10,9.14
2037,11,6.878
2037,12,5.105
2038,1,3.912
2038,2,3.259
2038,3,2.943
2038,4,3.072
2038,5,5.123
2038,6,8.084
2038,7,10.939
2038,8,11.918
2038,9,10.921
2038,10,9.14
2038,11,6.878
2038,12,5.105
2039,1,3.912
2039,2,3.259
2039,3,2.943
2039,4,3.072
2039,5,5.123
2039,6,8.084
2039,7,10.939
2039,8,11.918
2039,9,10.921
2039,10,9.14
2039,11,6.878
2039,12,5.105
2040,1,3.912
2040,2,3.259
2040,3,2.943
2040,4,3.072
2040,5,5.123
2040,6,8.084
2040,7,10.939
2040,8,11.918
2040,9,10.921
2040,10,9.14
2040,11,6.878
2040,12,5.105
2041,1,3.912
2041,2,3.259
2041,3,2.943
2041,4,3.072
2041,5,5.123
2041,6,8.084
2041,7,10.939
2041,8,11.918
2041,9,10.921
2041,10,9.14
2041,11,6.878
2041,12,5.105
2042,1,3.912
2042,2,3.259
2042,3,2.943
2042,4,3.072
2042,5,5.123
2042,6,8.084
2042,7,10.939
2042,8,11.918
2042,9,10.921
2042,10,9.14
2042,11,6.878
2042,12,5.105
2043,1,3.912
2043,2,3.259
2043,3,2.943
2043,4,3.072
2043,5,5.123
2043,6,8.084
2043,7,10.939
2043,8,11.918
2043,9,10.921
2043,10,9.14
2043,11,6.878
2043,12,5.105
2044,1,3.912
2044,2,3.259
2044,3,2.943
2044,4,3.072
2044,5,5.123
2044,6,8.084
2044,7,10.939
2044,8,11.918
2044,9,10.921
2044,10,9.14
2044,11,6.878
2044,12,5.105
2045,1,3.912
2045,2,3.259
2045,3,2.943
2045,4,3.072
2045,5,5.123
2045,6,8.084
2045,7,10.939
2045,8,11.918
2045,9,10.921
2045,10,9.14
2045,11,6.878
2045,12,5.105
2046,1,3.912
2046,2,3.259
2046,3,2.943
2046,4,3.072
2046,5,5.123
2046,6,8.084
2046,7,10.939
2046,8,11.918
2046,9,10.921
2046,10,9.14
2046,11,6.878
2046,12,5.105
2047,1,3.912
2047,2,3.259
2047,3,2.943
2047,4,3.072
2047,5,5.123
2047,6,8.084
2047,7,10.939
2047,8,11.918
2047,9,10.921
2047,10,9.14
2047,11,6.878
2047,12,5.105
2048,1,3.912
2048,2,3.259
2048,3,2.943
2048,4,3.072
2048,5,5.123
2048,6,8.084
2048,7,10.939
2048,8,11.918
2048,9,10.921
2048,10,9.14
2048,11,6.878
2048,12,5.105
2049,1,3.912
2049,2,3.259
2049,3,2.943
2049,4,3.072
2049,5,5.123
2049,6,8.084
2049,7,10.939
2049,8,11.918
2049,9,10.921
2049,10,9.14
2049,11,6.878
2049,12,5.105
2050,1,3.912
2050,2,3.259
2050,3,2.943
2050,4,3.072
2050,5,5.123
2050,6,8.084
2050,7,10.939
2050,8,11.918
2050,9,10.921
2050,10,9.14
2050,11,6.878
2050,12,5.105
