year,month,sst
2012,1,7.909
2012,2,7.277
2012,3,7.55
2012,4,9.0
2012,5,9.431
2012,6,10.641
2012,7,11.613
2012,8,12.152
2012,9,11.402
2012,10,8.989
2012,11,8.537
2012,12,8.795
2013,1,7.706
2013,2,8.445
2013,3,8.163
2013,4,9.337
2013,5,10.362
2013,6,10.434
2013,7,11.464
2013,8,11.438
2013,9,11.573
2013,10,11.819
2013,11,9.118
2013,12,7.432
2014,1,7.149
2014,2,6.861
2014,3,8.075
2014,4,9.277
2014,5,12.035
2014,6,11.771
2014,7,12.025
2014,8,13.131
2014,9,12.849
2014,10,10.767
2014,11,9.957
2014,12,8.976
2015,1,7.728
2015,2,8.879
2015,3,8.982
2015,4,10.077
2015,5,10.908
2015,6,10.951
2015,7,13.131
2015,8,13.175
2015,9,11.772
2015,10,9.645
2015,11,9.417
2015,12,7.933
2016,1,7.149
2016,2,8.921
2016,3,8.755
2016,4,10.483
2016,5,11.513
2016,6,12.833
2016,7,12.714
2016,8,14.566
2016,9,13.276
2016,10,10.949
2016,11,11.43
2016,12,8.345
2017,1,7.252
2017,2,7.314
2017,3,7.715
2017,4,8.519
2017,5,11.244
2017,6,11.743
2017,7,11.74
2017,8,12.863
2017,9,13.809
2017,10,10.65
2017,11,8.697
2017,12,8.287
2018,1,7.821
2018,2,7.54
2018,3,8.138
2018,4,9.019
2018,5,11.589
2018,6,11.606
2018,7,12.966
2018,8,12.92
2018,9,12.512
2018,10,10.833
2018,11,8.394
2018,12,7.248
2019,1,6.898
2019,2,6.663
2019,3,7.778
2019,4,9.41
2019,5,11.881
2019,6,12.274
2019,7,11.88
2019,8,12.62
2019,9,11.286
2019,10,9.911
2019,11,9.096
2019,12,7.418
2020,1,6.189
2020,2,7.372
2020,3,7.91
2020,4,9.099
2020,5,10.298
2020,6,10.88
2020,7,12.737
2020,8,13.81
2020,9,13.332
2020,10,10.664
2020,11,9.565
2020,12,8.615
2021,1,7.629
2021,2,7.31
2021,3,9.039
2021,4,10.101
2021,5,10.848
2021,6,12.745
2021,7,14.153
2021,8,13.47
2021,9,11.296
2021,10,10.228
2021,11,8.074
2021,12,7.982
2022,1,7.315
2022,2,7.43
2022,3,7.753
2022,4,7.854
2022,5,8.609
2022,6,9.929
2022,7,11.039
2022,8,12.118
2022,9,10.618
2022,10,9.324
2022,11,7.826
2022,12,7.437
2023,1,7.297
2023,2,7.223
2023,3,7.326
2023,4,7.914
2023,5,9.494
2023,6,9.701
2023,7,10.928
2023,8,11.72
2023,9,9.725
2023,10,9.154
2023,11,8.7
2023,12,8.204
2024,1,8.3
2024,2,8.207
2024,3,8.426
2024,4,8.853
2024,5,9.397
2024,6,9.77
2024,7,10.937
2024,8,10.922
2024,9,10.128
2024,10,8.45
2024,11,8.218
2024,12,8.145
2025,1,6.641
2025,2,7.169
2025,3,7.224
2025,4,8.269
2025,5,9.417
2025,6,10.92
2025,7,11.671
2025,8,11.852
2025,9,10.676
2025,10,8.789
2025,11,7.84
2025,12,7.428
2026,1,6.641
2026,2,7.169
2026,3,7.224
2026,4,8.269
2026,5,9.417
2026,6,10.92
2026,7,11.671
2026,8,11.852
2026,9,10.676
2026,10,8.789
2026,11,7.84
2026,12,7.428
2027,1,6.641
2027,2,7.169
2027,3,7.224
2027,4,8.269
2027,5,9.417
2027,6,10.92
2027,7,11.671
2027,8,11.852
2027,9,10.676
2027,10,8.789
2027,11,7.84
2027,12,7.428
2028,1,6.641
2028,2,7.169
2028,3,7.224
2028,4,8.269
2028,5,9.417
2028,6,10.92
2028,7,11.671
2028,8,11.852
2028,9,10.676
2028,10,8.789
2028,11,7.84
2028,12,7.428
2029,1,6.641
2029,2,7.169
2029,3,7.224
2029,4,8.269
2029,5,9.417
2029,6,10.92
2029,7,11.671
2029,8,11.852
2029,9,10.676
2029,10,8.789
2029,11,7.84
2029,12,7.428
2030,1,6.895
2030,2,7.015
2030,3,7.649
2030,4,8.773
2030,5,10.726
2030,6,11.346
2030,7,13.131
2030,8,13.175
2030,9,11.772
2030,10,9.645
2030,11,9.417
2030,12,7.933
2031,1,7.728
2031,2,8.879
2031,3,8.982
2031,4,10.077
2031,5,10.908
2031,6,10.951
2031,7,13.131
2031,8,13.175
2031,9,11.772
2031,10,9.645
2031,11,9.417
2031,12,7.933
2032,1,7.728
2032,2,8.879
2032,3,8.982
2032,4,10.077
2032,5,10.908
2032,6,10.951
2032,7,12.192
2032,8,13.209
2032,9,11.976
2032,10,9.869
2032,11,9.635
2032,12,7.886
2033,1,6.895
2033,2,7.015
2033,3,7.649
2033,4,8.773
2033,5,10.726
2033,6,11.346
2033,7,13.131
2033,8,13.175
2033,9,11.772
2033,10,9.645
2033,11,9.417
2033,12,7.933
2034,1,7.728
2034,2,8.879
2034,3,8.982
2034,4,10.077
2034,5,10.908
2034,6,10.951
2034,7,12.192
2034,8,13.209
2034,9,11.976
2034,10,9.869
2034,11,9.635
2034,12,7.886
2035,1,6.641
2035,2,7.169
2035,3,7.224
2035,4,8.269
2035,5,9.417
2035,6,10.92
2035,7,11.671
2035,8,11.852
2035,9,10.676
2035,10,8.789
2035,11,7.84
2035,12,7.428
2036,1,6.641
2036,2,7.169
2036,3,7.224
2036,4,8.269
2036,5,9.417
2036,6,10.92
2036,7,11.671
2036,8,11.852
2036,9,10.676
2036,10,8.789
2036,11,7.84
2036,12,7.428
2037,1,6.641
2037,2,7.169
2037,3,7.224
2037,4,8.269
2037,5,9.417
2037,6,10.92
2037,7,11.671
2037,8,11.852
2037,9,10.676
2037,10,8.789
2037,11,7.84
2037,12,7.428
2038,1,6.641
2038,2,7.169
2038,3,7.224
2038,4,8.269
2038,5,9.417
2038,6,10.92
2038,7,11.671
2038,8,11.852
2038,9,10.676
2038,10,8.789
2038,11,7.84
2038,12,7.428
2039,1,6.641
2039,2,7.169
2039,3,7.224
2039,4,8.269
2039,5,9.417
2039,6,10.92
2039,7,11.671
2039,8,11.852
2039,9,10.676
2039,10,8.789
2039,11,7.84
2039,12,7.428
2040,1,6.641
2040,2,7.169
2040,3,7.224
2040,4,8.269
2040,5,9.417
2040,6,10.92
2040,7,11.671
2040,8,11.852
2040,9,10.676
2040,10,8.789
2040,11,7.84
2040,12,7.428
2041,1,6.641
2041,2,7.169
2041,3,7.224
2041,4,8.269
2041,5,9.417
2041,6,10.92
2041,7,11.671
2041,8,11.852
2041,9,10.676
2041,10,8.789
2041,11,7.84
2041,12,7.428
2042,1,6.641
2042,2,7.169
2042,3,7.224
2042,4,8.269
2042,5,9.417
2042,6,10.92
2042,7,11.671
2042,8,11.852
2042,9,10.676
2042,10,8.789
2042,11,7.84
2042,12,7.428
2043,1,6.641
2043,2,7.169
2043,3,7.224
2043,4,8.269
2043,5,9.417
2043,6,10.92
2043,7,11.671
2043,8,11.852
2043,9,10.676
2043,10,8.789
2043,11,7.84
2043,12,7.428
