year,month,sst
2012,1,6.557
2012,2,5.957
2012,3,5.865
2012,4,6.851
2012,5,7.35
2012,6,9.331
2012,7,11.205
2012,8,12.582
2012,9,11.793
2012,10,10.035
2012,11,8.504
2012,12,7.259
2013,1,6.884
2013,2,6.84
2013,3,6.507
2013,4,7.209
2013,5,7.952
2013,6,10.477
2013,7,12.345
2013,8,12.262
2013,9,13.454
2013,10,11.6
2013,11,9.396
2013,12,7.634
2014,1,7.312
2014,2,6.061
2014,3,5.892
2014,4,6.14
2014,5,8.257
2014,6,9.968
2014,7,11.94
2014,8,14.175
2014,9,13.304
2014,10,11.745
2014,11,9.833
2014,12,9.182
2015,1,8.673
2015,2,8.218
2015,3,8.238
2015,4,8.729
2015,5,9.769
2015,6,11.194
2015,7,12.905
2015,8,13.328
2015,9,12.543
2015,10,11.331
2015,11,9.741
2015,12,8.536
2016,1,7.817
2016,2,7.882
2016,3,7.821
2016,4,8.705
2016,5,10.194
2016,6,11.576
2016,7,12.889
2016,8,13.102
2016,9,11.723
2016,10,11.214
2016,11,10.091
2016,12,8.728
2017,1,7.456
2017,2,6.746
2017,3,6.396
2017,4,7.124
2017,5,8.868
2017,6,10.235
2017,7,12.172
2017,8,12.659
2017,9,12.959
2017,10,11.171
2017,11,8.633
2017,12,7.807
2018,1,6.779
2018,2,6.512
2018,3,6.674
2018,4,7.045
2018,5,8.859
2018,6,10.752
2018,7,12.413
2018,8,12.393
2018,9,11.647
2018,10,11.096
2018,11,10.214
2018,12,8.651
2019,1,7.986
2019,2,7.007
2019,3,6.809
2019,4,7.642
2019,5,8.922
2019,6,10.699
2019,7,13.139
2019,8,13.722
2019,9,12.836
2019,10,10.985
2019,11,9.867
2019,12,8.263
2020,1,6.895
2020,2,6.328
2020,3,6.374
2020,4,6.797
2020,5,8.71
2020,6,10.403
2020,7,12.497
2020,8,13.257
2020,9,13.294
2020,10,11.158
2020,11,9.122
2020,12,7.75
2021,1,7.511
2021,2,6.251
2021,3,6.191
2021,4,6.315
2021,5,7.978
2021,6,10.284
2021,7,12.473
2021,8,13.295
2021,9,12.422
2021,10,10.572
2021,11,8.945
2021,12,7.422
2022,1,6.209
2022,2,6.342
2022,3,6.512
2022,4,6.992
2022,5,8.227
2022,6,10.418
2022,7,12.102
2022,8,13.517
2022,9,13.36
2022,10,12.248
2022,11,9.111
2022,12,6.843
2023,1,6.627
2023,2,6.708
2023,3,5.876
2023,4,6.411
2023,5,8.766
2023,6,10.353
2023,7,12.007
2023,8,13.081
2023,9,12.936
2023,10,11.728
2023,11,9.498
2023,12,8.907
2024,1,7.871
2024,2,7.534
2024,3,7.306
2024,4,7.882
2024,5,9.033
2024,6,10.366
2024,7,12.388
2024,8,13.036
2024,9,12.426
2024,10,10.844
2024,11,9.233
2024,12,8.162
2025,1,6.632
2025,2,6.317
2025,3,6.085
2025,4,6.69
2025,5,7.979
2025,6,10.089
2025,7,11.845
2025,8,12.678
2025,9,11.841
2025,10,10.426
2025,11,8.725
2025,12,7.471
2026,1,6.632
2026,2,6.317
2026,3,6.085
2026,4,6.69
2026,5,7.979
2026,6,10.089
2026,7,11.845
2026,8,12.678
2026,9,11.841
2026,10,10.426
2026,11,8.725
2026,12,7.471
2027,1,6.632
2027,2,6.317
2027,3,6.085
2027,4,6.69
2027,5,7.979
2027,6,10.089
2027,7,11.845
2027,8,12.678
2027,9,11.841
2027,10,10.426
2027,11,8.725
2027,12,7.471
2028,1,6.632
2028,2,6.317
2028,3,6.085
2028,4,6.69
2028,5,7.979
2028,6,10.089
2028,7,11.845
2028,8,12.678
2028,9,11.841
2028,10,10.426
2028,11,8.725
2028,12,7.471
2029,1,6.632
2029,2,6.317
2029,3,6.085
2029,4,6.69
2029,5,7.979
2029,6,10.089
2029,7,11.845
2029,8,12.678
2029,9,11.841
2029,10,10.426
2029,11,8.725
2029,12,7.471
2030,1,6.972
2030,2,6.189
2030,3,5.988
2030,4,6.415
2030,5,8.118
2030,6,10.029
2030,7,12.905
2030,8,13.328
2030,9,12.543
2030,10,11.331
2030,11,9.741
2030,12,8.536
2031,1,8.673
2031,2,8.218
2031,3,8.238
2031,4,8.729
2031,5,9.769
2031,6,11.194
2031,7,12.905
2031,8,13.328
2031,9,12.543
2031,10,11.331
2031,11,9.741
2031,12,8.536
2032,1,8.673
2032,2,8.218
2032,3,8.238
2032,4,8.729
2032,5,9.769
2032,6,11.194
2032,7,12.367
2032,8,12.89
2032,9,11.782
2032,10,10.82
2032,11,9.408
2032,12,8.1
2033,1,6.972
2033,2,6.189
2033,3,5.988
2033,4,6.415
2033,5,8.118
2033,6,10.029
2033,7,12.905
2033,8,13.328
2033,9,12.543
2033,10,11.331
2033,11,9.741
2033,12,8.536
2034,1,8.673
2034,2,8.218
2034,3,8.238
2034,4,8.729
2034,5,9.769
2034,6,11.194
2034,7,12.367
2034,8,12.89
2034,9,11.782
2034,10,10.82
2034,11,9.408
2034,12,8.1
2035,1,6.632
2035,2,6.317
2035,3,6.085
2035,4,6.69
2035,5,7.979
2035,6,10.089
2035,7,11.845
2035,8,12.678
2035,9,11.841
2035,10,10.426
2035,11,8.725
