year,month,sst
2012,1,10.238
2012,2,10.207
2012,3,9.413
2012,4,10.86
2012,5,10.405
2012,6,10.88
2012,7,12.317
2012,8,11.797
2012,9,12.064
2012,10,11.908
2012,11,12.897
2012,12,12.075
2013,1,10.163
2013,2,9.255
2013,3,9.4
2013,4,9.807
2013,5,10.844
2013,6,11.864
2013,7,11.653
2013,8,13.063
2013,9,15.296
2013,10,10.697
2013,11,10.488
2013,12,9.801
2014,1,10.263
2014,2,10.531
2014,3,11.016
2014,4,11.455
2014,5,12.376
2014,6,11.142
2014,7,12.974
2014,8,13.466
2014,9,14.262
2014,10,14.904
2014,11,14.385
2014,12,14.724
2015,1,12.933
2015,2,12.567
2015,3,11.891
2015,4,11.384
2015,5,10.503
2015,6,11.757
2015,7,14.595
2015,8,14.966
2015,9,13.808
2015,10,13.764
2015,11,12.356
2015,12,12.149
2016,1,11.78
2016,2,11.698
2016,3,12.377
2016,4,12.835
2016,5,11.696
2016,6,12.553
2016,7,11.961
2016,8,12.182
2016,9,12.682
2016,10,12.91
2016,11,14.351
2016,12,11.852
2017,1,10.597
2017,2,11.4
2017,3,11.415
2017,4,11.354
2017,5,11.058
2017,6,12.458
2017,7,12.924
2017,8,13.956
2017,9,13.75
2017,10,10.994
2017,11,11.812
2017,12,11.776
2018,1,11.379
2018,2,10.391
2018,3,10.273
2018,4,11.15
2018,5,10.872
2018,6,11.953
2018,7,12.552
2018,8,13.048
2018,9,12.58
2018,10,11.752
2018,11,11.506
2018,12,12.31
2019,1,11.525
2019,2,11.171
2019,3,10.935
2019,4,11.796
2019,5,11.144
2019,6,11.642
2019,7,13.64
2019,8,13.905
2019,9,15.157
2019,10,11.674
2019,11,11.128
2019,12,11.684
2020,1,11.429
2020,2,9.823
2020,3,9.861
2020,4,11.614
2020,5,12.897
2020,6,12.376
2020,7,11.882
2020,8,12.683
2020,9,14.304
2020,10,12.348
2020,11,10.987
2020,12,10.75
2021,1,10.781
2021,2,10.251
2021,3,10.06
2021,4,9.759
2021,5,9.926
2021,6,12.319
2021,7,11.738
2021,8,11.359
2021,9,11.432
2021,10,12.011
2021,11,12.948
2021,12,11.036
2022,1,10.576
2022,2,10.069
2022,3,9.783
2022,4,9.675
2022,5,10.694
2022,6,12.143
2022,7,13.248
2022,8,14.465
2022,9,13.418
2022,10,12.489
2022,11,10.514
2022,12,10.291
2023,1,11.025
2023,2,9.681
2023,3,9.355
2023,4,10.454
2023,5,11.282
2023,6,11.422
2023,7,12.42
2023,8,13.583
2023,9,13.067
2023,10,12.618
2023,11,13.091
2023,12,12.521
2024,1,12.238
2024,2,12.079
2024,3,11.906
2024,4,11.063
2024,5,10.567
2024,6,10.837
2024,7,12.473
2024,8,12.908
2024,9,12.935
2024,10,11.598
2024,11,11.703
2024,12,11.688
2025,1,10.808
2025,2,10.637
2025,3,10.597
2025,4,10.689
2025,5,11.023
2025,6,11.631
2025,7,12.495
2025,8,12.612
2025,9,12.157
2025,10,11.758
2025,11,11.648
2025,12,10.966
2026,1,10.808
2026,2,10.637
2026,3,10.597
2026,4,10.689
2026,5,11.023
2026,6,11.631
2026,7,12.495
2026,8,12.612
2026,9,12.157
2026,10,11.758
2026,11,11.648
2026,12,10.966
2027,1,10.808
2027,2,10.637
2027,3,10.597
2027,4,10.689
2027,5,11.023
2027,6,11.631
2027,7,12.495
2027,8,12.612
2027,9,12.157
2027,10,11.758
2027,11,11.648
2027,12,10.966
2028,1,10.808
2028,2,10.637
2028,3,10.597
2028,4,10.689
2028,5,11.023
2028,6,11.631
2028,7,12.495
2028,8,12.612
2028,9,12.157
2028,10,11.758
2028,11,11.648
2028,12,10.966
2029,1,10.808
2029,2,10.637
2029,3,10.597
2029,4,10.689
2029,5,11.023
2029,6,11.631
2029,7,12.495
2029,8,12.612
2029,9,12.157
2029,10,11.758
2029,11,11.648
2029,12,10.966
2030,1,10.535
2030,2,10.584
2030,3,10.806
2030,4,11.072
2030,5,11.699
2030,6,11.387
2030,7,14.595
2030,8,14.966
2030,9,13.808
2030,10,13.764
2030,11,12.356
2030,12,12.149
2031,1,12.933
2031,2,12.567
2031,3,11.891
2031,4,11.384
2031,5,10.503
2031,6,11.757
2031,7,14.595
2031,8,14.966
2031,9,13.808
2031,10,13.764
2031,11,12.356
2031,12,12.149
2032,1,12.933
2032,2,12.567
2032,3,11.891
2032,4,11.384
2032,5,10.503
2032,6,11.757
2032,7,12.228
2032,8,12.397
2032,9,12.419
2032,10,12.334
2032,11,12.999
2032,12,11.409
2033,1,10.535
2033,2,10.584
2033,3,10.806
2033,4,11.072
2033,5,11.699
2033,6,11.387
2033,7,14.595
2033,8,14.966
2033,9,13.808
2033,10,13.764
2033,11,12.356
2033,12,12.149
2034,1,12.933
2034,2,12.567
2034,3,11.891
2034,4,11.384
2034,5,10.503
2034,6,11.757
2034,7,12.228
2034,8,12.397
2034,9,12.419
2034,10,12.334
2034,11,12.999
2034,12,11.409
2035,1,10.808
2035,2,10.637
2035,3,10.597
2035,4,10.689
2035,5,11.023
2035,6,11.631
2035,7,12.495
2035,8,12.612
2035,9,12.157
2035,10,11.758
2035,11,11.648
2035,12,10.966
2036,1,10.808
2036,2,10.637
2036,3,10.597
2036,4,10.689
2036,5,11.023
2036,6,11.631
2036,7,12.495
2036,8,12.612
2036,9,12.157
2036,10,11.758
2036,11,11.648
2036,12,10.966
2037,1,10.808
2037,2,10.637
2037,3,10.597
2037,4,10.689
2037,5,11.023
2037,6,11.631
2037,7,12.495
2037,8,12.612
2037,9,12.157
2037,10,11.758
2037,11,11.648
2037,12,10.966
2038,1,10.808
2038,2,10.637
2038,3,10.597
2038,4,10.689
2038,5,11.023
2038,6,11.631
2038,7,12.495
2038,8,12.612
2038,9,12.157
2038,10,11.758
2038,11,11.648
2038,12,10.966
2039,1,10.808
2039,2,10.637
2039,3,10.597
2039,4,10.689
2039,5,11.023
2039,6,11.631
2039,7,12.495
2039,8,12.612
2039,9,12.157
2039,10,11.758
2039,11,11.648
2039,12,10.966
2040,1,10.808
2040,2,10.637
2040,3,10.597
2040,4,10.689
2040,5,11.023
2040,6,11.631
2040,7,12.495
2040,8,12.612
2040,9,12.157
2040,10,11.758
2040,11,11.648
2040,12,10.966
2041,1,10.808
2041,2,10.637
2041,3,10.597
2041,4,10.689
2041,5,11.023
2041,6,11.631
2041,7,12.495
2041,8,12.612
2041,9,12.157
2041,10,11.758
2041,11,11.648
2041,12,10.966
2042,1,10.808
2042,2,10.637
2042,3,10.597
2042,4,10.689
2042,5,11.023
2042,6,11.631
2042,7,12.495
2042,8,12.612
2042,9,12.157
2042,10,11.758
2042,11,11.648
2042,12,10.966
2043,1,10.808
2043,2,10.637
2043,3,10.597
2043,4,10.689
2043,5,11.023
2043,6,11.631
2043,7,12.495
2043,8,12.612
2043,9,12.157
2043,10,11.758
2043,11,11.648
2043,12,10.966
2044,1,10.808
2044,2,10.637
2044,3,10.597
2044,4,10.689
2044,5,11.023
2044,6,11.631
2044,7,12.495
2044,8,12.612
2044,9,12.157
2044,10,11.758
2044,11,11.648
2044,12,10.966
2045,1,10.808
2045,2,10.637
2045,3,10.597
2045,4,10.689
2045,5,11.023
2045,6,11.631
2045,7,12.495
2045,8,12.612
2045,9,12.157
2045,10,11.758
2045,11,11.648
2045,12,10.966
2046,1,10.808
2046,2,10.637
2046,3,10.597
2046,4,10.689
2046,5,11.023
2046,6,11.631
2046,7,12.495
2046,8,12.612
2046,9,12.157
2046,10,11.758
2046,11,11.648
2046,12,10.966
