year,month,sst
2012,1,3.395
2012,2,2.228
2012,3,1.665
2012,4,1.845
2012,5,3.034
2012,6,4.976
2012,7,6.954
2012,8,8.204
2012,9,7.657
2012,10,6.958
2012,11,6.104
2012,12,4.347
2013,1,3.899
2013,2,3.304
2013,3,2.768
2013,4,3.397
2013,5,4.207
2013,6,6.035
2013,7,7.896
2013,8,9.736
2013,9,8.583
2013,10,7.251
2013,11,6.377
2013,12,5.464
2014,1,4.576
2014,2,3.902
2014,3,3.618
2014,4,4.023
2014,5,5.421
2014,6,7.436
2014,7,9.559
2014,8,10.194
2014,9,9.95
2014,10,8.954
2014,11,7.513
2014,12,6.439
2015,1,5.785
2015,2,5.624
2015,3,5.069
2015,4,5.053
2015,5,5.885
2015,6,7.439
2015,7,8.852
2015,8,10.344
2015,9,10.128
2015,10,8.492
2015,11,6.908
2015,12,5.644
2016,1,4.82
2016,2,4.964
2016,3,4.775
2016,4,5.272
2016,5,6.412
2016,6,8.287
2016,7,9.508
2016,8,11.146
2016,9,10.843
2016,10,9.202
2016,11,7.104
2016,12,6.234
2017,1,5.044
2017,2,4.362
2017,3,3.558
2017,4,3.663
2017,5,4.998
2017,6,7.462
2017,7,7.892
2017,8,9.065
2017,9,8.733
2017,10,7.712
2017,11,7.175
2017,12,5.643
2018,1,4.745
2018,2,4.49
2018,3,4.161
2018,4,4.3
2018,5,5.207
2018,6,6.822
2018,7,8.091
2018,8,8.975
2018,9,9.397
2018,10,8.802
2018,11,7.551
2018,12,5.936
2019,1,4.889
2019,2,4.764
2019,3,4.449
2019,4,4.978
2019,5,6.263
2019,6,7.911
2019,7,9.599
2019,8,11.422
2019,9,9.786
2019,10,8.536
2019,11,7.278
2019,12,6.128
2020,1,4.757
2020,2,4.08
2020,3,3.77
2020,4,4.416
2020,5,5.511
2020,6,7.451
2020,7,9.828
2020,8,9.361
2020,9,8.771
2020,10,8.022
2020,11,6.917
2020,12,5.712
2021,1,4.694
2021,2,4.724
2021,3,4.272
2021,4,4.492
2021,5,5.508
2021,6,6.768
2021,7,8.693
2021,8,9.808
2021,9,9.749
2021,10,7.137
2021,11,5.575
2021,12,4.529
2022,1,3.715
2022,2,3.532
2022,3,3.61
2022,4,3.471
2022,5,4.591
2022,6,5.859
2022,7,6.925
2022,8,7.736
2022,9,7.948
2022,10,7.457
2022,11,6.319
2022,12,5.583
2023,1,4.914
2023,2,4.611
2023,3,3.813
2023,4,3.86
2023,5,4.578
2023,6,6.25
2023,7,7.389
2023,8,8.315
2023,9,8.104
2023,10,7.575
2023,11,7.094
2023,12,5.63
2024,1,4.685
2024,2,3.987
2024,3,3.408
2024,4,3.556
2024,5,4.354
2024,6,5.535
2024,7,6.961
2024,8,7.779
2024,9,7.593
2024,10,6.985
2024,11,6.141
2024,12,5.633
2025,1,4.157
2025,2,3.551
2025,3,3.26
2025,4,3.298
2025,5,4.311
2025,6,6.132
2025,7,7.992
2025,8,9.117
2025,9,8.518
2025,10,7.481
2025,11,6.327
2025,12,5.075
2026,1,4.157
2026,2,3.551
2026,3,3.26
2026,4,3.298
2026,5,4.311
2026,6,6.132
2026,7,7.992
2026,8,9.117
2026,9,8.518
2026,10,7.481
2026,11,6.327
2026,12,5.075
2027,1,4.157
2027,2,3.551
2027,3,3.26
2027,4,3.298
2027,5,4.311
2027,6,6.132
2027,7,7.992
2027,8,9.117
2027,9,8.518
2027,10,7.481
2027,11,6.327
2027,12,5.075
2028,1,4.157
2028,2,3.551
2028,3,3.26
2028,4,3.298
2028,5,4.311
2028,6,6.132
2028,7,7.992
2028,8,9.117
2028,9,8.518
2028,10,7.481
2028,11,6.327
2028,12,5.075
2029,1,4.157
2029,2,3.551
2029,3,3.26
2029,4,3.298
2029,5,4.311
2029,6,6.132
2029,7,7.992
2029,8,9.117
2029,9,8.518
2029,10,7.481
2029,11,6.327
2029,12,5.075
2030,1,4.157
2030,2,3.551
2030,3,3.26
2030,4,3.298
2030,5,4.311
2030,6,6.132
2030,7,7.992
2030,8,9.117
2030,9,8.518
2030,10,7.481
2030,11,6.327
2030,12,5.075
2031,1,4.157
2031,2,3.551
2031,3,3.26
2031,4,3.298
2031,5,4.311
2031,6,6.132
2031,7,7.992
2031,8,9.117
2031,9,8.518
2031,10,7.481
2031,11,6.327
2031,12,5.075
2032,1,4.157
2032,2,3.551
2032,3,3.26
2032,4,3.298
2032,5,4.311
2032,6,6.132
2032,7,7.992
2032,8,9.117
2032,9,8.518
2032,10,7.481
2032,11,6.327
2032,12,5.075
2033,1,4.157
2033,2,3.551
2033,3,3.26
2033,4,3.298
2033,5,4.311
2033,6,6.132
2033,7,7.992
2033,8,9.117
2033,9,8.518
2033,10,7.481
2033,11,6.327
2033,12,5.075
2034,1,4.157
2034,2,3.551
2034,3,3.26
2034,4,3.298
2034,5,4.311
2034,6,6.132
2034,7,7.992
2034,8,9.117
2034,9,8.518
2034,10,7.481
2034,11,6.327
2034,12,5.075
2035,1,4.157
2035,2,3.551
2035,3,3.26
2035,4,3.298
2035,5,4.311
2035,6,6.132
2035,7,7.992
2035,8,9.117
2035,9,8.518
2035,10,7.481
2035,11,6.327
2035,12,5.075
2036,1,4.157
2036,2,3.551
2036,3,3.26
2036,4,3.298
2036,5,4.311
2036,6,6.132
2036,7,7.992
2036,8,9.117
2036,9,8.518
2036,10,7.481
2036,11,6.327
2036,12,5.075
2037,1,4.157
2037,2,3.551
2037,3,3.26
2037,4,3.298
2037,5,4.311
2037,6,6.132
2037,7,7.992
2037,8,9.117
2037,9,8.518
2037,10,7.481
2037,11,6.327
2037,12,5.075
2038,1,4.157
2038,2,3.551
2038,3,3.26
2038,4,3.298
2038,5,4.311
2038,6,6.132
2038,7,7.992
2038,8,9.117
2038,9,8.518
2038,10,7.481
2038,11,6.327
2038,12,5.075
2039,1,4.157
2039,2,3.551
2039,3,3.26
2039,4,3.298
2039,5,4.311
2039,6,6.132
2039,7,7.992
2039,8,9.117
2039,9,8.518
2039,10,7.481
2039,11,6.327
2039,12,5.075
2040,1,4.157
2040,2,3.551
2040,3,3.26
2040,4,3.298
2040,5,4.311
2040,6,6.132
2040,7,7.992
2040,8,9.117
2040,9,8.518
2040,10,7.481
2040,11,6.327
2040,12,5.075
2041,1,4.157
2041,2,3.551
2041,3,3.26
2041,4,3.298
2041,5,4.311
2041,6,6.132
2041,7,7.992
2041,8,9.117
2041,9,8.518
2041,10,7.481
2041,11,6.327
2041,12,5.075
2042,1,4.157
2042,2,3.551
2042,3,3.26
2042,4,3.298
2042,5,4.311
2042,6,6.132
2042,7,7.992
2042,8,9.117
2042,9,8.518
2042,10,7.481
2042,11,6.327
2042,12,5.075
2043,1,4.157
2043,2,3.551
2043,3,3.26
2043,4,3.298
2043,5,4.311
2043,6,6.132
2043,7,7.992
2043,8,9.117
2043,9,8.518
2043,10,7.481
2043,11,6.327
2043,12,5.075
2044,1,4.157
2044,2,3.551
2044,3,3.26
2044,4,3.298
2044,5,4.311
2044,6,6.132
2044,7,7.992
2044,8,9.117
2044,9,8.518
2044,10,7.481
2044,11,6.327
2044,12,5.075
2045,1,4.157
2045,2,3.551
2045,3,3.26
2045,4,3.298
2045,5,4.311
2045,6,6.132
2045,7,7.992
2045,8,9.117
2045,9,8.518
2045,10,7.481
2045,11,6.327
2045,12,5.075
2046,1,4.157
2046,2,3.551
2046,3,3.26
2046,4,3.298
2046,5,4.311
2046,6,6.132
2046,7,7.992
2046,8,9.117
2046,9,8.518
2046,10,7.481
2046,11,6.327
2046,12,5.075
2047,1,4.157
2047,2,3.551
2047,3,3.26
2047,4,3.298
2047,5,4.311
2047,6,6.132
2047,7,7.992
2047,8,9.117
2047,9,8.518
2047,10,7.481
2047,11,6.327
2047,12,5.075
2048,1,4.157
2048,2,3.551
2048,3,3.26
2048,4,3.298
2048,5,4.311
2048,6,6.132
2048,7,7.992
2048,8,9.117
2048,9,8.518
2048,10,7.481
2048,11,6.327
2048,12,5.075
2049,1,4.157
2049,2,3.551
2049,3,3.26
2049,4,3.298
2049,5,4.311
2049,6,6.132
2049,7,7.992
2049,8,9.117
2049,9,8.518
2049,10,7.481
2049,11,6.327
2049,12,5.075
2050,1,4.157
2050,2,3.551
2050,3,3.26
2050,4,3.298
2050,5,4.311
2050,6,6.132
2050,7,7.992
2050,8,9.117
2050,9,8.518
2050,10,7.481
2050,11,6.327
2050,12,5.075
