year,month,sst
2012,1,4.238
2012,2,3.65
2012,3,3.335
2012,4,5.341
2012,5,6.579
2012,6,9.294
2012,7,11.127
2012,8,12.647
2012,9,11.247
2012,10,8.703
2012,11,7.273
2012,12,5.437
2013,1,4.682
2013,2,4.187
2013,3,3.902
2013,4,4.367
2013,5,6.835
2013,6,12.946
2013,7,14.869
2013,8,13.541
2013,9,12.27
2013,10,10.715
2013,11,8.488
2013,12,6.089
2014,1,6.096
2014,2,3.904
2014,3,3.936
2014,4,5.005
2014,5,9.909
2014,6,11.42
2014,7,13.661
2014,8,13.913
2014,9,12.995
2014,10,10.209
2014,11,9.06
2014,12,7.883
2015,1,6.658
2015,2,5.641
2015,3,4.944
2015,4,6.177
2015,5,9.68
2015,6,12.542
2015,7,14.459
2015,8,15.141
2015,9,12.609
2015,10,10.391
2015,11,8.227
2015,12,6.205
2016,1,6.677
2016,2,5.667
2016,3,5.774
2016,4,6.78
2016,5,10.467
2016,6,13.729
2016,7,15.49
2016,8,14.04
2016,9,13.272
2016,10,9.815
2016,11,9.024
2016,12,7.003
2017,1,5.939
2017,2,4.984
2017,3,3.879
2017,4,5.858
2017,5,8.245
2017,6,11.619
2017,7,13.867
2017,8,14.225
2017,9,12.068
2017,10,10.238
2017,11,7.733
2017,12,6.333
2018,1,5.261
2018,2,3.976
2018,3,4.415
2018,4,5.441
2018,5,7.925
2018,6,11.765
2018,7,13.731
2018,8,13.155
2018,9,12.96
2018,10,10.387
2018,11,8.326
2018,12,8.018
2019,1,6.459
2019,2,5.526
2019,3,5.208
2019,4,6.319
2019,5,8.757
2019,6,13.267
2019,7,15.161
2019,8,15.507
2019,9,13.145
2019,10,10.592
2019,11,8.621
2019,12,7.46
2020,1,5.624
2020,2,4.883
2020,3,4.096
2020,4,5.182
2020,5,8.728
2020,6,11.876
2020,7,14.56
2020,8,14.033
2020,9,12.542
2020,10,10.137
2020,11,8.174
2020,12,7.042
2021,1,5.76
2021,2,4.607
2021,3,4.122
2021,4,5.224
2021,5,8.527
2021,6,10.669
2021,7,13.245
2021,8,13.738
2021,9,12.095
2021,10,10.103
2021,11,7.768
2021,12,5.444
2022,1,4.451
2022,2,3.635
2022,3,3.938
2022,4,5.49
2022,5,9.236
2022,6,11.799
2022,7,12.706
2022,8,12.993
2022,9,11.98
2022,10,9.721
2022,11,7.545
2022,12,5.918
2023,1,4.502
2023,2,3.698
2023,3,3.578
2023,4,4.972
2023,5,8.085
2023,6,10.973
2023,7,13.231
2023,8,13.134
2023,9,11.955
2023,10,9.576
2023,11,7.839
2023,12,6.569
2024,1,5.212
2024,2,4.317
2024,3,4.45
2024,4,6.097
2024,5,8.915
2024,6,11.171
2024,7,13.246
2024,8,13.708
2024,9,11.941
2024,10,9.368
2024,11,7.319
2024,12,5.952
2025,1,4.689
2025,2,4.212
2025,3,3.852
2025,4,4.819
2025,5,8.095
2025,6,11.314
2025,7,13.383
2025,8,13.468
2025,9,11.988
2025,10,9.593
2025,11,7.553
2025,12,6.25
2026,1,4.689
2026,2,4.212
2026,3,3.852
2026,4,4.819
2026,5,8.095
2026,6,11.314
2026,7,13.383
2026,8,13.468
2026,9,11.988
2026,10,9.593
2026,11,7.553
2026,12,6.25
2027,1,4.689
2027,2,4.212
2027,3,3.852
2027,4,4.819
2027,5,8.095
2027,6,11.314
2027,7,13.383
2027,8,13.468
2027,9,11.988
2027,10,9.593
2027,11,7.553
2027,12,6.25
2028,1,4.689
2028,2,4.212
2028,3,3.852
2028,4,4.819
2028,5,8.095
2028,6,11.314
2028,7,13.383
2028,8,13.468
2028,9,11.988
2028,10,9.593
2028,11,7.553
2028,12,6.25
2029,1,4.689
2029,2,4.212
2029,3,3.852
2029,4,4.819
2029,5,8.095
2029,6,11.314
2029,7,13.383
2029,8,13.468
2029,9,11.988
2029,10,9.593
2029,11,7.553
2029,12,6.25
2030,1,4.689
2030,2,4.212
2030,3,3.852
2030,4,4.819
2030,5,8.095
2030,6,11.314
2030,7,13.383
2030,8,13.468
2030,9,11.988
2030,10,9.593
2030,11,7.553
2030,12,6.25
2031,1,4.689
2031,2,4.212
2031,3,3.852
2031,4,4.819
2031,5,8.095
2031,6,11.314
2031,7,13.383
2031,8,13.468
2031,9,11.988
2031,10,9.593
2031,11,7.553
2031,12,6.25
2032,1,4.689
2032,2,4.212
2032,3,3.852
2032,4,4.819
2032,5,8.095
2032,6,11.314
2032,7,13.383
2032,8,13.468
2032,9,11.988
2032,10,9.593
2032,11,7.553
2032,12,6.25
2033,1,4.689
2033,2,4.212
2033,3,3.852
2033,4,4.819
2033,5,8.095
2033,6,11.314
2033,7,13.383
2033,8,13.468
2033,9,11.988
2033,10,9.593
2033,11,7.553
2033,12,6.25
2034,1,4.689
2034,2,4.212
2034,3,3.852
2034,4,4.819
2034,5,8.095
2034,6,11.314
2034,7,13.383
2034,8,13.468
2034,9,11.988
2034,10,9.593
2034,11,7.553
2034,12,6.25
2035,1,4.689
2035,2,4.212
2035,3,3.852
2035,4,4.819
2035,5,8.095
2035,6,11.314
2035,7,13.383
2035,8,13.468
2035,9,11.988
2035,10,9.593
2035,11,7.553
2035,12,6.25
2036,1,4.689
2036,2,4.212
2036,3,3.852
2036,4,4.819
2036,5,8.095
2036,6,11.314
2036,7,13.383
2036,8,13.468
2036,9,11.988
2036,10,9.593
2036,11,7.553
2036,12,6.25
2037,1,4.689
2037,2,4.212
2037,3,3.852
2037,4,4.819
2037,5,8.095
2037,6,11.314
2037,7,13.383
2037,8,13.468
2037,9,11.988
2037,10,9.593
2037,11,7.553
2037,12,6.25
2038,1,4.689
2038,2,4.212
2038,3,3.852
2038,4,4.819
2038,5,8.095
2038,6,11.314
2038,7,13.383
2038,8,13.468
2038,9,11.988
2038,10,9.593
2038,11,7.553
2038,12,6.25
2039,1,4.689
2039,2,4.212
2039,3,3.852
2039,4,4.819
2039,5,8.095
2039,6,11.314
2039,7,13.383
2039,8,13.468
2039,9,11.988
2039,10,9.593
2039,11,7.553
2039,12,6.25
2040,1,4.689
2040,2,4.212
2040,3,3.852
2040,4,4.819
2040,5,8.095
2040,6,11.314
2040,7,13.383
2040,8,13.468
2040,9,11.988
2040,10,9.593
2040,11,7.553
2040,12,6.25
2041,1,4.689
2041,2,4.212
2041,3,3.852
2041,4,4.819
2041,5,8.095
2041,6,11.314
2041,7,13.383
2041,8,13.468
2041,9,11.988
2041,10,9.593
2041,11,7.553
2041,12,6.25
2042,1,4.689
2042,2,4.212
2042,3,3.852
2042,4,4.819
2042,5,8.095
2042,6,11.314
2042,7,13.383
2042,8,13.468
2042,9,11.988
2042,10,9.593
2042,11,7.553
2042,12,6.25
2043,1,4.689
2043,2,4.212
2043,3,3.852
2043,4,4.819
2043,5,8.095
2043,6,11.314
2043,7,13.383
2043,8,13.468
2043,9,11.988
2043,10,9.593
2043,11,7.553
2043,12,6.25
2044,1,4.689
2044,2,4.212
2044,3,3.852
2044,4,4.819
2044,5,8.095
2044,6,11.314
2044,7,13.383
2044,8,13.468
2044,9,11.988
2044,10,9.593
2044,11,7.553
2044,12,6.25
2045,1,4.689
2045,2,4.212
2045,3,3.852
2045,4,4.819
2045,5,8.095
2045,6,11.314
2045,7,13.383
2045,8,13.468
2045,9,11.988
2045,10,9.593
2045,11,7.553
2045,12,6.25
2046,1,4.689
2046,2,4.212
2046,3,3.852
2046,4,4.819
2046,5,8.095
2046,6,11.314
2046,7,13.383
2046,8,13.468
2046,9,11.988
2046,10,9.593
2046,11,7.553
2046,12,6.25
2047,1,4.689
2047,2,4.212
2047,3,3.852
2047,4,4.819
2047,5,8.095
2047,6,11.314
2047,7,13.383
2047,8,13.468
2047,9,11.988
2047,10,9.593
2047,11,7.553
2047,12,6.25
2048,1,4.689
2048,2,4.212
2048,3,3.852
2048,4,4.819
2048,5,8.095
2048,6,11.314
2048,7,13.383
2048,8,13.468
2048,9,11.988
2048,10,9.593
2048,11,7.553
2048,12,6.25
2049,1,4.689
2049,2,4.212
2049,3,3.852
2049,4,4.819
2049,5,8.095
2049,6,11.314
2049,7,13.383
2049,8,13.468
2049,9,11.988
2049,10,9.593
2049,11,7.553
2049,12,6.25
2050,1,4.689
2050,2,4.212
2050,3,3.852
2050,4,4.819
2050,5,8.095
2050,6,11.314
2050,7,13.383
2050,8,13.468
2050,9,11.988
2050,10,9.593
2050,11,7.553
2050,12,6.25
