year,month,sst
2012,1,4.158
2012,2,3.387
2012,3,2.895
2012,4,5.114
2012,5,6.948
2012,6,10.022
2012,7,11.673
2012,8,12.444
2012,9,10.705
2012,10,7.736
2012,11,6.515
2012,12,5.267
2013,1,4.212
2013,2,3.842
2013,3,3.591
2013,4,4.086
2013,5,6.311
2013,6,12.658
2013,7,14.586
2013,8,13.989
2013,9,11.905
2013,10,9.648
2013,11,7.384
2013,12,5.581
2014,1,5.115
2014,2,3.956
2014,3,3.974
2014,4,5.077
2014,5,9.226
2014,6,10.979
2014,7,13.933
2014,8,13.934
2014,9,12.032
2014,10,9.799
2014,11,8.331
2014,12,7.141
2015,1,6.275
2015,2,5.767
2015,3,5.347
2015,4,5.726
2015,5,9.592
2015,6,11.66
2015,7,14.677
2015,8,15.631
2015,9,12.074
2015,10,9.869
2015,11,7.832
2015,12,6.313
2016,1,5.706
2016,2,5.039
2016,3,5.237
2016,4,6.696
2016,5,9.793
2016,6,13.907
2016,7,15.331
2016,8,14.274
2016,9,12.732
2016,10,9.35
2016,11,8.114
2016,12,7.0
2017,1,5.861
2017,2,4.88
2017,3,4.633
2017,4,5.676
2017,5,7.743
2017,6,10.833
2017,7,13.798
2017,8,14.389
2017,9,11.559
2017,10,9.462
2017,11,7.403
2017,12,5.934
2018,1,4.804
2018,2,4.626
2018,3,4.641
2018,4,5.444
2018,5,6.621
2018,6,10.602
2018,7,14.259
2018,8,13.594
2018,9,12.956
2018,10,10.19
2018,11,7.733
2018,12,6.585
2019,1,6.123
2019,2,5.424
2019,3,5.668
2019,4,6.307
2019,5,8.114
2019,6,12.863
2019,7,16.288
2019,8,16.563
2019,9,13.214
2019,10,10.096
2019,11,8.341
2019,12,6.978
2020,1,5.562
2020,2,4.879
2020,3,4.299
2020,4,5.436
2020,5,8.19
2020,6,11.981
2020,7,14.817
2020,8,14.838
2020,9,12.389
2020,10,9.792
2020,11,7.564
2020,12,6.197
2021,1,5.376
2021,2,4.268
2021,3,4.214
2021,4,5.436
2021,5,7.533
2021,6,10.704
2021,7,13.351
2021,8,13.825
2021,9,11.739
2021,10,8.977
2021,11,7.348
2021,12,5.891
2022,1,4.775
2022,2,3.712
2022,3,3.725
2022,4,5.116
2022,5,8.577
2022,6,13.427
2022,7,14.118
2022,8,13.562
2022,9,11.779
2022,10,9.626
2022,11,7.77
2022,12,6.178
2023,1,5.134
2023,2,4.083
2023,3,4.25
2023,4,5.008
2023,5,7.186
2023,6,10.293
2023,7,13.468
2023,8,13.78
2023,9,11.892
2023,10,9.252
2023,11,7.644
2023,12,6.422
2024,1,5.585
2024,2,4.868
2024,3,4.374
2024,4,5.419
2024,5,8.221
2024,6,11.533
2024,7,13.199
2024,8,13.548
2024,9,11.74
2024,10,9.009
2024,11,7.215
2024,12,6.071
2025,1,4.848
2025,2,4.052
2025,3,3.925
2025,4,4.795
2025,5,8.016
2025,6,11.534
2025,7,13.65
2025,8,13.477
2025,9,11.859
2025,10,9.293
2025,11,7.227
2025,12,5.958
2026,1,4.848
2026,2,4.052
2026,3,3.925
2026,4,4.795
2026,5,8.016
2026,6,11.534
2026,7,13.65
2026,8,13.477
2026,9,11.859
2026,10,9.293
2026,11,7.227
2026,12,5.958
2027,1,4.848
2027,2,4.052
2027,3,3.925
2027,4,4.795
2027,5,8.016
2027,6,11.534
2027,7,13.65
2027,8,13.477
2027,9,11.859
2027,10,9.293
2027,11,7.227
2027,12,5.958
2028,1,4.848
2028,2,4.052
2028,3,3.925
2028,4,4.795
2028,5,8.016
2028,6,11.534
2028,7,13.65
2028,8,13.477
2028,9,11.859
2028,10,9.293
2028,11,7.227
2028,12,5.958
2029,1,4.848
2029,2,4.052
2029,3,3.925
2029,4,4.795
2029,5,8.016
2029,6,11.534
2029,7,13.65
2029,8,13.477
2029,9,11.859
2029,10,9.293
2029,11,7.227
2029,12,5.958
2030,1,4.848
2030,2,4.052
2030,3,3.925
2030,4,4.795
2030,5,8.016
2030,6,11.534
2030,7,13.65
2030,8,13.477
2030,9,11.859
2030,10,9.293
2030,11,7.227
2030,12,5.958
2031,1,4.848
2031,2,4.052
2031,3,3.925
2031,4,4.795
2031,5,8.016
2031,6,11.534
2031,7,13.65
2031,8,13.477
2031,9,11.859
2031,10,9.293
2031,11,7.227
2031,12,5.958
2032,1,4.848
2032,2,4.052
2032,3,3.925
2032,4,4.795
2032,5,8.016
2032,6,11.534
2032,7,13.65
2032,8,13.477
2032,9,11.859
2032,10,9.293
2032,11,7.227
2032,12,5.958
2033,1,4.848
2033,2,4.052
2033,3,3.925
2033,4,4.795
2033,5,8.016
2033,6,11.534
2033,7,13.65
2033,8,13.477
2033,9,11.859
2033,10,9.293
2033,11,7.227
2033,12,5.958
2034,1,4.848
2034,2,4.052
2034,3,3.925
2034,4,4.795
2034,5,8.016
2034,6,11.534
2034,7,13.65
2034,8,13.477
2034,9,11.859
2034,10,9.293
2034,11,7.227
2034,12,5.958
2035,1,4.848
2035,2,4.052
2035,3,3.925
2035,4,4.795
2035,5,8.016
2035,6,11.534
2035,7,13.65
2035,8,13.477
2035,9,11.859
2035,10,9.293
2035,11,7.227
2035,12,5.958
2036,1,4.848
2036,2,4.052
2036,3,3.925
2036,4,4.795
2036,5,8.016
2036,6,11.534
2036,7,13.65
2036,8,13.477
2036,9,11.859
2036,10,9.293
2036,11,7.227
2036,12,5.958
2037,1,4.848
2037,2,4.052
2037,3,3.925
2037,4,4.795
2037,5,8.016
2037,6,11.534
2037,7,13.65
2037,8,13.477
2037,9,11.859
2037,10,9.293
2037,11,7.227
2037,12,5.958
2038,1,4.848
2038,2,4.052
2038,3,3.925
2038,4,4.795
2038,5,8.016
2038,6,11.534
2038,7,13.65
2038,8,13.477
2038,9,11.859
2038,10,9.293
2038,11,7.227
2038,12,5.958
2039,1,4.848
2039,2,4.052
2039,3,3.925
2039,4,4.795
2039,5,8.016
2039,6,11.534
2039,7,13.65
2039,8,13.477
2039,9,11.859
2039,10,9.293
2039,11,7.227
2039,12,5.958
2040,1,4.848
2040,2,4.052
2040,3,3.925
2040,4,4.795
2040,5,8.016
2040,6,11.534
2040,7,13.65
2040,8,13.477
2040,9,11.859
2040,10,9.293
2040,11,7.227
2040,12,5.958
2041,1,4.848
2041,2,4.052
2041,3,3.925
2041,4,4.795
2041,5,8.016
2041,6,11.534
2041,7,13.65
2041,8,13.477
2041,9,11.859
2041,10,9.293
2041,11,7.227
2041,12,5.958
2042,1,4.848
2042,2,4.052
2042,3,3.925
2042,4,4.795
2042,5,8.016
2042,6,11.534
2042,7,13.65
2042,8,13.477
2042,9,11.859
2042,10,9.293
2042,11,7.227
2042,12,5.958
2043,1,4.848
2043,2,4.052
2043,3,3.925
