year,month,sst
2012,1,14.594
2012,2,14.167
2012,3,13.333
2012,4,14.029
2012,5,14.845
2012,6,15.729
2012,7,16.557
2012,8,19.137
2012,9,19.827
2012,10,19.331
2012,11,16.955
2012,12,15.317
2013,1,13.371
2013,2,12.817
2013,3,13.509
2013,4,14.347
2013,5,15.935
2013,6,16.886
2013,7,18.155
2013,8,17.043
2013,9,18.328
2013,10,17.762
2013,11,16.519
2013,12,14.943
2014,1,15.148
2014,2,14.782
2014,3,15.215
2014,4,15.379
2014,5,16.413
2014,6,18.616
2014,7,20.163
2014,8,20.361
2014,9,20.433
2014,10,19.905
2014,11,18.436
2014,12,17.362
2015,1,16.115
2015,2,16.439
2015,3,16.906
2015,4,16.625
2015,5,16.119
2015,6,17.396
2015,7,19.349
2015,8,19.985
2015,9,21.081
2015,10,21.157
2015,11,18.725
2015,12,16.717
2016,1,14.993
2016,2,15.405
2016,3,15.455
2016,4,15.083
2016,5,15.966
2016,6,17.361
2016,7,19.116
2016,8,20.053
2016,9,19.456
2016,10,18.682
2016,11,17.777
2016,12,15.041
2017,1,14.352
2017,2,14.463
2017,3,14.817
2017,4,15.019
2017,5,15.893
2017,6,16.867
2017,7,18.994
2017,8,19.51
2017,9,20.141
2017,10,18.999
2017,11,17.612
2017,12,15.757
2018,1,15.611
2018,2,15.148
2018,3,14.55
2018,4,13.867
2018,5,14.967
2018,6,16.937
2018,7,19.611
2018,8,20.761
2018,9,19.899
2018,10,18.761
2018,11,18.512
2018,12,16.234
2019,1,14.981
2019,2,14.371
2019,3,14.296
2019,4,15.01
2019,5,15.337
2019,6,16.664
2019,7,18.116
2019,8,18.46
2019,9,19.251
2019,10,17.998
2019,11,16.84
2019,12,15.675
2020,1,14.929
2020,2,14.97
2020,3,15.259
2020,4,15.494
2020,5,16.346
2020,6,17.673
2020,7,19.989
2020,8,20.077
2020,9,20.373
2020,10,20.025
2020,11,17.175
2020,12,15.559
2021,1,14.437
2021,2,13.934
2021,3,14.005
2021,4,14.626
2021,5,15.95
2021,6,16.916
2021,7,19.43
2021,8,20.05
2021,9,19.536
2021,10,17.614
2021,11,16.408
2021,12,14.802
2022,1,14.414
2022,2,14.639
2022,3,14.447
2022,4,15.159
2022,5,15.288
2022,6,16.473
2022,7,18.124
2022,8,19.782
2022,9,21.352
2022,10,18.911
2022,11,15.867
2022,12,14.856
2023,1,14.204
2023,2,13.517
2023,3,13.278
2023,4,13.615
2023,5,15.187
2023,6,16.628
2023,7,17.53
2023,8,18.888
2023,9,19.3
2023,10,18.521
2023,11,17.853
2023,12,16.363
2024,1,15.25
2024,2,14.979
2024,3,14.872
2024,4,14.289
2024,5,14.817
2024,6,16.11
2024,7,18.341
2024,8,18.381
2024,9,18.678
2024,10,17.742
2024,11,16.517
2024,12,15.247
2025,1,14.193
2025,2,13.98
2025,3,13.925
2025,4,14.013
2025,5,14.917
2025,6,16.045
2025,7,17.607
2025,8,18.736
2025,9,18.188
2025,10,17.34
2025,11,16.001
2025,12,14.598
2026,1,14.193
2026,2,13.98
2026,3,13.925
2026,4,14.013
2026,5,14.917
2026,6,16.045
2026,7,17.607
2026,8,18.736
2026,9,18.188
2026,10,17.34
2026,11,16.001
2026,12,14.598
2027,1,14.193
2027,2,13.98
2027,3,13.925
2027,4,14.013
2027,5,14.917
2027,6,16.045
2027,7,17.607
2027,8,18.736
2027,9,18.188
2027,10,17.34
2027,11,16.001
2027,12,14.598
2028,1,14.193
2028,2,13.98
2028,3,13.925
2028,4,14.013
2028,5,14.917
2028,6,16.045
2028,7,17.607
2028,8,18.736
2028,9,18.188
2028,10,17.34
2028,11,16.001
2028,12,14.598
2029,1,14.193
2029,2,13.98
2029,3,13.925
2029,4,14.013
2029,5,14.917
2029,6,16.045
2029,7,17.607
2029,8,18.736
2029,9,18.188
2029,10,17.34
2029,11,16.001
2029,12,14.598
2030,1,14.193
2030,2,13.98
2030,3,13.925
2030,4,14.013
2030,5,14.917
2030,6,16.045
2030,7,17.607
2030,8,18.736
2030,9,18.188
2030,10,17.34
2030,11,16.001
2030,12,14.598
2031,1,14.193
2031,2,13.98
2031,3,13.925
2031,4,14.013
2031,5,14.917
2031,6,16.045
2031,7,17.607
2031,8,18.736
2031,9,18.188
2031,10,17.34
2031,11,16.001
2031,12,14.598
2032,1,14.193
2032,2,13.98
2032,3,13.925
2032,4,14.013
2032,5,14.917
2032,6,16.045
2032,7,17.607
2032,8,18.736
2032,9,18.188
2032,10,17.34
2032,11,16.001
2032,12,14.598
2033,1,14.193
2033,2,13.98
2033,3,13.925
