year,month,sst
2012,1,9.105
2012,2,9.083
2012,3,8.765
2012,4,10.439
2012,5,10.972
2012,6,13.639
2012,7,13.59
2012,8,11.437
2012,9,10.883
2012,10,10.829
2012,11,12.309
2012,12,11.489
2013,1,9.832
2013,2,9.21
2013,3,9.212
2013,4,10.174
2013,5,11.269
2013,6,13.16
2013,7,10.462
2013,8,11.756
2013,9,14.588
2013,10,13.268
2013,11,10.895
2013,12,8.861
2014,1,8.893
2014,2,9.638
2014,3,10.912
2014,4,10.998
2014,5,13.221
2014,6,12.198
2014,7,11.685
2014,8,10.504
2014,9,13.323
2014,10,15.247
2014,11,14.085
2014,12,13.634
2015,1,12.369
2015,2,12.281
2015,3,12.158
2015,4,11.753
2015,5,10.901
2015,6,10.735
2015,7,13.966
2015,8,13.238
2015,9,13.956
2015,10,13.204
2015,11,12.944
2015,12,12.263
2016,1,10.975
2016,2,11.532
2016,3,11.785
2016,4,12.525
2016,5,12.372
2016,6,12.799
2016,7,13.199
2016,8,10.813
2016,9,12.984
2016,10,12.613
2016,11,14.017
2016,12,11.812
2017,1,9.815
2017,2,10.383
2017,3,10.477
2017,4,11.023
2017,5,11.881
2017,6,12.933
2017,7,10.935
2017,8,11.177
2017,9,12.239
2017,10,12.325
2017,11,11.612
2017,12,10.997
2018,1,11.067
2018,2,10.38
2018,3,9.868
2018,4,10.683
2018,5,12.003
2018,6,13.501
2018,7,12.032
2018,8,13.145
2018,9,13.147
2018,10,11.989
2018,11,11.726
2018,12,11.27
2019,1,11.213
2019,2,10.687
2019,3,10.023
2019,4,11.465
2019,5,11.503
2019,6,11.178
2019,7,15.179
2019,8,14.35
2019,9,16.194
2019,10,12.841
2019,11,9.886
2019,12,10.564
2020,1,10.821
2020,2,10.033
2020,3,9.353
2020,4,10.453
2020,5,12.927
2020,6,13.21
2020,7,12.058
2020,8,12.402
2020,9,11.316
2020,10,13.894
2020,11,11.706
2020,12,10.653
2021,1,10.349
2021,2,9.971
2021,3,9.417
2021,4,9.665
2021,5,10.644
2021,6,13.415
2021,7,11.672
2021,8,12.086
2021,9,11.923
2021,10,12.37
2021,11,11.854
2021,12,10.947
2022,1,10.111
2022,2,9.628
2022,3,9.736
2022,4,10.343
2022,5,11.435
2022,6,12.607
2022,7,11.778
2022,8,12.815
2022,9,12.068
2022,10,11.803
2022,11,10.783
2022,12,10.116
2023,1,10.339
2023,2,9.572
2023,3,8.878
2023,4,9.742
2023,5,11.368
2023,6,10.017
2023,7,11.0
2023,8,12.398
2023,9,12.565
2023,10,13.043
2023,11,12.246
2023,12,11.573
2024,1,11.338
2024,2,11.376
2024,3,11.356
2024,4,11.022
2024,5,10.859
2024,6,10.722
2024,7,10.131
2024,8,12.785
2024,9,13.062
2024,10,10.588
2024,11,11.273
2024,12,10.649
2025,1,10.053
2025,2,9.729
2025,3,9.823
2025,4,10.421
2025,5,11.554
2025,6,12.958
2025,7,12.418
2025,8,12.32
2025,9,11.993
2025,10,11.799
2025,11,11.461
2025,12,10.569
2026,1,10.053
2026,2,9.729
2026,3,9.823
2026,4,10.421
2026,5,11.554
2026,6,12.958
2026,7,12.418
2026,8,12.32
2026,9,11.993
2026,10,11.799
2026,11,11.461
2026,12,10.569
2027,1,10.053
2027,2,9.729
2027,3,9.823
2027,4,10.421
2027,5,11.554
2027,6,12.958
2027,7,12.418
2027,8,12.32
2027,9,11.993
2027,10,11.799
2027,11,11.461
2027,12,10.569
2028,1,10.053
2028,2,9.729
2028,3,9.823
2028,4,10.421
2028,5,11.554
2028,6,12.958
2028,7,12.418
2028,8,12.32
2028,9,11.993
2028,10,11.799
2028,11,11.461
2028,12,10.569
2029,1,10.053
2029,2,9.729
2029,3,9.823
2029,4,10.421
2029,5,11.554
2029,6,12.958
2029,7,12.418
2029,8,12.32
2029,9,11.993
2029,10,11.799
2029,11,11.461
2029,12,10.569
2030,1,10.053
2030,2,9.729
2030,3,9.823
2030,4,10.421
2030,5,11.554
2030,6,12.958
2030,7,12.418
2030,8,12.32
2030,9,11.993
2030,10,11.799
2030,11,11.461
2030,12,10.569
2031,1,10.053
2031,2,9.729
2031,3,9.823
2031,4,10.421
2031,5,11.554
2031,6,12.958
2031,7,12.418
2031,8,12.32
2031,9,11.993
2031,10,11.799
2031,11,11.461
2031,12,10.569
2032,1,10.053
2032,2,9.729
2032,3,9.823
2032,4,10.421
2032,5,11.554
2032,6,12.958
2032,7,12.418
2032,8,12.32
2032,9,11.993
2032,10,11.799
2032,11,11.461
2032,12,10.569
2033,1,10.053
2033,2,9.729
2033,3,9.823
2033,4,10.421
2033,5,11.554
2033,6,12.958
2033,7,12.418
2033,8,12.32
2033,9,11.993
2033,10,11.799
2033,11,11.461
2033,12,10.569
2034,1,10.053
2034,2,9.729
2034,3,9.823
2034,4,10.421
2034,5,11.554
2034,6,12.958
2034,7,12.418
2034,8,12.32
2034,9,11.993
2034,10,11.799
2034,11,11.461
2034,12,10.569
2035,1,10.053
2035,2,9.729
2035,3,9.823
2035,4,10.421
2035,5,11.554
2035,6,12.958
2035,7,12.418
2035,8,12.32
2035,9,11.993
2035,10,11.799
2035,11,11.461
2035,12,10.569
2036,1,10.053
2036,2,9.729
2036,3,9.823
2036,4,10.421
2036,5,11.554
2036,6,12.958
2036,7,12.418
2036,8,12.32
2036,9,11.993
2036,10,11.799
2036,11,11.461
2036,12,10.569
2037,1,10.053
2037,2,9.729
2037,3,9.823
2037,4,10.421
2037,5,11.554
2037,6,12.958
2037,7,12.418
2037,8,12.32
2037,9,11.993
2037,10,11.799
2037,11,11.461
2037,12,10.569
2038,1,10.053
2038,2,9.729
2038,3,9.823
2038,4,10.421
2038,5,11.554
2038,6,12.958
2038,7,12.418
2038,8,12.32
2038,9,11.993
2038,10,11.799
2038,11,11.461
2038,12,10.569
2039,1,10.053
2039,2,9.729
2039,3,9.823
2039,4,10.421
2039,5,11.554
2039,6,12.958
2039,7,12.418
2039,8,12.32
