year,month,sst
2012,1,6.725
2012,2,6.903
2012,3,7.192
2012,4,9.315
2012,5,11.923
2012,6,14.43
2012,7,17.694
2012,8,17.181
2012,9,14.252
2012,10,11.018
2012,11,8.961
2012,12,7.398
2013,1,6.269
2013,2,7.245
2013,3,8.091
2013,4,10.003
2013,5,13.281
2013,6,16.059
2013,7,17.355
2013,8,17.964
2013,9,15.903
2013,10,11.469
2013,11,9.212
2013,12,7.51
2014,1,7.293
2014,2,6.88
2014,3,7.597
2014,4,9.426
2014,5,14.076
2014,6,15.71
2014,7,17.711
2014,8,17.812
2014,9,15.944
2014,10,12.79
2014,11,9.492
2014,12,8.091
2015,1,7.368
2015,2,8.399
2015,3,9.16
2015,4,10.638
2015,5,15.035
2015,6,16.331
2015,7,16.825
2015,8,16.29
2015,9,14.269
2015,10,12.782
2015,11,10.143
2015,12,8.641
2016,1,7.367
2016,2,8.152
2016,3,8.882
2016,4,11.577
2016,5,14.327
2016,6,16.997
2016,7,17.578
2016,8,15.98
2016,9,15.035
2016,10,11.814
2016,11,10.167
2016,12,7.551
2017,1,6.962
2017,2,6.566
2017,3,7.669
2017,4,9.523
2017,5,13.126
2017,6,15.05
2017,7,17.879
2017,8,17.719
2017,9,16.116
2017,10,11.904
2017,11,9.245
2017,12,6.922
2018,1,7.114
2018,2,6.856
2018,3,8.001
2018,4,9.899
2018,5,15.007
2018,6,15.893
2018,7,16.914
2018,8,18.181
2018,9,14.553
2018,10,11.587
2018,11,9.686
2018,12,8.189
2019,1,7.479
2019,2,6.569
2019,3,8.078
2019,4,10.1
2019,5,13.223
2019,6,16.45
2019,7,18.657
2019,8,18.248
2019,9,15.729
2019,10,11.379
2019,11,9.702
2019,12,8.545
2020,1,7.866
2020,2,7.282
2020,3,7.885
2020,4,10.245
2020,5,14.095
2020,6,16.156
2020,7,18.252
2020,8,19.022
2020,9,17.153
2020,10,14.296
2020,11,10.573
2020,12,9.185
2021,1,8.105
2021,2,6.844
2021,3,8.01
2021,4,10.252
2021,5,13.909
2021,6,18.263
2021,7,19.626
2021,8,18.222
2021,9,14.956
2021,10,12.035
2021,11,8.774
2021,12,7.451
2022,1,6.847
2022,2,7.251
2022,3,8.349
2022,4,9.107
2022,5,11.499
2022,6,14.633
2022,7,18.053
2022,8,19.076
2022,9,15.937
2022,10,12.575
2022,11,8.688
2022,12,7.842
2023,1,7.473
2023,2,7.349
2023,3,7.642
2023,4,8.858
2023,5,14.907
2023,6,15.47
2023,7,16.944
2023,8,16.681
2023,9,14.394
2023,10,11.138
2023,11,9.383
2023,12,8.655
2024,1,7.935
2024,2,7.579
2024,3,8.404
2024,4,9.872
2024,5,12.185
2024,6,14.572
2024,7,17.11
2024,8,18.19
2024,9,15.173
2024,10,11.182
2024,11,9.337
2024,12,8.368
2025,1,7.063
2025,2,7.098
2025,3,7.754
2025,4,9.377
2025,5,12.518
2025,6,15.438
2025,7,17.258
2025,8,17.2
2025,9,14.524
2025,10,11.266
2025,11,9.089
2025,12,7.506
2026,1,7.063
2026,2,7.098
2026,3,7.754
2026,4,9.377
2026,5,12.518
2026,6,15.438
2026,7,17.258
2026,8,17.2
2026,9,14.524
2026,10,11.266
2026,11,9.089
2026,12,7.506
2027,1,7.063
2027,2,7.098
2027,3,7.754
2027,4,9.377
2027,5,12.518
2027,6,15.438
2027,7,17.258
2027,8,17.2
2027,9,14.524
2027,10,11.266
2027,11,9.089
2027,12,7.506
2028,1,7.063
2028,2,7.098
2028,3,7.754
2028,4,9.377
2028,5,12.518
2028,6,15.438
2028,7,17.258
2028,8,17.2
2028,9,14.524
2028,10,11.266
2028,11,9.089
2028,12,7.506
2029,1,7.063
2029,2,7.098
2029,3,7.754
2029,4,9.377
2029,5,12.518
2029,6,15.438
2029,7,17.258
2029,8,17.2
2029,9,14.524
2029,10,11.266
2029,11,9.089
2029,12,7.506
2030,1,7.063
2030,2,7.098
2030,3,7.754
2030,4,9.377
2030,5,12.518
2030,6,15.438
2030,7,17.258
2030,8,17.2
2030,9,14.524
2030,10,11.266
2030,11,9.089
2030,12,7.506
2031,1,7.063
2031,2,7.098
2031,3,7.754
2031,4,9.377
2031,5,12.518
2031,6,15.438
2031,7,17.258
2031,8,17.2
2031,9,14.524
