year,month,sst
2012,1,7.19
2012,2,6.972
2012,3,7.241
2012,4,9.093
2012,5,10.667
2012,6,12.264
2012,7,15.061
2012,8,16.315
2012,9,13.344
2012,10,10.624
2012,11,8.953
2012,12,8.023
2013,1,6.935
2013,2,7.162
2013,3,7.911
2013,4,9.354
2013,5,10.695
2013,6,12.702
2013,7,16.227
2013,8,15.647
2013,9,14.668
2013,10,11.18
2013,11,9.178
2013,12,7.763
2014,1,7.285
2014,2,6.884
2014,3,7.766
2014,4,9.18
2014,5,12.085
2014,6,13.446
2014,7,15.097
2014,8,16.779
2014,9,14.729
2014,10,11.929
2014,11,9.669
2014,12,8.172
2015,1,7.764
2015,2,8.59
2015,3,9.063
2015,4,10.394
2015,5,12.583
2015,6,15.657
2015,7,15.805
2015,8,15.951
2015,9,13.581
2015,10,12.355
2015,11,9.784
2015,12,8.728
2016,1,7.783
2016,2,8.186
2016,3,8.886
2016,4,11.197
2016,5,12.705
2016,6,14.139
2016,7,15.784
2016,8,15.715
2016,9,13.934
2016,10,11.131
2016,11,10.096
2016,12,7.85
2017,1,7.192
2017,2,6.918
2017,3,7.676
2017,4,9.291
2017,5,11.583
2017,6,13.938
2017,7,15.835
2017,8,15.659
2017,9,14.791
2017,10,11.346
2017,11,9.176
2017,12,7.932
2018,1,7.181
2018,2,7.394
2018,3,7.951
2018,4,9.056
2018,5,12.487
2018,6,13.621
2018,7,15.977
2018,8,15.833
2018,9,13.758
2018,10,11.321
2018,11,9.693
2018,12,8.591
2019,1,7.947
2019,2,7.094
2019,3,7.895
2019,4,9.598
2019,5,12.243
2019,6,14.454
2019,7,15.625
2019,8,16.679
2019,9,14.735
2019,10,10.984
2019,11,9.509
2019,12,8.378
2020,1,7.883
2020,2,7.534
2020,3,7.959
2020,4,9.838
2020,5,12.058
2020,6,13.216
2020,7,15.324
2020,8,15.39
2020,9,13.854
2020,10,11.535
2020,11,8.87
2020,12,7.361
2021,1,7.125
2021,2,6.768
2021,3,7.512
2021,4,8.883
2021,5,11.138
2021,6,13.873
2021,7,16.676
2021,8,16.973
2021,9,14.457
2021,10,10.822
2021,11,8.797
2021,12,8.263
2022,1,6.851
2022,2,7.059
2022,3,8.107
2022,4,9.374
2022,5,10.997
2022,6,12.83
2022,7,15.39
2022,8,16.853
2022,9,14.077
2022,10,11.452
2022,11,8.612
2022,12,7.711
2023,1,7.412
2023,2,7.612
2023,3,7.571
2023,4,8.733
2023,5,12.083
2023,6,13.433
2023,7,14.381
2023,8,15.015
2023,9,13.274
2023,10,11.037
2023,11,9.53
2023,12,8.918
2024,1,8.249
2024,2,8.1
2024,3,8.662
2024,4,9.921
2024,5,11.815
2024,6,13.022
2024,7,15.185
2024,8,14.81
2024,9,13.644
2024,10,10.917
2024,11,9.272
2024,12,8.553
2025,1,7.284
2025,2,7.338
2025,3,7.806
2025,4,9.074
2025,5,11.141
2025,6,13.166
2025,7,14.686
2025,8,15.118
2025,9,13.308
2025,10,10.914
2025,11,9.072
2025,12,7.915
2026,1,7.284
2026,2,7.338
2026,3,7.806
2026,4,9.074
2026,5,11.141
2026,6,13.166
2026,7,14.686
2026,8,15.118
2026,9,13.308
2026,10,10.914
2026,11,9.072
2026,12,7.915
2027,1,7.284
2027,2,7.338
2027,3,7.806
2027,4,9.074
2027,5,11.141
2027,6,13.166
2027,7,14.686
2027,8,15.118
2027,9,13.308
2027,10,10.914
2027,11,9.072
2027,12,7.915
2028,1,7.284
2028,2,7.338
2028,3,7.806
2028,4,9.074
2028,5,11.141
2028,6,13.166
2028,7,14.686
2028,8,15.118
2028,9,13.308
2028,10,10.914
2028,11,9.072
2028,12,7.915
2029,1,7.284
2029,2,7.338
2029,3,7.806
2029,4,9.074
2029,5,11.141
2029,6,13.166
2029,7,14.686
2029,8,15.118
2029,9,13.308
2029,10,10.914
2029,11,9.072
2029,12,7.915
2030,1,7.284
2030,2,7.338
2030,3,7.806
2030,4,9.074
2030,5,11.141
2030,6,13.166
2030,7,14.686
2030,8,15.118
2030,9,13.308
2030,10,10.914
2030,11,9.072
2030,12,7.915
2031,1,7.284
2031,2,7.338
2031,3,7.806
2031,4,9.074
2031,5,11.141
2031,6,13.166
2031,7,14.686
2031,8,15.118
2031,9,13.308
2031,10,10.914
2031,11,9.072
2031,12,7.915
2032,1,7.284
2032,2,7.338
2032,3,7.806
2032,4,9.074
2032,5,11.141
2032,6,13.166
2032,7,14.686
2032,8,15.118
2032,9,13.308
2032,10,10.914
2032,11,9.072
2032,12,7.915
2033,1,7.284
2033,2,7.338
2033,3,7.806
2033,4,9.074
2033,5,11.141
2033,6,13.166
2033,7,14.686
2033,8,15.118
2033,9,13.308
2033,10,10.914
2033,11,9.072
2033,12,7.915
2034,1,7.284
2034,2,7.338
2034,3,7.806
2034,4,9.074
2034,5,11.141
2034,6,13.166
2034,7,14.686
2034,8,15.118
2034,9,13.308
2034,10,10.914
2034,11,9.072
2034,12,7.915
2035,1,7.284
2035,2,7.338
2035,3,7.806
2035,4,9.074
2035,5,11.141
2035,6,13.166
2035,7,14.686
2035,8,15.118
2035,9,13.308
2035,10,10.914
2035,11,9.072
2035,12,7.915
2036,1,7.284
2036,2,7.338
2036,3,7.806
2036,4,9.074
2036,5,11.141
2036,6,13.166
2036,7,14.686
2036,8,15.118
2036,9,13.308
2036,10,10.914
2036,11,9.072
2036,12,7.915
2037,1,7.284
2037,2,7.338
2037,3,7.806
2037,4,9.074
2037,5,11.141
2037,6,13.166
2037,7,14.686
2037,8,15.118
2037,9,13.308
2037,10,10.914
2037,11,9.072
2037,12,7.915
2038,1,7.284
2038,2,7.338
2038,3,7.806
2038,4,9.074
2038,5,11.141
2038,6,13.166
2038,7,14.686
2038,8,15.118
2038,9,13.308
2038,10,10.914
2038,11,9.072
2038,12,7.915
2039,1,7.284
2039,2,7.338
2039,3,7.806
2039,4,9.074
2039,5,11.141
2039,6,13.166
2039,7,14.686
2039,8,15.118
2039,9,13.308
2039,10,10.914
2039,11,9.072
2039,12,7.915
2040,1,7.284
2040,2,7.338
2040,3,7.806
2040,4,9.074
2040,5,11.141
2040,6,13.166
2040,7,14.686
2040,8,15.118
2040,9,13.308
2040,10,10.914
2040,11,9.072
2040,12,7.915
2041,1,7.284
2041,2,7.338
2041,3,7.806
2041,4,9.074
2041,5,11.141
2041,6,13.166
2041,7,14.686
2041,8,15.118
2041,9,13.308
2041,10,10.914
2041,11,9.072
2041,12,7.915
2042,1,7.284
2042,2,7.338
2042,3,7.806
2042,4,9.074
2042,5,11.141
2042,6,13.166
2042,7,14.686
