year,month,sst
2012,1,7.095
2012,2,6.531
2012,3,6.613
2012,4,7.308
2012,5,7.738
2012,6,9.425
2012,7,11.806
2012,8,13.607
2012,9,12.968
2012,10,11.674
2012,11,9.152
2012,12,7.955
2013,1,7.711
2013,2,6.822
2013,3,6.742
2013,4,7.327
2013,5,8.201
2013,6,10.956
2013,7,13.926
2013,8,14.242
2013,9,15.037
2013,10,12.041
2013,11,9.941
2013,12,8.26
2014,1,8.039
2014,2,6.986
2014,3,6.867
2014,4,7.042
2014,5,9.239
2014,6,11.265
2014,7,13.298
2014,8,15.684
2014,9,15.264
2014,10,13.076
2014,11,10.639
2014,12,9.768
2015,1,9.104
2015,2,9.215
2015,3,9.503
2015,4,9.269
2015,5,10.155
2015,6,12.022
2015,7,14.046
2015,8,15.287
2015,9,13.997
2015,10,12.409
2015,11,10.569
2015,12,9.472
2016,1,8.81
2016,2,8.667
2016,3,8.475
2016,4,9.389
2016,5,10.305
2016,6,11.885
2016,7,13.71
2016,8,13.96
2016,9,14.223
2016,10,12.791
2016,11,10.883
2016,12,9.584
2017,1,8.289
2017,2,7.441
2017,3,7.06
2017,4,7.889
2017,5,9.182
2017,6,10.689
2017,7,12.962
2017,8,14.307
2017,9,14.349
2017,10,11.99
2017,11,9.493
2017,12,8.362
2018,1,8.079
2018,2,7.934
2018,3,7.651
2018,4,7.74
2018,5,9.328
2018,6,11.441
2018,7,12.649
2018,8,13.439
2018,9,13.809
2018,10,12.782
2018,11,11.16
2018,12,9.366
2019,1,8.477
2019,2,8.025
2019,3,7.709
2019,4,8.332
2019,5,9.678
2019,6,11.865
2019,7,14.656
2019,8,14.62
2019,9,13.674
2019,10,11.564
2019,11,9.902
2019,12,8.86
2020,1,7.663
2020,2,7.188
2020,3,7.167
2020,4,7.622
2020,5,9.631
2020,6,11.103
2020,7,13.025
2020,8,14.211
2020,9,14.439
2020,10,12.513
2020,11,9.84
2020,12,8.264
2021,1,8.21
2021,2,7.23
2021,3,7.07
2021,4,6.984
2021,5,8.691
2021,6,10.547
2021,7,13.292
2021,8,14.997
2021,9,14.375
2021,10,11.314
2021,11,9.363
2021,12,8.035
2022,1,7.133
2022,2,7.002
2022,3,7.057
2022,4,7.492
2022,5,8.672
2022,6,10.889
2022,7,12.455
2022,8,14.178
2022,9,14.603
2022,10,13.527
2022,11,9.802
2022,12,7.558
2023,1,7.507
2023,2,7.743
2023,3,6.997
2023,4,7.021
2023,5,9.485
2023,6,11.351
2023,7,13.291
2023,8,14.999
2023,9,14.308
2023,10,12.303
2023,11,10.171
2023,12,9.217
2024,1,8.407
2024,2,8.391
2024,3,8.107
2024,4,8.411
2024,5,9.407
2024,6,10.793
2024,7,13.251
2024,8,13.543
2024,9,14.253
2024,10,11.935
2024,11,9.863
2024,12,8.629
2025,1,7.374
2025,2,7.223
2025,3,6.981
2025,4,7.301
2025,5,8.36
2025,6,10.48
2025,7,12.531
2025,8,13.769
2025,9,13.163
2025,10,11.532
2025,11,9.44
2025,12,8.106
2026,1,7.374
2026,2,7.223
2026,3,6.981
2026,4,7.301
2026,5,8.36
2026,6,10.48
2026,7,12.531
2026,8,13.769
2026,9,13.163
2026,10,11.532
2026,11,9.44
2026,12,8.106
2027,1,7.374
2027,2,7.223
2027,3,6.981
2027,4,7.301
2027,5,8.36
2027,6,10.48
2027,7,12.531
2027,8,13.769
2027,9,13.163
2027,10,11.532
2027,11,9.44
2027,12,8.106
2028,1,7.374
2028,2,7.223
2028,3,6.981
2028,4,7.301
2028,5,8.36
2028,6,10.48
2028,7,12.531
2028,8,13.769
2028,9,13.163
2028,10,11.532
2028,11,9.44
2028,12,8.106
2029,1,7.374
2029,2,7.223
2029,3,6.981
2029,4,7.301
2029,5,8.36
2029,6,10.48
2029,7,12.531
2029,8,13.769
2029,9,13.163
2029,10,11.532
2029,11,9.44
2029,12,8.106
2030,1,7.707
2030,2,7.104
2030,3,6.924
2030,4,7.171
2030,5,8.8
2030,6,10.872
2030,7,14.046
2030,8,15.287
2030,9,13.997
2030,10,12.409
2030,11,10.569
2030,12,9.472
2031,1,9.104
2031,2,9.215
2031,3,9.503
2031,4,9.269
2031,5,10.155
2031,6,12.022
2031,7,13.121
2031,8,13.865
2031,9,13.693
2031,10,12.161
2031,11,10.161
2031,12,8.845
2032,1,7.374
2032,2,7.223
2032,3,6.981
2032,4,7.301
2032,5,8.36
2032,6,10.48
2032,7,12.531
2032,8,13.769
2032,9,13.163
2032,10,11.532
2032,11,9.44
2032,12,8.106
2033,1,7.374
2033,2,7.223
2033,3,6.981
2033,4,7.301
2033,5,8.36
2033,6,10.48
2033,7,12.531
2033,8,13.769
2033,9,13.163
2033,10,11.532
2033,11,9.44
2033,12,8.106
2034,1,7.374
2034,2,7.223
2034,3,6.981
2034,4,7.301
2034,5,8.36
2034,6,10.48
2034,7,12.531
2034,8,13.769
2034,9,13.163
2034,10,11.532
2034,11,9.44
2034,12,8.106
2035,1,7.374
2035,2,7.223
2035,3,6.981
2035,4,7.301
2035,5,8.36
2035,6,10.48
2035,7,12.531
2035,8,13.769
2035,9,13.163
2035,10,11.532
2035,11,9.44
2035,12,8.106
2036,1,7.374
2036,2,7.223
2036,3,6.981
2036,4,7.301
2036,5,8.36
2036,6,10.48
2036,7,12.531
2036,8,13.769
2036,9,13.163
2036,10,11.532
2036,11,9.44
2036,12,8.106
2037,1,7.374
2037,2,7.223
2037,3,6.981
2037,4,7.301
2037,5,8.36
2037,6,10.48
2037,7,12.531
2037,8,13.769
2037,9,13.163
2037,10,11.532
2037,11,9.44
2037,12,8.106
2038,1,7.374
2038,2,7.223
2038,3,6.981
2038,4,7.301
2038,5,8.36
2038,6,10.48
2038,7,12.531
2038,8,13.769
2038,9,13.163
2038,10,11.532
2038,11,9.44
2038,12,8.106
2039,1,7.374
