year,month,sst
2012,1,7.523
2012,2,7.399
2012,3,7.447
2012,4,8.418
2012,5,9.317
2012,6,9.553
2012,7,10.619
2012,8,11.227
2012,9,11.145
2012,10,9.65
2012,11,9.177
2012,12,8.716
2013,1,7.876
2013,2,7.711
2013,3,7.764
2013,4,8.321
2013,5,9.361
2013,6,10.05
2013,7,11.246
2013,8,10.817
2013,9,10.776
2013,10,10.281
2013,11,8.87
2013,12,7.868
2014,1,7.609
2014,2,7.231
2014,3,8.05
2014,4,8.834
2014,5,9.945
2014,6,10.563
2014,7,10.922
2014,8,11.526
2014,9,11.435
2014,10,10.498
2014,11,10.36
2014,12,9.145
2015,1,8.762
2015,2,9.143
2015,3,9.1
2015,4,9.714
2015,5,10.265
2015,6,11.363
2015,7,11.688
2015,8,12.066
2015,9,11.585
2015,10,10.813
2015,11,9.982
2015,12,9.155
2016,1,8.693
2016,2,8.935
2016,3,9.26
2016,4,10.044
2016,5,10.685
2016,6,10.769
2016,7,11.532
2016,8,12.449
2016,9,11.438
2016,10,10.467
2016,11,10.556
2016,12,9.159
2017,1,7.842
2017,2,7.704
2017,3,8.031
2017,4,9.008
2017,5,10.069
2017,6,10.749
2017,7,11.471
2017,8,11.92
2017,9,11.676
2017,10,10.429
2017,11,9.351
2017,12,8.677
2018,1,8.23
2018,2,7.966
2018,3,8.07
2018,4,8.778
2018,5,10.168
2018,6,10.889
2018,7,11.758
2018,8,11.737
2018,9,11.382
2018,10,10.327
2018,11,9.593
2018,12,8.871
2019,1,8.604
2019,2,7.927
2019,3,8.229
2019,4,9.107
2019,5,10.191
2019,6,10.936
2019,7,11.56
2019,8,11.601
2019,9,11.139
2019,10,10.214
2019,11,9.303
2019,12,8.497
2020,1,8.224
2020,2,8.127
2020,3,8.029
2020,4,8.945
2020,5,9.751
2020,6,10.25
2020,7,11.03
2020,8,11.06
2020,9,10.732
2020,10,10.057
2020,11,9.121
2020,12,8.579
2021,1,8.263
2021,2,7.906
2021,3,8.021
2021,4,8.615
2021,5,9.282
2021,6,10.421
2021,7,10.779
2021,8,11.221
2021,9,11.666
2021,10,10.127
2021,11,9.508
2021,12,8.731
2022,1,7.674
2022,2,7.727
2022,3,8.124
2022,4,8.539
2022,5,9.64
2022,6,10.646
2022,7,11.523
2022,8,12.189
2022,9,11.321
2022,10,10.289
2022,11,9.025
2022,12,8.159
2023,1,8.025
2023,2,7.897
2023,3,7.693
2023,4,8.373
2023,5,10.167
2023,6,10.419
2023,7,11.115
2023,8,12.255
2023,9,11.159
2023,10,10.598
2023,11,9.942
2023,12,9.477
2024,1,8.923
2024,2,8.728
2024,3,8.786
2024,4,9.424
2024,5,9.883
2024,6,10.392
2024,7,11.34
2024,8,11.422
2024,9,11.24
2024,10,9.952
2024,11,9.366
2024,12,8.983
2025,1,7.873
2025,2,7.884
2025,3,8.033
2025,4,8.697
2025,5,9.645
2025,6,10.605
2025,7,11.4
2025,8,11.632
2025,9,11.091
2025,10,10.01
2025,11,9.191
2025,12,8.434
2026,1,7.873
2026,2,7.884
2026,3,8.033
2026,4,8.697
2026,5,9.645
2026,6,10.605
2026,7,11.4
2026,8,11.632
2026,9,11.091
2026,10,10.01
2026,11,9.191
2026,12,8.434
2027,1,7.873
2027,2,7.884
2027,3,8.033
2027,4,8.697
2027,5,9.645
2027,6,10.605
2027,7,11.4
2027,8,11.632
2027,9,11.091
2027,10,10.01
2027,11,9.191
2027,12,8.434
2028,1,7.873
2028,2,7.884
2028,3,8.033
2028,4,8.697
2028,5,9.645
2028,6,10.605
2028,7,11.4
2028,8,11.632
2028,9,11.091
2028,10,10.01
2028,11,9.191
2028,12,8.434
2029,1,7.873
2029,2,7.884
2029,3,8.033
2029,4,8.697
2029,5,9.645
2029,6,10.605
2029,7,11.4
2029,8,11.632
2029,9,11.091
2029,10,10.01
2029,11,9.191
2029,12,8.434
2030,1,7.741
2030,2,7.557
2030,3,8.041
2030,4,8.766
2030,5,9.795
2030,6,10.584
2030,7,11.688
2030,8,12.066
2030,9,11.585
2030,10,10.813
2030,11,9.982
2030,12,9.155
2031,1,8.762
2031,2,9.143
2031,3,9.1
2031,4,9.714
2031,5,10.265
2031,6,11.363
2031,7,11.466
2031,8,12.04
2031,9,11.264
2031,10,10.238
2031,11,9.873
2031,12,8.797
2032,1,7.873
2032,2,7.884
2032,3,8.033
2032,4,8.697
2032,5,9.645
2032,6,10.605
2032,7,11.4
2032,8,11.632
2032,9,11.091
2032,10,10.01
2032,11,9.191
2032,12,8.434
2033,1,7.873
2033,2,7.884
2033,3,8.033
2033,4,8.697
2033,5,9.645
2033,6,10.605
2033,7,11.4
2033,8,11.632
2033,9,11.091
2033,10,10.01
2033,11,9.191
2033,12,8.434
2034,1,7.873
2034,2,7.884
2034,3,8.033
2034,4,8.697
2034,5,9.645
2034,6,10.605
2034,7,11.4
2034,8,11.632
2034,9,11.091
2034,10,10.01
2034,11,9.191
2034,12,8.434
2035,1,7.873
2035,2,7.884
2035,3,8.033
2035,4,8.697
2035,5,9.645
2035,6,10.605
2035,7,11.4
2035,8,11.632
2035,9,11.091
2035,10,10.01
2035,11,9.191
2035,12,8.434
2036,1,7.873
2036,2,7.884
2036,3,8.033
2036,4,8.697
2036,5,9.645
2036,6,10.605
2036,7,11.4
2036,8,11.632
2036,9,11.091
2036,10,10.01
2036,11,9.191
2036,12,8.434
2037,1,7.873
2037,2,7.884
2037,3,8.033
2037,4,8.697
2037,5,9.645
2037,6,10.605
2037,7,11.4
2037,8,11.632
2037,9,11.091
2037,10,10.01
2037,11,9.191
2037,12,8.434
2038,1,7.873
2038,2,7.884
2038,3,8.033
2038,4,8.697
2038,5,9.645
2038,6,10.605
2038,7,11.4
2038,8,11.632
2038,9,11.091
2038,10,10.01
2038,11,9.191
2038,12,8.434
2039,1,7.873
2039,2,7.884
2039,3,8.033
2039,4,8.697
2039,5,9.645
2039,6,10.605
2039,7,11.4
2039,8,11.632
2039,9,11.091
2039,10,10.01
2039,11,9.191
2039,12,8.434
2040,1,7.741
2040,2,7.557
2040,3,8.041
2040,4,8.766
2040,5,9.795
2040,6,10.584
2040,7,11.688
2040,8,12.066
2040,9,11.585
2040,10,10.813
2040,11,9.982
2040,12,9.155
2041,1,8.762
2041,2,9.143
2041,3,9.1
2041,4,9.714
2041,5,10.265
2041,6,11.363
2041,7,11.466
2041,8,12.04
2041,9,11.264
2041,10,10.238
2041,11,9.873
2041,12,8.797
2042,1,7.873
2042,2,7.884
