year,month,sst
2012,1,3.568
2012,2,2.403
2012,3,1.931
2012,4,2.266
2012,5,3.851
2012,6,6.387
2012,7,7.981
2012,8,9.055
2012,9,7.941
2012,10,7.274
2012,11,6.233
2012,12,4.619
2013,1,3.943
2013,2,3.468
2013,3,3.151
2013,4,3.892
2013,5,4.634
2013,6,6.491
2013,7,9.385
2013,8,10.402
2013,9,8.965
2013,10,7.553
2013,11,6.442
2013,12,5.581
2014,1,4.723
2014,2,4.059
2014,3,3.993
2014,4,4.488
2014,5,6.556
2014,6,8.465
2014,7,10.976
2014,8,11.516
2014,9,10.435
2014,10,9.276
2014,11,7.538
2014,12,6.667
2015,1,5.364
2015,2,5.865
2015,3,5.466
2015,4,5.293
2015,5,6.196
2015,6,7.948
2015,7,9.386
2015,8,11.385
2015,9,10.729
2015,10,8.813
2015,11,7.217
2015,12,5.794
2016,1,5.139
2016,2,5.2
2016,3,5.192
2016,4,5.72
2016,5,7.091
2016,6,8.649
2016,7,10.406
2016,8,11.92
2016,9,12.058
2016,10,9.593
2016,11,7.899
2016,12,6.604
2017,1,5.29
2017,2,4.64
2017,3,4.119
2017,4,4.215
2017,5,5.531
2017,6,8.236
2017,7,9.445
2017,8,10.613
2017,9,9.191
2017,10,8.232
2017,11,7.215
2017,12,5.7
2018,1,5.128
2018,2,4.716
2018,3,4.422
2018,4,4.569
2018,5,5.573
2018,6,7.036
2018,7,8.802
2018,8,9.854
2018,9,10.757
2018,10,9.282
2018,11,7.67
2018,12,6.099
2019,1,5.058
2019,2,5.204
2019,3,4.776
2019,4,5.392
2019,5,6.554
2019,6,8.61
2019,7,9.672
2019,8,12.474
2019,9,10.21
2019,10,9.001
2019,11,7.768
2019,12,6.411
2020,1,4.945
2020,2,4.241
2020,3,3.803
2020,4,4.335
2020,5,5.95
2020,6,8.087
2020,7,10.924
2020,8,10.442
2020,9,9.536
2020,10,8.587
2020,11,7.49
2020,12,5.8
2021,1,4.918
2021,2,4.9
2021,3,4.493
2021,4,4.945
2021,5,5.638
2021,6,7.421
2021,7,9.219
2021,8,11.068
2021,9,10.634
2021,10,7.766
2021,11,5.679
2021,12,4.944
2022,1,3.985
2022,2,3.488
2022,3,3.675
2022,4,3.692
2022,5,5.648
2022,6,7.326
2022,7,8.306
2022,8,9.086
2022,9,8.676
2022,10,7.609
2022,11,6.408
2022,12,5.712
2023,1,4.823
2023,2,4.624
2023,3,3.944
2023,4,4.155
2023,5,4.921
2023,6,6.932
2023,7,8.378
2023,8,9.76
2023,9,8.933
2023,10,8.23
2023,11,7.536
2023,12,5.757
2024,1,4.716
2024,2,4.214
2024,3,3.802
2024,4,4.092
2024,5,4.841
2024,6,6.73
2024,7,8.611
2024,8,9.22
2024,9,8.685
2024,10,7.595
2024,11,6.409
2024,12,5.599
2025,1,4.263
2025,2,3.781
2025,3,3.663
2025,4,3.643
2025,5,4.816
2025,6,6.789
2025,7,8.772
2025,8,9.922
2025,9,9.134
2025,10,7.813
2025,11,6.5
2025,12,5.202
2026,1,4.263
2026,2,3.781
2026,3,3.663
2026,4,3.643
2026,5,4.816
2026,6,6.789
2026,7,8.772
2026,8,9.922
2026,9,9.134
2026,10,7.813
2026,11,6.5
2026,12,5.202
2027,1,4.263
2027,2,3.781
2027,3,3.663
2027,4,3.643
2027,5,4.816
2027,6,6.789
2027,7,8.772
2027,8,9.922
2027,9,9.134
2027,10,7.813
2027,11,6.5
2027,12,5.202
2028,1,4.493
2028,2,3.92
2028,3,3.828
2028,4,4.065
2028,5,5.686
2028,6,7.627
2028,7,9.386
2028,8,11.385
2028,9,10.729
2028,10,8.813
2028,11,7.217
2028,12,5.794
2029,1,5.364
2029,2,5.865
2029,3,5.466
2029,4,5.293
2029,5,6.196
2029,6,7.948
2029,7,9.589
2029,8,10.921
2029,9,10.596
2029,10,8.703
2029,11,7.199
2029,12,5.903
2030,1,4.263
2030,2,3.781
2030,3,3.663
2030,4,3.643
2030,5,4.816
2030,6,6.789
2030,7,8.772
2030,8,9.922
2030,9,9.134
2030,10,7.813
2030,11,6.5
2030,12,5.202
2031,1,4.493
2031,2,3.92
2031,3,3.828
2031,4,4.065
2031,5,5.686
2031,6,7.627
2031,7,9.386
2031,8,11.385
2031,9,10.729
2031,10,8.813
2031,11,7.217
2031,12,5.794
2032,1,5.364
2032,2,5.865
2032,3,5.466
2032,4,5.293
2032,5,6.196
2032,6,7.948
2032,7,9.589
2032,8,10.921
2032,9,10.596
2032,10,8.703
2032,11,7.199
2032,12,5.903
2033,1,4.263
2033,2,3.781
2033,3,3.663
2033,4,3.643
2033,5,4.816
2033,6,6.789
2033,7,8.772
2033,8,9.922
2033,9,9.134
2033,10,7.813
2033,11,6.5
2033,12,5.202
2034,1,4.493
2034,2,3.92
2034,3,3.828
2034,4,4.065
2034,5,5.686
2034,6,7.627
2034,7,9.386
2034,8,11.385
2034,9,10.729
2034,10,8.813
2034,11,7.217
2034,12,5.794
2035,1,5.364
2035,2,5.865
2035,3,5.466
2035,4,5.293
2035,5,6.196
2035,6,7.948
2035,7,9.589
2035,8,10.921
2035,9,10.596
2035,10,8.703
2035,11,7.199
2035,12,5.903
2036,1,4.263
2036,2,3.781
2036,3,3.663
2036,4,3.643
2036,5,4.816
2036,6,6.789
2036,7,8.772
2036,8,9.922
2036,9,9.134
2036,10,7.813
2036,11,6.5
2036,12,5.202
2037,1,4.493
2037,2,3.92
2037,3,3.828
2037,4,4.065
2037,5,5.686
2037,6,7.627
2037,7,9.386
2037,8,11.385
2037,9,10.729
2037,10,8.813
2037,11,7.217
2037,12,5.794
2038,1,5.364
2038,2,5.865
2038,3,5.466
2038,4,5.293
2038,5,6.196
2038,6,7.948
2038,7,9.589
2038,8,10.921
2038,9,10.596
2038,10,8.703
2038,11,7.199
2038,12,5.903
2039,1,4.263
2039,2,3.781
2039,3,3.663
2039,4,3.643
2039,5,4.816
2039,6,6.789
2039,7,8.772
2039,8,9.922
2039,9,9.134
2039,10,7.813
2039,11,6.5
2039,12,5.202
2040,1,4.493
2040,2,3.92
2040,3,3.828
2040,4,4.065
2040,5,5.686
2040,6,7.627
2040,7,9.386
2040,8,11.385
2040,9,10.729
2040,10,8.813
2040,11,7.217
2040,12,5.794
2041,1,5.364
2041,2,5.865
2041,3,5.466
2041,4,5.293
2041,5,6.196
2041,6,7.948
2041,7,9.589
2041,8,10.921
2041,9,10.596
2041,10,8.703
2041,11,7.199
2041,12,5.903
2042,1,4.263
2042,2,3.781
2042,3,3.663
2042,4,3.643
2042,5,4.816
2042,6,6.789
2042,7,8.772
2042,8,9.922
2042,9,9.134
2042,10,7.813
2042,11,6.5
2042,12,5.202
2043,1,4.493
2043,2,3.92
2043,3,3.828
2043,4,4.065
2043,5,5.686
2043,6,7.627
2043,7,9.386
2043,8,11.385
2043,9,10.729
2043,10,8.813
2043,11,7.217
2043,12,5.794
2044,1,5.364
2044,2,5.865
2044,3,5.466
2044,4,5.293
2044,5,6.196
2044,6,7.948
2044,7,9.589
2044,8,10.921
2044,9,10.596
2044,10,8.703
2044,11,7.199
2044,12,5.903
2045,1,4.263
2045,2,3.781
2045,3,3.663
2045,4,3.643
2045,5,4.816
2045,6,6.789
2045,7,8.772
2045,8,9.922
2045,9,9.134
2045,10,7.813
2045,11,6.5
2045,12,5.202
2046,1,4.493
2046,2,3.92
2046,3,3.828
2046,4,4.065
2046,5,5.686
2046,6,7.627
2046,7,9.386
2046,8,11.385
2046,9,10.729
2046,10,8.813
2046,11,7.217
2046,12,5.794
2047,1,5.364
2047,2,5.865
2047,3,5.466
2047,4,5.293
2047,5,6.196
2047,6,7.948
2047,7,9.589
2047,8,10.921
2047,9,10.596
2047,10,8.703
2047,11,7.199
2047,12,5.903
2048,1,4.263
2048,2,3.781
2048,3,3.663
2048,4,3.643
2048,5,4.816
2048,6,6.789
2048,7,8.772
2048,8,9.922
2048,9,9.134
2048,10,7.813
2048,11,6.5
2048,12,5.202
2049,1,4.493
2049,2,3.92
2049,3,3.828
2049,4,4.065
2049,5,5.686
2049,6,7.627
2049,7,9.386
2049,8,11.385
2049,9,10.729
2049,10,8.813
2049,11,7.217
2049,12,5.794
2050,1,5.364
2050,2,5.865
2050,3,5.466
2050,4,5.293
2050,5,6.196
2050,6,7.948
2050,7,9.589
2050,8,10.921
2050,9,10.596
2050,10,8.703
2050,11,7.199
2050,12,5.903
