year,month,sst
2012,1,4.332
2012,2,3.621
2012,3,3.173
2012,4,4.88
2012,5,6.29
2012,6,8.849
2012,7,10.93
2012,8,11.599
2012,9,10.759
2012,10,8.499
2012,11,7.133
2012,12,5.619
2013,1,5.043
2013,2,4.754
2013,3,4.154
2013,4,4.353
2013,5,6.21
2013,6,10.516
2013,7,13.948
2013,8,13.683
2013,9,11.728
2013,10,9.629
2013,11,8.081
2013,12,6.13
2014,1,5.842
2014,2,4.678
2014,3,4.493
2014,4,4.931
2014,5,8.48
2014,6,9.933
2014,7,13.415
2014,8,13.547
2014,9,12.804
2014,10,10.292
2014,11,9.326
2014,12,7.833
2015,1,6.881
2015,2,6.215
2015,3,5.537
2015,4,6.01
2015,5,7.87
2015,6,11.201
2015,7,13.715
2015,8,15.242
2015,9,12.262
2015,10,10.06
2015,11,8.07
2015,12,7.01
2016,1,6.185
2016,2,5.872
2016,3,5.937
2016,4,6.412
2016,5,8.978
2016,6,12.422
2016,7,14.998
2016,8,14.425
2016,9,13.454
2016,10,10.733
2016,11,8.661
2016,12,7.361
2017,1,6.242
2017,2,5.366
2017,3,4.482
2017,4,5.375
2017,5,7.019
2017,6,10.85
2017,7,13.023
2017,8,13.76
2017,9,11.737
2017,10,9.994
2017,11,7.849
2017,12,6.472
2018,1,5.637
2018,2,4.783
2018,3,4.61
2018,4,5.226
2018,5,6.361
2018,6,10.149
2018,7,13.42
2018,8,13.397
2018,9,13.439
2018,10,10.563
2018,11,8.226
2018,12,7.02
2019,1,6.497
2019,2,6.137
2019,3,5.791
2019,4,6.354
2019,5,7.469
2019,6,11.323
2019,7,15.05
2019,8,15.598
2019,9,13.319
2019,10,10.167
2019,11,8.363
2019,12,6.968
2020,1,5.371
2020,2,4.923
2020,3,4.418
2020,4,5.247
2020,5,7.472
2020,6,10.752
2020,7,13.745
2020,8,14.253
2020,9,12.515
2020,10,10.434
2020,11,7.972
2020,12,6.605
2021,1,6.154
2021,2,5.399
2021,3,4.818
2021,4,5.202
2021,5,7.139
2021,6,9.706
2021,7,12.482
2021,8,13.636
2021,9,12.027
2021,10,9.584
2021,11,7.159
2021,12,5.703
2022,1,4.848
2022,2,4.223
2022,3,4.358
2022,4,5.092
2022,5,7.505
2022,6,12.316
2022,7,13.188
2022,8,13.482
2022,9,12.139
2022,10,9.878
2022,11,7.723
2022,12,6.126
2023,1,5.257
2023,2,4.643
2023,3,4.135
2023,4,4.756
2023,5,5.883
2023,6,8.765
2023,7,11.835
2023,8,13.048
2023,9,12.189
2023,10,9.48
2023,11,7.999
2023,12,6.601
2024,1,5.497
2024,2,4.971
2024,3,4.561
2024,4,5.218
2024,5,7.046
2024,6,9.826
2024,7,12.216
2024,8,13.086
2024,9,11.84
2024,10,9.363
2024,11,7.293
2024,12,6.313
2025,1,5.071
2025,2,4.407
2025,3,4.102
2025,4,4.723
2025,5,6.979
2025,6,9.744
2025,7,12.494
2025,8,13.142
2025,9,11.852
2025,10,9.445
2025,11,7.398
2025,12,6.075
2026,1,5.071
2026,2,4.407
2026,3,4.102
2026,4,4.723
2026,5,6.979
2026,6,9.744
2026,7,12.494
2026,8,13.142
2026,9,11.852
2026,10,9.445
2026,11,7.398
2026,12,6.075
2027,1,5.071
2027,2,4.407
2027,3,4.102
2027,4,4.723
2027,5,6.979
2027,6,9.744
2027,7,12.494
2027,8,13.142
2027,9,11.852
2027,10,9.445
2027,11,7.398
2027,12,6.075
2028,1,5.457
2028,2,4.542
2028,3,4.298
2028,4,4.827
2028,5,7.729
2028,6,9.839
2028,7,13.715
2028,8,15.242
2028,9,12.262
2028,10,10.06
2028,11,8.07
2028,12,7.01
2029,1,6.881
2029,2,6.215
2029,3,5.537
2029,4,6.01
2029,5,7.87
2029,6,11.201
2029,7,13.746
2029,8,13.784
2029,9,12.653
2029,10,10.089
2029,11,8.03
2029,12,6.718
2030,1,5.071
2030,2,4.407
2030,3,4.102
2030,4,4.723
2030,5,6.979
2030,6,9.744
2030,7,12.494
2030,8,13.142
2030,9,11.852
2030,10,9.445
2030,11,7.398
2030,12,6.075
2031,1,5.457
2031,2,4.542
2031,3,4.298
2031,4,4.827
2031,5,7.729
2031,6,9.839
2031,7,13.715
2031,8,15.242
2031,9,12.262
2031,10,10.06
2031,11,8.07
2031,12,7.01
2032,1,6.881
2032,2,6.215
2032,3,5.537
2032,4,6.01
2032,5,7.87
2032,6,11.201
2032,7,13.746
2032,8,13.784
2032,9,12.653
2032,10,10.089
2032,11,8.03
2032,12,6.718
2033,1,5.071
2033,2,4.407
2033,3,4.102
2033,4,4.723
2033,5,6.979
2033,6,9.744
2033,7,12.494
2033,8,13.142
2033,9,11.852
2033,10,9.445
2033,11,7.398
2033,12,6.075
2034,1,5.457
2034,2,4.542
2034,3,4.298
2034,4,4.827
2034,5,7.729
2034,6,9.839
2034,7,13.715
2034,8,15.242
2034,9,12.262
2034,10,10.06
2034,11,8.07
2034,12,7.01
2035,1,6.881
2035,2,6.215
2035,3,5.537
2035,4,6.01
2035,5,7.87
2035,6,11.201
2035,7,13.746
2035,8,13.784
2035,9,12.653
2035,10,10.089
2035,11,8.03
2035,12,6.718
2036,1,5.071
2036,2,4.407
2036,3,4.102
2036,4,4.723
2036,5,6.979
2036,6,9.744
2036,7,12.494
2036,8,13.142
2036,9,11.852
2036,10,9.445
2036,11,7.398
2036,12,6.075
2037,1,5.457
2037,2,4.542
2037,3,4.298
2037,4,4.827
2037,5,7.729
2037,6,9.839
2037,7,13.715
2037,8,15.242
2037,9,12.262
2037,10,10.06
2037,11,8.07
2037,12,7.01
2038,1,6.881
2038,2,6.215
2038,3,5.537
2038,4,6.01
2038,5,7.87
2038,6,11.201
2038,7,13.746
2038,8,13.784
2038,9,12.653
2038,10,10.089
2038,11,8.03
2038,12,6.718
2039,1,5.071
2039,2,4.407
2039,3,4.102
2039,4,4.723
2039,5,6.979
2039,6,9.744
2039,7,12.494
2039,8,13.142
2039,9,11.852
2039,10,9.445
2039,11,7.398
2039,12,6.075
2040,1,5.457
2040,2,4.542
2040,3,4.298
2040,4,4.827
2040,5,7.729
2040,6,9.839
2040,7,13.715
2040,8,15.242
2040,9,12.262
2040,10,10.06
2040,11,8.07
2040,12,7.01
2041,1,6.881
2041,2,6.215
2041,3,5.537
2041,4,6.01
2041,5,7.87
2041,6,11.201
2041,7,13.746
2041,8,13.784
2041,9,12.653
2041,10,10.089
2041,11,8.03
2041,12,6.718
2042,1,5.071
2042,2,4.407
2042,3,4.102
2042,4,4.723
2042,5,6.979
2042,6,9.744
2042,7,12.494
2042,8,13.142
2042,9,11.852
2042,10,9.445
2042,11,7.398
2042,12,6.075
2043,1,5.457
2043,2,4.542
2043,3,4.298
2043,4,4.827
2043,5,7.729
2043,6,9.839
2043,7,13.715
2043,8,15.242
2043,9,12.262
2043,10,10.06
2043,11,8.07
2043,12,7.01
2044,1,6.881
2044,2,6.215
2044,3,5.537
2044,4,6.01
2044,5,7.87
2044,6,11.201
2044,7,13.746
2044,8,13.784
2044,9,12.653
2044,10,10.089
2044,11,8.03
2044,12,6.718
2045,1,5.071
2045,2,4.407
2045,3,4.102
2045,4,4.723
2045,5,6.979
2045,6,9.744
2045,7,12.494
2045,8,13.142
2045,9,11.852
2045,10,9.445
2045,11,7.398
2045,12,6.075
2046,1,5.457
2046,2,4.542
2046,3,4.298
2046,4,4.827
2046,5,7.729
2046,6,9.839
2046,7,13.715
2046,8,15.242
2046,9,12.262
2046,10,10.06
2046,11,8.07
2046,12,7.01
2047,1,6.881
2047,2,6.215
2047,3,5.537
2047,4,6.01
2047,5,7.87
2047,6,11.201
2047,7,13.746
2047,8,13.784
2047,9,12.653
2047,10,10.089
2047,11,8.03
2047,12,6.718
2048,1,5.071
2048,2,4.407
2048,3,4.102
2048,4,4.723
2048,5,6.979
2048,6,9.744
2048,7,12.494
2048,8,13.142
2048,9,11.852
2048,10,9.445
2048,11,7.398
2048,12,6.075
2049,1,5.457
2049,2,4.542
2049,3,4.298
2049,4,4.827
2049,5,7.729
2049,6,9.839
2049,7,13.715
2049,8,15.242
2049,9,12.262
2049,10,10.06
2049,11,8.07
2049,12,7.01
2050,1,6.881
2050,2,6.215
2050,3,5.537
2050,4,6.01
2050,5,7.87
2050,6,11.201
2050,7,13.746
2050,8,13.784
2050,9,12.653
2050,10,10.089
2050,11,8.03
2050,12,6.718
