year,month,sst
2012,1,10.154
2012,2,10.172
2012,3,9.316
2012,4,10.908
2012,5,10.43
2012,6,10.927
2012,7,12.132
2012,8,12.03
2012,9,12.277
2012,10,11.973
2012,11,12.742
2012,12,11.92
2013,1,10.086
2013,2,9.294
2013,3,9.338
2013,4,9.629
2013,5,10.721
2013,6,11.794
2013,7,11.617
2013,8,12.936
2013,9,15.086
2013,10,10.751
2013,11,10.382
2013,12,9.684
2014,1,10.237
2014,2,10.422
2014,3,10.953
2014,4,11.343
2014,5,12.375
2014,6,10.744
2014,7,13.073
2014,8,13.426
2014,9,14.015
2014,10,14.876
2014,11,14.307
2014,12,14.639
2015,1,12.948
2015,2,12.544
2015,3,11.91
2015,4,11.451
2015,5,10.417
2015,6,11.892
2015,7,14.546
2015,8,14.982
2015,9,14.09
2015,10,13.969
2015,11,12.543
2015,12,12.165
2016,1,11.7
2016,2,11.74
2016,3,12.391
2016,4,12.817
2016,5,11.538
2016,6,12.475
2016,7,12.161
2016,8,12.366
2016,9,12.857
2016,10,13.167
2016,11,14.438
2016,12,11.902
2017,1,10.614
2017,2,11.38
2017,3,11.493
2017,4,11.391
2017,5,11.033
2017,6,12.57
2017,7,13.08
2017,8,14.321
2017,9,13.885
2017,10,11.073
2017,11,11.762
2017,12,11.629
2018,1,11.366
2018,2,10.44
2018,3,10.342
2018,4,11.194
2018,5,10.76
2018,6,11.916
2018,7,12.744
2018,8,13.335
2018,9,12.561
2018,10,11.755
2018,11,11.428
2018,12,12.273
2019,1,11.408
2019,2,11.116
2019,3,10.887
2019,4,11.736
2019,5,11.105
2019,6,11.652
2019,7,13.784
2019,8,13.781
2019,9,15.103
2019,10,11.631
2019,11,11.186
2019,12,11.602
2020,1,11.358
2020,2,9.92
2020,3,9.791
2020,4,11.608
2020,5,12.94
2020,6,12.26
2020,7,12.007
2020,8,13.226
2020,9,14.457
2020,10,12.64
2020,11,10.982
2020,12,10.769
2021,1,10.758
2021,2,10.209
2021,3,10.047
2021,4,9.609
2021,5,9.879
2021,6,12.26
2021,7,11.825
2021,8,11.204
2021,9,11.326
2021,10,11.949
2021,11,13.003
2021,12,11.044
2022,1,10.504
2022,2,10.053
2022,3,9.884
2022,4,9.768
2022,5,10.752
2022,6,12.223
2022,7,13.562
2022,8,14.603
2022,9,13.559
2022,10,12.805
2022,11,10.585
2022,12,10.294
2023,1,10.985
2023,2,9.796
2023,3,9.332
2023,4,10.493
2023,5,11.436
2023,6,11.421
2023,7,12.485
2023,8,13.67
2023,9,13.303
2023,10,12.749
2023,11,13.104
2023,12,12.432
2024,1,12.188
2024,2,12.048
2024,3,11.909
2024,4,11.11
2024,5,10.717
2024,6,11.024
2024,7,12.683
2024,8,13.287
2024,9,13.084
2024,10,11.864
2024,11,11.802
2024,12,11.624
2025,1,10.725
2025,2,10.586
2025,3,10.551
2025,4,10.7
2025,5,11.033
2025,6,11.571
2025,7,12.496
2025,8,12.703
2025,9,12.198
2025,10,11.78
2025,11,11.651
2025,12,10.878
2026,1,10.725
2026,2,10.586
2026,3,10.551
2026,4,10.7
2026,5,11.033
2026,6,11.571
2026,7,12.496
2026,8,12.703
2026,9,12.198
2026,10,11.78
2026,11,11.651
2026,12,10.878
2027,1,10.725
2027,2,10.586
2027,3,10.551
2027,4,10.7
2027,5,11.033
2027,6,11.571
2027,7,12.496
2027,8,12.703
2027,9,12.198
2027,10,11.78
2027,11,11.651
2027,12,10.878
2028,1,10.481
2028,2,10.504
2028,3,10.752
2028,4,11.022
2028,5,11.704
2028,6,11.158
2028,7,14.546
2028,8,14.982
2028,9,14.09
2028,10,13.969
2028,11,12.543
2028,12,12.165
2029,1,12.948
2029,2,12.544
2029,3,11.91
2029,4,11.451
2029,5,10.417
2029,6,11.892
2029,7,12.329
2029,8,12.535
2029,9,12.527
2029,10,12.474
2029,11,13.045
2029,12,11.39
2030,1,10.725
2030,2,10.586
2030,3,10.551
2030,4,10.7
2030,5,11.033
2030,6,11.571
2030,7,12.496
2030,8,12.703
2030,9,12.198
2030,10,11.78
2030,11,11.651
2030,12,10.878
2031,1,10.481
2031,2,10.504
2031,3,10.752
2031,4,11.022
2031,5,11.704
2031,6,11.158
2031,7,14.546
2031,8,14.982
2031,9,14.09
2031,10,13.969
2031,11,12.543
2031,12,12.165
2032,1,12.948
2032,2,12.544
2032,3,11.91
2032,4,11.451
2032,5,10.417
2032,6,11.892
2032,7,12.329
2032,8,12.535
2032,9,12.527
2032,10,12.474
2032,11,13.045
2032,12,11.39
2033,1,10.725
2033,2,10.586
2033,3,10.551
2033,4,10.7
2033,5,11.033
2033,6,11.571
2033,7,12.496
2033,8,12.703
2033,9,12.198
2033,10,11.78
2033,11,11.651
2033,12,10.878
2034,1,10.481
2034,2,10.504
2034,3,10.752
2034,4,11.022
2034,5,11.704
2034,6,11.158
2034,7,14.546
2034,8,14.982
2034,9,14.09
2034,10,13.969
2034,11,12.543
2034,12,12.165
2035,1,12.948
2035,2,12.544
2035,3,11.91
2035,4,11.451
2035,5,10.417
2035,6,11.892
2035,7,12.329
2035,8,12.535
2035,9,12.527
2035,10,12.474
2035,11,13.045
2035,12,11.39
2036,1,10.725
2036,2,10.586
2036,3,10.551
2036,4,10.7
2036,5,11.033
2036,6,11.571
2036,7,12.496
2036,8,12.703
2036,9,12.198
2036,10,11.78
2036,11,11.651
2036,12,10.878
2037,1,10.481
2037,2,10.504
2037,3,10.752
2037,4,11.022
2037,5,11.704
2037,6,11.158
2037,7,14.546
2037,8,14.982
2037,9,14.09
2037,10,13.969
2037,11,12.543
2037,12,12.165
2038,1,12.948
2038,2,12.544
2038,3,11.91
2038,4,11.451
2038,5,10.417
2038,6,11.892
2038,7,12.329
2038,8,12.535
2038,9,12.527
2038,10,12.474
2038,11,13.045
2038,12,11.39
2039,1,10.725
2039,2,10.586
2039,3,10.551
2039,4,10.7
2039,5,11.033
2039,6,11.571
2039,7,12.496
2039,8,12.703
2039,9,12.198
2039,10,11.78
2039,11,11.651
2039,12,10.878
2040,1,10.481
2040,2,10.504
2040,3,10.752
2040,4,11.022
2040,5,11.704
2040,6,11.158
2040,7,14.546
2040,8,14.982
2040,9,14.09
2040,10,13.969
2040,11,12.543
2040,12,12.165
2041,1,12.948
2041,2,12.544
2041,3,11.91
2041,4,11.451
2041,5,10.417
2041,6,11.892
2041,7,12.329
2041,8,12.535
2041,9,12.527
2041,10,12.474
2041,11,13.045
2041,12,11.39
2042,1,10.725
2042,2,10.586
2042,3,10.551
2042,4,10.7
2042,5,11.033
2042,6,11.571
2042,7,12.496
2042,8,12.703
2042,9,12.198
2042,10,11.78
2042,11,11.651
2042,12,10.878
2043,1,10.481
2043,2,10.504
2043,3,10.752
2043,4,11.022
2043,5,11.704
2043,6,11.158
2043,7,14.546
2043,8,14.982
2043,9,14.09
2043,10,13.969
2043,11,12.543
2043,12,12.165
2044,1,12.948
2044,2,12.544
2044,3,11.91
2044,4,11.451
2044,5,10.417
2044,6,11.892
2044,7,12.329
2044,8,12.535
2044,9,12.527
2044,10,12.474
2044,11,13.045
2044,12,11.39
2045,1,10.725
2045,2,10.586
2045,3,10.551
2045,4,10.7
2045,5,11.033
2045,6,11.571
2045,7,12.496
