year,month,sst
2012,1,14.476
2012,2,13.813
2012,3,12.644
2012,4,13.322
2012,5,14.753
2012,6,16.662
2012,7,16.876
2012,8,18.941
2012,9,19.321
2012,10,19.111
2012,11,16.398
2012,12,15.14
2013,1,13.104
2013,2,13.302
2013,3,13.528
2013,4,13.914
2013,5,15.769
2013,6,17.65
2013,7,18.089
2013,8,17.556
2013,9,18.205
2013,10,17.947
2013,11,16.708
2013,12,15.004
2014,1,15.374
2014,2,14.637
2014,3,15.25
2014,4,14.328
2014,5,15.416
2014,6,18.056
2014,7,20.188
2014,8,19.288
2014,9,20.281
2014,10,20.846
2014,11,18.761
2014,12,17.624
2015,1,16.179
2015,2,16.395
2015,3,16.375
2015,4,15.225
2015,5,15.302
2015,6,17.276
2015,7,19.427
2015,8,20.482
2015,9,22.256
2015,10,21.701
2015,11,18.169
2015,12,16.925
2016,1,15.025
2016,2,15.375
2016,3,15.369
2016,4,14.862
2016,5,15.515
2016,6,16.556
2016,7,19.786
2016,8,19.527
2016,9,19.309
2016,10,18.005
2016,11,17.362
2016,12,14.586
2017,1,14.171
2017,2,14.215
2017,3,14.387
2017,4,13.816
2017,5,14.891
2017,6,16.827
2017,7,18.854
2017,8,19.227
2017,9,19.489
2017,10,18.856
2017,11,17.152
2017,12,15.405
2018,1,15.481
2018,2,14.664
2018,3,13.615
2018,4,13.25
2018,5,14.605
2018,6,16.781
2018,7,19.728
2018,8,21.178
2018,9,19.392
2018,10,19.246
2018,11,18.147
2018,12,16.0
2019,1,14.993
2019,2,14.255
2019,3,13.637
2019,4,14.0
2019,5,14.512
2019,6,16.573
2019,7,17.867
2019,8,18.471
2019,9,20.189
2019,10,18.212
2019,11,17.367
2019,12,15.221
2020,1,15.094
2020,2,15.107
2020,3,14.983
2020,4,15.158
2020,5,15.641
2020,6,17.247
2020,7,18.643
2020,8,19.305
2020,9,19.615
2020,10,19.948
2020,11,16.01
2020,12,14.99
2021,1,14.277
2021,2,13.446
2021,3,13.016
2021,4,14.148
2021,5,15.643
2021,6,17.113
2021,7,19.125
2021,8,19.076
2021,9,18.157
2021,10,17.275
2021,11,16.291
2021,12,14.519
2022,1,14.177
2022,2,14.458
2022,3,13.916
2022,4,14.395
2022,5,14.557
2022,6,17.84
2022,7,18.586
2022,8,18.899
2022,9,20.836
2022,10,19.089
2022,11,15.741
2022,12,15.28
2023,1,14.285
2023,2,13.34
2023,3,13.086
2023,4,13.089
2023,5,15.185
2023,6,16.727
2023,7,17.634
2023,8,19.684
2023,9,19.457
2023,10,18.307
2023,11,17.315
2023,12,16.489
2024,1,15.076
2024,2,14.829
2024,3,14.289
2024,4,13.806
2024,5,14.258
2024,6,16.222
2024,7,18.081
2024,8,18.422
2024,9,18.374
2024,10,17.525
2024,11,15.053
2024,12,14.319
2025,1,14.052
2025,2,13.907
2025,3,13.463
2025,4,13.427
2025,5,14.138
2025,6,15.993
2025,7,17.645
2025,8,18.166
2025,9,17.851
2025,10,17.286
2025,11,16.136
2025,12,14.676
2026,1,14.052
2026,2,13.907
2026,3,13.463
2026,4,13.427
2026,5,14.138
2026,6,15.993
2026,7,17.645
2026,8,18.166
2026,9,17.851
2026,10,17.286
2026,11,16.136
2026,12,14.676
2027,1,14.052
2027,2,13.907
2027,3,13.463
2027,4,13.427
2027,5,14.138
2027,6,15.993
2027,7,17.645
2027,8,18.166
2027,9,17.851
2027,10,17.286
2027,11,16.136
2027,12,14.676
2028,1,14.713
2028,2,14.272
2028,3,14.357
2028,4,13.877
2028,5,14.777
2028,6,17.025
2028,7,19.427
2028,8,20.482
2028,9,22.256
2028,10,21.701
2028,11,18.169
2028,12,16.925
2029,1,16.179
2029,2,16.395
2029,3,16.375
2029,4,15.225
2029,5,15.302
2029,6,17.276
2029,7,18.716
2029,8,18.847
2029,9,18.58
2029,10,17.645
2029,11,16.749
2029,12,14.631
