year,month,sst
2012,1,7.822
2012,2,7.691
2012,3,7.74
2012,4,9.806
2012,5,10.117
2012,6,11.011
2012,7,12.024
2012,8,12.887
2012,9,12.446
2012,10,10.654
2012,11,11.282
2012,12,10.235
2013,1,8.044
2013,2,7.868
2013,3,8.155
2013,4,9.061
2013,5,10.791
2013,6,12.62
2013,7,12.876
2013,8,12.355
2013,9,14.777
2013,10,12.234
2013,11,9.364
2013,12,7.833
2014,1,7.631
2014,2,7.315
2014,3,9.089
2014,4,10.258
2014,5,13.217
2014,6,11.907
2014,7,12.549
2014,8,12.384
2014,9,13.224
2014,10,14.298
2014,11,12.233
2014,12,11.499
2015,1,10.12
2015,2,10.294
2015,3,10.34
2015,4,10.754
2015,5,11.147
2015,6,12.118
2015,7,13.819
2015,8,13.655
2015,9,13.693
2015,10,13.323
2015,11,12.17
2015,12,10.411
2016,1,9.724
2016,2,10.372
2016,3,10.453
2016,4,11.528
2016,5,11.8
2016,6,12.68
2016,7,13.398
2016,8,13.025
2016,9,13.136
2016,10,12.584
2016,11,12.832
2016,12,10.039
2017,1,8.353
2017,2,8.536
2017,3,9.228
2017,4,10.293
2017,5,11.39
2017,6,12.824
2017,7,12.53
2017,8,12.923
2017,9,12.886
2017,10,11.672
2017,11,10.882
2017,12,9.812
2018,1,9.645
2018,2,8.486
2018,3,8.86
2018,4,10.173
2018,5,11.684
2018,6,12.681
2018,7,12.751
2018,8,12.858
2018,9,12.714
2018,10,12.034
2018,11,10.978
2018,12,10.203
2019,1,9.728
2019,2,8.692
2019,3,8.996
2019,4,10.701
2019,5,11.824
2019,6,11.612
2019,7,14.304
2019,8,13.894
2019,9,14.633
2019,10,11.579
2019,11,9.968
2019,12,9.292
2020,1,9.253
2020,2,8.652
2020,3,8.345
2020,4,9.747
2020,5,12.643
2020,6,11.99
2020,7,12.375
2020,8,12.976
2020,9,12.819
2020,10,12.093
2020,11,10.13
2020,12,9.463
2021,1,9.514
2021,2,9.042
2021,3,8.716
2021,4,8.853
2021,5,10.06
2021,6,12.661
2021,7,12.897
2021,8,13.24
2021,9,11.813
2021,10,11.716
2021,11,10.827
2021,12,9.664
2022,1,8.402
2022,2,8.08
2022,3,8.747
2022,4,9.086
2022,5,10.922
2022,6,11.754
2022,7,12.122
2022,8,12.637
2022,9,11.844
2022,10,11.264
2022,11,9.495
2022,12,8.691
2023,1,9.189
2023,2,8.527
2023,3,7.956
2023,4,9.255
2023,5,11.139
2023,6,9.902
2023,7,11.172
2023,8,12.126
2023,9,12.041
2023,10,12.837
2023,11,11.78
2023,12,10.298
2024,1,9.942
2024,2,10.208
2024,3,10.02
2024,4,10.192
2024,5,10.207
2024,6,10.62
2024,7,11.089
2024,8,12.343
2024,9,11.916
2024,10,10.458
2024,11,10.731
2024,12,9.755
2025,1,8.645
2025,2,8.473
2025,3,8.671
2025,4,9.521
2025,5,10.661
2025,6,11.962
2025,7,12.438
2025,8,12.449
2025,9,11.992
2025,10,11.296
2025,11,10.516
2025,12,9.29
2026,1,8.645
2026,2,8.473
2026,3,8.671
2026,4,9.521
2026,5,10.661
2026,6,11.962
2026,7,12.438
2026,8,12.449
2026,9,11.992
2026,10,11.296
2026,11,10.516
2026,12,9.29
2027,1,8.645
2027,2,8.473
2027,3,8.671
2027,4,9.521
2027,5,10.661
2027,6,11.962
2027,7,12.438
2027,8,12.449
2027,9,11.992
2027,10,11.296
2027,11,10.516
2027,12,9.29
2028,1,8.138
2028,2,7.894
2028,3,8.88
2028,4,9.889
2028,5,11.939
2028,6,11.934
2028,7,13.819
2028,8,13.655
2028,9,13.693
2028,10,13.323
2028,11,12.17
2028,12,10.411
2029,1,10.12
2029,2,10.294
2029,3,10.34
2029,4,10.754
2029,5,11.147
2029,6,12.118
2029,7,12.918
2029,8,12.737
2029,9,12.564
2029,10,11.94
2029,11,11.674
2029,12,9.665
2030,1,8.645
2030,2,8.473
2030,3,8.671
2030,4,9.521
2030,5,10.661
2030,6,11.962
2030,7,12.438
2030,8,12.449
2030,9,11.992
2030,10,11.296
2030,11,10.516
2030,12,9.29
2031,1,8.138
2031,2,7.894
2031,3,8.88
2031,4,9.889
2031,5,11.939
2031,6,11.934
2031,7,13.819
2031,8,13.655
2031,9,13.693
2031,10,13.323
2031,11,12.17
2031,12,10.411
2032,1,10.12
2032,2,10.294
2032,3,10.34
2032,4,10.754
2032,5,11.147
2032,6,12.118
2032,7,12.918
2032,8,12.737
2032,9,12.564
2032,10,11.94
2032,11,11.674
2032,12,9.665
2033,1,8.645
2033,2,8.473
2033,3,8.671
2033,4,9.521
2033,5,10.661
2033,6,11.962
2033,7,12.438
2033,8,12.449
2033,9,11.992
