year,month,sst
2012,1,6.614
2012,2,6.001
2012,3,5.762
2012,4,6.648
2012,5,6.958
2012,6,8.744
2012,7,11.084
2012,8,12.499
2012,9,12.134
2012,10,10.296
2012,11,9.238
2012,12,7.393
2013,1,6.964
2013,2,6.462
2013,3,6.016
2013,4,6.781
2013,5,7.567
2013,6,10.659
2013,7,13.106
2013,8,13.378
2013,9,13.661
2013,10,11.738
2013,11,9.412
2013,12,7.814
2014,1,7.647
2014,2,6.537
2014,3,6.223
2014,4,5.877
2014,5,8.009
2014,6,10.106
2014,7,12.101
2014,8,14.453
2014,9,13.771
2014,10,12.371
2014,11,10.264
2014,12,9.068
2015,1,7.808
2015,2,8.103
2015,3,7.999
2015,4,8.372
2015,5,9.556
2015,6,11.31
2015,7,13.093
2015,8,14.411
2015,9,13.4
2015,10,11.77
2015,11,10.115
2015,12,8.875
2016,1,8.188
2016,2,7.982
2016,3,7.801
2016,4,8.347
2016,5,10.133
2016,6,11.7
2016,7,13.578
2016,8,13.387
2016,9,12.165
2016,10,11.475
2016,11,10.635
2016,12,9.147
2017,1,7.721
2017,2,7.048
2017,3,6.272
2017,4,6.886
2017,5,8.544
2017,6,10.132
2017,7,12.434
2017,8,13.675
2017,9,13.131
2017,10,11.574
2017,11,8.572
2017,12,8.192
2018,1,7.092
2018,2,6.87
2018,3,6.461
2018,4,6.886
2018,5,8.82
2018,6,10.73
2018,7,12.111
2018,8,13.767
2018,9,13.372
2018,10,12.007
2018,11,10.763
2018,12,9.296
2019,1,8.258
2019,2,7.511
2019,3,7.074
2019,4,7.712
2019,5,9.25
2019,6,11.336
2019,7,13.723
2019,8,13.833
2019,9,12.802
2019,10,11.176
2019,11,9.537
2019,12,8.265
2020,1,6.843
2020,2,6.492
2020,3,6.212
2020,4,6.527
2020,5,8.282
2020,6,10.272
2020,7,12.855
2020,8,13.706
2020,9,12.743
2020,10,11.006
2020,11,9.117
2020,12,7.872
2021,1,7.673
2021,2,6.584
2021,3,6.266
2021,4,5.925
2021,5,7.686
2021,6,9.627
2021,7,12.412
2021,8,13.914
2021,9,12.911
2021,10,10.509
2021,11,9.127
2021,12,7.373
2022,1,6.333
2022,2,6.308
2022,3,6.334
2022,4,6.906
2022,5,8.195
2022,6,10.439
2022,7,12.269
2022,8,13.857
2022,9,13.986
2022,10,12.77
2022,11,9.496
2022,12,7.262
2023,1,7.025
2023,2,6.914
2023,3,6.049
2023,4,6.407
2023,5,8.49
2023,6,10.337
2023,7,12.477
2023,8,13.549
2023,9,12.869
2023,10,11.879
2023,11,10.059
2023,12,8.992
2024,1,8.127
2024,2,7.671
2024,3,7.291
2024,4,7.615
2024,5,8.757
2024,6,10.064
2024,7,12.264
2024,8,13.424
2024,9,13.063
2024,10,11.245
2024,11,9.475
2024,12,8.406
2025,1,6.701
2025,2,6.303
2025,3,6.063
2025,4,6.417
2025,5,7.563
2025,6,9.713
2025,7,11.862
2025,8,12.914
2025,9,12.088
2025,10,10.563
2025,11,8.886
2025,12,7.662
2026,1,6.701
2026,2,6.303
2026,3,6.063
2026,4,6.417
2026,5,7.563
2026,6,9.713
2026,7,11.862
2026,8,12.914
2026,9,12.088
2026,10,10.563
2026,11,8.886
2026,12,7.662
2027,1,6.701
2027,2,6.303
2027,3,6.063
2027,4,6.417
2027,5,7.563
2027,6,9.713
2027,7,11.862
2027,8,12.914
2027,9,12.088
2027,10,10.563
2027,11,8.886
2027,12,7.662
2028,1,7.411
2028,2,6.479
2028,3,6.183
2028,4,6.012
2028,5,7.898
2028,6,10.008
2028,7,13.708
2028,8,15.159
2028,9,14.056
