year,month,sst
2012,1,2.058
2012,2,1.076
2012,3,0.649
2012,4,1.028
2012,5,2.798
2012,6,5.451
2012,7,7.861
2012,8,9.173
2012,9,8.617
2012,10,7.69
2012,11,5.809
2012,12,3.491
2013,1,3.221
2013,2,2.615
2013,3,1.788
2013,4,2.493
2013,5,3.588
2013,6,6.211
2013,7,9.031
2013,8,10.45
2013,9,9.768
2013,10,8.537
2013,11,6.823
2013,12,5.404
2014,1,4.34
2014,2,3.098
2014,3,2.763
2014,4,3.473
2014,5,5.701
2014,6,8.242
2014,7,11.443
2014,8,12.867
2014,9,12.121
2014,10,9.992
2014,11,7.688
2014,12,6.294
2015,1,5.01
2015,2,4.116
2015,3,4.446
2015,4,4.428
2015,5,5.986
2015,6,7.942
2015,7,10.088
2015,8,11.909
2015,9,11.279
2015,10,9.213
2015,11,7.586
2015,12,5.846
2016,1,4.666
2016,2,4.374
2016,3,4.054
2016,4,4.806
2016,5,6.858
2016,6,8.939
2016,7,11.846
2016,8,13.133
2016,9,12.14
2016,10,10.331
2016,11,8.16
2016,12,6.516
2017,1,4.862
2017,2,3.206
2017,3,1.831
2017,4,2.503
2017,5,5.075
2017,6,8.05
2017,7,10.032
2017,8,11.426
2017,9,10.081
2017,10,8.914
2017,11,7.359
2017,12,5.8
2018,1,4.385
2018,2,3.447
2018,3,3.838
2018,4,3.948
2018,5,5.564
2018,6,7.569
2018,7,9.692
2018,8,10.425
2018,9,10.555
2018,10,9.788
2018,11,8.021
2018,12,5.748
2019,1,4.181
2019,2,4.204
2019,3,4.117
2019,4,4.62
2019,5,6.661
2019,6,8.849
2019,7,11.334
2019,8,13.414
2019,9,11.364
2019,10,9.092
2019,11,7.836
2019,12,6.292
2020,1,4.079
2020,2,2.738
2020,3,2.614
2020,4,3.871
2020,5,5.795
2020,6,7.846
2020,7,11.188
2020,8,11.395
2020,9,9.89
2020,10,8.954
2020,11,7.517
2020,12,5.609
2021,1,4.258
2021,2,4.352
2021,3,3.852
2021,4,4.333
2021,5,5.794
2021,6,7.573
2021,7,10.161
2021,8,11.227
2021,9,10.49
2021,10,7.923
2021,11,5.49
2021,12,3.38
2022,1,2.544
2022,2,2.081
2022,3,2.598
2022,4,2.554
2022,5,4.838
2022,6,7.814
2022,7,9.685
2022,8,10.394
2022,9,9.845
2022,10,8.472
2022,11,6.656
2022,12,5.516
2023,1,4.314
2023,2,3.854
2023,3,3.359
2023,4,3.103
2023,5,4.577
2023,6,7.159
2023,7,9.565
2023,8,11.262
2023,9,10.237
2023,10,8.593
2023,11,7.702
2023,12,5.311
2024,1,3.653
2024,2,2.623
2024,3,2.179
2024,4,2.917
2024,5,4.518
2024,6,6.918
2024,7,9.145
2024,8,10.226
2024,9,9.61
2024,10,7.98
2024,11,6.593
2024,12,5.473
2025,1,3.164
2025,2,2.546
2025,3,2.114
2025,4,2.323
2025,5,4.084
2025,6,6.651
2025,7,9.315
2025,8,10.412
2025,9,9.954
2025,10,8.571
2025,11,6.648
2025,12,4.701
2026,1,3.164
2026,2,2.546
2026,3,2.114
2026,4,2.323
2026,5,4.084
2026,6,6.651
2026,7,9.315
2026,8,10.412
2026,9,9.954
2026,10,8.571
2026,11,6.648
2026,12,4.701
2027,1,3.164
2027,2,2.546
2027,3,2.114
2027,4,2.323
2027,5,4.084
2027,6,6.651
2027,7,9.315
2027,8,10.412
2027,9,9.954
2027,10,8.571
2027,11,6.648
2027,12,4.701
2028,1,4.046
2028,2,2.96
2028,3,2.601
2028,4,3.186
2028,5,5.297
2028,6,7.844
2028,7,10.475
2028,8,12.658
2028,9,11.941
2028,10,9.534
2028,11,8.055
2028,12,6.419
2029,1,5.933
2029,2,4.901
2029,3,5.612
2029,4,5.48
2029,5,6.937
2029,6,8.588
2029,7,11.213
2029,8,12.453
2029,9,11.594
2029,10,9.891
2029,11,7.782
2029,12,6.062
2030,1,3.164
2030,2,2.546
2030,3,2.114
2030,4,2.323
2030,5,4.084
2030,6,6.651
2030,7,9.315
2030,8,10.412
2030,9,9.954
2030,10,8.571
2030,11,6.648
2030,12,4.701
2031,1,3.164
2031,2,2.546
2031,3,2.114
2031,4,2.323
2031,5,4.084
2031,6,6.651
2031,7,9.315
2031,8,10.412
2031,9,9.954
2031,10,8.571
2031,11,6.648
2031,12,4.701
2032,1,3.164
2032,2,2.546
2032,3,2.114
2032,4,2.323
2032,5,4.084
2032,6,6.651
2032,7,9.315
2032,8,10.412
2032,9,9.954
2032,10,8.571
2032,11,6.648
2032,12,4.701
2033,1,4.046
2033,2,2.96
2033,3,2.601
2033,4,3.186
2033,5,5.297
2033,6,7.844
2033,7,10.475
2033,8,12.658
2033,9,11.941
2033,10,9.534
2033,11,8.055
2033,12,6.419
2034,1,5.933
2034,2,4.901
2034,3,5.612
2034,4,5.48
2034,5,6.937
2034,6,8.588
2034,7,11.213
2034,8,12.453
2034,9,11.594
2034,10,9.891
2034,11,7.782
2034,12,6.062
2035,1,3.164
2035,2,2.546
2035,3,2.114
2035,4,2.323
2035,5,4.084
2035,6,6.651
2035,7,9.315
2035,8,10.412
2035,9,9.954
2035,10,8.571
2035,11,6.648
2035,12,4.701
2036,1,3.164
2036,2,2.546
2036,3,2.114
2036,4,2.323
2036,5,4.084
2036,6,6.651
2036,7,9.315
2036,8,10.412
2036,9,9.954
2036,10,8.571
2036,11,6.648
2036,12,4.701
2037,1,3.164
2037,2,2.546
2037,3,2.114
2037,4,2.323
2037,5,4.084
2037,6,6.651
2037,7,9.315
2037,8,10.412
2037,9,9.954
2037,10,8.571
2037,11,6.648
2037,12,4.701
2038,1,4.046
2038,2,2.96
2038,3,2.601
2038,4,3.186
2038,5,5.297
2038,6,7.844
2038,7,10.475
2038,8,12.658
2038,9,11.941
2038,10,9.534
2038,11,8.055
2038,12,6.419
2039,1,5.933
2039,2,4.901
2039,3,5.612
2039,4,5.48
2039,5,6.937
2039,6,8.588
2039,7,11.213
2039,8,12.453
2039,9,11.594
2039,10,9.891
2039,11,7.782
2039,12,6.062
2040,1,3.164
2040,2,2.546
2040,3,2.114
2040,4,2.323
2040,5,4.084
2040,6,6.651
2040,7,9.315
2040,8,10.412
2040,9,9.954
2040,10,8.571
2040,11,6.648
2040,12,4.701
2041,1,3.164
2041,2,2.546
2041,3,2.114
2041,4,2.323
2041,5,4.084
2041,6,6.651
2041,7,9.315
2041,8,10.412
2041,9,9.954
2041,10,8.571
2041,11,6.648
2041,12,4.701
2042,1,3.164
2042,2,2.546
2042,3,2.114
2042,4,2.323
2042,5,4.084
2042,6,6.651
2042,7,9.315
2042,8,10.412
2042,9,9.954
2042,10,8.571
2042,11,6.648
2042,12,4.701
2043,1,4.046
2043,2,2.96
2043,3,2.601
2043,4,3.186
2043,5,5.297
2043,6,7.844
2043,7,10.475
2043,8,12.658
2043,9,11.941
2043,10,9.534
2043,11,8.055
2043,12,6.419
2044,1,5.933
2044,2,4.901
2044,3,5.612
2044,4,5.48
2044,5,6.937
2044,6,8.588
2044,7,11.213
2044,8,12.453
2044,9,11.594
2044,10,9.891
2044,11,7.782
2044,12,6.062
2045,1,3.164
2045,2,2.546
2045,3,2.114
2045,4,2.323
2045,5,4.084
2045,6,6.651
2045,7,9.315
2045,8,10.412
2045,9,9.954
2045,10,8.571
2045,11,6.648
2045,12,4.701
2046,1,3.164
2046,2,2.546
2046,3,2.114
2046,4,2.323
2046,5,4.084
2046,6,6.651
2046,7,9.315
2046,8,10.412
2046,9,9.954
2046,10,8.571
2046,11,6.648
2046,12,4.701
2047,1,3.164
2047,2,2.546
2047,3,2.114
2047,4,2.323
2047,5,4.084
2047,6,6.651
2047,7,9.315
2047,8,10.412
2047,9,9.954
2047,10,8.571
2047,11,6.648
2047,12,4.701
2048,1,4.046
2048,2,2.96
2048,3,2.601
2048,4,3.186
2048,5,5.297
2048,6,7.844
2048,7,10.475
2048,8,12.658
2048,9,11.941
2048,10,9.534
2048,11,8.055
2048,12,6.419
2049,1,5.933
2049,2,4.901
2049,3,5.612
2049,4,5.48
2049,5,6.937
2049,6,8.588
2049,7,11.213
2049,8,12.453
2049,9,11.594
2049,10,9.891
2049,11,7.782
2049,12,6.062
2050,1,3.164
2050,2,2.546
2050,3,2.114
2050,4,2.323
2050,5,4.084
2050,6,6.651
2050,7,9.315
2050,8,10.412
2050,9,9.954
2050,10,8.571
2050,11,6.648
2050,12,4.701
