year,month,sst
2012,1,7.466
2012,2,7.003
2012,3,6.982
2012,4,8.342
2012,5,9.086
2012,6,10.944
2012,7,12.526
2012,8,13.736
2012,9,12.334
2012,10,9.441
2012,11,8.788
2012,12,9.251
2013,1,8.278
2013,2,8.151
2013,3,7.625
2013,4,8.501
2013,5,10.321
2013,6,12.449
2013,7,14.327
2013,8,13.544
2013,9,13.573
2013,10,11.451
2013,11,9.532
2013,12,7.896
2014,1,7.629
2014,2,6.842
2014,3,7.529
2014,4,8.504
2014,5,11.207
2014,6,11.955
2014,7,13.596
2014,8,15.229
2014,9,13.741
2014,10,12.977
2014,11,11.493
2014,12,10.269
2015,1,9.501
2015,2,9.41
2015,3,9.311
2015,4,9.924
2015,5,11.311
2015,6,13.094
2015,7,14.67
2015,8,15.004
2015,9,13.22
2015,10,12.452
2015,11,11.142
2015,12,9.856
2016,1,8.765
2016,2,9.249
2016,3,9.059
2016,4,10.128
2016,5,11.688
2016,6,12.98
2016,7,14.287
2016,8,14.149
2016,9,12.564
2016,10,11.487
2016,11,11.434
2016,12,9.767
2017,1,8.426
2017,2,7.83
2017,3,7.682
2017,4,8.949
2017,5,10.639
2017,6,12.174
2017,7,14.111
2017,8,14.172
2017,9,13.407
2017,10,10.894
2017,11,9.369
2017,12,8.686
2018,1,8.387
2018,2,7.881
2018,3,7.971
2018,4,8.851
2018,5,11.321
2018,6,12.409
2018,7,14.601
2018,8,14.498
2018,9,12.486
2018,10,10.665
2018,11,10.245
2018,12,9.47
2019,1,8.705
2019,2,7.669
2019,3,8.31
2019,4,9.473
2019,5,10.998
2019,6,12.512
2019,7,15.058
2019,8,14.8
2019,9,13.528
2019,10,10.993
2019,11,10.094
2019,12,9.037
2020,1,8.086
2020,2,7.7
2020,3,7.555
2020,4,8.569
2020,5,10.885
2020,6,12.299
2020,7,14.006
2020,8,14.823
2020,9,14.451
2020,10,11.948
2020,11,9.414
2020,12,8.542
2021,1,8.184
2021,2,7.325
2021,3,7.598
2021,4,8.334
2021,5,9.606
2021,6,12.096
2021,7,14.037
2021,8,14.625
2021,9,12.53
2021,10,11.184
2021,11,9.81
2021,12,8.662
2022,1,7.825
2022,2,7.545
2022,3,7.715
2022,4,8.094
2022,5,9.35
2022,6,11.524
2022,7,13.989
2022,8,14.957
2022,9,13.051
2022,10,11.437
2022,11,8.927
2022,12,7.801
2023,1,7.952
2023,2,7.996
2023,3,7.178
2023,4,7.921
2023,5,10.795
2023,6,11.734
2023,7,13.927
2023,8,14.66
2023,9,12.448
2023,10,11.551
2023,11,10.729
2023,12,9.856
2024,1,8.909
2024,2,8.683
2024,3,8.627
2024,4,9.132
2024,5,10.424
2024,6,11.53
2024,7,14.061
2024,8,14.486
2024,9,12.748
2024,10,10.947
2024,11,9.758
2024,12,9.047
2025,1,7.89
2025,2,7.617
2025,3,7.512
2025,4,8.185
2025,5,9.776
2025,6,11.796
2025,7,13.272
2025,8,13.932
2025,9,12.542
2025,10,10.573
2025,11,9.407
2025,12,8.463
2026,1,7.89
2026,2,7.617
2026,3,7.512
2026,4,8.185
2026,5,9.776
2026,6,11.796
2026,7,13.272
2026,8,13.932
2026,9,12.542
2026,10,10.573
2026,11,9.407
2026,12,8.463
2027,1,7.89
2027,2,7.617
2027,3,7.512
2027,4,8.185
2027,5,9.776
2027,6,11.796
2027,7,13.272
2027,8,13.932
2027,9,12.542
2027,10,10.573
2027,11,9.407
2027,12,8.463
2028,1,7.694
2028,2,7.036
2028,3,7.525
2028,4,8.424
2028,5,10.849
2028,6,11.915
2028,7,15.369
2028,8,15.54
2028,9,13.559
2028,10,13.391
2028,11,12.01
2028,12,10.552
2029,1,10.307
2029,2,10.307
2029,3,10.211
2029,4,10.793
2029,5,12.079
2029,6,13.743
2029,7,14.033
2029,8,14.095
2029,9,12.558
2029,10,11.259
2029,11,10.927
2029,12,9.441
2030,1,7.89
2030,2,7.617
2030,3,7.512
2030,4,8.185
2030,5,9.776
2030,6,11.796
2030,7,13.272
2030,8,13.932
2030,9,12.542
2030,10,10.573
2030,11,9.407
2030,12,8.463
2031,1,7.89
2031,2,7.617
2031,3,7.512
2031,4,8.185
2031,5,9.776
2031,6,11.796
2031,7,13.272
2031,8,13.932
2031,9,12.542
2031,10,10.573
2031,11,9.407
2031,12,8.463
2032,1,7.89
2032,2,7.617
2032,3,7.512
2032,4,8.185
2032,5,9.776
2032,6,11.796
2032,7,13.272
2032,8,13.932
2032,9,12.542
2032,10,10.573
2032,11,9.407
2032,12,8.463
2033,1,7.694
2033,2,7.036
2033,3,7.525
2033,4,8.424
2033,5,10.849
2033,6,11.915
2033,7,15.369
2033,8,15.54
2033,9,13.559
2033,10,13.391
2033,11,12.01
2033,12,10.552
2034,1,10.307
2034,2,10.307
2034,3,10.211
2034,4,10.793
2034,5,12.079
2034,6,13.743
2034,7,14.033
2034,8,14.095
2034,9,12.558
2034,10,11.259
2034,11,10.927
2034,12,9.441
2035,1,7.89
2035,2,7.617
2035,3,7.512
2035,4,8.185
2035,5,9.776
2035,6,11.796
2035,7,13.272
2035,8,13.932
2035,9,12.542
2035,10,10.573
2035,11,9.407
2035,12,8.463
2036,1,7.89
2036,2,7.617
2036,3,7.512
2036,4,8.185
2036,5,9.776
2036,6,11.796
2036,7,13.272
2036,8,13.932
2036,9,12.542
2036,10,10.573
2036,11,9.407
2036,12,8.463
2037,1,7.89
2037,2,7.617
2037,3,7.512
2037,4,8.185
2037,5,9.776
2037,6,11.796
2037,7,13.272
2037,8,13.932
2037,9,12.542
2037,10,10.573
2037,11,9.407
2037,12,8.463
2038,1,7.694
2038,2,7.036
2038,3,7.525
2038,4,8.424
2038,5,10.849
2038,6,11.915
2038,7,15.369
2038,8,15.54
2038,9,13.559
2038,10,13.391
2038,11,12.01
2038,12,10.552
2039,1,10.307
2039,2,10.307
2039,3,10.211
2039,4,10.793
2039,5,12.079
2039,6,13.743
2039,7,14.033
2039,8,14.095
2039,9,12.558
2039,10,11.259
2039,11,10.927
2039,12,9.441
2040,1,7.89
2040,2,7.617
2040,3,7.512
2040,4,8.185
2040,5,9.776
2040,6,11.796
2040,7,13.272
2040,8,13.932
2040,9,12.542
2040,10,10.573
2040,11,9.407
2040,12,8.463
2041,1,7.89
2041,2,7.617
2041,3,7.512
2041,4,8.185
2041,5,9.776
2041,6,11.796
2041,7,13.272
2041,8,13.932
2041,9,12.542
2041,10,10.573
2041,11,9.407
2041,12,8.463
2042,1,7.89
2042,2,7.617
2042,3,7.512
2042,4,8.185
2042,5,9.776
2042,6,11.796
2042,7,13.272
2042,8,13.932
2042,9,12.542
2042,10,10.573
2042,11,9.407
2042,12,8.463
2043,1,7.694
2043,2,7.036
2043,3,7.525
2043,4,8.424
2043,5,10.849
2043,6,11.915
2043,7,15.369
2043,8,15.54
2043,9,13.559
2043,10,13.391
2043,11,12.01
2043,12,10.552
2044,1,10.307
2044,2,10.307
2044,3,10.211
2044,4,10.793
2044,5,12.079
2044,6,13.743
2044,7,14.033
2044,8,14.095
2044,9,12.558
2044,10,11.259
2044,11,10.927
2044,12,9.441
2045,1,7.89
2045,2,7.617
2045,3,7.512
2045,4,8.185
2045,5,9.776
2045,6,11.796
2045,7,13.272
2045,8,13.932
2045,9,12.542
2045,10,10.573
2045,11,9.407
2045,12,8.463
2046,1,7.89
2046,2,7.617
2046,3,7.512
2046,4,8.185
2046,5,9.776
2046,6,11.796
2046,7,13.272
2046,8,13.932
2046,9,12.542
2046,10,10.573
2046,11,9.407
2046,12,8.463
2047,1,7.89
2047,2,7.617
2047,3,7.512
2047,4,8.185
2047,5,9.776
2047,6,11.796
2047,7,13.272
2047,8,13.932
2047,9,12.542
2047,10,10.573
2047,11,9.407
2047,12,8.463
2048,1,7.694
2048,2,7.036
2048,3,7.525
2048,4,8.424
2048,5,10.849
2048,6,11.915
2048,7,15.369
2048,8,15.54
2048,9,13.559
2048,10,13.391
2048,11,12.01
2048,12,10.552
2049,1,10.307
2049,2,10.307
2049,3,10.211
2049,4,10.793
2049,5,12.079
2049,6,13.743
2049,7,14.033
2049,8,14.095
2049,9,12.558
2049,10,11.259
2049,11,10.927
2049,12,9.441
