year,month,sst
2012,1,6.868
2012,2,6.423
2012,3,6.114
2012,4,7.567
2012,5,8.161
2012,6,9.827
2012,7,12.27
2012,8,13.798
2012,9,13.074
2012,10,11.046
2012,11,8.515
2012,12,7.639
2013,1,7.992
2013,2,7.769
2013,3,7.094
2013,4,7.872
2013,5,9.368
2013,6,11.836
2013,7,14.272
2013,8,14.879
2013,9,13.602
2013,10,11.244
2013,11,9.555
2013,12,7.939
2014,1,7.583
2014,2,6.214
2014,3,6.342
2014,4,6.959
2014,5,9.344
2014,6,11.986
2014,7,12.932
2014,8,15.22
2014,9,14.618
2014,10,10.625
2014,11,9.637
2014,12,8.945
2015,1,9.053
2015,2,9.055
2015,3,8.98
2015,4,9.43
2015,5,11.468
2015,6,13.35
2015,7,15.734
2015,8,15.214
2015,9,12.887
2015,10,11.277
2015,11,9.605
2015,12,8.764
2016,1,8.552
2016,2,8.564
2016,3,8.546
2016,4,9.739
2016,5,11.275
2016,6,13.331
2016,7,14.628
2016,8,15.86
2016,9,13.831
2016,10,11.309
2016,11,9.74
2016,12,8.755
2017,1,7.233
2017,2,6.447
2017,3,6.387
2017,4,7.784
2017,5,9.744
2017,6,10.669
2017,7,13.21
2017,8,14.632
2017,9,13.558
2017,10,11.881
2017,11,8.479
2017,12,7.754
2018,1,7.57
2018,2,6.877
2018,3,6.558
2018,4,7.719
2018,5,10.473
2018,6,12.1
2018,7,14.851
2018,8,16.062
2018,9,14.118
2018,10,12.228
2018,11,10.384
2018,12,8.913
2019,1,8.944
2019,2,6.638
2019,3,6.405
2019,4,8.267
2019,5,11.064
2019,6,13.53
2019,7,16.337
2019,8,15.124
2019,9,13.832
2019,10,11.748
2019,11,10.732
2019,12,8.352
2020,1,7.289
2020,2,6.649
2020,3,6.689
2020,4,7.38
2020,5,9.638
2020,6,11.079
2020,7,13.078
2020,8,14.072
2020,9,13.384
2020,10,11.238
2020,11,9.089
2020,12,7.863
2021,1,7.668
2021,2,5.754
2021,3,6.606
2021,4,6.723
2021,5,8.87
2021,6,11.019
2021,7,14.357
2021,8,14.705
2021,9,12.476
2021,10,9.65
2021,11,8.758
2021,12,7.132
2022,1,5.945
2022,2,6.774
2022,3,7.127
2022,4,7.583
2022,5,9.301
2022,6,11.3
2022,7,14.266
2022,8,16.348
2022,9,14.245
2022,10,12.581
2022,11,8.887
2022,12,5.97
2023,1,6.763
2023,2,6.931
2023,3,5.484
2023,4,6.797
2023,5,10.074
2023,6,13.055
2023,7,15.373
2023,8,15.409
2023,9,13.639
2023,10,11.084
2023,11,9.253
2023,12,8.952
2024,1,8.127
2024,2,7.706
2024,3,7.196
2024,4,8.7
2024,5,10.565
2024,6,11.814
2024,7,14.569
2024,8,16.289
2024,9,15.078
2024,10,11.175
2024,11,9.07
2024,12,8.37
2025,1,7.082
2025,2,6.824
2025,3,6.543
2025,4,7.341
2025,5,8.927
2025,6,11.214
2025,7,12.963
2025,8,14.167
2025,9,12.372
2025,10,10.59
2025,11,8.589
2025,12,7.641
2026,1,7.082
2026,2,6.824
2026,3,6.543
2026,4,7.341
2026,5,8.927
2026,6,11.214
2026,7,12.963
2026,8,14.167
2026,9,12.372
2026,10,10.59
2026,11,8.589
2026,12,7.641
2027,1,7.082
2027,2,6.824
2027,3,6.543
2027,4,7.341
2027,5,8.927
2027,6,11.214
2027,7,12.963
2027,8,14.167
2027,9,12.372
2027,10,10.59
2027,11,8.589
2027,12,7.641
2028,1,7.458
2028,2,6.367
2028,3,6.392
2028,4,7.054
2028,5,9.24
2028,6,11.793
2028,7,17.12
2028,8,15.738
2028,9,13.144
2028,10,11.62
2028,11,10.113
2028,12,9.325
2029,1,10.038
2029,2,10.17
2029,3,10.198
2029,4,10.475
2029,5,12.739
2029,6,14.418
2029,7,14.212
2029,8,15.437
2029,9,13.466
2029,10,11.129
2029,11,9.452
2029,12,8.477
2030,1,7.082
2030,2,6.824
2030,3,6.543
2030,4,7.341
2030,5,8.927
2030,6,11.214
2030,7,12.963
2030,8,14.167
2030,9,12.372
2030,10,10.59
2030,11,8.589
2030,12,7.641
2031,1,7.082
2031,2,6.824
2031,3,6.543
2031,4,7.341
2031,5,8.927
2031,6,11.214
2031,7,12.963
2031,8,14.167
2031,9,12.372
2031,10,10.59
2031,11,8.589
2031,12,7.641
2032,1,7.082
2032,2,6.824
2032,3,6.543
2032,4,7.341
2032,5,8.927
2032,6,11.214
2032,7,12.963
2032,8,14.167
2032,9,12.372
2032,10,10.59
2032,11,8.589
2032,12,7.641
2033,1,7.458
2033,2,6.367
2033,3,6.392
2033,4,7.054
2033,5,9.24
2033,6,11.793
2033,7,17.12
2033,8,15.738
2033,9,13.144
2033,10,11.62
2033,11,10.113
2033,12,9.325
2034,1,10.038
2034,2,10.17
2034,3,10.198
2034,4,10.475
2034,5,12.739
2034,6,14.418
2034,7,14.212
2034,8,15.437
2034,9,13.466
2034,10,11.129
2034,11,9.452
2034,12,8.477
2035,1,7.082
2035,2,6.824
2035,3,6.543
2035,4,7.341
2035,5,8.927
2035,6,11.214
2035,7,12.963
2035,8,14.167
2035,9,12.372
2035,10,10.59
2035,11,8.589
2035,12,7.641
2036,1,7.082
2036,2,6.824
2036,3,6.543
2036,4,7.341
2036,5,8.927
2036,6,11.214
2036,7,12.963
2036,8,14.167
2036,9,12.372
2036,10,10.59
2036,11,8.589
2036,12,7.641
2037,1,7.082
2037,2,6.824
2037,3,6.543
2037,4,7.341
2037,5,8.927
2037,6,11.214
2037,7,12.963
2037,8,14.167
2037,9,12.372
2037,10,10.59
2037,11,8.589
2037,12,7.641
2038,1,7.458
2038,2,6.367
2038,3,6.392
2038,4,7.054
2038,5,9.24
2038,6,11.793
2038,7,17.12
2038,8,15.738
2038,9,13.144
2038,10,11.62
2038,11,10.113
2038,12,9.325
2039,1,10.038
2039,2,10.17
2039,3,10.198
2039,4,10.475
2039,5,12.739
2039,6,14.418
2039,7,14.212
2039,8,15.437
2039,9,13.466
2039,10,11.129
2039,11,9.452
2039,12,8.477
2040,1,7.082
2040,2,6.824
2040,3,6.543
2040,4,7.341
2040,5,8.927
2040,6,11.214
2040,7,12.963
2040,8,14.167
2040,9,12.372
2040,10,10.59
2040,11,8.589
2040,12,7.641
2041,1,7.082
2041,2,6.824
2041,3,6.543
2041,4,7.341
2041,5,8.927
2041,6,11.214
2041,7,12.963
2041,8,14.167
2041,9,12.372
2041,10,10.59
2041,11,8.589
2041,12,7.641
2042,1,7.082
2042,2,6.824
2042,3,6.543
2042,4,7.341
2042,5,8.927
2042,6,11.214
2042,7,12.963
2042,8,14.167
2042,9,12.372
2042,10,10.59
2042,11,8.589
2042,12,7.641
2043,1,7.458
2043,2,6.367
2043,3,6.392
2043,4,7.054
2043,5,9.24
2043,6,11.793
2043,7,17.12
2043,8,15.738
2043,9,13.144
2043,10,11.62
2043,11,10.113
2043,12,9.325
2044,1,10.038
2044,2,10.17
2044,3,10.198
2044,4,10.475
2044,5,12.739
2044,6,14.418
2044,7,14.212
2044,8,15.437
2044,9,13.466
2044,10,11.129
2044,11,9.452
