year,month,sst
2012,1,16.779
2012,2,16.076
2012,3,14.522
2012,4,14.978
2012,5,15.697
2012,6,16.283
2012,7,17.045
2012,8,19.43
2012,9,23.35
2012,10,22.609
2012,11,19.648
2012,12,18.159
2013,1,14.739
2013,2,14.163
2013,3,14.298
2013,4,14.698
2013,5,16.56
2013,6,16.76
2013,7,19.487
2013,8,17.268
2013,9,19.473
2013,10,18.766
2013,11,18.715
2013,12,17.126
2014,1,17.171
2014,2,16.008
2014,3,15.847
2014,4,15.062
2014,5,15.652
2014,6,17.745
2014,7,19.565
2014,8,21.495
2014,9,23.698
2014,10,23.515
2014,11,20.998
2014,12,19.945
2015,1,18.153
2015,2,18.231
2015,3,18.485
2015,4,16.945
2015,5,16.101
2015,6,17.359
2015,7,19.693
2015,8,21.409
2015,9,23.85
2015,10,24.161
2015,11,22.304
2015,12,20.566
2016,1,17.997
2016,2,17.668
2016,3,17.465
2016,4,17.166
2016,5,17.157
2016,6,17.19
2016,7,19.325
2016,8,20.162
2016,9,19.6
2016,10,20.004
2016,11,18.829
2016,12,16.757
2017,1,16.047
2017,2,15.883
2017,3,15.994
2017,4,15.044
2017,5,15.666
2017,6,16.883
2017,7,20.666
2017,8,20.497
2017,9,20.004
2017,10,20.352
2017,11,19.493
2017,12,17.955
2018,1,17.725
2018,2,16.842
2018,3,15.165
2018,4,14.809
2018,5,14.69
2018,6,17.025
2018,7,19.73
2018,8,21.964
2018,9,20.752
2018,10,20.073
2018,11,19.704
2018,12,18.133
2019,1,16.971
2019,2,16.097
2019,3,15.708
2019,4,16.216
2019,5,15.239
2019,6,17.335
2019,7,19.405
2019,8,19.179
2019,9,20.169
2019,10,18.999
2019,11,19.548
2019,12,18.116
2020,1,16.594
2020,2,16.361
2020,3,16.134
2020,4,16.251
2020,5,16.616
2020,6,16.904
2020,7,19.027
2020,8,21.452
2020,9,22.271
2020,10,21.643
2020,11,19.083
2020,12,17.366
2021,1,16.776
2021,2,15.836
2021,3,14.896
2021,4,15.445
2021,5,16.843
2021,6,18.027
2021,7,20.047
2021,8,22.088
2021,9,21.714
2021,10,19.801
2021,11,19.135
2021,12,17.386
2022,1,16.413
2022,2,15.833
2022,3,15.327
2022,4,14.695
2022,5,14.301
2022,6,16.666
2022,7,17.086
2022,8,20.905
2022,9,22.053
2022,10,20.648
2022,11,18.887
2022,12,17.834
2023,1,16.517
2023,2,15.279
2023,3,15.419
2023,4,14.359
2023,5,14.362
2023,6,14.405
2023,7,17.471
2023,8,19.25
2023,9,20.813
2023,10,19.68
2023,11,20.042
2023,12,19.731
2024,1,18.296
2024,2,16.909
2024,3,15.731
2024,4,14.919
2024,5,14.515
2024,6,15.067
2024,7,17.92
2024,8,19.482
2024,9,18.139
2024,10,18.273
2024,11,16.398
2024,12,16.656
2025,1,16.171
2025,2,15.521
2025,3,14.853
2025,4,14.79
2025,5,15.218
2025,6,16.272
2025,7,18.022
2025,8,19.308
2025,9,20.186
2025,10,19.216
2025,11,18.262
2025,12,16.931
2026,1,16.171
2026,2,15.521
2026,3,14.853
2026,4,14.79
2026,5,15.218
2026,6,16.272
2026,7,18.022
2026,8,19.308
2026,9,20.186
2026,10,19.216
2026,11,18.262
2026,12,16.931
2027,1,16.171
2027,2,15.521
2027,3,14.853
2027,4,14.79
2027,5,15.218
2027,6,16.272
2027,7,18.022
2027,8,19.308
2027,9,20.186
2027,10,19.216
2027,11,18.262
2027,12,16.931
2028,1,16.921
2028,2,15.886
2028,3,15.598
2028,4,14.994
2028,5,15.543
2028,6,17.377
2028,7,20.528
2028,8,22.459
2028,9,25.682
2028,10,26.633
2028,11,24.325
2028,12,22.383
2029,1,19.144
2029,2,19.586
2029,3,20.301
2029,4,18.023
2029,5,16.543
2029,6,17.903
2029,7,18.999
2029,8,19.949
2029,9,19.746
2029,10,19.807
2029,11,18.687
2029,12,16.801
2030,1,16.171
2030,2,15.521
2030,3,14.853
2030,4,14.79
2030,5,15.218
2030,6,16.272
2030,7,18.022
2030,8,19.308
2030,9,20.186
2030,10,19.216
2030,11,18.262
2030,12,16.931
2031,1,16.171
2031,2,15.521
2031,3,14.853
2031,4,14.79
2031,5,15.218
2031,6,16.272
2031,7,18.022
2031,8,19.308
2031,9,20.186
2031,10,19.216
2031,11,18.262
2031,12,16.931
2032,1,16.171
2032,2,15.521
2032,3,14.853
2032,4,14.79
2032,5,15.218
2032,6,16.272
2032,7,18.022
2032,8,19.308
2032,9,20.186
2032,10,19.216
2032,11,18.262
2032,12,16.931
2033,1,16.921
2033,2,15.886
2033,3,15.598
2033,4,14.994
2033,5,15.543
2033,6,17.377
2033,7,20.528
2033,8,22.459
2033,9,25.682
2033,10,26.633
2033,11,24.325
2033,12,22.383
2034,1,19.144
2034,2,19.586
2034,3,20.301
2034,4,18.023
2034,5,16.543
2034,6,17.903
2034,7,18.999
2034,8,19.949
2034,9,19.746
2034,10,19.807
2034,11,18.687
2034,12,16.801
2035,1,16.171
2035,2,15.521
2035,3,14.853
2035,4,14.79
2035,5,15.218
2035,6,16.272
2035,7,18.022
2035,8,19.308
2035,9,20.186
2035,10,19.216
2035,11,18.262
2035,12,16.931
2036,1,16.171
2036,2,15.521
2036,3,14.853
2036,4,14.79
2036,5,15.218
2036,6,16.272
2036,7,18.022
2036,8,19.308
2036,9,20.186
2036,10,19.216
2036,11,18.262
2036,12,16.931
2037,1,16.171
2037,2,15.521
2037,3,14.853
2037,4,14.79
2037,5,15.218
2037,6,16.272
2037,7,18.022
2037,8,19.308
2037,9,20.186
2037,10,19.216
2037,11,18.262
2037,12,16.931
2038,1,16.921
2038,2,15.886
2038,3,15.598
2038,4,14.994
2038,5,15.543
2038,6,17.377
2038,7,20.528
2038,8,22.459
2038,9,25.682
2038,10,26.633
2038,11,24.325
2038,12,22.383
2039,1,19.144
2039,2,19.586
2039,3,20.301
2039,4,18.023
2039,5,16.543
2039,6,17.903
2039,7,18.999
2039,8,19.949
2039,9,19.746
2039,10,19.807
2039,11,18.687
2039,12,16.801
2040,1,16.171
2040,2,15.521
2040,3,14.853
2040,4,14.79
2040,5,15.218
2040,6,16.272
2040,7,18.022
2040,8,19.308
2040,9,20.186
2040,10,19.216
2040,11,18.262
2040,12,16.931
2041,1,16.171
2041,2,15.521
2041,3,14.853
2041,4,14.79
2041,5,15.218
2041,6,16.272
2041,7,18.022
2041,8,19.308
2041,9,20.186
2041,10,19.216
2041,11,18.262
2041,12,16.931
2042,1,16.171
2042,2,15.521
2042,3,14.853
2042,4,14.79
2042,5,15.218
2042,6,16.272
2042,7,18.022
2042,8,19.308
2042,9,20.186
2042,10,19.216
2042,11,18.262
2042,12,16.931
2043,1,16.921
2043,2,15.886
2043,3,15.598
2043,4,14.994
2043,5,15.543
2043,6,17.377
2043,7,20.528
2043,8,22.459
2043,9,25.682
2043,10,26.633
2043,11,24.325
2043,12,22.383
2044,1,19.144
2044,2,19.586
2044,3,20.301
2044,4,18.023
2044,5,16.543
2044,6,17.903
2044,7,18.999
2044,8,19.949
2044,9,19.746
2044,10,19.807
2044,11,18.687
2044,12,16.801
2045,1,16.171
2045,2,15.521
2045,3,14.853
2045,4,14.79
2045,5,15.218
2045,6,16.272
2045,7,18.022
2045,8,19.308
2045,9,20.186
2045,10,19.216
2045,11,18.262
2045,12,16.931
2046,1,16.171
2046,2,15.521
2046,3,14.853
2046,4,14.79
2046,5,15.218
2046,6,16.272
2046,7,18.022
2046,8,19.308
2046,9,20.186
2046,10,19.216
2046,11,18.262
2046,12,16.931
2047,1,16.171
2047,2,15.521
2047,3,14.853
2047,4,14.79
2047,5,15.218
2047,6,16.272
2047,7,18.022
2047,8,19.308
2047,9,20.186
2047,10,19.216
2047,11,18.262
2047,12,16.931
2048,1,16.921
2048,2,15.886
2048,3,15.598
2048,4,14.994
2048,5,15.543
2048,6,17.377
2048,7,20.528
2048,8,22.459
2048,9,25.682
2048,10,26.633
2048,11,24.325
2048,12,22.383
2049,1,19.144
2049,2,19.586
2049,3,20.301
2049,4,18.023
2049,5,16.543
2049,6,17.903
2049,7,18.999
2049,8,19.949
2049,9,19.746
2049,10,19.807
2049,11,18.687
2049,12,16.801
2050,1,16.171
2050,2,15.521
2050,3,14.853
2050,4,14.79
2050,5,15.218
2050,6,16.272
2050,7,18.022
2050,8,19.308
2050,9,20.186
2050,10,19.216
2050,11,18.262
2050,12,16.931
