year,month,sst
2012,1,11.77
2012,2,11.556
2012,3,10.689
2012,4,11.886
2012,5,11.565
2012,6,12.491
2012,7,14.258
2012,8,14.516
2012,9,13.946
2012,10,15.068
2012,11,14.174
2012,12,13.305
2013,1,11.556
2013,2,11.149
2013,3,10.906
2013,4,11.38
2013,5,12.106
2013,6,13.187
2013,7,15.153
2013,8,15.649
2013,9,15.166
2013,10,12.826
2013,11,12.286
2013,12,11.961
2014,1,12.251
2014,2,12.626
2014,3,13.249
2014,4,12.926
2014,5,12.642
2014,6,13.615
2014,7,15.96
2014,8,17.394
2014,9,17.387
2014,10,16.603
2014,11,15.39
2014,12,15.517
2015,1,13.851
2015,2,14.326
2015,3,14.014
2015,4,12.105
2015,5,12.714
2015,6,14.37
2015,7,16.573
2015,8,17.845
2015,9,16.188
2015,10,16.977
2015,11,13.834
2015,12,13.661
2016,1,13.182
2016,2,13.309
2016,3,13.458
2016,4,12.711
2016,5,13.147
2016,6,13.689
2016,7,13.721
2016,8,15.086
2016,9,15.023
2016,10,14.62
2016,11,14.76
2016,12,12.205
2017,1,11.966
2017,2,12.774
2017,3,12.794
2017,4,12.706
2017,5,12.293
2017,6,13.542
2017,7,13.911
2017,8,15.928
2017,9,16.765
2017,10,13.725
2017,11,14.652
2017,12,12.515
2018,1,12.704
2018,2,11.719
2018,3,11.982
2018,4,12.668
2018,5,12.118
2018,6,12.852
2018,7,15.058
2018,8,14.679
2018,9,14.555
2018,10,15.161
2018,11,14.321
2018,12,14.069
2019,1,12.933
2019,2,12.903
2019,3,12.674
2019,4,12.526
2019,5,13.666
2019,6,14.583
2019,7,14.5
2019,8,15.841
2019,9,15.723
2019,10,13.421
2019,11,13.336
2019,12,13.073
2020,1,12.394
2020,2,11.938
2020,3,12.688
2020,4,12.957
2020,5,13.139
2020,6,14.172
2020,7,14.464
2020,8,15.47
2020,9,15.825
2020,10,15.011
2020,11,12.926
2020,12,11.345
2021,1,11.392
2021,2,11.475
2021,3,10.802
2021,4,11.687
2021,5,11.707
2021,6,14.089
2021,7,15.571
2021,8,16.259
2021,9,16.339
2021,10,14.472
2021,11,14.202
2021,12,12.163
2022,1,12.253
2022,2,12.19
2022,3,11.407
2022,4,11.145
2022,5,11.027
2022,6,12.724
2022,7,13.705
2022,8,14.987
2022,9,15.315
2022,10,14.435
2022,11,12.194
2022,12,11.592
2023,1,12.355
2023,2,11.214
2023,3,11.11
2023,4,10.965
2023,5,12.515
2023,6,14.266
2023,7,13.959
2023,8,15.407
2023,9,15.71
2023,10,15.103
2023,11,13.907
2023,12,13.937
2024,1,13.28
2024,2,13.644
2024,3,13.347
2024,4,12.442
2024,5,11.862
2024,6,12.519
2024,7,14.844
2024,8,14.199
2024,9,14.965
2024,10,14.172
2024,11,12.214
2024,12,12.386
2025,1,11.929
2025,2,11.894
2025,3,11.844
2025,4,11.551
2025,5,11.882
2025,6,12.512
2025,7,13.81
2025,8,14.698
2025,9,14.488
2025,10,13.874
2025,11,13.146
2025,12,12.287
2026,1,11.929
2026,2,11.894
2026,3,11.844
2026,4,11.551
2026,5,11.882
2026,6,12.512
2026,7,13.81
2026,8,14.698
2026,9,14.488
2026,10,13.874
2026,11,13.146
2026,12,12.287
2027,1,11.929
2027,2,11.894
2027,3,11.844
2027,4,11.551
2027,5,11.882
2027,6,12.512
2027,7,13.81
2027,8,14.698
2027,9,14.488
2027,10,13.874
2027,11,13.146
2027,12,12.287
2028,1,12.17
2028,2,12.443
2028,3,12.898
2028,4,12.582
2028,5,12.452
2028,6,13.339
2028,7,17.955
2028,8,19.419
2028,9,17.038
2028,10,18.529
2028,11,14.178
2028,12,14.348
2029,1,14.812
2029,2,15.542
2029,3,15.099
2029,4,12.382
2029,5,13.13
2029,6,15.299
2029,7,13.743
2029,8,14.989
2029,9,14.889
2029,10,14.433
2029,11,14.356
2029,12,12.226
2030,1,11.929
2030,2,11.894
2030,3,11.844
2030,4,11.551
2030,5,11.882
2030,6,12.512
2030,7,13.81
2030,8,14.698
2030,9,14.488
2030,10,13.874
2030,11,13.146
2030,12,12.287
2031,1,11.929
2031,2,11.894
2031,3,11.844
2031,4,11.551
2031,5,11.882
2031,6,12.512
2031,7,13.81
2031,8,14.698
2031,9,14.488
2031,10,13.874
2031,11,13.146
2031,12,12.287
2032,1,11.929
2032,2,11.894
2032,3,11.844
2032,4,11.551
2032,5,11.882
2032,6,12.512
2032,7,13.81
2032,8,14.698
2032,9,14.488
2032,10,13.874
2032,11,13.146
2032,12,12.287
2033,1,12.17
2033,2,12.443
2033,3,12.898
2033,4,12.582
2033,5,12.452
2033,6,13.339
2033,7,17.955
2033,8,19.419
2033,9,17.038
2033,10,18.529
2033,11,14.178
2033,12,14.348
2034,1,14.812
2034,2,15.542
2034,3,15.099
2034,4,12.382
2034,5,13.13
2034,6,15.299
2034,7,13.743
2034,8,14.989
2034,9,14.889
2034,10,14.433
2034,11,14.356
2034,12,12.226
2035,1,11.929
2035,2,11.894
2035,3,11.844
2035,4,11.551
2035,5,11.882
2035,6,12.512
2035,7,13.81
2035,8,14.698
2035,9,14.488
2035,10,13.874
2035,11,13.146
2035,12,12.287
2036,1,11.929
2036,2,11.894
2036,3,11.844
2036,4,11.551
2036,5,11.882
2036,6,12.512
2036,7,13.81
2036,8,14.698
2036,9,14.488
2036,10,13.874
2036,11,13.146
2036,12,12.287
2037,1,11.929
2037,2,11.894
2037,3,11.844
2037,4,11.551
2037,5,11.882
2037,6,12.512
2037,7,13.81
2037,8,14.698
2037,9,14.488
2037,10,13.874
2037,11,13.146
2037,12,12.287
2038,1,12.17
2038,2,12.443
2038,3,12.898
2038,4,12.582
2038,5,12.452
2038,6,13.339
2038,7,17.955
2038,8,19.419
2038,9,17.038
2038,10,18.529
2038,11,14.178
2038,12,14.348
2039,1,14.812
2039,2,15.542
2039,3,15.099
2039,4,12.382
2039,5,13.13
2039,6,15.299
2039,7,13.743
2039,8,14.989
2039,9,14.889
2039,10,14.433
2039,11,14.356
2039,12,12.226
2040,1,11.929
2040,2,11.894
2040,3,11.844
2040,4,11.551
2040,5,11.882
2040,6,12.512
2040,7,13.81
2040,8,14.698
2040,9,14.488
2040,10,13.874
2040,11,13.146
2040,12,12.287
2041,1,11.929
2041,2,11.894
2041,3,11.844
2041,4,11.551
2041,5,11.882
2041,6,12.512
2041,7,13.81
2041,8,14.698
2041,9,14.488
2041,10,13.874
2041,11,13.146
2041,12,12.287
2042,1,11.929
2042,2,11.894
2042,3,11.844
2042,4,11.551
2042,5,11.882
2042,6,12.512
2042,7,13.81
2042,8,14.698
2042,9,14.488
2042,10,13.874
2042,11,13.146
2042,12,12.287
2043,1,12.17
2043,2,12.443
2043,3,12.898
2043,4,12.582
2043,5,12.452
2043,6,13.339
2043,7,17.955
2043,8,19.419
2043,9,17.038
2043,10,18.529
2043,11,14.178
2043,12,14.348
2044,1,14.812
2044,2,15.542
2044,3,15.099
2044,4,12.382
2044,5,13.13
2044,6,15.299
2044,7,13.743
2044,8,14.989
2044,9,14.889
2044,10,14.433
2044,11,14.356
2044,12,12.226
2045,1,11.929
2045,2,11.894
2045,3,11.844
2045,4,11.551
2045,5,11.882
2045,6,12.512
2045,7,13.81
2045,8,14.698
2045,9,14.488
2045,10,13.874
2045,11,13.146
2045,12,12.287
2046,1,11.929
2046,2,11.894
2046,3,11.844
2046,4,11.551
2046,5,11.882
2046,6,12.512
2046,7,13.81
2046,8,14.698
2046,9,14.488
2046,10,13.874
2046,11,13.146
2046,12,12.287
2047,1,11.929
2047,2,11.894
2047,3,11.844
2047,4,11.551
2047,5,11.882
2047,6,12.512
2047,7,13.81
2047,8,14.698
2047,9,14.488
2047,10,13.874
2047,11,13.146
2047,12,12.287
2048,1,12.17
2048,2,12.443
2048,3,12.898
2048,4,12.582
2048,5,12.452
2048,6,13.339
2048,7,17.955
2048,8,19.419
2048,9,17.038
2048,10,18.529
2048,11,14.178
2048,12,14.348
2049,1,14.812
2049,2,15.542
2049,3,15.099
2049,4,12.382
2049,5,13.13
2049,6,15.299
2049,7,13.743
2049,8,14.989
2049,9,14.889
2049,10,14.433
2049,11,14.356
2049,12,12.226
2050,1,11.929
2050,2,11.894
2050,3,11.844
2050,4,11.551
2050,5,11.882
2050,6,12.512
