year,month,sst
2012,1,15.043
2012,2,14.559
2012,3,13.721
2012,4,14.672
2012,5,16.47
2012,6,17.403
2012,7,17.975
2012,8,20.202
2012,9,21.173
2012,10,20.142
2012,11,16.982
2012,12,15.849
2013,1,13.707
2013,2,13.436
2013,3,14.279
2013,4,15.264
2013,5,17.378
2013,6,18.457
2013,7,19.583
2013,8,18.628
2013,9,19.644
2013,10,18.843
2013,11,17.378
2013,12,15.721
2014,1,15.79
2014,2,15.312
2014,3,16.017
2014,4,15.695
2014,5,17.608
2014,6,19.486
2014,7,20.795
2014,8,21.47
2014,9,21.849
2014,10,21.288
2014,11,19.361
2014,12,17.886
2015,1,16.544
2015,2,16.781
2015,3,17.432
2015,4,16.965
2015,5,16.963
2015,6,18.705
2015,7,20.545
2015,8,21.644
2015,9,22.462
2015,10,22.674
2015,11,19.156
2015,12,17.523
2016,1,15.529
2016,2,15.924
2016,3,16.11
2016,4,15.921
2016,5,16.958
2016,6,18.539
2016,7,21.182
2016,8,21.548
2016,9,20.784
2016,10,19.536
2016,11,18.545
2016,12,15.529
2017,1,14.708
2017,2,14.896
2017,3,15.405
2017,4,15.86
2017,5,17.032
2017,6,18.181
2017,7,20.595
2017,8,21.089
2017,9,20.963
2017,10,20.303
2017,11,18.457
2017,12,16.314
2018,1,16.095
2018,2,15.476
2018,3,14.656
2018,4,14.74
2018,5,16.077
2018,6,18.59
2018,7,21.007
2018,8,22.251
2018,9,21.367
2018,10,19.921
2018,11,19.042
2018,12,16.655
2019,1,15.522
2019,2,14.545
2019,3,14.423
2019,4,15.317
2019,5,15.841
2019,6,17.759
2019,7,19.966
2019,8,20.902
2019,9,21.224
2019,10,19.359
2019,11,17.724
2019,12,16.146
2020,1,15.578
2020,2,15.497
2020,3,15.722
2020,4,16.249
2020,5,17.931
2020,6,18.798
2020,7,20.385
2020,8,20.784
2020,9,20.922
2020,10,21.116
2020,11,17.321
2020,12,16.085
2021,1,14.822
2021,2,14.379
2021,3,14.403
2021,4,15.979
2021,5,17.19
2021,6,18.057
2021,7,20.361
2021,8,20.723
2021,9,19.878
2021,10,18.156
2021,11,16.609
2021,12,14.971
2022,1,14.757
2022,2,15.08
2022,3,15.235
2022,4,16.068
2022,5,16.532
2022,6,18.669
2022,7,20.223
2022,8,21.362
2022,9,22.627
2022,10,20.235
2022,11,17.057
2022,12,15.683
2023,1,14.564
2023,2,13.967
2023,3,13.785
2023,4,14.413
2023,5,16.253
2023,6,17.551
2023,7,19.01
2023,8,20.343
2023,9,20.245
2023,10,19.551
2023,11,18.328
2023,12,16.879
2024,1,15.691
2024,2,15.297
2024,3,15.036
2024,4,14.649
2024,5,15.831
2024,6,17.551
2024,7,20.013
2024,8,20.629
2024,9,20.045
2024,10,18.466
2024,11,16.307
2024,12,15.281
2025,1,14.636
2025,2,14.495
2025,3,14.316
2025,4,14.747
2025,5,16.03
2025,6,17.398
2025,7,18.976
2025,8,19.858
2025,9,19.326
2025,10,18.204
2025,11,16.751
2025,12,15.249
2026,1,14.636
2026,2,14.495
2026,3,14.316
2026,4,14.747
2026,5,16.03
2026,6,17.398
2026,7,18.976
2026,8,19.858
2026,9,19.326
2026,10,18.204
2026,11,16.751
2026,12,15.249
2027,1,14.636
2027,2,14.495
2027,3,14.316
2027,4,14.747
2027,5,16.03
2027,6,17.398
2027,7,18.976
2027,8,19.858
2027,9,19.326
2027,10,18.204
2027,11,16.751
2027,12,15.249
2028,1,15.502
2028,2,15.108
2028,3,15.592
2028,4,15.458
2028,5,17.214
2028,6,18.964
2028,7,21.329
2028,8,22.537
2028,9,24.03
2028,10,24.909
2028,11,20.359
2028,12,18.66
2029,1,17.498
2029,2,17.924
2029,3,18.99
2029,4,18.074
2029,5,17.429
2029,6,19.359
2029,7,20.631
2029,8,21.126
2029,9,20.42
2029,10,19.203
2029,11,18.096
2029,12,15.459
2030,1,14.636
2030,2,14.495
2030,3,14.316
2030,4,14.747
2030,5,16.03
2030,6,17.398
2030,7,18.976
2030,8,19.858
2030,9,19.326
2030,10,18.204
2030,11,16.751
2030,12,15.249
2031,1,14.636
2031,2,14.495
2031,3,14.316
2031,4,14.747
2031,5,16.03
2031,6,17.398
2031,7,18.976
2031,8,19.858
2031,9,19.326
2031,10,18.204
2031,11,16.751
2031,12,15.249
2032,1,14.636
2032,2,14.495
2032,3,14.316
2032,4,14.747
2032,5,16.03
2032,6,17.398
2032,7,18.976
2032,8,19.858
2032,9,19.326
2032,10,18.204
2032,11,16.751
2032,12,15.249
2033,1,15.502
2033,2,15.108
2033,3,15.592
2033,4,15.458
2033,5,17.214
2033,6,18.964
2033,7,21.329
2033,8,22.537
2033,9,24.03
2033,10,24.909
2033,11,20.359
2033,12,18.66
2034,1,17.498
2034,2,17.924
2034,3,18.99
2034,4,18.074
2034,5,17.429
2034,6,19.359
2034,7,20.631
2034,8,21.126
2034,9,20.42
2034,10,19.203
2034,11,18.096
2034,12,15.459
2035,1,14.636
2035,2,14.495
2035,3,14.316
2035,4,14.747
2035,5,16.03
2035,6,17.398
2035,7,18.976
2035,8,19.858
2035,9,19.326
2035,10,18.204
2035,11,16.751
2035,12,15.249
2036,1,14.636
2036,2,14.495
2036,3,14.316
2036,4,14.747
2036,5,16.03
2036,6,17.398
2036,7,18.976
2036,8,19.858
2036,9,19.326
2036,10,18.204
2036,11,16.751
2036,12,15.249
2037,1,14.636
2037,2,14.495
2037,3,14.316
2037,4,14.747
2037,5,16.03
2037,6,17.398
2037,7,18.976
2037,8,19.858
2037,9,19.326
2037,10,18.204
2037,11,16.751
2037,12,15.249
2038,1,15.502
2038,2,15.108
2038,3,15.592
2038,4,15.458
2038,5,17.214
2038,6,18.964
2038,7,21.329
2038,8,22.537
2038,9,24.03
2038,10,24.909
2038,11,20.359
2038,12,18.66
2039,1,17.498
2039,2,17.924
2039,3,18.99
2039,4,18.074
2039,5,17.429
2039,6,19.359
2039,7,20.631
2039,8,21.126
2039,9,20.42
2039,10,19.203
2039,11,18.096
2039,12,15.459
2040,1,14.636
2040,2,14.495
2040,3,14.316
2040,4,14.747
2040,5,16.03
2040,6,17.398
2040,7,18.976
2040,8,19.858
2040,9,19.326
2040,10,18.204
2040,11,16.751
2040,12,15.249
2041,1,14.636
2041,2,14.495
2041,3,14.316
2041,4,14.747
2041,5,16.03
2041,6,17.398
2041,7,18.976
2041,8,19.858
2041,9,19.326
2041,10,18.204
2041,11,16.751
2041,12,15.249
2042,1,14.636
2042,2,14.495
2042,3,14.316
2042,4,14.747
2042,5,16.03
2042,6,17.398
2042,7,18.976
2042,8,19.858
2042,9,19.326
2042,10,18.204
2042,11,16.751
2042,12,15.249
2043,1,15.502
2043,2,15.108
2043,3,15.592
2043,4,15.458
2043,5,17.214
2043,6,18.964
2043,7,21.329
2043,8,22.537
2043,9,24.03
2043,10,24.909
2043,11,20.359
2043,12,18.66
2044,1,17.498
2044,2,17.924
2044,3,18.99
2044,4,18.074
2044,5,17.429
2044,6,19.359
2044,7,20.631
2044,8,21.126
2044,9,20.42
2044,10,19.203
2044,11,18.096
2044,12,15.459
2045,1,14.636
2045,2,14.495
2045,3,14.316
2045,4,14.747
2045,5,16.03
2045,6,17.398
2045,7,18.976
2045,8,19.858
2045,9,19.326
2045,10,18.204
2045,11,16.751
2045,12,15.249
2046,1,14.636
2046,2,14.495
2046,3,14.316
2046,4,14.747
2046,5,16.03
2046,6,17.398
2046,7,18.976
2046,8,19.858
2046,9,19.326
2046,10,18.204
2046,11,16.751
2046,12,15.249
2047,1,14.636
2047,2,14.495
2047,3,14.316
2047,4,14.747
2047,5,16.03
2047,6,17.398
2047,7,18.976
2047,8,19.858
2047,9,19.326
2047,10,18.204
2047,11,16.751
2047,12,15.249
2048,1,15.502
2048,2,15.108
2048,3,15.592
2048,4,15.458
2048,5,17.214
2048,6,18.964
2048,7,21.329
2048,8,22.537
2048,9,24.03
2048,10,24.909
2048,11,20.359
2048,12,18.66
2049,1,17.498
2049,2,17.924
2049,3,18.99
2049,4,18.074
2049,5,17.429
2049,6,19.359
2049,7,20.631
2049,8,21.126
2049,9,20.42
2049,10,19.203
2049,11,18.096
2049,12,15.459
2050,1,14.636
2050,2,14.495
2050,3,14.316
2050,4,14.747
2050,5,16.03
2050,6,17.398
2050,7,18.976
2050,8,19.858
2050,9,19.326
