year,month,sst
2012,1,7.433
2012,2,7.186
2012,3,7.345
2012,4,9.115
2012,5,9.458
2012,6,9.652
2012,7,10.255
2012,8,10.892
2012,9,10.492
2012,10,9.627
2012,11,9.744
2012,12,8.817
2013,1,7.691
2013,2,7.539
2013,3,7.584
2013,4,8.343
2013,5,9.445
2013,6,10.548
2013,7,11.128
2013,8,10.347
2013,9,10.058
2013,10,10.299
2013,11,8.463
2013,12,7.402
2014,1,7.385
2014,2,7.051
2014,3,8.127
2014,4,9.371
2014,5,11.132
2014,6,10.425
2014,7,10.486
2014,8,11.402
2014,9,10.945
2014,10,11.687
2014,11,10.788
2014,12,9.715
2015,1,8.757
2015,2,9.265
2015,3,9.36
2015,4,9.48
2015,5,9.864
2015,6,10.583
2015,7,11.495
2015,8,11.468
2015,9,11.634
2015,10,10.449
2015,11,10.218
2015,12,9.058
2016,1,8.575
2016,2,9.232
2016,3,9.386
2016,4,10.252
2016,5,10.608
2016,6,10.507
2016,7,11.395
2016,8,12.15
2016,9,11.096
2016,10,10.822
2016,11,11.289
2016,12,8.923
2017,1,7.588
2017,2,7.593
2017,3,8.196
2017,4,9.656
2017,5,10.02
2017,6,10.771
2017,7,10.965
2017,8,11.51
2017,9,11.187
2017,10,10.034
2017,11,9.611
2017,12,8.504
2018,1,8.446
2018,2,8.028
2018,3,8.258
2018,4,9.293
2018,5,10.039
2018,6,10.66
2018,7,11.556
2018,8,11.947
2018,9,10.672
2018,10,9.798
2018,11,9.455
2018,12,8.815
2019,1,8.417
2019,2,7.724
2019,3,8.324
2019,4,9.682
2019,5,10.271
2019,6,10.47
2019,7,11.324
2019,8,11.701
2019,9,11.429
2019,10,9.75
2019,11,8.759
2019,12,8.356
2020,1,8.422
2020,2,8.071
2020,3,7.952
2020,4,8.725
2020,5,10.887
2020,6,10.446
2020,7,11.271
2020,8,11.845
2020,9,11.061
2020,10,10.001
2020,11,9.584
2020,12,9.17
2021,1,8.981
2021,2,8.228
2021,3,8.134
2021,4,8.398
2021,5,9.259
2021,6,11.099
2021,7,11.159
2021,8,11.762
2021,9,11.072
2021,10,10.793
