year,month,sst
2012,1,6.899
2012,2,6.958
2012,3,7.254
2012,4,9.169
2012,5,11.686
2012,6,14.363
2012,7,17.665
2012,8,17.247
2012,9,14.153
2012,10,11.014
2012,11,9.012
2012,12,7.539
2013,1,6.43
2013,2,7.324
2013,3,8.091
2013,4,9.9
2013,5,13.169
2013,6,15.889
2013,7,16.907
2013,8,17.764
2013,9,15.859
2013,10,11.56
2013,11,9.173
2013,12,7.607
2014,1,7.377
2014,2,7.0
2014,3,7.658
2014,4,9.325
2014,5,13.985
2014,6,15.364
2014,7,17.49
2014,8,17.593
2014,9,15.79
2014,10,12.759
2014,11,9.64
2014,12,8.197
2015,1,7.457
2015,2,8.435
2015,3,9.166
2015,4,10.527
2015,5,14.809
2015,6,16.299
2015,7,16.574
2015,8,16.253
2015,9,14.189
2015,10,12.618
2015,11,10.191
2015,12,8.685
2016,1,7.495
2016,2,8.199
2016,3,8.843
2016,4,11.395
2016,5,14.209
2016,6,16.799
2016,7,17.33
2016,8,15.813
2016,9,14.984
2016,10,11.917
2016,11,10.292
2016,12,7.835
2017,1,7.27
2017,2,6.726
2017,3,7.651
2017,4,9.429
2017,5,12.972
2017,6,14.815
2017,7,17.795
2017,8,17.572
2017,9,15.898
2017,10,11.888
2017,11,9.254
2017,12,7.035
2018,1,7.164
2018,2,7.001
2018,3,7.957
2018,4,9.751
2018,5,14.871
2018,6,15.623
2018,7,16.636
2018,8,17.901
2018,9,14.413
2018,10,11.474
2018,11,9.713
2018,12,8.283
2019,1,7.586
2019,2,6.648
2019,3,8.015
2019,4,9.984
2019,5,13.047
2019,6,16.265
2019,7,18.417
2019,8,18.139
2019,9,15.516
2019,10,11.286
2019,11,9.733
2019,12,8.754
2020,1,8.128
2020,2,7.52
2020,3,7.96
2020,4,10.283
2020,5,14.032
2020,6,16.242
2020,7,18.298
2020,8,19.212
2020,9,17.089
2020,10,14.478
2020,11,10.981
2020,12,9.39
2021,1,8.264
2021,2,6.88
2021,3,8.074
2021,4,10.181
2021,5,13.624
2021,6,18.102
2021,7,19.313
2021,8,17.885
2021,9,14.756
2021,10,11.981
2021,11,8.709
2021,12,7.575
2022,1,6.915
2022,2,7.264
2022,3,8.457
2022,4,9.181
2022,5,11.458
2022,6,14.511
2022,7,17.959
2022,8,19.071
2022,9,15.902
2022,10,12.423
2022,11,8.532
2022,12,7.771
2023,1,7.546
2023,2,7.473
2023,3,7.699
2023,4,8.883
2023,5,14.759
2023,6,15.346
2023,7,17.078
2023,8,16.927
2023,9,14.298
2023,10,11.03
2023,11,9.359
2023,12,8.645
2024,1,7.998
2024,2,7.672
2024,3,8.407
2024,4,9.925
2024,5,12.215
2024,6,14.502
2024,7,16.842
2024,8,18.152
2024,9,15.027
2024,10,11.094
2024,11,9.343
2024,12,8.444
2025,1,7.18
2025,2,7.17
2025,3,7.767
2025,4,9.287
2025,5,12.346
2025,6,15.325
2025,7,16.969
2025,8,16.939
2025,9,14.346
2025,10,11.198
2025,11,9.142
2025,12,7.652
2026,1,7.18
2026,2,7.17
2026,3,7.767
2026,4,9.287
2026,5,12.346
2026,6,15.325
2026,7,16.969
2026,8,16.939
2026,9,14.346
2026,10,11.198
2026,11,9.142
2026,12,7.652
2027,1,7.18
2027,2,7.17
2027,3,7.767
2027,4,9.287
2027,5,12.346
2027,6,15.325
2027,7,16.969
2027,8,16.939
2027,9,14.346
2027,10,11.198
2027,11,9.142
2027,12,7.652
2028,1,7.328
2028,2,7.042
2028,3,7.685
2028,4,9.315
2028,5,13.575
2028,6,15.354
2028,7,16.376
2028,8,15.91
2028,9,14.111
2028,10,13.328
2028,11,10.716
2028,12,9.201
2029,1,7.596
2029,2,9.068
2029,3,9.865
2029,4,11.147
2029,5,16.041
2029,6,16.786
2029,7,17.24
2029,8,16.094
2029,9,14.824
2029,10,11.737
2029,11,10.004
2029,12,7.789
2030,1,7.18
2030,2,7.17
2030,3,7.767
2030,4,9.287
2030,5,12.346
2030,6,15.325
2030,7,16.969
2030,8,16.939
2030,9,14.346
2030,10,11.198
2030,11,9.142
2030,12,7.652
2031,1,7.18
2031,2,7.17
2031,3,7.767
2031,4,9.287
2031,5,12.346
2031,6,15.325
2031,7,16.969
2031,8,16.939
2031,9,14.346
2031,10,11.198
2031,11,9.142
2031,12,7.652
2032,1,7.18
2032,2,7.17
2032,3,7.767
2032,4,9.287
2032,5,12.346
2032,6,15.325
2032,7,16.969
2032,8,16.939
2032,9,14.346
2032,10,11.198
2032,11,9.142
2032,12,7.652
2033,1,7.328
2033,2,7.042
2033,3,7.685
2033,4,9.315
2033,5,13.575
2033,6,15.354
2033,7,16.376
2033,8,15.91
2033,9,14.111
2033,10,13.328
2033,11,10.716
2033,12,9.201
2034,1,7.596
2034,2,9.068
2034,3,9.865
2034,4,11.147
2034,5,16.041
2034,6,16.786
2034,7,17.24
2034,8,16.094
2034,9,14.824
2034,10,11.737
2034,11,10.004
2034,12,7.789
2035,1,7.18
2035,2,7.17
2035,3,7.767
2035,4,9.287
2035,5,12.346
2035,6,15.325
2035,7,16.969
2035,8,16.939
2035,9,14.346
2035,10,11.198
2035,11,9.142
2035,12,7.652
2036,1,7.18
2036,2,7.17
2036,3,7.767
2036,4,9.287
2036,5,12.346
2036,6,15.325
2036,7,16.969
2036,8,16.939
2036,9,14.346
2036,10,11.198
2036,11,9.142
2036,12,7.652
2037,1,7.18
2037,2,7.17
2037,3,7.767
2037,4,9.287
2037,5,12.346
2037,6,15.325
2037,7,16.969
2037,8,16.939
2037,9,14.346
2037,10,11.198
2037,11,9.142
2037,12,7.652
2038,1,7.328
2038,2,7.042
2038,3,7.685
2038,4,9.315
2038,5,13.575
2038,6,15.354
2038,7,16.376
2038,8,15.91
2038,9,14.111
2038,10,13.328
2038,11,10.716
2038,12,9.201
2039,1,7.596
2039,2,9.068
2039,3,9.865
2039,4,11.147
2039,5,16.041
2039,6,16.786
2039,7,17.24
2039,8,16.094
2039,9,14.824
2039,10,11.737
2039,11,10.004
2039,12,7.789
2040,1,7.18
2040,2,7.17
2040,3,7.767
2040,4,9.287
2040,5,12.346
2040,6,15.325
2040,7,16.969
2040,8,16.939
2040,9,14.346
2040,10,11.198
2040,11,9.142
2040,12,7.652
2041,1,7.18
2041,2,7.17
2041,3,7.767
2041,4,9.287
2041,5,12.346
2041,6,15.325
2041,7,16.969
2041,8,16.939
2041,9,14.346
2041,10,11.198
2041,11,9.142
2041,12,7.652
2042,1,7.18
2042,2,7.17
2042,3,7.767
2042,4,9.287
2042,5,12.346
2042,6,15.325
2042,7,16.969
2042,8,16.939
2042,9,14.346
2042,10,11.198
2042,11,9.142
2042,12,7.652
2043,1,7.328
2043,2,7.042
2043,3,7.685
2043,4,9.315
2043,5,13.575
2043,6,15.354
2043,7,16.376
2043,8,15.91
2043,9,14.111
2043,10,13.328
2043,11,10.716
2043,12,9.201
2044,1,7.596
2044,2,9.068
2044,3,9.865
2044,4,11.147
2044,5,16.041
2044,6,16.786
2044,7,17.24
2044,8,16.094
2044,9,14.824
2044,10,11.737
2044,11,10.004
2044,12,7.789
2045,1,7.18
2045,2,7.17
2045,3,7.767
2045,4,9.287
2045,5,12.346
2045,6,15.325
2045,7,16.969
2045,8,16.939
2045,9,14.346
2045,10,11.198
2045,11,9.142
2045,12,7.652
2046,1,7.18
2046,2,7.17
2046,3,7.767
2046,4,9.287
2046,5,12.346
2046,6,15.325
2046,7,16.969
2046,8,16.939
2046,9,14.346
2046,10,11.198
2046,11,9.142
2046,12,7.652
2047,1,7.18
2047,2,7.17
2047,3,7.767
2047,4,9.287
2047,5,12.346
2047,6,15.325
2047,7,16.969
2047,8,16.939
2047,9,14.346
2047,10,11.198
2047,11,9.142
2047,12,7.652
2048,1,7.328
2048,2,7.042
2048,3,7.685
2048,4,9.315
2048,5,13.575
2048,6,15.354
2048,7,16.376
2048,8,15.91
2048,9,14.111
2048,10,13.328
2048,11,10.716
2048,12,9.201
2049,1,7.596
2049,2,9.068
2049,3,9.865
2049,4,11.147
2049,5,16.041
2049,6,16.786
2049,7,17.24
2049,8,16.094
2049,9,14.824
2049,10,11.737
2049,11,10.004
2049,12,7.789
2050,1,7.18
2050,2,7.17
2050,3,7.767
2050,4,9.287
2050,5,12.346
2050,6,15.325
2050,7,16.969
2050,8,16.939
2050,9,14.346
2050,10,11.198
2050,11,9.142
2050,12,7.652
