year,month,sst
2012,1,8.424
2012,2,8.243
2012,3,8.078
2012,4,9.88
2012,5,10.956
2012,6,13.089
2012,7,14.376
2012,8,14.54
2012,9,14.24
2012,10,12.409
2012,11,11.844
2012,12,10.721
2013,1,9.064
2013,2,8.535
2013,3,8.721
2013,4,9.816
2013,5,11.619
2013,6,14.206
2013,7,13.457
2013,8,14.315
2013,9,16.354
2013,10,13.497
2013,11,10.409
2013,12,8.092
2014,1,8.177
2014,2,7.948
2014,3,9.573
2014,4,10.887
2014,5,13.916
2014,6,13.255
2014,7,14.8
2014,8,13.957
2014,9,15.195
2014,10,15.474
2014,11,12.861
2014,12,12.202
2015,1,11.004
2015,2,11.284
2015,3,11.292
2015,4,11.582
2015,5,11.98
2015,6,12.656
2015,7,16.041
2015,8,15.289
2015,9,15.301
2015,10,14.603
2015,11,12.378
2015,12,10.948
2016,1,10.457
2016,2,10.933
2016,3,10.867
2016,4,12.187
2016,5,12.737
2016,6,14.198
2016,7,14.718
2016,8,13.827
2016,9,15.242
2016,10,13.264
2016,11,13.327
2016,12,10.505
2017,1,9.341
2017,2,9.438
2017,3,9.644
2017,4,10.39
2017,5,12.326
2017,6,14.186
2017,7,14.031
2017,8,14.545
2017,9,14.425
2017,10,12.979
2017,11,11.584
2017,12,10.044
2018,1,10.075
2018,2,9.143
2018,3,9.148
2018,4,10.414
2018,5,12.989
2018,6,14.334
2018,7,14.209
2018,8,14.823
2018,9,14.315
2018,10,13.392
2018,11,11.742
2018,12,10.661
2019,1,10.247
2019,2,9.13
2019,3,9.322
2019,4,11.086
2019,5,12.45
2019,6,13.133
2019,7,16.606
2019,8,16.297
2019,9,16.355
2019,10,13.172
2019,11,11.065
2019,12,9.654
2020,1,9.7
2020,2,9.202
2020,3,8.728
2020,4,10.164
2020,5,12.761
2020,6,13.896
2020,7,13.961
2020,8,14.757
2020,9,14.528
2020,10,14.268
2020,11,10.869
2020,12,9.83
2021,1,9.674
2021,2,8.757
2021,3,8.864
2021,4,9.594
2021,5,11.207
2021,6,14.302
2021,7,14.547
2021,8,14.101
2021,9,13.538
2021,10,12.864
2021,11,11.904
2021,12,10.501
2022,1,9.098
2022,2,8.557
2022,3,9.104
2022,4,9.507
2022,5,11.212
2022,6,13.28
2022,7,14.633
2022,8,15.598
2022,9,14.132
2022,10,13.334
2022,11,10.438
2022,12,9.132
2023,1,9.848
2023,2,8.983
2023,3,8.532
2023,4,9.385
2023,5,12.741
2023,6,11.742
2023,7,13.779
2023,8,15.554
2023,9,14.81
2023,10,13.71
2023,11,12.116
2023,12,10.961
2024,1,10.62
2024,2,10.669
2024,3,10.63
2024,4,10.964
2024,5,11.363
2024,6,12.326
2024,7,13.045
2024,8,15.232
2024,9,14.904
2024,10,12.626
2024,11,11.775
2024,12,10.387
2025,1,9.262
2025,2,9.025
2025,3,9.234
2025,4,9.993
2025,5,11.421
2025,6,13.209
2025,7,13.964
2025,8,14.021
2025,9,13.585
2025,10,12.541
2025,11,11.196
2025,12,9.908
2026,1,9.262
2026,2,9.025
2026,3,9.234
2026,4,9.993
2026,5,11.421
2026,6,13.209
2026,7,13.964
2026,8,14.021
2026,9,13.585
2026,10,12.541
2026,11,11.196
2026,12,9.908
2027,1,9.262
2027,2,9.025
2027,3,9.234
2027,4,9.993
2027,5,11.421
2027,6,13.209
2027,7,13.964
2027,8,14.021
2027,9,13.585
2027,10,12.541
2027,11,11.196
2027,12,9.908
2028,1,8.448
2028,2,8.217
2028,3,9.488
2028,4,10.664
2028,5,13.292
2028,6,13.244
2028,7,17.08
2028,8,15.923
2028,9,16.159
2028,10,15.634
2028,11,12.969
2028,12,11.468
2029,1,11.875
2029,2,12.414
2029,3,12.321
2029,4,12.376
2029,5,12.259
2029,6,12.379
2029,7,14.529
2029,8,13.875
2029,9,14.828
2029,10,13.083
2029,11,12.794
2029,12,10.356
2030,1,9.262
2030,2,9.025
2030,3,9.234
2030,4,9.993
2030,5,11.421
2030,6,13.209
2030,7,13.964
2030,8,14.021
2030,9,13.585
2030,10,12.541
2030,11,11.196
2030,12,9.908
2031,1,9.262
2031,2,9.025
2031,3,9.234
2031,4,9.993
2031,5,11.421
2031,6,13.209
2031,7,13.964
2031,8,14.021
2031,9,13.585
2031,10,12.541
2031,11,11.196
2031,12,9.908
2032,1,9.262
2032,2,9.025
2032,3,9.234
2032,4,9.993
2032,5,11.421
2032,6,13.209
2032,7,13.964
2032,8,14.021
2032,9,13.585
2032,10,12.541
2032,11,11.196
2032,12,9.908
2033,1,8.448
2033,2,8.217
2033,3,9.488
2033,4,10.664
2033,5,13.292
2033,6,13.244
2033,7,17.08
2033,8,15.923
2033,9,16.159
2033,10,15.634
2033,11,12.969
2033,12,11.468
2034,1,11.875
2034,2,12.414
2034,3,12.321
2034,4,12.376
2034,5,12.259
2034,6,12.379
2034,7,14.529
2034,8,13.875
2034,9,14.828
2034,10,13.083
2034,11,12.794
2034,12,10.356
2035,1,9.262
2035,2,9.025
2035,3,9.234
2035,4,9.993
2035,5,11.421
2035,6,13.209
2035,7,13.964
2035,8,14.021
2035,9,13.585
2035,10,12.541
2035,11,11.196
2035,12,9.908
2036,1,9.262
2036,2,9.025
2036,3,9.234
2036,4,9.993
2036,5,11.421
2036,6,13.209
2036,7,13.964
2036,8,14.021
2036,9,13.585
2036,10,12.541
2036,11,11.196
2036,12,9.908
2037,1,9.262
2037,2,9.025
2037,3,9.234
2037,4,9.993
2037,5,11.421
2037,6,13.209
2037,7,13.964
2037,8,14.021
2037,9,13.585
2037,10,12.541
2037,11,11.196
2037,12,9.908
2038,1,8.448
2038,2,8.217
2038,3,9.488
2038,4,10.664
2038,5,13.292
2038,6,13.244
2038,7,17.08
2038,8,15.923
2038,9,16.159
2038,10,15.634
2038,11,12.969
2038,12,11.468
2039,1,11.875
2039,2,12.414
2039,3,12.321
2039,4,12.376
2039,5,12.259
2039,6,12.379
2039,7,14.529
2039,8,13.875
2039,9,14.828
2039,10,13.083
2039,11,12.794
2039,12,10.356
2040,1,9.262
2040,2,9.025
2040,3,9.234
2040,4,9.993
2040,5,11.421
2040,6,13.209
2040,7,13.964
2040,8,14.021
2040,9,13.585
2040,10,12.541
2040,11,11.196
2040,12,9.908
2041,1,9.262
2041,2,9.025
2041,3,9.234
2041,4,9.993
2041,5,11.421
2041,6,13.209
2041,7,13.964
2041,8,14.021
2041,9,13.585
2041,10,12.541
2041,11,11.196
2041,12,9.908
2042,1,9.262
2042,2,9.025
2042,3,9.234
2042,4,9.993
2042,5,11.421
2042,6,13.209
2042,7,13.964
2042,8,14.021
2042,9,13.585
2042,10,12.541
2042,11,11.196
2042,12,9.908
2043,1,8.448
2043,2,8.217
2043,3,9.488
2043,4,10.664
2043,5,13.292
2043,6,13.244
2043,7,17.08
2043,8,15.923
2043,9,16.159
2043,10,15.634
2043,11,12.969
2043,12,11.468
2044,1,11.875
2044,2,12.414
2044,3,12.321
2044,4,12.376
2044,5,12.259
2044,6,12.379
2044,7,14.529
2044,8,13.875
2044,9,14.828
2044,10,13.083
2044,11,12.794
2044,12,10.356
2045,1,9.262
2045,2,9.025
2045,3,9.234
2045,4,9.993
2045,5,11.421
2045,6,13.209
2045,7,13.964
2045,8,14.021
2045,9,13.585
2045,10,12.541
2045,11,11.196
2045,12,9.908
2046,1,9.262
2046,2,9.025
2046,3,9.234
2046,4,9.993
2046,5,11.421
2046,6,13.209
2046,7,13.964
2046,8,14.021
2046,9,13.585
2046,10,12.541
2046,11,11.196
2046,12,9.908
2047,1,9.262
2047,2,9.025
2047,3,9.234
2047,4,9.993
2047,5,11.421
2047,6,13.209
2047,7,13.964
2047,8,14.021
2047,9,13.585
2047,10,12.541
2047,11,11.196
2047,12,9.908
2048,1,8.448
2048,2,8.217
2048,3,9.488
2048,4,10.664
2048,5,13.292
2048,6,13.244
2048,7,17.08
2048,8,15.923
2048,9,16.159
2048,10,15.634
2048,11,12.969
2048,12,11.468
2049,1,11.875
2049,2,12.414
2049,3,12.321
2049,4,12.376
2049,5,12.259
2049,6,12.379
2049,7,14.529
2049,8,13.875
2049,9,14.828
2049,10,13.083
2049,11,12.794
2049,12,10.356
2050,1,9.262
2050,2,9.025
2050,3,9.234
2050,4,9.993
2050,5,11.421
2050,6,13.209
2050,7,13.964
2050,8,14.021
2050,9,13.585
2050,10,12.541
2050,11,11.196
2050,12,9.908
