year,month,sst
2012,1,4.479
2012,2,3.92
2012,3,3.603
2012,4,5.318
2012,5,6.317
2012,6,8.957
2012,7,10.881
2012,8,12.136
2012,9,10.845
2012,10,8.936
2012,11,7.484
2012,12,5.767
2013,1,5.024
2013,2,4.61
2013,3,4.393
2013,4,4.604
2013,5,6.097
2013,6,10.775
2013,7,14.149
2013,8,13.395
2013,9,12.128
2013,10,10.319
2013,11,8.705
2013,12,6.382
2014,1,5.783
2014,2,4.875
2014,3,4.875
2014,4,5.255
2014,5,8.125
2014,6,10.351
2014,7,13.457
2014,8,13.618
2014,9,13.144
2014,10,10.909
2014,11,9.395
2014,12,8.261
2015,1,7.142
2015,2,6.057
2015,3,5.584
2015,4,6.105
2015,5,8.239
2015,6,11.242
2015,7,14.203
2015,8,15.276
2015,9,12.495
2015,10,10.33
2015,11,8.596
2015,12,7.363
2016,1,6.555
2016,2,6.155
2016,3,6.009
2016,4,6.867
2016,5,9.096
2016,6,12.668
2016,7,15.262
2016,8,14.4
2016,9,13.658
2016,10,10.635
2016,11,9.061
2016,12,7.557
2017,1,6.341
2017,2,5.41
2017,3,4.663
2017,4,5.491
2017,5,7.024
2017,6,10.432
2017,7,13.129
2017,8,14.087
2017,9,11.836
2017,10,10.479
2017,11,8.122
2017,12,6.648
2018,1,5.649
2018,2,5.033
2018,3,4.765
2018,4,5.236
2018,5,6.772
2018,6,10.076
2018,7,12.788
2018,8,13.373
2018,9,13.539
2018,10,10.442
2018,11,7.998
2018,12,6.492
2019,1,6.298
2019,2,5.951
2019,3,5.685
2019,4,6.351
2019,5,7.854
2019,6,11.465
2019,7,14.503
2019,8,15.776
2019,9,13.466
2019,10,10.407
2019,11,8.795
2019,12,7.514
2020,1,5.763
2020,2,5.049
2020,3,4.453
2020,4,5.513
2020,5,7.637
2020,6,10.714
2020,7,13.795
2020,8,14.267
2020,9,12.777
2020,10,10.556
2020,11,8.113
2020,12,6.724
2021,1,6.059
2021,2,5.224
2021,3,4.773
2021,4,5.127
2021,5,7.079
2021,6,9.838
2021,7,12.66
2021,8,13.848
2021,9,11.853
2021,10,9.768
2021,11,7.714
2021,12,6.057
2022,1,5.101
2022,2,4.359
2022,3,4.551
2022,4,5.36
2022,5,7.581
2022,6,11.818
2022,7,12.845
2022,8,13.754
2022,9,12.279
2022,10,10.225
2022,11,8.286
2022,12,6.561
2023,1,5.42
2023,2,4.667
2023,3,4.262
2023,4,4.862
2023,5,6.262
2023,6,9.301
2023,7,12.126
2023,8,13.216
2023,9,12.322
2023,10,10.091
2023,11,8.606
2023,12,7.015
2024,1,5.941
2024,2,5.228
2024,3,4.854
2024,4,5.615
2024,5,7.432
2024,6,10.073
2024,7,12.329
2024,8,13.504
2024,9,11.932
2024,10,9.576
2024,11,7.773
2024,12,6.596
2025,1,5.124
2025,2,4.596
2025,3,4.266
2025,4,4.948
2025,5,7.307
2025,6,10.169
2025,7,12.919
2025,8,13.378
2025,9,11.937
2025,10,9.644
2025,11,7.741
2025,12,6.383
2026,1,5.124
2026,2,4.596
2026,3,4.266
2026,4,4.948
2026,5,7.307
2026,6,10.169
2026,7,12.919
2026,8,13.378
2026,9,11.937
2026,10,9.644
2026,11,7.741
2026,12,6.383
2027,1,5.124
2027,2,4.596
2027,3,4.266
2027,4,4.948
2027,5,7.307
2027,6,10.169
2027,7,12.919
2027,8,13.378
2027,9,11.937
2027,10,9.644
2027,11,7.741
2027,12,6.383
2028,1,5.454
2028,2,4.736
2028,3,4.57
2028,4,5.102
2028,5,7.716
2028,6,10.26
2028,7,14.203
2028,8,15.276
2028,9,12.495
2028,10,10.33
2028,11,8.596
2028,12,7.363
2029,1,7.142
2029,2,6.057
2029,3,5.584
2029,4,6.105
2029,5,8.239
2029,6,11.242
2029,7,14.091
2029,8,13.889
2029,9,12.798
2029,10,10.139
2029,11,8.401
2029,12,6.97
2030,1,5.124
2030,2,4.596
2030,3,4.266
2030,4,4.948
2030,5,7.307
2030,6,10.169
2030,7,12.919
2030,8,13.378
2030,9,11.937
2030,10,9.644
2030,11,7.741
2030,12,6.383
2031,1,5.124
2031,2,4.596
2031,3,4.266
2031,4,4.948
2031,5,7.307
2031,6,10.169
2031,7,12.919
2031,8,13.378
2031,9,11.937
2031,10,9.644
2031,11,7.741
2031,12,6.383
2032,1,5.124
2032,2,4.596
2032,3,4.266
2032,4,4.948
2032,5,7.307
2032,6,10.169
2032,7,12.919
2032,8,13.378
2032,9,11.937
2032,10,9.644
2032,11,7.741
2032,12,6.383
2033,1,5.454
2033,2,4.736
2033,3,4.57
2033,4,5.102
2033,5,7.716
2033,6,10.26
2033,7,14.203
2033,8,15.276
2033,9,12.495
2033,10,10.33
2033,11,8.596
2033,12,7.363
2034,1,7.142
2034,2,6.057
2034,3,5.584
2034,4,6.105
2034,5,8.239
2034,6,11.242
2034,7,14.091
2034,8,13.889
2034,9,12.798
2034,10,10.139
2034,11,8.401
2034,12,6.97
2035,1,5.124
2035,2,4.596
2035,3,4.266
2035,4,4.948
2035,5,7.307
2035,6,10.169
2035,7,12.919
2035,8,13.378
2035,9,11.937
2035,10,9.644
2035,11,7.741
2035,12,6.383
2036,1,5.124
2036,2,4.596
2036,3,4.266
2036,4,4.948
2036,5,7.307
2036,6,10.169
2036,7,12.919
2036,8,13.378
2036,9,11.937
2036,10,9.644
2036,11,7.741
2036,12,6.383
2037,1,5.124
2037,2,4.596
2037,3,4.266
2037,4,4.948
2037,5,7.307
2037,6,10.169
2037,7,12.919
2037,8,13.378
2037,9,11.937
2037,10,9.644
2037,11,7.741
2037,12,6.383
2038,1,5.454
2038,2,4.736
2038,3,4.57
2038,4,5.102
2038,5,7.716
2038,6,10.26
2038,7,14.203
2038,8,15.276
2038,9,12.495
2038,10,10.33
2038,11,8.596
2038,12,7.363
2039,1,7.142
2039,2,6.057
2039,3,5.584
2039,4,6.105
2039,5,8.239
2039,6,11.242
2039,7,14.091
2039,8,13.889
2039,9,12.798
2039,10,10.139
2039,11,8.401
2039,12,6.97
2040,1,5.124
2040,2,4.596
2040,3,4.266
2040,4,4.948
2040,5,7.307
2040,6,10.169
2040,7,12.919
2040,8,13.378
2040,9,11.937
2040,10,9.644
2040,11,7.741
2040,12,6.383
2041,1,5.124
2041,2,4.596
2041,3,4.266
2041,4,4.948
2041,5,7.307
2041,6,10.169
2041,7,12.919
2041,8,13.378
2041,9,11.937
2041,10,9.644
2041,11,7.741
2041,12,6.383
2042,1,5.124
2042,2,4.596
2042,3,4.266
2042,4,4.948
2042,5,7.307
2042,6,10.169
2042,7,12.919
2042,8,13.378
2042,9,11.937
2042,10,9.644
2042,11,7.741
2042,12,6.383
2043,1,5.454
2043,2,4.736
2043,3,4.57
2043,4,5.102
2043,5,7.716
2043,6,10.26
2043,7,14.203
2043,8,15.276
2043,9,12.495
2043,10,10.33
2043,11,8.596
2043,12,7.363
2044,1,7.142
2044,2,6.057
2044,3,5.584
2044,4,6.105
2044,5,8.239
2044,6,11.242
2044,7,14.091
2044,8,13.889
2044,9,12.798
2044,10,10.139
2044,11,8.401
2044,12,6.97
2045,1,5.124
2045,2,4.596
2045,3,4.266
2045,4,4.948
2045,5,7.307
2045,6,10.169
2045,7,12.919
2045,8,13.378
2045,9,11.937
2045,10,9.644
2045,11,7.741
2045,12,6.383
2046,1,5.124
2046,2,4.596
2046,3,4.266
2046,4,4.948
2046,5,7.307
2046,6,10.169
2046,7,12.919
2046,8,13.378
2046,9,11.937
2046,10,9.644
2046,11,7.741
2046,12,6.383
2047,1,5.124
2047,2,4.596
2047,3,4.266
2047,4,4.948
2047,5,7.307
2047,6,10.169
2047,7,12.919
2047,8,13.378
2047,9,11.937
2047,10,9.644
2047,11,7.741
2047,12,6.383
2048,1,5.454
2048,2,4.736
2048,3,4.57
