year,month,sst
2012,1,11.275
2012,2,10.897
2012,3,10.132
2012,4,11.265
2012,5,10.626
2012,6,11.356
2012,7,12.635
2012,8,12.824
2012,9,13.026
2012,10,14.103
2012,11,13.642
2012,12,13.091
2013,1,11.024
2013,2,10.476
2013,3,10.236
2013,4,10.434
2013,5,10.974
2013,6,11.716
2013,7,13.665
2013,8,14.008
2013,9,13.517
2013,10,11.688
2013,11,11.445
2013,12,10.873
2014,1,11.408
2014,2,11.719
2014,3,12.663
2014,4,12.045
2014,5,11.239
2014,6,12.181
2014,7,14.827
2014,8,16.607
2014,9,17.253
2014,10,16.014
2014,11,14.857
2014,12,15.031
2015,1,13.128
2015,2,13.932
2015,3,13.217
2015,4,11.114
2015,5,11.433
2015,6,13.058
2015,7,15.956
2015,8,16.665
2015,9,15.179
2015,10,16.25
2015,11,13.266
2015,12,13.093
2016,1,12.794
2016,2,12.92
2016,3,13.153
2016,4,12.015
2016,5,12.199
2016,6,12.508
2016,7,12.453
2016,8,14.496
2016,9,13.94
2016,10,13.789
2016,11,14.54
2016,12,11.737
2017,1,11.304
2017,2,12.386
2017,3,12.581
2017,4,12.08
2017,5,11.278
2017,6,12.007
2017,7,12.567
2017,8,14.914
2017,9,15.807
2017,10,12.903
2017,11,13.848
2017,12,12.383
2018,1,12.349
2018,2,11.392
2018,3,11.518
2018,4,12.243
2018,5,11.735
2018,6,11.669
2018,7,13.828
2018,8,13.419
2018,9,13.613
2018,10,14.665
2018,11,13.485
2018,12,13.633
2019,1,12.622
2019,2,12.607
2019,3,12.551
2019,4,12.347
2019,5,13.453
2019,6,13.633
2019,7,13.187
2019,8,14.717
2019,9,14.523
2019,10,12.938
2019,11,12.416
2019,12,12.651
2020,1,12.071
2020,2,11.524
2020,3,12.28
2020,4,12.26
2020,5,12.285
2020,6,12.908
2020,7,13.662
2020,8,14.194
2020,9,14.775
2020,10,13.927
2020,11,12.459
2020,12,11.184
2021,1,11.066
2021,2,11.007
2021,3,10.376
2021,4,10.627
2021,5,10.535
2021,6,12.919
2021,7,13.528
2021,8,15.368
2021,9,15.321
2021,10,13.99
2021,11,14.515
2021,12,12.1
2022,1,11.795
2022,2,12.019
2022,3,11.182
2022,4,10.68
2022,5,10.551
2022,6,11.835
2022,7,13.065
2022,8,14.869
2022,9,14.883
2022,10,14.139
2022,11,12.037
2022,12,11.11
2023,1,11.955
2023,2,10.969
2023,3,10.645
2023,4,10.506
2023,5,12.091
2023,6,13.512
2023,7,13.151
2023,8,14.865
2023,9,15.487
2023,10,15.218
2023,11,13.942
2023,12,13.585
2024,1,12.89
2024,2,13.439
2024,3,13.125
2024,4,12.208
2024,5,11.401
2024,6,11.894
2024,7,14.464
2024,8,13.731
2024,9,14.561
2024,10,14.26
2024,11,12.071
2024,12,12.025
2025,1,11.475
2025,2,11.532
2025,3,11.485
2025,4,11.015
2025,5,11.085
2025,6,11.499
2025,7,12.845
2025,8,13.79
2025,9,13.806
2025,10,13.345
2025,11,12.853
2025,12,11.952
2026,1,11.475
2026,2,11.532
2026,3,11.485
2026,4,11.015
2026,5,11.085
2026,6,11.499
2026,7,12.845
2026,8,13.79
2026,9,13.806
2026,10,13.345
2026,11,12.853
2026,12,11.952
2027,1,11.475
2027,2,11.532
2027,3,11.485
2027,4,11.015
2027,5,11.085
2027,6,11.499
2027,7,12.845
2027,8,13.79
2027,9,13.806
2027,10,13.345
2027,11,12.853
2027,12,11.952
2028,1,11.442
2028,2,11.625
2028,3,12.074
2028,4,11.53
2028,5,11.162
2028,6,11.84
2028,7,15.956
2028,8,16.665
2028,9,15.179
2028,10,16.25
2028,11,13.266
2028,12,13.093
2029,1,13.128
2029,2,13.932
2029,3,13.217
2029,4,11.114
2029,5,11.433
2029,6,13.058
2029,7,12.649
2029,8,14.143
2029,9,13.873
2029,10,13.567
2029,11,13.697
2029,12,11.845
2030,1,11.475
2030,2,11.532
2030,3,11.485
2030,4,11.015
2030,5,11.085
2030,6,11.499
2030,7,12.845
2030,8,13.79
2030,9,13.806
2030,10,13.345
2030,11,12.853
2030,12,11.952
2031,1,11.475
2031,2,11.532
2031,3,11.485
2031,4,11.015
2031,5,11.085
2031,6,11.499
2031,7,12.845
2031,8,13.79
2031,9,13.806
2031,10,13.345
2031,11,12.853
2031,12,11.952
2032,1,11.475
2032,2,11.532
2032,3,11.485
2032,4,11.015
2032,5,11.085
2032,6,11.499
2032,7,12.845
2032,8,13.79
2032,9,13.806
2032,10,13.345
2032,11,12.853
2032,12,11.952
2033,1,11.475
2033,2,11.532
2033,3,11.485
2033,4,11.015
2033,5,11.085
2033,6,11.499
2033,7,12.845
2033,8,13.79
2033,9,13.806
2033,10,13.345
2033,11,12.853
2033,12,11.952
2034,1,11.475
2034,2,11.532
2034,3,11.485
2034,4,11.015
2034,5,11.085
2034,6,11.499
2034,7,12.845
2034,8,13.79
2034,9,13.806
2034,10,13.345
2034,11,12.853
2034,12,11.952
2035,1,11.442
2035,2,11.625
2035,3,12.074
2035,4,11.53
2035,5,11.162
2035,6,11.84
2035,7,15.956
2035,8,16.665
2035,9,15.179
2035,10,16.25
2035,11,13.266
2035,12,13.093
2036,1,13.128
2036,2,13.932
2036,3,13.217
2036,4,11.114
2036,5,11.433
2036,6,13.058
2036,7,12.649
2036,8,14.143
2036,9,13.873
2036,10,13.567
2036,11,13.697
2036,12,11.845
2037,1,11.475
2037,2,11.532
2037,3,11.485
2037,4,11.015
2037,5,11.085
2037,6,11.499
2037,7,12.845
2037,8,13.79
2037,9,13.806
2037,10,13.345
2037,11,12.853
2037,12,11.952
2038,1,11.475
2038,2,11.532
2038,3,11.485
2038,4,11.015
2038,5,11.085
2038,6,11.499
2038,7,12.845
2038,8,13.79
2038,9,13.806
2038,10,13.345
2038,11,12.853
2038,12,11.952
2039,1,11.475
2039,2,11.532
2039,3,11.485
2039,4,11.015
2039,5,11.085
2039,6,11.499
2039,7,12.845
2039,8,13.79
2039,9,13.806
2039,10,13.345
2039,11,12.853
2039,12,11.952
2040,1,11.475
2040,2,11.532
2040,3,11.485
2040,4,11.015
2040,5,11.085
2040,6,11.499
2040,7,12.845
2040,8,13.79
2040,9,13.806
2040,10,13.345
2040,11,12.853
2040,12,11.952
2041,1,11.475
2041,2,11.532
2041,3,11.485
2041,4,11.015
2041,5,11.085
2041,6,11.499
2041,7,12.845
2041,8,13.79
2041,9,13.806
2041,10,13.345
2041,11,12.853
2041,12,11.952
2042,1,11.442
2042,2,11.625
2042,3,12.074
2042,4,11.53
2042,5,11.162
2042,6,11.84
2042,7,15.956
2042,8,16.665
2042,9,15.179
2042,10,16.25
2042,11,13.266
2042,12,13.093
2043,1,13.128
2043,2,13.932
2043,3,13.217
2043,4,11.114
2043,5,11.433
2043,6,13.058
2043,7,12.649
2043,8,14.143
2043,9,13.873
2043,10,13.567
2043,11,13.697
2043,12,11.845
2044,1,11.475
2044,2,11.532
2044,3,11.485
2044,4,11.015
2044,5,11.085
2044,6,11.499
2044,7,12.845
2044,8,13.79
2044,9,13.806
2044,10,13.345
2044,11,12.853
2044,12,11.952
2045,1,11.475
2045,2,11.532
2045,3,11.485
2045,4,11.015
2045,5,11.085
2045,6,11.499
2045,7,12.845
2045,8,13.79
2045,9,13.806
2045,10,13.345
2045,11,12.853
2045,12,11.952
2046,1,11.475
2046,2,11.532
2046,3,11.485
2046,4,11.015
2046,5,11.085
2046,6,11.499
2046,7,12.845
2046,8,13.79
2046,9,13.806
2046,10,13.345
2046,11,12.853
2046,12,11.952
2047,1,11.475
2047,2,11.532
2047,3,11.485
2047,4,11.015
2047,5,11.085
2047,6,11.499
2047,7,12.845
2047,8,13.79
2047,9,13.806
2047,10,13.345
2047,11,12.853
2047,12,11.952
2048,1,11.475
2048,2,11.532
2048,3,11.485
2048,4,11.015
2048,5,11.085
2048,6,11.499
2048,7,12.845
2048,8,13.79
2048,9,13.806
2048,10,13.345
2048,11,12.853
2048,12,11.952
2049,1,11.442
2049,2,11.625
2049,3,12.074
2049,4,11.53
2049,5,11.162
2049,6,11.84
2049,7,15.956
2049,8,16.665
2049,9,15.179
2049,10,16.25
2049,11,13.266
2049,12,13.093
2050,1,13.128
2050,2,13.932
2050,3,13.217
2050,4,11.114
2050,5,11.433
2050,6,13.058
2050,7,12.649
2050,8,14.143
2050,9,13.873
2050,10,13.567
2050,11,13.697
2050,12,11.845
