year,month,sst
2012,1,2.748
2012,2,1.289
2012,3,0.907
2012,4,1.421
2012,5,2.82
2012,6,5.409
2012,7,8.261
2012,8,9.579
2012,9,8.732
2012,10,7.955
2012,11,6.151
2012,12,4.193
2013,1,3.39
2013,2,2.962
2013,3,2.356
2013,4,2.745
2013,5,4.08
2013,6,6.403
2013,7,9.607
2013,8,10.781
2013,9,9.594
2013,10,8.39
2013,11,7.14
2013,12,5.906
2014,1,4.662
2014,2,3.454
2014,3,3.276
2014,4,3.729
2014,5,6.383
2014,6,8.273
2014,7,11.013
2014,8,12.833
2014,9,12.274
2014,10,10.193
2014,11,8.065
2014,12,6.669
2015,1,5.547
2015,2,4.862
2015,3,4.805
2015,4,4.974
2015,5,6.207
2015,6,8.309
2015,7,9.829
2015,8,12.194
2015,9,11.22
2015,10,9.287
2015,11,7.707
2015,12,6.105
2016,1,4.973
2016,2,4.691
2016,3,4.3
2016,4,4.985
2016,5,6.613
2016,6,8.829
2016,7,11.606
2016,8,12.43
2016,9,12.567
2016,10,10.569
2016,11,8.629
2016,12,6.81
2017,1,5.001
2017,2,3.715
2017,3,2.772
2017,4,3.668
2017,5,5.296
2017,6,7.956
2017,7,9.98
2017,8,10.77
2017,9,9.568
2017,10,8.949
2017,11,7.83
2017,12,6.144
2018,1,4.803
2018,2,4.031
2018,3,3.867
2018,4,4.201
2018,5,5.542
2018,6,7.762
2018,7,9.56
2018,8,10.051
2018,9,10.903
2018,10,9.982
2018,11,8.322
2018,12,6.267
2019,1,4.807
2019,2,4.536
2019,3,4.391
2019,4,4.839
2019,5,6.55
2019,6,9.065
2019,7,11.388
2019,8,13.669
2019,9,10.991
2019,10,9.145
2019,11,7.705
2019,12,6.749
2020,1,4.709
2020,2,3.378
2020,3,2.984
2020,4,3.774
2020,5,6.119
2020,6,8.275
2020,7,10.904
2020,8,11.536
2020,9,9.781
2020,10,9.051
2020,11,7.734
2020,12,5.842
2021,1,4.729
2021,2,4.469
2021,3,4.089
2021,4,4.595
2021,5,5.846
2021,6,7.323
2021,7,10.277
2021,8,11.234
2021,9,10.216
2021,10,7.746
2021,11,5.801
2021,12,4.149
2022,1,3.1
2022,2,2.495
2022,3,2.853
2022,4,2.539
2022,5,4.985
2022,6,7.749
2022,7,9.706
2022,8,10.328
2022,9,9.781
2022,10,8.453
2022,11,6.874
2022,12,5.779
2023,1,4.595
2023,2,4.133
2023,3,3.501
2023,4,3.459
2023,5,4.682
2023,6,7.033
2023,7,9.477
2023,8,11.213
2023,9,10.334
2023,10,8.698
2023,11,7.964
2023,12,5.741
2024,1,4.062
2024,2,3.138
2024,3,2.697
2024,4,3.174
2024,5,4.592
2024,6,6.599
2024,7,9.291
2024,8,10.157
2024,9,9.696
2024,10,8.065
2024,11,6.933
2024,12,5.81
2025,1,3.752
2025,2,3.01
2025,3,2.512
2025,4,2.705
2025,5,4.322
2025,6,6.631
2025,7,9.408
2025,8,10.556
2025,9,9.948
2025,10,8.664
2025,11,6.929
2025,12,5.218
2026,1,3.752
2026,2,3.01
2026,3,2.512
2026,4,2.705
2026,5,4.322
2026,6,6.631
2026,7,9.408
2026,8,10.556
2026,9,9.948
2026,10,8.664
2026,11,6.929
2026,12,5.218
2027,1,3.752
2027,2,3.01
2027,3,2.512
2027,4,2.705
2027,5,4.322
2027,6,6.631
2027,7,9.408
2027,8,10.556
2027,9,9.948
2027,10,8.664
2027,11,6.929
2027,12,5.218
2028,1,3.979
2028,2,3.121
2028,3,2.703
2028,4,2.961
2028,5,4.837
2028,6,7.041
2028,7,9.619
2028,8,11.375
2028,9,10.584
2028,10,8.975
2028,11,7.318
2028,12,5.662
2029,1,4.649
2029,2,3.936
2029,3,3.658
2029,4,3.84
2029,5,5.264
2029,6,7.47
2029,7,9.958
2029,8,11.025
2029,9,10.602
2029,10,9.14
2029,11,7.354
2029,12,5.616
2030,1,3.752
2030,2,3.01
2030,3,2.512
2030,4,2.705
2030,5,4.322
2030,6,6.631
2030,7,9.408
2030,8,10.556
2030,9,9.948
2030,10,8.664
2030,11,6.929
2030,12,5.218
2031,1,3.752
2031,2,3.01
2031,3,2.512
2031,4,2.705
2031,5,4.322
2031,6,6.631
2031,7,9.408
2031,8,10.556
2031,9,9.948
2031,10,8.664
2031,11,6.929
2031,12,5.218
2032,1,3.752
2032,2,3.01
2032,3,2.512
2032,4,2.705
2032,5,4.322
2032,6,6.631
2032,7,9.408
2032,8,10.556
2032,9,9.948
2032,10,8.664
2032,11,6.929
2032,12,5.218
2033,1,4.093
2033,2,3.176
2033,3,2.798
2033,4,3.089
2033,5,5.095
2033,6,7.246
2033,7,9.724
2033,8,11.785
2033,9,10.902
2033,10,9.131
2033,11,7.512
2033,12,5.883
2034,1,5.098
2034,2,4.399
2034,3,4.232
2034,4,4.407
2034,5,5.736
2034,6,7.889
2034,7,10.233
2034,8,11.259
2034,9,10.93
2034,10,9.378
2034,11,7.566
2034,12,5.815
2035,1,3.752
2035,2,3.01
2035,3,2.512
2035,4,2.705
2035,5,4.322
