year,month,sst
2012,1,4.985
2012,2,5.03
2012,3,4.479
2012,4,5.835
2012,5,6.632
2012,6,8.544
2012,7,10.254
2012,8,12.0
2012,9,10.947
2012,10,9.297
2012,11,7.869
2012,12,6.329
2013,1,5.858
2013,2,5.396
2013,3,4.75
2013,4,5.248
2013,5,6.505
2013,6,11.143
2013,7,14.337
2013,8,13.853
2013,9,12.363
2013,10,10.924
2013,11,8.777
2013,12,6.684
2014,1,6.288
2014,2,5.38
2014,3,5.367
2014,4,5.564
2014,5,8.21
2014,6,10.111
2014,7,13.264
2014,8,13.841
2014,9,13.35
2014,10,10.889
2014,11,9.753
2014,12,8.478
2015,1,7.366
2015,2,6.709
2015,3,6.294
2015,4,6.921
2015,5,8.646
2015,6,11.554
2015,7,13.901
2015,8,14.927
2015,9,12.533
2015,10,10.328
2015,11,9.001
2015,12,7.764
2016,1,6.835
2016,2,6.922
2016,3,6.705
2016,4,7.376
2016,5,9.435
2016,6,12.55
2016,7,15.138
2016,8,14.493
2016,9,13.637
2016,10,10.975
2016,11,9.488
2016,12,7.928
2017,1,6.803
2017,2,5.975
2017,3,5.185
2017,4,6.117
2017,5,7.304
2017,6,10.504
2017,7,13.5
2017,8,14.545
2017,9,12.296
2017,10,10.75
2017,11,8.214
2017,12,6.767
2018,1,6.328
2018,2,5.215
2018,3,5.188
2018,4,5.668
2018,5,7.047
2018,6,10.245
2018,7,12.908
2018,8,13.35
2018,9,13.425
2018,10,10.753
2018,11,9.197
2018,12,8.241
2019,1,6.954
2019,2,6.653
2019,3,6.243
2019,4,6.597
2019,5,7.994
2019,6,11.6
2019,7,15.042
2019,8,15.669
2019,9,13.571
2019,10,10.687
2019,11,8.599
2019,12,7.501
2020,1,6.265
2020,2,5.585
2020,3,4.945
2020,4,5.807
2020,5,7.59
2020,6,10.812
2020,7,13.561
2020,8,14.073
2020,9,12.895
2020,10,10.748
2020,11,8.503
2020,12,6.981
2021,1,6.316
2021,2,5.929
2021,3,5.372
2021,4,5.572
2021,5,7.416
2021,6,9.595
2021,7,11.966
2021,8,13.656
2021,9,12.353
2021,10,10.226
2021,11,8.215
2021,12,6.815
2022,1,5.76
2022,2,5.099
2022,3,5.246
2022,4,5.862
2022,5,7.849
2022,6,12.736
2022,7,13.757
2022,8,13.669
2022,9,12.694
2022,10,10.924
2022,11,8.817
2022,12,7.003
2023,1,6.015
2023,2,5.22
2023,3,4.869
2023,4,5.457
2023,5,6.717
2023,6,9.729
2023,7,12.652
2023,8,14.287
2023,9,12.749
2023,10,10.684
2023,11,9.251
2023,12,7.906
2024,1,6.814
2024,2,6.119
2024,3,5.699
2024,4,6.368
2024,5,7.756
2024,6,10.09
2024,7,13.005
2024,8,13.991
2024,9,12.103
2024,10,10.005
2024,11,8.263
2024,12,7.267
2025,1,5.84
2025,2,5.265
2025,3,4.968
2025,4,5.443
2025,5,7.444
2025,6,10.089
2025,7,12.735
2025,8,13.192
2025,9,11.995
2025,10,9.916
2025,11,8.042
2025,12,6.776
2026,1,5.84
2026,2,5.265
2026,3,4.968
2026,4,5.443
2026,5,7.444
2026,6,10.089
2026,7,12.735
2026,8,13.192
2026,9,11.995
2026,10,9.916
2026,11,8.042
2026,12,6.776
2027,1,5.84
2027,2,5.265
2027,3,4.968
2027,4,5.443
2027,5,7.444
2027,6,10.089
2027,7,12.735
2027,8,13.192
2027,9,11.995
2027,10,9.916
2027,11,8.042
2027,12,6.776
2028,1,5.952
2028,2,5.294
2028,3,5.068
2028,4,5.473
2028,5,7.635
2028,6,10.095
2028,7,13.318
2028,8,14.06
2028,9,12.264
2028,10,10.122
2028,11,8.521
2028,12,7.27
2029,1,6.603
2029,2,5.987
2029,3,5.631
2029,4,6.182
2029,5,8.045
2029,6,10.822
2029,7,13.335
2029,8,13.517
2029,9,12.406
2029,10,10.181
2029,11,8.403
2029,12,7.064
2030,1,5.84
2030,2,5.265
2030,3,4.968
2030,4,5.443
2030,5,7.444
2030,6,10.089
2030,7,12.735
2030,8,13.192
2030,9,11.995
2030,10,9.916
2030,11,8.042
2030,12,6.776
2031,1,5.84
2031,2,5.265
2031,3,4.968
2031,4,5.443
2031,5,7.444
2031,6,10.089
2031,7,12.735
2031,8,13.192
2031,9,11.995
2031,10,9.916
2031,11,8.042
2031,12,6.776
2032,1,5.84
2032,2,5.265
2032,3,4.968
2032,4,5.443
2032,5,7.444
2032,6,10.089
2032,7,12.735
2032,8,13.192
2032,9,11.995
2032,10,9.916
2032,11,8.042
2032,12,6.776
2033,1,6.008
2033,2,5.308
2033,3,5.118
2033,4,5.488
2033,5,7.731
2033,6,10.097
2033,7,13.609
2033,8,14.493
2033,9,12.399
2033,10,10.225
2033,11,8.761
2033,12,7.517
2034,1,6.984
2034,2,6.348
2034,3,5.963
2034,4,6.551
2034,5,8.345
2034,6,11.188
2034,7,13.636
2034,8,13.68
2034,9,12.611
2034,10,10.313
2034,11,8.584
2034,12,7.208
2035,1,5.84
2035,2,5.265
2035,3,4.968
2035,4,5.443
2035,5,7.444
2035,6,10.089
2035,7,12.735
2035,8,13.192
2035,9,11.995
2035,10,9.916
2035,11,8.042
2035,12,6.776
2036,1,5.84
2036,2,5.265
2036,3,4.968
2036,4,5.443
2036,5,7.444
2036,6,10.089
2036,7,12.735
2036,8,13.192
2036,9,11.995
2036,10,9.916
2036,11,8.042
2036,12,6.776
2037,1,5.84
2037,2,5.265
2037,3,4.968
2037,4,5.443
2037,5,7.444
2037,6,10.089
2037,7,12.735
2037,8,13.192
2037,9,11.995
2037,10,9.916
2037,11,8.042
2037,12,6.776
2038,1,6.064
2038,2,5.322
2038,3,5.168
2038,4,5.503
2038,5,7.827
2038,6,10.1
2038,7,13.901
2038,8,14.927
2038,9,12.533
2038,10,10.328
2038,11,9.001
2038,12,7.764
2039,1,7.366
2039,2,6.709
2039,3,6.294
2039,4,6.921
2039,5,8.646
2039,6,11.554
2039,7,13.936
2039,8,13.843
2039,9,12.816
2039,10,10.446
2039,11,8.765
2039,12,7.352
2040,1,5.84
2040,2,5.265
2040,3,4.968
2040,4,5.443
2040,5,7.444
2040,6,10.089
2040,7,12.735
2040,8,13.192
2040,9,11.995
2040,10,9.916
2040,11,8.042
2040,12,6.776
2041,1,5.84
2041,2,5.265
2041,3,4.968
2041,4,5.443
2041,5,7.444
2041,6,10.089
2041,7,12.735
2041,8,13.192
2041,9,11.995
2041,10,9.916
2041,11,8.042
2041,12,6.776
2042,1,5.84
2042,2,5.265
2042,3,4.968
2042,4,5.443
2042,5,7.444
2042,6,10.089
2042,7,12.735
2042,8,13.192
2042,9,11.995
2042,10,9.916
2042,11,8.042
2042,12,6.776
2043,1,6.12
2043,2,5.337
2043,3,5.217
2043,4,5.518
2043,5,7.923
2043,6,10.103
2043,7,14.193
2043,8,15.361
2043,9,12.667
2043,10,10.431
2043,11,9.241
2043,12,8.011
2044,1,7.748
2044,2,7.07
2044,3,6.625
2044,4,7.291
2044,5,8.947
2044,6,11.92
2044,7,14.237
2044,8,14.005
2044,9,13.021
2044,10,10.578
2044,11,8.946
2044,12,7.496
2045,1,5.84
2045,2,5.265
2045,3,4.968
2045,4,5.443
2045,5,7.444
2045,6,10.089
2045,7,12.735
2045,8,13.192
2045,9,11.995
2045,10,9.916
2045,11,8.042
2045,12,6.776
2046,1,5.84
2046,2,5.265
2046,3,4.968
2046,4,5.443
2046,5,7.444
2046,6,10.089
2046,7,12.735
2046,8,13.192
2046,9,11.995
2046,10,9.916
2046,11,8.042
2046,12,6.776
2047,1,5.84
2047,2,5.265
2047,3,4.968
2047,4,5.443
2047,5,7.444
2047,6,10.089
2047,7,12.735
2047,8,13.192
2047,9,11.995
2047,10,9.916
2047,11,8.042
2047,12,6.776
2048,1,6.176
2048,2,5.351
2048,3,5.267
2048,4,5.534
2048,5,8.018
2048,6,10.106
2048,7,14.484
2048,8,15.794
2048,9,12.802
2048,10,10.534
2048,11,9.481
2048,12,8.258
2049,1,8.129
2049,2,7.431
2049,3,6.957
2049,4,7.66
2049,5,9.247
2049,6,12.286
2049,7,14.537
2049,8,14.168
2049,9,13.227
2049,10,10.71
2049,11,9.126
2049,12,7.64
2050,1,5.84
2050,2,5.265
2050,3,4.968
2050,4,5.443
2050,5,7.444
2050,6,10.089
2050,7,12.735
2050,8,13.192
2050,9,11.995
2050,10,9.916
2050,11,8.042
2050,12,6.776
